web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774661714-1;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/btvcom/laptop-dell-latitude-d630-intel-core-2duo-promo-sale-hdd-160gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop Dell Latitude D630 Intel Core 2duo-Promo Sale - HDD 160GB;1499000;47;78 rating • 56 ulasan;Terjual 100+;BTVCOM
1774661720-2;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/dian-komputer-pusat/laptop-hp-probook-430-g8-core-i5-gen-11-i5-1135g7-ram-8gb-128gb-minus-baca-deskripsi-laptop1-1731593280031720615-1734597315222733991?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop HP EliteBook 830 G8 Core i5-1145G7 Gen 11 RAM 16GB 8GB SSD 512GB 256GB Siap Pakai - Non Bundle, RAM 8GB SSD 256GB;4050000;50;58 rating • 20 ulasan;Terjual 100+;Dian Komputer Pusat
1774661726-3;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/starjayaelectronic/laptop-mulus-lenovo-thinkpad-x270-core-i5-gen-gen-6-ram-8gb-256-ssd-1733881544785561515?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;LAPTOP MULUS LENOVO THINKPAD X270 CORE i5 GEN GEN 6 RAM 8GB/256 SSD - X270 i5-7, 8GB/128GB;2500000;48;88 rating • 50 ulasan;Terjual 100+;STAR JAYA ELECTRONIC
1774661732-4;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/starjayaelectronic/laptop-lenovo-thinkpad-x270-i7-gen6-ram-16gb-ssd-512gb-x270-i5-7th-8gb-256gb-fca4e?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;LAPTOP LENOVO ThinkPad X270 i7 GEN6 RAM 16GB SSD 512GB - X270 i5 7th, 8gb/256gb;2800000;48;73 rating • 40 ulasan;Terjual 100+;STAR JAYA ELECTRONIC
1774661740-5;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/artlaptop/laptop-lenovo-thinkpad-x270-core-i5-gen-6-ram-8gb-ssd-256gb-bergaransi-mulus-murah-core-i5-ram-4-ssd-128-a256d?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop Lenovo ThinkPad X270 Core i5 Gen 6 Ram 8Gb SSD 256Gb Bergaransi Mulus Murah - Core i5, RAM 4 SSD 128;2400000;50;10 rating • 6 ulasan;Terjual 100+;Art Laptop
1774661746-6;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/himawariilaptop/laptop-lenovo-thinkpad-e450-t450-t450s-core-i3-i5-i7-i3gen5-bergaransi-1734316689634002024?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop Lenovo Thinkpad E450 T450 & T450S Core i3/i5/i7 - i3GEN5, BERGARANSI - L450/E450 I5GEN4, RAM4GB/HDD500GB;1600000;50;27 rating • 13 ulasan;Terjual 60+;Himawarii Laptop
1774661752-7;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/starjayaelectronic/laptop-hp-elitebook-840-g6-i5-vpro-8365u-8gb-512gb-ssd-free-tas-mouse-1732867703365404587?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop HP EliteBook 840 G6 i5 vPro 8365U 8GB/512GB Ssd Free Tas/Mouse - 840 G6 i5-8, 16GB/256GB;4400000;48;26 rating • 14 ulasan;Terjual 30+;STAR JAYA ELECTRONIC
1774661758-8;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/bursalaptopefek/readystock-notebook-asus-e203mah-celeron-n4000-4-500gb-white-1731639048505689577?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;READYSTOCK Notebook Asus E203MAH, Celeron - N4000, 4/500GB, White;1750000;;;;Bursa laptop efek
1774661764-9;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/unlimitedlaptop/laptop-lenovo-thinkpad-l450-t450-core-i3-i5-i7-gen-5-murah-dan-bergaransi-layar-14-inch-1729885950725490633?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;LAPTOP LENOVO THINKPAD L450 T450 CORE I3 i5 i7 GEN 5 MURAH DAN BERGARANSI LAYAR 14 INCH - T450 i5Gen5, RAM4 SSD128;1900000;46;14 rating • 8 ulasan;Terjual 100+;LAPTOP UNLIMITED
1774661771-10;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/himawariilaptop/laptop-lenovo-thinkpad-t460-t460s-i5-i7-t460-i5gen6-murah-garansi-t460-i5-gen6-ram4gb-ssd128gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop Lenovo Thinkpad T460 & T460S i5/i7-T460 I5GEN6, MURAH & GARANSI - T460 i5/GEN6, RAM4GB/SSD128GB;2100000;50;48 rating • 21 ulasan;Terjual 100+;Himawarii Laptop
1774661777-11;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/drcomkomputer/laptop-asus-vivobook-a412d-amd-ryzen-3-3200u-4-512gb-backlight?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop Asus VivoBook A412D, Amd Ryzen 3 - 3200U, 4/512Gb, Backlight;3300000;40;1 rating • 0 ulasan;Terjual 3;DrCom_NEW
1774661783-12;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/jualandokcomputer/laptop-lenovo-thinkpad-x250-core-i5-gen5-ssd-128gb-ram-4gb-win-10-ram-8gb-ssd-256gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop Lenovo Thinkpad X250 Core i5 Gen5- SSD 128GB - RAM 4GB - Win 10 - RAM 8GB, SSD 256GB;2399000;49;61 rating • 37 ulasan;Terjual 80+;JUALANDOK Computer
1774661789-13;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/starjayaelectronic/hp-elitebook-840-g8-i7-gen-11-ram-16gb-ssd-512gb-14-inch-free-tas-mouse-1733928969483159467?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Hp Elitebook 840 G8 i7 Gen 11 Ram 16GB Ssd 512GB 14 inch Free Tas/Mouse - 840 G3 i5-6, 16GB/128GB;3150000;50;15 rating • 5 ulasan;Terjual 50+;STAR JAYA ELECTRONIC
1774661795-14;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/mentarisuryalaptop/laptop-lenovo-x395-amd-ryzen-5-pro-13-3-inch-mulus-murah-bergaransi-x395-ryzen-ts-ram-8-ssd-128-bed8e?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;LAPTOP LENOVO X395 AMD RYZEN 5 PRO 13,3 INCH MULUS, MURAH, BERGARANSI - X395 RYZEN TS, RAM 8 SSD 128;3350000;50;17 rating • 1 ulasan;Terjual 40+;Mentarisuryalaptop
1774661803-15;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/oneklikcomputer/laptop-asus-m509b-amd-a4-key-backlight-ram-8gb-ssd-256gb-1731399255477093578?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;LAPTOP ASUS M509B AMD A4 KEY BACKLIGHT RAM 8GB SSD 256GB;2599000;50;3 rating • 1 ulasan;Terjual 12;One Klik Computer
1774661809-16;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/oceanla/lenovo-thinkpad-t14-t14s-g3-amd-ryzen-5-7-radeon-graphic-32gb-bergaransi-1732319411455624996?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Lenovo Thinkpad T14 T14s G3 AMD Ryzen 5 | 7 Radeon Graphic 32GB Bergaransi - T14 G2 R5 TS, 16GB SSD 256GB;5000000;50;59 rating • 38 ulasan;Terjual 100+;Ocean Laptopp
1774661815-17;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/oceanla/lenovo-thinkpad-l14-g4-intel-i7-i5-laptop-thinkpad-l14-l15-g3-g2-g1-16gb-1731170549672216356?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Lenovo Thinkpad L14 G4 Intel I7 I5 | Laptop Thinkpad L14 L15 G3 G2 G1 16GB - L14 G1 I5-10, 8GB / 256GB;3600000;48;13 rating • 9 ulasan;Terjual 40+;Ocean Laptopp
1774661821-18;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/oceanla/lenovo-thinkpad-l15-e15-g3-g2-g1-ryzen-7-5-core-i7-1tb-laptop-gaming-1730990863032551204?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Lenovo Thinkpad L15 E15 G3 G2 G1 RYZEN 7 | 5 | Core I7 1TB Laptop Gaming - L15 G2 RYZEN 5, 8GB SSD 256GB;3950000;48;19 rating • 12 ulasan;Terjual 40+;Ocean Laptopp
1774661827-19;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/javasolution/laptop-asus-vivobook-x409dap-amd-athlon-silver-3050u-windows-10-11-laptop-slim-murah-garansi-1732782639321941127?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;LAPTOP ASUS VivoBook X409DAP AMD Athlon Silver 3050U Windows 10/11 Laptop Slim Murah Garansi - RAM 4GB SSD 128GB;2800000;50;1 rating • 0 ulasan;Terjual 1;Java solution laptop
1774661833-20;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/oceanla/lenovo-thinkpad-x390-l390-core-i5-i7-gen-8-ram-16gb-ddr4-murah-x390-i7-8-16gb-ssd-256gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Lenovo Thinkpad X390 L390 Core I5 / I7 Gen 8 RAM 16GB DDR4 Murah - X390 I7-8 16GB, SSD 256GB;3900000;50;219 rating • 118 ulasan;Terjual 250+;Ocean Laptopp
1774661839-21;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/houselaptop-1/laptop-lenovo-thinkpad-t14-t14s-gen-3rd-ryzen-7-i7-ram-32gb-ssd-1730000980634666756?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop Lenovo Thinkpad T14 | T14s Gen 3rd Ryzen 7 | i7 RAM 32GB SSD - T14 i5 10th, RAM 16 SSD 256;4100000;49;274 rating • 176 ulasan;Terjual 500+;House Laptopp
1774661845-22;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/kaitocorner/promoo-laptop-lenovo-thinkpad-t460-t460s-core-i5-i7-layar-14-inch-t460-i5gen6-ram-4-ssd-128?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;"PROMOO!Laptop Lenovo Thinkpad T460 T460s Core i5 i7 - Layar 14"" inch - T460 I5GEN6, RAM 4 SSD 128";2100000;49;246 rating • 146 ulasan;Terjual 250+;Kaito's Corner
1774661851-23;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/specialistlaptop/laptop-lenovo-thinkpad-t490-core-i5-gen8-ram-8gb-ssd-256gb-fhd-ips-ssd-256gb-16-gb-fe195?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop Lenovo Thinkpad T490 Core i5 Gen8 RAM 8GB SSD 256GB FHD IPS - SSD 256GB, 16 gb;3799000;50;20 rating • 16 ulasan;Terjual 80+;Specialist Laptop Second
1774661858-24;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/kaitocorner/laptop-lenovo-thinkdpad-t450-t450s-core-i5-i7-layar-14-inch-mulus-1729878143424104211?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;"Laptop Lenovo Thinkdpad T450/T450S Core i5 i7 - Layar 14"" inch MULUS - T450 I5GEN5, RAM 4 SSD 128";1900000;50;40 rating • 32 ulasan;Terjual 70+;Kaito's Corner
1774661863-25;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/bursalaptopefek/laptop-seri-terbaru-super-ngebut-anti-lelet-super-slim-super-mulus-acer-chromebook-516-ge-intel-core-i5-1240p-gen-12th-ram-8-256gb-layar-2k-backlight-super-slim-like-new-lengkap-grey-1730827630746502633?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop Seri Terbaru, Super Ngebut, Anti Lelet, Super Slim, Super Mulus  Acer Chromebook 516 GE, Intel Core i5-1240P, Gen 12Th, Ram 8/256Gb, #Layar 2K, #Backlight, Super Slim, Like New, Lengkap, Grey;5300000;50;1 rating • 0 ulasan;Terjual 1;Bursa laptop efek
1774661869-26;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/mrhanzo/lenovo-thinkpad-t470-i5-6300u-16gb-ram-ssd-1tb-laptop-bisnis-tangguh-garansi-1733937772074599603?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Lenovo Thinkpad T470 i5 6300U 16GB RAM SSD 1TB Laptop Bisnis Tangguh  Garansi - 8GB - 128GB;2650000;48;41 rating • 18 ulasan;Terjual 100+;MrHanzo
1774661876-27;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/archive-microlandcomp/lapptop-lenovo-t430-core-i5-320gb-ssd-128-4gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;LAPPTOP LENOVO T430 CORE I5 -320GB - ssd 128/4gb;1550000;49;87 rating • 54 ulasan;Terjual 100+;microlandcomputer surabaya
1774661882-28;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/wdcomputer/laptop-lenovo-thinkpad-x260-intel-core-i5-gen-6-promo-murah-hemat-1733118599459669186?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Laptop Lenovo Thinkpad X260 Intel Core I5 gen 6 Promo Murah Hemat! - Intel Core I5 Gen 6, 4 GB I NO SSD;1940000;49;121 rating • 77 ulasan;Terjual 250+;WD.COMPUTER
1774661888-29;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20samsung;https://www.tokopedia.com/brankaslaptop/lenovo-thinkpad-x240-x250-x260-x270-x280-second-original-dan-murah-1732010178572158321?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603280134328D3BBA7425E7C90DEZCO%26src%3Dsearch;Lenovo Thinkpad X240 X250 X260 X270 X280 | Second Original Dan Murah - X250 i5 Gen 5, RAM 8/ SSD 256;2485000;50;445 rating • 293 ulasan;Terjual 500+;Brankas Laptop
