web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774643587-1;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=LAPTOP%20XIAOMI%20redmibook;https://www.tokopedia.com/agresid/laptop-zyrex-l-book-n4020-8gb-128gb-w11pro-14-0-1731520505502270531-1734630542651851843?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi+redmibook%26search_id%3D2026032720323211B9842E0A271F1A1H0H%26src%3Dsearch;LAPTOP ZYREX L-BOOK N4020 8GB 128GB W11PRO 14.0 - Non Bundle, NON OFFICE;3899000;50;7 rating • 2 ulasan;Terjual 50+;AGRES ID
1774643592-2;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=LAPTOP%20XIAOMI%20redmibook;https://www.tokopedia.com/alienwareofficial/laptop-zyrex-l-book-intel-celeron-n4020-8gb-128gb-256gb-windows-11-14-0-hd-grey-1731465218596111635?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi+redmibook%26search_id%3D2026032720323211B9842E0A271F1A1H0H%26src%3Dsearch%26whid%3D1496513;"LAPTOP ZYREX L-BOOK INTEL CELERON N4020 8GB 128GB/256GB Windows 11 14.0"" HD GREY - RAM 8GB/128GB, LAPTOP";3899000;50;11 rating • 3 ulasan;Terjual 100+;AI Official Store
1774643598-3;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=LAPTOP%20XIAOMI%20redmibook;https://www.tokopedia.com/tablet-indonesia-shop/free-tablet-2-in-1-dengan-keyboard-mouse-casing-pelindung-dan-stylus-kurang-dari-1-juta-laptop-promo-table-cuci-gudang-s12-max-tablet-android-2025-tabletop-pc-edukasi-layar-11-6-inci-tablet-10-core-mtk6799-ips-kartu-ganda-4g-5g-lte-wifi-bluetooth-1732151345566876928?extParam=ivf%3Dtrue%26keyword%3Dlaptop+xiaomi+redmibook%26search_id%3D2026032720323211B9842E0A271F1A1H0H%26src%3Dsearch;【Free Tablet 2-in-1 dengan keyboard, mouse, casing pelindung, dan stylus】Kurang dari 1 juta laptop promo table cuci gudang  S12 MAX tablet android 2025 tabletop pc edukasi  (layar 11.6 inci) tablet 10-core MTK6799 IPS kartu ganda 4G/5G LTE WIFI  Bluetooth - Ungu, 128GB;1330000;32;5 rating • 5 ulasan;Terjual 19;tablet indonesia shop
1774643604-4;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=LAPTOP%20XIAOMI%20redmibook;https://www.tokopedia.com/axiooslimbook/laptop-axioo-hype-1-n4020-4gb-8gb-128gb-14-hd-windows-11-1734319035774829935?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi+redmibook%26search_id%3D2026032720323211B9842E0A271F1A1H0H%26src%3Dsearch;"LAPTOP AXIOO HYPE 1  | N4020 4GB / 8GB 128GB 14"" HD Windows 11 - 4GB / 128GB, NON BUNDLING";3299000;50;100 rating • 37 ulasan;Terjual 250+;Axioo Official Store ID
1774643610-5;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=LAPTOP%20XIAOMI%20redmibook;https://www.tokopedia.com/justin-shop/zyrex-l-book-intel-n4020-8gb-384ssd-w11-1732954216189626205?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi+redmibook%26search_id%3D2026032720323211B9842E0A271F1A1H0H%26src%3Dsearch;ZYREX L-BOOK INTEL N4020 8GB 384SSD W11 - 128GB;3835000;50;2 rating • 1 ulasan;Terjual 3;Justin Computer
1774643616-6;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=LAPTOP%20XIAOMI%20redmibook;https://www.tokopedia.com/collinsofficial/laptop-infinix-inbook-x2-2025-i5-1334u-16gb-512gb-14-ips-iris-xe-srgb-100-w11-1731126769086596928?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi+redmibook%26search_id%3D2026032720323211B9842E0A271F1A1H0H%26src%3Dsearch%26whid%3D6541860;"LAPTOP INFINIX INBOOK X2 2025 i5-1334U 16GB 512GB 14"" IPS iRIS XE sRGB 100% W11 - 16GB";7199000;50;57 rating • 51 ulasan;Terjual 250+;Collins Official
1774643622-7;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=LAPTOP%20XIAOMI%20redmibook;https://www.tokopedia.com/digitalzonetangcity/laptop-zyrex-lifebook-intel-n4020-8gb-128gb-win11-14-inch-hd-1732590664457487411?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi+redmibook%26search_id%3D2026032720323211B9842E0A271F1A1H0H%26src%3Dsearch;"Laptop ZYREX LIFEBOOK Intel N4020 8GB 128GB Win11 14""Inch HD - NON, 8/128GB";3399000;50;19 rating • 6 ulasan;Terjual 40+;Digitalzone Tangcity
1774643627-8;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=LAPTOP%20XIAOMI%20redmibook;https://www.tokopedia.com/xiaomi/redmi-pad-2-pro-12-1-2-5k-crystal-clear-display-massive-12000mah-typ-battery-official-store-1733116918224815641?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi+redmibook%26search_id%3D2026032720323211B9842E0A271F1A1H0H%26src%3Dsearch;"Redmi Pad 2 Pro | 12.1"" 2.5K crystal-clear display | Massive 12000mAh (typ) battery [Official Store] - Graphite Gray, Pad Only";4499000;50;223 rating • 63 ulasan;Terjual 750+;Xiaomi Indonesia
1774643633-9;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=LAPTOP%20XIAOMI%20redmibook;https://www.tokopedia.com/axiooslimbook/laptop-axioo-hype-10-n4020-8gb-256gb-windows-14-10-pro-1734335816325301615?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi+redmibook%26search_id%3D2026032720323211B9842E0A271F1A1H0H%26src%3Dsearch;"LAPTOP AXIOO HYPE 10 | N4020 8GB 256GB Windows 14"" 10 Pro - DOS / KOSONGAN, NON BUNDLING";4249000;49;504 rating • 207 ulasan;Terjual 1 rb+;Axioo Official Store ID
1774643639-10;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=LAPTOP%20XIAOMI%20redmibook;https://www.tokopedia.com/store-penjualan-leptop/asus-vivobook-flip-tp470ez-touchscreen-core-i7-gen-11-double-vga-intel-iris-xe-iris-xe-max-ram-16gb-ssd-1tb-laptop-multifungsi-1733931846537413633?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi+redmibook%26search_id%3D2026032720323211B9842E0A271F1A1H0H%26src%3Dsearch;Asus VivoBook Flip TP470EZ TouchScreen Core i7 Gen 11 Double VGA intel iRis Xe & iRis Xe Max Ram 16GB SSD 1TB Laptop Multifungsi;1500000;;;10 barang berhasil terjual;STORE PENJUALAN LEPTOP
