web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774652334-1;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=xiaomi%20laptop%20redmi%20book;https://www.tokopedia.com/yude-cell-official/mi-max-2-xiaomi-mimax-2-4-64gb-xiaomi-mi-max-2-4-64gb-second-original?extParam=ivf%3Dfalse%26keyword%3Dxiaomi+laptop+redmi+book%26search_id%3D20260327225817F9B902FC3289AF0AFADP%26src%3Dsearch;Mi max 2 Xiaomi Mimax 2 4/64gb Xiaomi Mi max 2 4/64gb second original;850000;49;16 rating • 9 ulasan;Terjual 27;Best Yude Store
1774652341-2;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=xiaomi%20laptop%20redmi%20book;https://www.tokopedia.com/javasolution/laptop-advan-tbook-1405-intel-n100-ram-16gb-512gb-windows-11-1731436036546266927?extParam=ivf%3Dfalse%26keyword%3Dxiaomi+laptop+redmi+book%26search_id%3D20260327225817F9B902FC3289AF0AFADP%26src%3Dsearch;Laptop Advan TBook 1405 Intel N100 Ram 16Gb 512Gb Windows 11 - 4Gb l 128Gb SSD;2500000;;;;Java solution laptop
1774652347-3;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=xiaomi%20laptop%20redmi%20book;https://www.tokopedia.com/sri-laptop-bdg/laptop-axiooo-mybook-14f-intel-celeron-n4020-6-256gb?extParam=ivf%3Dfalse%26keyword%3Dxiaomi+laptop+redmi+book%26search_id%3D20260327225817F9B902FC3289AF0AFADP%26src%3Dsearch;Laptop Axiooo Mybook 14F Intel Celeron N4020 6/256GB;2550000;;;;Sri Laptop BDG
1774652353-4;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=xiaomi%20laptop%20redmi%20book;https://www.tokopedia.com/gudanglaptop-2/laptop-hp-14s-em0033au-ryzen-3-7-ram-8gb-ssd-512gb-win11-layar-14-fhd-slim-likenew-murah-1730901391769503313?extParam=ivf%3Dfalse%26keyword%3Dxiaomi+laptop+redmi+book%26search_id%3D20260327225817F9B902FC3289AF0AFADP%26src%3Dsearch;"LAPTOP HP 14s-EM0033AU Ryzen 3-7 RAM 8GB/SSD 512GB WIN11 LAYAR 14""FHD SLIM LIKENEW MURAH";4000000;;;;PUSAT LAPTOP SOLO
1774652359-5;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=xiaomi%20laptop%20redmi%20book;https://www.tokopedia.com/jualandokcomputer/laptop-lenovo-x270-core-i7-gen6-ram-16-gb-ssd-512gb-12inc-win-11-x260-i3-gen-6-16gb-ssd-256gb-52f07?extParam=ivf%3Dfalse%26keyword%3Dxiaomi+laptop+redmi+book%26search_id%3D20260327225817F9B902FC3289AF0AFADP%26src%3Dsearch;Laptop Lenovo X270 Core i7 Gen6 - RAM 16 GB - SSD 512GB - 12inc Win 11 - x260-i3 Gen 6, 16GB -SSD 256GB;3000000;50;19 rating • 7 ulasan;Terjual 40+;JUALANDOK Computer
1774652365-6;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=xiaomi%20laptop%20redmi%20book;https://www.tokopedia.com/pahlawanlaptopsemarang/laptop-hp-15-cw1002au-amd-ryzen-3-ram-16gb-ssd-256gb-1731490395495237480?extParam=ivf%3Dfalse%26keyword%3Dxiaomi+laptop+redmi+book%26search_id%3D20260327225817F9B902FC3289AF0AFADP%26src%3Dsearch;LAPTOP HP 15-cw1002AU AMD Ryzen 3 RAM 16GB SSD 256GB;4500000;;;;PahlawanLaptopSemarang
1774652371-7;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=xiaomi%20laptop%20redmi%20book;https://www.tokopedia.com/junstore-laptop-jakarta/laptop-hp-14-sekolah-kerja-intel-celeron-4gb-1tb-hdd-dvdrw-win10-office-14-0-intel-hd-bundling-1734138360724424542?extParam=ivf%3Dfalse%26keyword%3Dxiaomi+laptop+redmi+book%26search_id%3D20260327225817F9B902FC3289AF0AFADP%26src%3Dsearch;LAPTOP HP 14 SEKOLAH KERJA Intel Celeron 4GB 1TB HDD DVDRW Win10+Office 14.0” INTEL HD BUNDLING - RAM 4GB HDD 500GB;1660200;48;22 rating • 11 ulasan;Terjual 50+;JunStore Laptop Jakarta
1774652377-8;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=xiaomi%20laptop%20redmi%20book;https://www.tokopedia.com/us-electronic/laptop-hp-elitebook-745-g6-ryzen-5-pro-touchscreen-32gb-1tb-ssd-win10-mulus-1733402117462459521?extParam=ivf%3Dfalse%26keyword%3Dxiaomi+laptop+redmi+book%26search_id%3D20260327225817F9B902FC3289AF0AFADP%26src%3Dsearch;Laptop Hp Elitebook 745 G6 RYZEN 5 PRO TOUCHSCREEN  32GB/1TB SSD-WIN10 -MULUS - 8GB/256 SSD, 745 G5 RYZEN 5;3250000;47;301 rating • 136 ulasan;Terjual 500+;US ELECTRONIC
1774652383-9;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=xiaomi%20laptop%20redmi%20book;https://www.tokopedia.com/javasolution/laptop-multimedia-asus-vivobook-x415dap-amd-ryzen-3-3250u-radeon-ram-16gb-ssd-512gb-windows-10-1732785566999413895?extParam=ivf%3Dfalse%26keyword%3Dxiaomi+laptop+redmi+book%26search_id%3D20260327225817F9B902FC3289AF0AFADP%26src%3Dsearch;Laptop multimedia Asus VivoBook X415DAP AMD Ryzen 3 3250U Radeon Ram 16Gb Ssd 512Gb WINDOWS 10 - RAM 4GB SSD 128GB;2900000;;;;Java solution laptop
1774652388-10;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=xiaomi%20laptop%20redmi%20book;https://www.tokopedia.com/verrycomputer/laptop-kuu-a8s-pro-celeron-j4125-ram-8gb-ssd-256gb-ips-fhd?extParam=ivf%3Dfalse%26keyword%3Dxiaomi+laptop+redmi+book%26search_id%3D20260327225817F9B902FC3289AF0AFADP%26src%3Dsearch;Laptop KUU A8s Pro Celeron - J4125 Ram 8GB SSD 256GB IPS FHD;2500000;;;;V-COMPUTER
