web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774591472-1","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/agrescilegon/advan-tbook-intel-n100-ram-8gb-ssd-128gb-14-0-inch-hd-windows-11-home-garansi-resmi-advan-1-tahun-1733377960589559428?extParam=ivf%3Dtrue%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch","Advan Tbook Intel N100 RAM 8GB SSD 128GB 14.0'Inch HD Windows 11 Home Garansi Resmi ADVAN 1 Tahun - Tanpa Paket, 4GB/128GB","Rp3.799.000","","","",""
"1774591477-2","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/best-buyit/advan-soulmate-laptop-14-intel-n4020-4gb-384gb-14-hd-w11-garansi-resmi-1734817761748027256?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch","","","","","",""
"1774591480-3","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/pandacom/laptop-advan-soulmate-plus-1405-l24d-r53s1-amd-ryzen-5-3500u-8gb-ddr4-256gb-ssd-amd-radeon-rx-vega-8-14inch-camera-wi-fi-5-bluetooth-5-0-win11-resmi?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch","LAPTOP ADVAN SOULMATE PLUS 1405-L24D-R53S1 AMD RYZEN 5-3500U 8GB DDR4 256GB SSD AMD RADEON RX VEGA 8 14INCH CAMERA WI-FI 5 BLUETOOTH 5.0 WIN11 RESMI","Rp4.305.100","5.0","2 rating • 1 ulasan","Terjual 3","Pandacom_NEW"
"1774591484-4","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/fijanstore/advan-netbook-atau-lebih-tepatnya-laptop-entry-level-notebook-1733626679510205884?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch","Advan netbook (atau lebih tepatnya laptop entry-level/notebook)","Rp2.000.000","","","","fijanstore"
"1774591488-5","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/jedata/advan-t-book-transformers-intel-core-n100-4gb-128gb-grey-1730769788500805198?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch","Advan T-Book Transformers Intel Core N100 4GB/128GB-Grey","Rp3.394.000","","","","JET COMPUTER"
"1774591492-6","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/greencomputerbalikpapan/laptop-advan-soulmate-intel-n4020-ram-4gb-mmc-128-gb-ssd-256gb-win11?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch","Laptop Advan Soulmate Intel N4020 ram 4GB MMC 128 GB + ssd 256GB WIN11","Rp3.090.000","","","","greencomputerbpn"
"1774591496-7","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/gigacom-/advan-soulmate-t-1405-l24i-nsns1-upgrade-verison-n4020-4gb-128gb-emmc-5-1-w11-hd-1y-black-1729906883226141776?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch","ADVAN SOULMATE T 1405 L24I NSNS1 UPGRADE VERISON - N4020 4GB 128GB eMMC 5.1 W11 HD 1Y BLACK - 4/128GB","Rp2.339.000","","","1 barang berhasil terjual","GIGACOM TANGCITY"
"1774591501-8","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/sevenshopptk/advan-laptop-soulmate-celeron-n4020-4gb-128gb-garansi-resmi-hitam-4gb-128gb-24240?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch","Advan Laptop Soulmate Celeron N4020 4GB/128GB Garansi Resmi - Hitam, 4GB/128GB","Rp2.499.000","5.0","1 rating • 1 ulasan","Terjual 4","sevenshopptk"
"1774591505-9","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/langgan-comm/laptop-advan-workpro-14-ips-2k-intel-core-i5-ram-8gb-ssd-256gb-gold-7a6b9?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch","","","","","",""
"1774591511-10","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/mdpsuperstore/laptop-advan-workmate-amd-r5-3500u-1x8-gb-ddr4-256-gb-ssd-14-fhd-ips-win-11-tas-1732617996630787515?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch","LAPTOP ADVAN WORKMATE : AMD R5-3500U/ 1X8 GB DDR4/ 256 GB SSD/ 14""FHD+ IPS/ WIN 11 (TAS) - BLUE","Rp5.699.000","","","","mdpsuperstore"
