web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774592617-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/laptop-second/netbook-advan?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch","netbook advan","Rp975.000","4.0","1 rating • 1 ulasan","Terjual 1","kurniarahmat"
"1774592620-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/adrianlaptop-318/advan-soulmate-1405-celeron-n4020-ram-4gb-sd-128gb-14-inci-murah-aja-1730922065487496619?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch","Advan soulmate 1405 Celeron n4020 Ram 4gb Sd 128gb 14 inci Murah aja","Rp2.000.000","","","","Adrianlaptop"
"1774592624-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/kajoedstore17/laptop-advan-soulmate-1405-intel-celeron-n4020-ram-4gb-ssd-128gb-intel-uhd-graphic-body-design-super-slim-1730067723814209273?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch","Laptop Advan Soulmate 1405 intel celeron N4020 Ram 4Gb/SSD 128Gb Intel UHD Graphic Body design Super slim","Rp1.950.000","","","","kajoedstore17"
"1774592627-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/technopart-laptop/laptop-advan-work-pro-lite-i5-ram-8gb-ssd-256-vga-intel-hd-1732081053346071557?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch","","","","","",""
"1774592631-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/bedak52/laptop-advan-soulmate-1405-intel-celeron-n4020-ram-4gb-ssd-128gb-scu18476-1730903167925847552?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch","Laptop Advan Soulmate 1405 Intel Celeron N4020 Ram 4Gb Ssd 128Gb SCU18476,","Rp1.837.500","","","","Bedak52"
"1774592635-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/syifarezza/notebook-advan-chromebook-116-celeron-n4020-ram4-32gb-os-chrome?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch","Notebook Advan Chromebook 116, Celeron N4020, Ram4/32Gb, OS Chrome","Rp1.100.000","","","","SR.Laptop.Store"
"1774592639-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/hexa-storebandung/laptop-2nd-advan-soulmate-celeron-n4020-ram-4gb-ssd-128gb-hd-1733754024070841831?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch","Laptop 2nd Advan Soulmate Celeron N4020 RAM 4GB SSD 128GB HD","Rp2.099.900","","","","Hexa Store Bandung"
"1774592643-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/bedak52/laptop-advan-soulmate-1405-intel-celeron-n4020-ram-4gb-ssd-128gb-scu18476-1730877823921784320?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch","Laptop Advan Soulmate 1405 Intel Celeron N4020 Ram 4Gb Ssd 128Gb SCU18476","Rp1.837.500","","","","Bedak52"
"1774592647-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/javasolution/advan-vanbook-intel-atom-n455-ram-1gb-hdd-250gb-scu12541?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch","Advan Vanbook Intel Atom N455 Ram 1Gb Hdd 250Gb SCU12541","Rp621.000","","","","Java solution laptop"
"1774592650-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan","https://www.tokopedia.com/partisiid/paket-bundling-advan-soulmate-1405-celeron-4020-4-128gb-dan-libera-chromebook-c120-black-1730999213032245237?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch","PAKET BUNDLING!!!! ADVAN SOULMATE 1405, CELERON 4020, 4/128GB DAN LIBERA CHROMEBOOK  C120, Black","Rp2.350.000","","","","ataracom"
