web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774593461-1","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/universestore/apple-macbook-pro-m4-pro-14-inch-garansi-resmi-apple-indonesia-ibox-1730795461351998879?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D20260327063657EDDEA82AD2755B3A42IT%26src%3Dsearch","Apple Macbook Pro M4 Pro 14 inch - Garansi Resmi Apple Indonesia iBox - 24/1TB, Space Black","Rp39.298.000","5.0","47 rating • 27 ulasan","Terjual 100+","Universe Gadget Store_NEW"
"1774593465-2","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/techstory/live-apple-macbook-air-m2-chip-2022-13-256gb-512gb-midnight-silver-garansi-orginal-1732920432573122430?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D20260327063657EDDEA82AD2755B3A42IT%26src%3Dsearch","[Live] Apple MacBook Air M2 Chip 2022 13"" 256GB / 512GB Midnight Silver Garansi Orginal - 8/256 GB INTER, SPACE GRAY","Rp12.088.000","5.0","1 rating • 1 ulasan","Terjual 2","TechStory"
"1774593469-3","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/ptberkatjaya/apple-13-inch-macbook-air-apple-m2-chip-with-8-core-cpu-mly13id-a?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D20260327063657EDDEA82AD2755B3A42IT%26src%3Dsearch","Apple 13-inch MacBook Air: Apple M2 chip with 8-core CPU MLY13ID/A","Rp19.075.000","","","","J-Bros Computer & Smartphone"
"1774593472-4","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/hapeworldstore/apple-macbook-air-13-6-inci-m2-2022-8c-cpu-8c-gpu-256gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D20260327063657EDDEA82AD2755B3A42IT%26src%3Dsearch","Apple MacBook Air (13.6 inci, M2, 2022) 8C CPU, 8C GPU, 256GB","Rp20.999.000","","","","Hapeworld-Newgen"
"1774593477-5","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/archive-ifixstorebali-1730335578/brand-new-apple-macbook-air-m1-256gb-warna-space-grey-1730826023249479616?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D20260327063657EDDEA82AD2755B3A42IT%26src%3Dsearch","BRAND NEW APPLE MACBOOK AIR M1 256GB, WARNA SPACE GREY","Rp12.190.000","","","",""
"1774593483-6","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/softcom-official-store/macbook-air-m3-13-inch-8gb-16gb-24gb-256gb-512gb-ssd-macos-starlight-24gb-512gb-d7612?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D20260327063657EDDEA82AD2755B3A42IT%26src%3Dsearch","MacBook Air M3 13 Inch /8GB-16GB-24GB/256GB-512GB SSD/MacOS - Starlight, 24GB / 512GB","Rp21.910.000","5.0","6 rating • 3 ulasan","Terjual 13","SOFTCOM Official Store"
"1774593488-7","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/jullindo-jis/macbook-air-m4-chip-13-10-core-cpu-8-core-gpu-ram-16gb-ssd-256gb-apple-intelligence-garansi-1-tahun-1731634918692652322?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D20260327063657EDDEA82AD2755B3A42IT%26src%3Dsearch","Macbook Air M4 Chip 13"" 10-Core CPU 8-Core GPU Ram 16GB SSD 256GB Apple Intelligence - Garansi 1 Tahun - SKY BLUE","Rp15.800.000","4.9","25 rating • 16 ulasan","Terjual 40+","Jullindo JIS"
"1774593493-8","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/winselindo/apple-macbook-air-m4-2025-13-15-inch-256gb-512gb-ram-16gb-24gb-16-256gb-16-512gb-24-512gb-1730975977219655415?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D20260327063657EDDEA82AD2755B3A42IT%26src%3Dsearch","Apple MacBook Air M4 2025 13 15 Inch 256GB 512GB RAM 16GB 24GB 16/256GB 16/512GB 24/512GB - 13"" 16/256GB, Silver","Rp16.999.000","","19 rating • 14 ulasan","",""
"1774593497-9","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/el-risar25/macbook-air-13-2024-m3-ex-ibox-ram-16gb-ssd-512gb-garansi-november-2026-01-1733746998871426393?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D20260327063657EDDEA82AD2755B3A42IT%26src%3Dsearch","MacBook Air 13 2024 M3 Ex iBox Ram 16GB SSD 512GB GARANSI NOVEMBER 2026 01 - 16GB 256GB","Rp11.950.000","5.0","1 rating • 1 ulasan","Terjual 2","Jakarta laptop center"
"1774593500-10","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/rumatana/apple-macbook-air-m4-2025-13-inch-new-bnib-segel-gpu-8core-10core-resmi-ibox-1732710335970313895?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D20260327063657EDDEA82AD2755B3A42IT%26src%3Dsearch","APPLE MacBook Air M4 2025 13-Inch, New, BNIB, Segel, GPU 8Core/10Core Resmi IBOX - 16/256","Rp15.399.000","5.0","216 rating • 44 ulasan","Terjual 1 rb+","Rumatana"
