web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774594486-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/el-risar25/macbook-pro-2020-touchbar-core-i5-ram-8gb-ssd-512gb-256gb-mxk32-bkn-m1-1734851937910621529?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D2026032706535237BC2F75BF1BCF3326EN%26src%3Dsearch","Macbook Pro 2020 Touchbar Core i5 Ram 8GB SSD 512GB 256GB mxk32 bkn M1 - CTO i7 8GB 256GB","Rp7.300.000","5.0","2 rating • 1 ulasan","Terjual 30+","Jakarta laptop center"
"1774594490-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/electrocom/original-macbook-air-2020-retina-quad-core-i7-16gb-256gb-i5-8gb-256gb-i3-8gb-128gb-13inch-1733628049762387202?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D2026032706535237BC2F75BF1BCF3326EN%26src%3Dsearch","[ORIGINAL] MacBook Air 2020 Retina Quad Core i7 16GB 256GB - i5 8GB 256GB - i3 8GB 128GB 13Inch - Air 2020 i3 8/128","Rp4.900.000","5.0","1 rating • 1 ulasan","Terjual 6","Electro Com"
"1774594494-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/ifiveid/macbook-pro-retina-15-inch-i7-dual-vga-no-box-256-gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D2026032706535237BC2F75BF1BCF3326EN%26src%3Dsearch","Macbook Pro Retina 15 inch i7 Dual VGA - No Box, 256 gb","Rp6.600.000","5.0","4 rating • 4 ulasan","Terjual 5","iFive ID"
"1774594497-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/ifiveid/macbook-pro-retina-intel-i7-ram-16-gb-256-gb-no-box?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D2026032706535237BC2F75BF1BCF3326EN%26src%3Dsearch","Macbook Pro Retina Intel i7 RAM 16 GB - 256 gb, No Box","Rp7.000.000","5.0","1 rating • 0 ulasan","Terjual 1","iFive ID"
"1774594501-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/damme1981/macbook-m4-pro-14-inch-1-tera-1733436970237199563?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D2026032706535237BC2F75BF1BCF3326EN%26src%3Dsearch","Macbook m4 pro 14 inch 1 tera","Rp15.000.000","5.0","1 rating • 1 ulasan","Terjual 3","damme1981"
"1774594504-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/xpert-macbook/macbook-pro-2018-15inch-ram-16-gb-ssd-500-gb-core-i7-1730868450930689667?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D2026032706535237BC2F75BF1BCF3326EN%26src%3Dsearch","Macbook pro 2018 15inch ram 16 gb ssd 500 gb core i7 - 16/256 i7","Rp6.860.000","5.0","4 rating • 1 ulasan","Terjual 4","XPERT MACBOOK"
"1774594508-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/gms-pro/macbook-pro-2020-13-touchbar-i7-ram-16gb-ssd-512-1733094312425522873?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D2026032706535237BC2F75BF1BCF3326EN%26src%3Dsearch","Macbook Pro 2020 13 Touchbar i7 RAM 16Gb SSD 512 - Core i5 16/512, Grade A","Rp7.850.000","5.0","23 rating • 15 ulasan","Terjual 50+","GMS Pro"
"1774594512-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/mrhanzo/macbook-air-13inc-2020-m1-16gb-256gb-1731073500857272240?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D2026032706535237BC2F75BF1BCF3326EN%26src%3Dsearch","macbook air 13inc 2020 M1 | 16Gb | 256gb - 8GB - 128GB","Rp8.500.000","5.0","2 rating • 1 ulasan","Terjual 15","MrHanzo"
"1774594515-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/mac-house/macbook-air-13-m1-2020-chip-m1-ram-8gb-16gb-ssd-128-256-512gb-1733648293614290860?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D2026032706535237BC2F75BF1BCF3326EN%26src%3Dsearch","MacBook Air 13” M1 2020 Chip M1 | Ram 8GB, 16GB | SSD 128/256/512GB - Ram 8/128GB","Rp7.850.000","","","6 barang berhasil terjual","Machouse Serpong"
"1774594519-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20apple","https://www.tokopedia.com/marketsg/macbook-air-m2-midnight-fullset-mulus?extParam=ivf%3Dfalse%26keyword%3Dlaptop+apple%26search_id%3D2026032706535237BC2F75BF1BCF3326EN%26src%3Dsearch","Macbook air M2 midnight fullset mulus","Rp12.300.000","5.0","6 rating • 4 ulasan","Terjual 9","Mac Store Indonesia_NEW"
