web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774595789-1","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/twincom-official/asus-vivobook-14-e1404ga-intel-core-i3-n305-8gb-512-gb-win11-ohs-2021-m365-laptop-kerja-dan-kuliah-terbaik-termurah-bergaransi-1730939792812639831?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270715335B8ADD2A5D98B10D51FT%26src%3Dsearch","","","","","",""
"1774595793-2","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/kanglaptop/asus-vivobook-14-a1407qa-snapdragon-x-x1-26100-16gb-512gb-w11-ohs-14-wuxga-1733121617423402825?extParam=ivf%3Dtrue%26keyword%3Dlaptop+asus%26search_id%3D202603270715335B8ADD2A5D98B10D51FT%26src%3Dsearch","ASUS VIVOBOOK 14 A1407QA SNAPDRAGON X X1 26100 16GB 512GB W11+OHS 14""WUXGA - BLUE, UNIT ONLY","Rp9.229.000","4.8","42 rating • 12 ulasan","Terjual 70+","KangLaptop_NEW"
"1774595797-3","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/alienwarestore/asus-gaming-v16-v3607vu-rtx4050-core-i7-240h-16gb-512gb-w11-ohs-16-144hz-1731664135886701912?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270715335B8ADD2A5D98B10D51FT%26src%3Dsearch%26whid%3D4141453","ASUS GAMING V16 V3607VU RTX4050 CORE I7 240H 16GB 512GB w11+ohs 16"" 144hz - UNIT","Rp15.879.000","4.8","219 rating • 102 ulasan","Terjual 250+","ALIENWARE GAMING STORE"
"1774595803-4","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/agresidbogor/asus-vivobook-go-14-e410ka-intel-celeron-n4500-ram-8gb-ssd-512gb-14-0-full-hd-backlit-windows-11-home-1730314255876064687?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270715335B8ADD2A5D98B10D51FT%26src%3Dsearch","Asus Vivobook GO 14 E410KA Intel Celeron N4500 Ram 8gb SSD 512GB 14.0 Full HD Backlit Windows 11 + home - 8GB | 256GB, LAPTOP","Rp5.815.000","5.0","15 rating • 0 ulasan","Terjual 30+","AGRES ID BOGOR"
"1774595807-5","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/geminielektronik/asus-vivobook-e1504ga-intel-i3-n305-ram-8gb-ssd-128gb-15-6-inch-fhd-1734287764541310063?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270715335B8ADD2A5D98B10D51FT%26src%3Dsearch","Asus Vivobook E1504GA Intel i3-n305 | RAM 8GB SSD 128GB | 15,6 inch FHD - Mixed Black, RAM 8GB SSD 128GB","Rp4.350.000","","","2 barang berhasil terjual","GEMINI ELEKTRONIK_NEW"
"1774595811-6","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/milanbarok39/promo-laptop-asus-x415ma-ek488w-win-11-ori-ssd-256gb-layar-full-hd-tas?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270715335B8ADD2A5D98B10D51FT%26src%3Dsearch","PROMO LAPTOP ASUS X415MA-EK488W Win 11 ori SSD 256GB layar full HD+TAS","Rp3.764.700","5.0","1 rating • 0 ulasan","Terjual 2","Cahaya Negeri Official"
"1774595815-7","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/asus-authorized-jakarta/asus-vivobook-s14-s3407ca-ultra-7-255h-16gb-1tb-w11-ohs-m365b-14-wuxga-vips-1733741382496323268?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270715335B8ADD2A5D98B10D51FT%26src%3Dsearch","ASUS Vivobook S14 S3407CA ULTRA 7 255H 16GB 1TB W11+OHS+M365B 14"" WUXGA VIPS - Standard","Rp14.189.000","","","100+ barang berhasil terjual","ASUS Authorized Jakarta"
"1774595819-8","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/vinjaya-1/terlaris-laptop-asus-x453-14-ram-8gb-hdd-1000gb-win-10-putih-2gb-500gb-free-tas-mouse-2-500gb-94fb9?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270715335B8ADD2A5D98B10D51FT%26src%3Dsearch","TERLARIS !! LAPTOP ASUS X453 // 14'' // RAM 8GB - HDD 1000GB // WIN 10 - Putih, 2GB/500GB FREE TAS//MOUSE - 2/500GB","Rp1.450.000","4.7","3 rating • 2 ulasan","Terjual 3","VIN JAYA ELECTRONIC"
"1774595823-9","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/ten-com/asus-vivobook-14-core-5-120u-16gb-512gb-ssd-win11-14-0-inch-fhd-ips-1734137740459214087?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270715335B8ADD2A5D98B10D51FT%26src%3Dsearch","ASUS Vivobook 14 Core 5 120U 16GB 512GB SSD Win11 14.0 Inch FHD IPS - Laptop , 8GB | 256GB","Rp7.699.000","3.0","2 rating • 2 ulasan","Terjual 250+","Ten Com"
"1774595826-10","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/laptoponeitcsby/asus-vivobook-go-14-e1404ga-i3-n305-8core-8gb-512gb-w11-ohs-14-0fhd-non-paket-e44bc?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270715335B8ADD2A5D98B10D51FT%26src%3Dsearch","ASUS VIVOBOOK GO 14 E1404GA I3 N305 8CORE 8GB 512GB W11+OHS 14.0FHD - Non Paket","Rp7.399.000","5.0","46 rating • 14 ulasan","Terjual 100+","Laptop ONE ITC SBY"
