web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774596854-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/king-laptop9/laptop-asus-x455l?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270733448D3BBA7425E7C926BYED%26src%3Dsearch","laptop asus x455l","Rp2.355.000","","","","King Laptop9"
"1774596857-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/arjun-computer/asus-second-murah-warna-pink-e410mao-celeron-n4020-4gb-256gb-ssd-14inch?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270733448D3BBA7425E7C926BYED%26src%3Dsearch","ASUS SECOND MURAH WARNA PINK E410MAO CELERON N4020/4GB/256GB SSD 14INCH","Rp2.555.000","","","","Arjun Computer"
"1774596861-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/bandar-electronics/termurah-laptop-asus-14-win-10-intel-dual-core-amd-ram-4gb-1tb-2gb-500gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270733448D3BBA7425E7C926BYED%26src%3Dsearch","TERMURAH! Laptop Asus 14 win-10 intel dual core/AMD/RAM 4GB/1TB - 2GB/500GB","Rp1.300.000","4.5","11 rating • 4 ulasan","Terjual 23","Gudang Laptops"
"1774596865-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/ilyascomp/laptop-murah-asus-vivobook-e14-e402ya-amd-e2-7015apu-ram4gb-hd1tb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270733448D3BBA7425E7C926BYED%26src%3Dsearch","LAPTOP MURAH ASUS VIVOBOOK E14-E402YA-AMD E2-7015APU-RAM4GB-HD1TB","Rp1.900.000","5.0","1 rating • 1 ulasan","Terjual 2","ilyas computer"
"1774596868-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/kampungcamera/asus-x441ma-intel-celeron-n4000-ram-4gb-hdd-1tb-win-10-4gb-hdd-500gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270733448D3BBA7425E7C926BYED%26src%3Dsearch","ASUS X441MA INTEL CELERON N4000 / RAM 4GB / HDD 1TB / WIN 10 - 4GB, HDD 500GB","Rp1.899.000","5.0","26 rating • 14 ulasan","Terjual 50+","Cosmo Electro"
"1774596872-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/hokky-4/laptop-asus-core-i3-ram-8gb-ssd-256gb-windows-10-free-tas-mouse-hdd-4gb-500gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270733448D3BBA7425E7C926BYED%26src%3Dsearch","Laptop Asus Core i3/ RAM 8gb/SSD 256gb/ Windows 10/ Free Tas & Mouse - HDD 4gb/500gb","Rp1.880.000","","","1 barang berhasil terjual","hokky88gadget"
"1774596875-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/terjangkaushop/laptop-asus-sekond-normal-lengkap-bisa-kirim-se-indonesia-1732070787934226313?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270733448D3BBA7425E7C926BYED%26src%3Dsearch","laptop Asus sekond normal lengkap bisa kirim se Indonesia","Rp750.000","","","","terjangkaushop_NEW"
"1774596879-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/hokky-4/laptop-asus-intel-celeron-14-inch-ram-4gb-hdd-500gb-free-mouse-4gb-500gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270733448D3BBA7425E7C926BYED%26src%3Dsearch","Laptop Asus Intel Celeron/ 14 inch /Ram 4gb/ Hdd 500gb/FREE MOUSE - 4gb/500gb","Rp1.590.000","5.0","2 rating • 1 ulasan","Terjual 3","hokky88gadget"
"1774596883-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/sadewacomp1/promo-ramadhan-asus-vivobook-a400ma-intel-n4020-ram-8gb-ssd-128gb-fhd-backlit-mulus-no-minus-1730885511036437847?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270733448D3BBA7425E7C926BYED%26src%3Dsearch","PROMO RAMADHAN!! ASUS VIVOBOOK A400MA INTEL N4020 RAM 8GB SSD 128GB FHD BACKLIT MULUS NO MINUS","Rp2.800.000","","","","iComp Store"
"1774596887-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20asus","https://www.tokopedia.com/tonnyrezza/notebook-asus-x202e-model-slim-touchscreen-intel-core-i3-ram4gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202603270733448D3BBA7425E7C926BYED%26src%3Dsearch","Notebook Asus X202E, Model Slim, Touchscreen, Intel Core i3 Ram4Gb","Rp1.750.000","","","","tokolaku2626"
