web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774605153-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/start-comp/lenovo-thinkpad-x390-core-i5-gen-8-ram-8gb-ssd-256gb-layar-13-3-inch-keyboard-backlight-original-windows-10-pro-64-bit-laptop-lenovo-x390-layar-13-inci-garansi-30-hari-1731902605020398610?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Lenovo Thinkpad X390 Core i5 Gen 8 Ram 8GB SSD 256GB Layar 13,3 inch Keyboard Backlight Original Windows 10 Pro 64 Bit Laptop Lenovo X390 Layar 13 Inci Garansi 30 Hari - X390 i7-8 NO TC, 16GB/512GB","Rp4.350.000","5.0","25 rating • 11 ulasan","Terjual 60+","Start Compp"
"1774605156-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/wdlaptop-241/promo-laptop-grade-a-fujitsu-lifebook-u937-core-i5-gen-7-ram-12gb-ssd-512gb-nvme-laptop-ringan-dan-second-like-new-bonus-tas-mouse-wireless-1734470315365009406?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","PROMO LAPTOP GRADE A | Fujitsu Lifebook U937 Core i5 Gen 7 Ram 12gb Ssd 512gb NVME LAPTOP RINGAN DAN SECOND LIKE NEW | Bonus Tas & Mouse Wireless - U937 BLACK I I5 GEN 7, 4 GB I NO SSD","Rp2.240.000","5.0","3 rating • 2 ulasan","Terjual 19","WDLAPTOP."
"1774605160-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/zigzag88/laptop-msi-core-i7-gen-8-ram-32gb-ssd-512gb-nvidia-gtx-1070-siap-pakai-1730842659700442376?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Laptop MSI Core i7 GEN 8 RAM 32GB SSD 512GB NVIDIA GTX 1070 - Siap pakai","Rp7.250.000","3.5","6 rating • 4 ulasan","Terjual 22","Zigzag PC"
"1774605164-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/mrhanzo/lenovo-thinkpad-x250-core-i5-gen-5-yu-4-gb-hdd-320gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","lenovo thinkpad x250 core i5 gen 5.yu - 4 gb, HDD 320GB","Rp1.750.000","4.8","159 rating • 99 ulasan","Terjual 250+","MrHanzo"
"1774605167-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/us-electronic/laptop-hp-elitebook-840-g8-core-i5-11th-ram-32gb-ssd-1tb-14-1729888907439015041-1734643555729507457?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","LAPTOP HP EliteBook 840 G8 Core i5 11TH RAM 32GB / SSD 1TB 14"" - 8gb/256 ssd, 840 g6 I5 8TH","Rp3.350.000","4.9","148 rating • 71 ulasan","Terjual 250+","US ELECTRONIC"
"1774605171-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/dian-komputer-pusat/laptop-hp-probook-430-g8-core-i5-gen-11-i5-1135g7-ram-8gb-128gb-minus-baca-deskripsi-laptop1-1731593280031720615-1734597315222733991?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Laptop HP EliteBook 830 G8 Core i5-1145G7 Gen 11 RAM 16GB 8GB SSD 512GB 256GB Siap Pakai - Non Bundle, RAM 8GB SSD 256GB","Rp4.050.000","5.0","58 rating • 20 ulasan","Terjual 100+","Dian Komputer Pusat"
"1774605175-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/jajananlaptop/thinkpad-t14-gen-2-ryzen-intel-thinkpad-t14-gen-1-intel-ryzen-thinkpad-t14-1730933412091758487?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","ThinkPad T14 Gen 2 Ryzen Intel / Thinkpad T14 Gen 1 Intel Ryzen / thinkpad T14 - G1 / i5-10th, 16GB / 256GB","Rp4.100.000","5.0","89 rating • 60 ulasan","Terjual 250+","Jajanan Laptop"
"1774605178-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/jualandokcomputer/laptop-lenovo-thinkpad-x1-yoga-6th-vpro-core-i5-gen-11-ram-8gb-ssd-1tb-14-inch-full-hd-include-pen-stylus-touchscreen-1733536387453650909?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Laptop Lenovo ThinkPad X1 Yoga 6th vPRO Core i5 Gen 11 - RAM 8GB - SSD 1TB - 14 inch - Full HD - Include Pen Stylus - TouchScreen - Yoga4th i5-8th, 16GB -SSD 256GB","Rp4.749.000","5.0","59 rating • 35 ulasan","Terjual 100+","JUALANDOK Computer"
"1774605182-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/oneklikcomputer/laptop-hp-14s-dk-ram-8-ssd-256?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","LAPTOP HP 14S-DK RAM 8GB SSD 256GB","Rp2.450.000","4.9","8 rating • 2 ulasan","Terjual 24","One Klik Computer"
"1774605186-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/oceanla/lenovo-thinkpad-t480-intel-core-i5-i7-gen-8-ram-8gb-ssd-256gb-mulus-t480-i5-gen-8-ram-8gb-ssd256?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Lenovo Thinkpad T480 Intel Core i5 | i7 Gen 8 RAM 8GB SSD 256GB Mulus - T480 i5 Gen 8, RAM 8GB SSD256","Rp3.200.000","4.9","1322 rating • 809 ulasan","Terjual 2 rb+","Ocean Laptopp"
