web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774605890-1","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/globalpersadasys/dell-laptop-xps-15-9530-i9-13900h-32gb-1tb-rtx4060-8gb-w11-pro-touch?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","DELL LAPTOP XPS 15 9530 i9-13900H 32GB 1TB RTX4060 8GB W11 PRO TOUCH","Rp54.999.000","","","1 barang berhasil terjual","Global Persada System"
"1774605894-2","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/starjayaelectronic/laptop-dell-7490-core-i7-gen8-16gb-512gb-ssd-free-tas-mouse-16gb-256gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","LAPTOP Dell 7490 Core i7 Gen8 16GB/512GB SSD FREE TAS/MOUSE - 16GB/256GB","Rp5.000.000","5.0","3 rating • 0 ulasan","Terjual 8","STAR JAYA ELECTRONIC"
"1774605897-3","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/intechnusasolusi/dell-vostro-3510-i3-1115g7-4gb-1tb-sata-win10hsl-ohs-19-1yr?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","Dell Vostro 3510 i3-1115G7 4GB 1TB SATA WIN10HSL OHS 19 1YR","Rp5.549.000","","","","Intech Nusa Solusi"
"1774605901-4","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/storelaptops/dell-latitude-7400-core-i7-8th-touchscreen-ram-32gb-1tb-ssd-8gb-256-ssd-8gb-256gb-ssd-c4340?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","DELL LATITUDE 7400 CORE i7 8TH TOUCHSCREEN RAM 32GB/ 1TB SSD - 8gb/256 ssd - 8gb/256gb ssd","Rp4.000.000","","","2 barang berhasil terjual","STORE LAPTOPS"
"1774605905-5","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/marvinelectronic/laptop-dell-latitude-5280-core-i7-gen-7-ram-16gb-256ssd-1731295717173987040?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","Laptop Dell Latitude 5280 CORE i7 GEN 7 RAM 16GB/256SSD - 5280 i5 GEN 7, 8GB/128SSD","Rp2.400.000","1.0","1 rating • 1 ulasan","Terjual 2","Marvin electronic"
"1774605908-6","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/orka/dell-5577-gaming-i5-7300-8gb-1tb-gtx1050-4gb-mantap?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","Dell 5577 Gaming # i5-7300 8gb 1tb GTX1050 4gb MANTAP !!","Rp11.499.000","5.0","1 rating • 0 ulasan","Terjual 2","OrKa Com"
"1774605912-7","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/vinjaya-1/dell-latitude-7410-intel-core-i7-10th-gen-ram-16gb-ssd-1-tb-laptop-super-slim-14-inch-1731021306813449612?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","Dell Latitude 7410 Intel Core i7 10th Gen Ram 16gb Ssd 1 TB Laptop Super Slim 14' INCH - 7410 i5 10TH TS, 16/256GB","Rp3.910.500","","","3 barang berhasil terjual","VIN JAYA ELECTRONIC"
"1774605915-8","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/dell-technologies/laptop-dell-latitude-3450-core-i7-1355u-16gb-512gb-nvidia-mx570a-2gb-windows-11-pro-3-years-warranty-dell-official-1730440952089052266?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","Laptop Dell Latitude 3450 [Core i7-1355U-16GB-512GB-Nvidia MX570A 2GB-Windows 11 Pro-3 Years Warranty] DELL OFFICIAL","Rp24.000.000","5.0","1 rating • 0 ulasan","Terjual 2","Dell Technologies"
"1774605919-9","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/redstarelectronic/super-mulus-siap-pakai-dell-5470-core-i5-gen-6-8gb-256gb-ssd-win-10-5470-i5-6th-8gb-256ssd-75aae?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","SUPER MULUS SIAP PAKAI ! DELL 5470 CORE i5 GEN 6 8GB/256GB SSD WIN 10 - 5470 I5 6TH, 8GB/256SSD","Rp2.450.000","5.0","5 rating • 4 ulasan","Terjual 14","RedStar Electronic"
"1774605922-10","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/alvinluo-shop/kerja-sekolah-gaming-ok-laptop-dell-latitude-7480-core-i5-gen-7-8gb-256gb-9dfac?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","KERJA SEKOLAH GAMING OK - Laptop Dell Latitude 7480 Core i5 Gen 7 - 8GB/256GB","Rp2.800.000","5.0","7 rating • 4 ulasan","Terjual 13","MR elektronik"
"1774605926-11","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/intechnusasolusi/dell-inspiron-3520-i5-1235u-16gb-512gb-ssd-1tb-sata-win11hsl-ohs-2021-2yr-512gb-ssd-2d02c?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","Dell Inspiron 3520 i5-1235U 16GB 512GB SSD/1TB SATA WIN11HSL OHS 2021 2YR - 512GB SSD","Rp9.099.000","5.0","1 rating • 0 ulasan","Terjual 1","Intech Nusa Solusi"
"1774605929-12","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/redstarelectronic/games-libas-siap-lembur-dell-latitude-7280-core-i7-gen-7-16gb-256ssd-8gb-256gb-ssd-core-i5-gen-7?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","GAMES LIBAS SIAP LEMBUR ! DELL LATITUDE 7280 CORE i7 GEN 7 16GB/256SSD - 8GB/256GB SSD, CORE i5 GEN 7","Rp2.600.000","4.7","7 rating • 4 ulasan","Terjual 11","RedStar Electronic"
"1774605933-13","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/dell-premium-official/dell-14-pro-pc14250-intel-core-ultra-5-235u-vpro-16gb-512gb-windows-11-pro-3-years-warranty-1730826906754057302?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202603271004148D3BBA7425E7C93446KG%26src%3Dsearch","Dell 14 Pro ( PC14250 ) - Intel Core Ultra 5 235U vPro 16GB 512GB Windows 11 Pro 3 years Warranty","Rp24.937.000","5.0","31 rating • 15 ulasan","Terjual 60+","DELL PREMIUM OFFICIAL"
