web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774607089-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/hauzstore/dell-latitude-7520-intel-core-i7-gen-11-ram-32gb-ssd-256gb-original-bergaransi-1732720620097341014?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","Dell Latitude 7520 Intel Core i7 Gen 11 Ram 32gb SSD 256gb Original Bergaransi","Rp7.000.000","","","","Studio Laptop Official"
"1774607093-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/sparepartapple2/dell-latitude-e6420-core-i7-2620m-2-7ghz-ram-4-gb-hdd-320-gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","DELL LATITUDE E6420 CORE I7 2620M 2.7GHZ RAM 4 GB HDD 320 GB","Rp1.200.000","","","","ALESA STORE JAKARTA"
"1774607097-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/drcomkomputer/dell-chromebook-11-3180-celeron-n3060-ram-4-32gb-lengkap-black?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","Dell Chromebook 11 3180, Celeron-N3060, Ram 4/32Gb, Lengkap, Black","Rp850.000","5.0","14 rating • 8 ulasan","Terjual 60+","DrCom_NEW"
"1774607100-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/kalealaptop/laptop-dell-latitude-7280-core-i5gen7-ram-16-ssd-512-mulus-no-minus-dell7280-i5gen6-ram-8-ssd-128?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","Laptop DELL Latitude 7280 CORE I5GEN7 RAM 16 SSD 512 MULUS NO MINUS - DELL7280 I5GEN6, RAM 8 SSD 128","Rp2.200.000","5.0","7 rating • 6 ulasan","Terjual 8","Kalea Laptop"
"1774607104-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/starjayaelectronic/promoo-laptop-touchscreen-dell-latitude-7300-core-i7-gen-8-ram-16gb-ssd-512gb-free-tas-1730973998477117355?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","PROMOO!! Laptop Touchscreen Dell Latitude 7300 Core i7 Gen 8 RAM 16GB SSD 512GB FREE TAS - 5490 i5-8, 8GB/256GB","Rp3.000.000","4.8","6 rating • 3 ulasan","Terjual 16","STAR JAYA ELECTRONIC"
"1774607107-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/sparepartapple2/dell-latitude-3480-ci5-7300-2-60ghz-ram-4gb-hdd-500gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","DELL LATITUDE 3480 / CI5.7300.2.60GHZ RAM 4GB HDD 500GB","Rp1.800.000","","","","ALESA STORE JAKARTA"
"1774607112-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/himawariilaptop/laptop-dell-latitude-3189-3150-3350-3400-5400-5410-7400-core-i5-i7-gen-8-10-layar-14-murah-garansi-1733794401905443944?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","LAPTOP DELL LATITUDE 3189 3150 3350 3400 5400 5410 7400 CORE i5/i7 GEN 8/10 - LAYAR 14"" - MURAH GARANSI - 3310 I3GEN8, RAM4GB/SSD128GB","Rp2.200.000","5.0","9 rating • 7 ulasan","Terjual 13","Himawarii Laptop"
"1774607116-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/tokehlaptop/dell-latitude-7490-7390-7290-dell-7390-7490-7290-1733174315142645239?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","Dell Latitude 7490 7390 7290 - Dell 7390 7490 7290 - 7390 i5 Gen 8, 8GB / 256GB","Rp3.200.000","4.9","55 rating • 38 ulasan","Terjual 80+","Tokeh Laptop"
"1774607119-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/hologramcompute/laptop-dell-latitude-5440-core-i5-ram-8-gb-ssd-128gb-like-new?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","LAPTOP DELL LATITUDE 5440 CORE I5 RAM 8 GB SSD 128GB LIKE NEW","Rp2.400.000","5.0","1 rating • 1 ulasan","Terjual 8","hologram comp"
"1774607123-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/archive-microlandcomp/laptop-dell-latitude-7400-core-i7-gen-8-layar-14-inch-full-hd-i5-gen-8-8-512-95c3c?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","Laptop Dell Latitude 7400 / Core i7 Gen 8/ Layar 14 Inch Full HD - i5 gen 8, 8/512","Rp3.395.000","5.0","20 rating • 7 ulasan","Terjual 30+","microlandcomputer surabaya"
"1774607126-11","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/starjayaelectronic/laptop-dell-latitude-7430-i7-gen-12-ram-32gb-ssd-512gb-free-mouse-tas-1731029796276045739-1734820269975242667?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","Laptop Dell Latitude 7430 i7 Gen 12 Ram 32GB Ssd 512GB Free Mouse/Tas - 7430 i5-12, 8GB/256GB","Rp5.300.000","","","2 barang berhasil terjual","STAR JAYA ELECTRONIC"
"1774607131-12","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/rich-notebook/laptop-bisnis-dell-latitude-7430-core-i7-gen-12-ram-16gb-ssd-1-tb-14-inch-windows-11-pro-ori-1733435264551060521?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","Laptop Bisnis Dell Latitude 7430 Core i7 Gen 12 | RAM 16GB | SSD 1 TB | 14 Inch | Windows 11 Pro ORI - RAM 16GB - SSD 256GB","Rp7.799.000","5.0","1 rating • 1 ulasan","Terjual 1","Rich Notebook"
"1774607136-13","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/akcom1/laptop-dell-5190-2in1-chromebook-ram-4-32-dual-camera-1731353854347216262?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","Laptop DELL 5190 2in1 Chromebook RAM 4/32 DUAL CAMERA","Rp1.050.000","5.0","1 rating • 1 ulasan","Terjual 2","Ak Com 2"
"1774607141-14","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/budicomp/dell-latitude-3580-core-i3-8gb-256ssd-15inch-bekas-core-i3-gen-7-cbea1?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","Dell Latitude 3580 - core i3 - 8GB - 256ssd - 15inch - bekas - core i3 gen 7","Rp2.000.000","5.0","1 rating • 1 ulasan","Terjual 6","budicomp"
"1774607145-15","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20dell","https://www.tokopedia.com/laptopvalley/laptop-dell-latitude-seri-7290-core-i5-gen-8-murah-dan-berkualitas-1734089318306973649?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D2026032710241811B9842E0A271F018CGM%26src%3Dsearch","Laptop Dell Latitude Seri 7290 Core i5 Gen 8 Murah dan Berkualitas!!! - 7270 I7.6, RAM 8 / SSD 128","Rp3.000.000","5.0","48 rating • 6 ulasan","Terjual 50+","LaptopValley"
