web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774608009-1","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/lenovolegion/lenovo-ideapad-pro-5-14iah10-oled-ultra-7-255h-24gb-1tb-w11-ohs-14-2-8k-120hz-evo-1730973796679059148?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Lenovo Ideapad Pro 5 14IAH10 OLED Ultra 7 255H 24GB 1TB W11+OHS 14"" 2.8K 120HZ EVO - LAPTOP","Rp20.699.000","5.0","9 rating • 6 ulasan","Terjual 17","Lenovo Legion Official"
"1774608012-2","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/lenovoauthorizedjakbar/lenovo-ideapad-slim-3i-i3-1315u-512gb-ssd-8gb-win11-ohs-1731416925351282186?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Lenovo Ideapad Slim 3i i3-1315U 512GB SSD 8GB Win11+OHS - ARCTIC GREY, TANPA_ANTIGORES","Rp7.649.000","4.9","16 rating • 15 ulasan","Terjual 60+","LenovoIndonesia"
"1774608016-3","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/collinsofficial/lenovo-ideapad-slim-5-14iah10-oled-ultra-5-225h-16gb-512gb-14-0-wuxga-w11-ohs-m365b-1731203878912951495?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch%26whid%3D6541860","LENOVO IDEAPAD SLIM 5 14IAH10 OLED ULTRA 5 225H 16GB 512GB 14.0 WUXGA W11 OHS+M365B","Rp14.399.000","5.0","81 rating • 41 ulasan","Terjual 100+","Collins Official"
"1774608019-4","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/creativee/laptop-lenovo-thinkpad-t460s-slim-core-i5-6200u-ram-8gb-ddr4-ssd-256gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","LAPTOP LENOVO THINKPAD T460S SLIM CORE I5 6200U RAM 8GB DDR4 SSD 256GB","Rp3.500.000","","","1 barang berhasil terjual","Creative Computer Bali"
"1774608025-5","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/starjayaelectronic/lenovo-thinkpad-t480s-core-i7-8650u-24gb-ram-512gb-nvme-free-tas-mouse-1734006656331581355?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Lenovo ThinkPad T480s Core i7-8650U 24GB RAM 512GB NVMe Free tas/Mouse - T460 i5-6, 8GB/128GB","Rp2.400.000","4.8","73 rating • 39 ulasan","Terjual 100+","STAR JAYA ELECTRONIC"
"1774608028-6","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/calosasurabaya/lenovo-ideapad-slim-3-14iau7-intel-i3-1215u-16gb-12gb-8gb-512gb-fhd-win11-ohs-1731572210745444179?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Lenovo IdeaPad Slim 3 14IAU7 Intel i3 1215U 16GB 12GB 8GB 512GB FHD Win11 + OHS","Rp5.799.000","5.0","37 rating • 10 ulasan","Terjual 80+","Calosa Surabaya"
"1774608032-7","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/lenovo-authorized-medan-barat/lenovo-ideapad-slim-3-14iru8-6eid-6fid-ci3-1315u-8gb-512gb-w11hsl-oh24-m365-1y-2y-adp-14-fhd-1732831253205255186?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Lenovo Ideapad Slim 3 14IRU8 6EID,6FID, Ci3-1315U/8GB/512GB/W11HSL+OH24+M365(1Y)/2Y+ADP/14” FHD - Abyss Blue","Rp8.548.000","5.0","3 rating • 0 ulasan","Terjual 13","Lenovo Authorized Medan Barat"
"1774608036-8","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14-g7-arp-ryzen-7-7735hs-16gb-1tb-ssd-w11-oh-1731721824772064416?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Lenovo ThinkBook 14 G7 ARP Ryzen 7 7735HS 16GB 1TB SSD W11 OH","Rp14.999.000","5.0","9 rating • 3 ulasan","Terjual 40+","Lenovo Official"
"1774608040-9","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/sholehonl/lenovo-ideapad-slim-14igl7-intel-n4020-4gb-storage-256gb-wifi-6-14-hd-w11-1731488621803767015?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Lenovo Ideapad Slim 14IGL7 Intel N4020 4GB STORAGE 256GB Wifi 6 14""HD W11 - 256GB","Rp5.052.506","5.0","2 rating • 0 ulasan","Terjual 17","TOKO SHOLEH ONLINE"
"1774608044-10","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/laptopgrosirid/laptop-gaming-lenovo-loq-intel-i7-13650hx-32gb-1tb-ssd-win11-15-6-fhd-office-144hz-100srgb-1734019790415693129?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Laptop Gaming Lenovo LOQ Intel i7 13650Hx 32GB 1TB Ssd Win11 15.6"" Fhd Office 144Hz 100SRGB - 16GB/512GB, Unit Only","Rp17.849.000","5.0","7 rating • 5 ulasan","Terjual 13","Laptop Grosir ID"
"1774608048-11","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/redstarelectronic/harga-termurah-lenovo-ideapad-core-i3-ram-8gb-512ssd-8gb-1tb-4gb-500gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","-HARGA TERMURAH- LENOVO IDEAPAD CORE I3 ( RAM 8GB - 512SSD / 8GB/1TB ) - 4GB/500GB","Rp2.750.000","4.7","7 rating • 4 ulasan","Terjual 16","RedStar Electronic"
"1774608052-12","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/laptopgrosirid/lenovo-slim-7-aura-edition-oled-14ill10-ultra-7-258v-32gb-1tb-intel-arc-14-wuxga-oled-touch-windows-11-1733837453196232009?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Lenovo Slim 7 Aura Edition OLED 14ILL10  Ultra 7 258V 32GB 1TB Intel Arc 14"" WUXGA OLED Touch Windows 11 - Non Bundling, 32GB / 1TB","Rp17.799.000","5.0","11 rating • 6 ulasan","Terjual 30+","Laptop Grosir ID"
"1774608057-13","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/gasoldinoyo/lenovo-ideapad-slim-3-14iru8-intel-core-i3-1315u-256gb-ssd-8gb-ram-6cid-abyss-blue-6did-arctic-grey-nmotebook-laptop-1733061641073689768?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Lenovo Ideapad Slim 3 14IRU8 - Intel Core i3-1315U 256GB SSD 8GB RAM - 6CID  Abyss Blue / 6DID Arctic Grey NMotebook Laptop - 6CID Abyss Blue","Rp6.999.000","","","","GASOL DINOYO MALANG"
"1774608062-14","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/decacom/lenovo-ideapad-5-2in1-14-touch-ryzen-ai-7-350-16gb-1tb-w11-14-16-wuxga-ips-x360-1734305381269866463?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","LENOVO IdeaPad 5 2IN1 14 TOUCH RYZEN AI 7 350 16GB 1TB W11 14"" /16"" WUXGA IPS X360 - STANDAR, RYZEN AI 7 350 16GB 1TB W11 16.0 INC","Rp12.399.000","4.9","53 rating • 17 ulasan","Terjual 100+","Deca Computer"
"1774608073-15","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/lenovolegion/lenovo-legion-pro-7i-16iax10h-geforce-rtx5080-16gb-oled-ultra-9-275hx-32gb-1tb-w11-ohs-m365b-16-wqxga-240hz-1731568451332638412?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","LENOVO LEGION PRO 7i 16IAX10H GEFORCE RTX5080 16GB OLED ULTRA 9 275HX 32GB 1TB W11+OHS+M365B 16"" WQXGA 240HZ - LAPTOP, 32GB/1TB","Rp59.989.000","5.0","7 rating • 3 ulasan","Terjual 19","Lenovo Legion Official"
"1774608078-16","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/laptopgrosirid/lenovo-ideapad-slim-3-14iru8-core-i3-1315u-8gb-512gb-uhd-graphics-14-fhd-windows-11-1732564744635319625?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Lenovo Ideapad Slim 3 14IRU8 Core i3 1315U 8GB 512GB UHD Graphics 14"" FHD Windows 11 - Non Bundling, 8GB/256GB","Rp7.299.000","5.0","65 rating • 26 ulasan","Terjual 100+","Laptop Grosir ID"
"1774608083-17","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/alvinluo-shop/laptop-lenovo-thinkpad-t480-t480s-core-i5-gen-8-i7-gen-8-bergaransi-1731645677841975081?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","Laptop Lenovo Thinkpad T480 & T480S Core i5 gen 8/ i7 gen 8 BERGARANSI - T480 i5.7, 8GB/256GB","Rp2.900.000","4.9","43 rating • 29 ulasan","Terjual 100+","MR elektronik"
"1774608088-18","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/justin-shop/lenovo-slim-3-intel-n4020-4gb-ssd256gb-windows-office-original-hd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D2026032710390640008B9A5380FC271L68%26src%3Dsearch","LENOVO SLIM 3 INTEL N4020 4GB SSD256GB WINDOWS OFFICE ORIGINAL - HD","Rp3.900.000","5.0","49 rating • 21 ulasan","Terjual 90+","Justin Computer"
