web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774609305-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/artaking/lenovo-ideapad-110-14isk-core-i3-gen-6-sudah-ssd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","","","","","",""
"1774609311-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/javasolution/laptop-lenovo-slim-generasi-baru-ideapad-330-n4000-ssd-128gb-256gb-512gb-1730898204347762479?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop lenovo slim generasi baru ideapad 330 N4000 SSD 128GB 256GB 512GB - 4GB, HDD 500GB","Rp1.650.000","","","",""
"1774609316-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/nyctophile-596/type-laptop-lenovo-ideapad-320-amd-a9-ram-8gb-hdd-1tb-1730851752277083935?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Type laptop : Lenovo Ideapad 320 Amd A9 Ram 8GB HDD 1TB","Rp1.500.000","","","","@Nyctophile"
"1774609320-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/eatechnologi/lenovo-thinkpad-x280-core-i5-8250u-8gb-256ssd-12-5-hd-win11-pro-1732653520080963406?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","LENOVO THINKPAD X280 Core i5-8250U 8GB 256SSD 12.5"" HD Win11 Pro - HD","Rp3.090.000","5.0","10 rating • 6 ulasan","Terjual 15","EA Technologi"
"1774609324-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/mjc-store-mentari-jaya/laptop-lenovo-ideapad-slim-3?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","laptop lenovo ideapad slim 3","Rp2.600.000","","","","MJC STORE MENTARI JAYA"
"1774609327-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/nyctophile-596/type-laptop-lenovo-ideapad-s145-processor-amd-a9-9425-radeon-r5-1731093459086509855?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Type Laptop : Lenovo Ideapad s145 Processor : AMD A9-9425 RADEON R5","Rp2.000.000","","","","@Nyctophile"
"1774609331-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/lancarcomputermedan/laptop-lenovo-amd-a4-9125-radeon-r3-ram-4-gb-hdd-500-gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop lenovo AMD A4-9125 RADEON R3, ram 4 gb, hdd 500 gb.","Rp1.600.000","","","","Lancar computer medan"
"1774609334-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/arispeedinstagram/lenovo-ideapad-100s-intel-atom-z3735f-ram-2gb-ssd-32gb-hd-1731177931033773202?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","LENOVO IDEAPAD 100s INTEL ATOM Z3735F/RAM 2GB/SSD 32GB/HD","Rp1.000.000","","","","ARISPEED INSTAGRAM"
"1774609338-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/laptopidstore/lenovo-ideapad-slim-3-ip3-celeron-n4020-ram-4-gb-ssd-256-gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","LENOVO IDEAPAD SLIM 3 IP3 CELERON N4020 RAM 4 GB SSD 256 GB","Rp3.000.000","","","","Laptop Id Store"
"1774609342-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/jualandokcomputer/laptop-lenovo-thinkpad-t14s-g3-vpro-core-i7-gen-12-ram-32gb-ssd-1tb-14-inch-full-hd-ips-series-business-windows-11-pro-1731305086258480410?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop Lenovo ThinkPad T14s G3 vPRO Core i7 Gen 12 - RAM 32GB - SSD 1TB - 14 inch - Full HD IPS - Series Business - Windows 11 Pro - T14 G2 i5 Gen11, 16GB -SSD 256GB","Rp5.498.900","5.0","12 rating • 7 ulasan","Terjual 25","JUALANDOK Computer"
"1774609346-11","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/mrhanzo/lenovo-thinkpad-l490-i5-gen8-ram-32gb-ssd-1tb-14inc-original-8gb-256gb-a426b?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","lenovo thinkpad L490 i5 gen8 - ram 32GB - SSD 1TB - 14inc Original - 8GB - 256GB","Rp3.500.000","","","",""
"1774609350-12","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/foxcomp/lenovo-thinkpad-l14-ryzen-7-core-i7-3rd-ssd-bergaransi-core-i5-10th-ram-8-ssd-256-4e97d?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Lenovo Thinkpad L14 Ryzen 7 Core i7 3rd SSD BERGARANSI - Core i5 10th, RAM 8 SSD 256","Rp3.600.000","4.9","33 rating • 18 ulasan","Terjual 80+","FoxComp"
"1774609355-13","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/kandangnya-notebook-bandung/lenovo-thinkpad-x1-yoga-carbon-i7-gen-11-16gb-1tb-second-bergaransi-1734405535871763749?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Lenovo Thinkpad X1 Yoga / Carbon i7 Gen 11 16GB 1TB SECOND BERGARANSI - X1 YOGA 6th i7 Gen 11, 16/512","Rp9.000.000","5.0","24 rating • 6 ulasan","Terjual 40+","Kandangnya Notebook Bandung"
"1774609359-14","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/laptopworks/laptop-lenovo-thinkpad-l480-core-i5-gen-8-ram-16gb-ssd-1tb-bonus-tas-mouse-wireless-1734410372284646551?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop Lenovo Thinkpad L480 Core I5 Gen 8 Ram 16GB Ssd 1TB Bonus Tas & Mouse Wireless - L490 I3 GEN 8, 4 GB I NO SSD","Rp2.340.000","5.0","1 rating • 0 ulasan","Terjual 30+","LaptopWorks"
"1774609365-15","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/laptopchoice/laptop-lenovo-x1-yoga-touchscreen-all-variant-core-i5-i7-layar-14-inch-mulus-1730812275955566452?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop Lenovo X1 Yoga Touchscreen All Variant Core i5/i7 - Layar 14"" Inch MULUS - 1ST I7GEN6, RAM16GB SSD128G","Rp4.000.000","5.0","50 rating • 7 ulasan","Terjual 50+","Laptop Choice"
"1774609368-16","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/kalealaptop/laptop-lenovo-thinkpad-x250-core-i5-i7-gen-5-ssd-256gb-mulus-core-i5-gen-4-ram-4-ssd-128-e70ee?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop LENOVO THINKPAD x250 CORE i5 i7 GEN 5 SSD 256GB MULUS - CORE I5 GEN 4, RAM 4 SSD 128","Rp1.800.000","5.0","33 rating • 15 ulasan","Terjual 60+","Kalea Laptop"
"1774609372-17","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/hardjanco/laptop-lenovo-g480-intel-core-i3-3120m-ram-4gb-hdd-500gb-geforce-610m-second?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","LAPTOP LENOVO G480 INTEL CORE I3-3120M RAM 4GB HDD 500GB GEFORCE 610M SECOND","Rp1.650.000","","","","Hardjan Store"
"1774609376-18","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/mentarisuryalaptop/laptop-lenovo-thinkdpad-e450-t450-t450s-laptop-second-muluss-murahh-1734210976941377295?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop Lenovo Thinkdpad E450 T450 & T450S - LAPTOP SECOND MULUSS MURAHH - E450 I5GEN5, RAM 4 HDD 500","Rp1.800.000","5.0","8 rating • 5 ulasan","Terjual 30+","Mentarisuryalaptop"
"1774609381-19","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/kartamagelang/lenovo-ideapad-amd-a9-laptop-8gb-ram-ssd-256gb-hdd-1tb-14-inch?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Lenovo Ideapad AMD A9 - Laptop 8GB RAM SSD 256GB HDD 1TB 14 Inch","Rp2.500.000","","","","KartaPart_NEW"
"1774609385-20","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/starjayaelectronic/promo-laptop-lenovo-touchscreen-t470s-core-i7-gen-7-ram-8gb-256-ssd-1733591064804231083?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","PROMO !! LAPTOP LENOVO TOUCHSCREEN T470s CORE i7 GEN 7 RAM 8GB/256 SSD - T460 i5-6, 8GB128GB","Rp2.450.000","4.8","240 rating • 121 ulasan","Terjual 250+","STAR JAYA ELECTRONIC"
"1774609390-21","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/starjayaelectronic/laptop-lenovo-thinkpad-x270-core-i7-gen-6-ram-16gb-512-ssd-free-tas-1733881345083344811?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","LAPTOP LENOVO THINKPAD X270 CORE i7 GEN 6 RAM 16GB/512 SSD FREE TAS - X270 i5-6, 8GB/128GB","Rp2.400.000","4.7","22 rating • 11 ulasan","Terjual 30+","STAR JAYA ELECTRONIC"
"1774609394-22","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/lapvic/touchscreen-2n1-lenovo-thinkpad-yoga-11e-i5-gen-8-ram-8gb-256gb-ssd-1734584987460273475?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop 2in1 Lenovo Yoga 11e Touchscreen M3 gen 8 | Mode Tabltet | Cocok untuk Sekolah & Zoom - 4GB, NO SSD","Rp3.066.667","4.9","14 rating • 8 ulasan","Terjual 26","Laptop Victory"
"1774609399-23","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/denulla/laptop-lenovo-thinkpad-e40-core-i3-radeon-graphics-lengkap-siap-pakai-untuk-editing-1732476339140986059?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop Lenovo Thinkpad E40 Core i3 Radeon Graphics | Lengkap Siap Pakai Untuk Editing","Rp1.450.000","","","","Denulla Online Shop"
"1774609403-24","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/archive-microlandcomp/lenovo-thinkpad-t470s-slim-mulus-8-512gb-non-touchscreen-df784?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","lenovo thinkpad t470s slim mulus - 8/512gb, non touchscreen","Rp2.995.000","4.1","7 rating • 5 ulasan","Terjual 15","microlandcomputer surabaya"
"1774609407-25","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/atsthree/laptop-lenovo-ideapad-3-14igl05-cd250110003-1730914252733253321?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop Lenovo Ideapad 3 14IGL05 (cd250110003)","Rp2.200.000","","","","ATSthree"
"1774609411-26","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/brankaslaptop/lenovo-thinkpad-x13-core-i5-i7-gen-10-win-10-original-murah-bagus-dan-bergaransi-1734039261368255857?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Lenovo Thinkpad X13 Core i5 / i7 Gen 10 | Win 10 Original | Murah, Bagus dan Bergaransi - X13 i5 Gen 10, 8GB / 256GB","Rp4.000.000","5.0","12 rating • 9 ulasan","Terjual 19","Brankas Laptop"
"1774609415-27","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/thinkpadpd/laptop-lenovo-ideapad-3-core-i3-gen-10-8-128-slim-siap-pakai-1733479619974563245?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop Lenovo Ideapad 3 Core i3 Gen 10 8/128 Slim Siap Pakai","Rp2.950.000","","","","thinkpadpd"
"1774609423-28","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/trinitycomp/lenovo-thinkpad-t470-laptop-core-i5-siap-buat-editing-dan-gaming-1731460371696289107?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","LENOVO THINKPAD T470 LAPTOP CORE i5 SIAP BUAT EDITING DAN GAMING - i5-6th, 8GB, SSD 128","Rp2.599.999","4.9","288 rating • 183 ulasan","Terjual 500+","Trinity Comp"
"1774609427-29","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/nyctophile-596/laptop-lenovo-touchscreen-d330-intelceleron-n4020-ram-8gb-mmc-128gb-slim-design-1731069806700693279?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop Lenovo Touchscreen D330 IntelCeleron N4020 RAM 8GB MMC 128GB Slim design","Rp2.500.000","","","","@Nyctophile"
"1774609431-30","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/aslapt/laptop-lenovo-thinkpad-x240-core-i3-i5-i7-gen-4-8-256gb-12-5-murah-x240-i5-gen-4-ram4gb-ssd128?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop Lenovo Thinkpad X240 Core i3/i5/i7 Gen 4|8/256GB|12,5""|Murah - x240 i5 GEN 4, RAM4GB SSD128","Rp1.800.000","4.8","35 rating • 15 ulasan","Terjual 90+","As Laptop"
"1774609435-31","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/pusatmonitor1/laptop-lenovo-thinkpad-core-i5-ram-8gb-ssd-256gb-320gb-windows-11-10-siap-pakai?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","laptop Lenovo Thinkpad Core i5 Ram 8GB SSD 256GB/320GB windows 11/10 - siap pakai","Rp2.488.000","","","","Pusat monitor1"
"1774609445-32","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/trinitycomp/lenovo-thinkpad-t480-laptop-core-i5-gen-8-teknologi-jaman-now-1731354604331500883?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","LENOVO THINKPAD T480 LAPTOP CORE i5 GEN 8 TEKNOLOGI JAMAN NOW !! - i5-7TH, 8GB, NVME 256","Rp2.999.999","4.9","383 rating • 242 ulasan","Terjual 750+","Trinity Comp"
"1774609450-33","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/mercurytocharon-koper/laptop-lenovo-core-2-duo-thinkpad-t400-14-inch-ddr3-mulus-garansi-4-gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","laptop Lenovo core 2 duo Thinkpad T400 14 inch DDR3 Mulus Garansi - 4 gb","Rp1.450.000","4.8","4 rating • 1 ulasan","Terjual 11","mercurytocharon koper"
"1774609453-34","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","https://www.tokopedia.com/drcomkomputer/laptop-lenovo-330-amd-a9-9425-gen-7th-ram-4gb-1tb-lengkap?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260327110058577BCC914F9E550164ML%26src%3Dsearch","Laptop Lenovo 330, Amd A9-9425, Gen 7Th, Ram 4Gb / 1Tb, Lengkap","Rp2.100.000","5.0","14 rating • 6 ulasan","Terjual 18","DrCom_NEW"
