web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774611416-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/drcomkomputer/msi-gaming-gl63-8rc-core-i7-8750h-8th-gtx-1050-4gb-ram-8-hdd-1tb-1731529596028552358?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","MSI Gaming GL63 8RC, Core i7-8750H, 8Th, #GTX 1050 4GB, Ram 8/Hdd 1Tb","Rp7.200.000","5.0","1 rating • 1 ulasan","Terjual 2","DrCom_NEW"
"1774611420-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/gandante/msi-gf63-i7-gen-12-rtx-4050-16-gb-512-gb-resmi-original?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","MSI GF63 i7 Gen 12 RTX 4050 16 GB 512 GB Resmi Original","Rp13.499.000","5.0","2 rating • 1 ulasan","Terjual 6","GanDanteStore_NEW"
"1774611423-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/ivanjul/laptop-bekas-msi-gf-63-thin-9scsr-1731931774324672485?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","(Laptop bekas) MSI GF-63 Thin 9SCSR","Rp6.500.000","","","","Ivan J"
"1774611427-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/camlaystore/msi-sword-16-hx-b14vekg-intel-core-i7-14650hx-nvidia-geforce-rtx-4050-ram-16-ssd-512-dus-0148-1733830786310899584?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","MSI SWORD 16 HX B14VEKG Intel Core i7-14650HX NVIDIA GeForce RTX 4050 Ram 16 SSD 512 dus 0148","Rp16.500.000","","","","Camlay Store"
"1774611430-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/kartikakomputer/msi-cyborg-15-intel-core-i5-12450h-ram-8gb-ssd-512gb-nvidia-rtx2050-4gb-15-6-fhd-ips-windows-11-1731341456324593477?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","MSI CYBORG 15 | INTEL CORE I5-12450H |  RAM 8GB | SSD 512GB | NVIDIA RTX2050 4GB | 15,6"" FHD,IPS | WINDOWS 11","Rp9.000.000","","","","KARTIKA JAVA KOMPUTER"
"1774611434-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/megalaptopstore/laptop-gaming-msi-gf63-thin-10sc-i5-10500h-ram-16gb-ssd-512gb-layar-15-6-fhd-gtx1650-maxq-4gb-gddr6-1731149852603811348?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","Laptop Gaming MSI GF63 Thin 10SC i5 10500H RAM 16GB/SSD 512GB Layar 15.6""FHD GTX1650 MaxQ 4GB GDDR6","Rp7.900.000","","","","MegaLaptopStore"
"1774611437-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/kelanamamba/laptop-gaming-msi-thin-15-b12ucx-i5-13450h-rtx-2050-8gb-512gb-mulus-1732450675056609018?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","Laptop Gaming MSi Thin 15 B12UCX i5-13450H RTX 2050  8GB/512GB Mulus","Rp8.550.000","","","","senangkelana"
"1774611441-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/sri-laptop-bdg/laptop-msi-katana-gf76-12th-gen-core-i7-12700h-16-512gb-rtx-3050?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","Laptop MSI Katana GF76 12th Gen Core I7-12700H 16/512GB RTX 3050","Rp10.899.000","","","","Sri Laptop BDG"
"1774611444-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/muhamadyusupabdulatip/laptop-msi-modern-14-c11m-intel-core-i5-1155g7-8-512gb-fhd-iris-1731326748085487386?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","Laptop MSI Modern 14 C11M Intel Core i5-1155G7 8/512Gb FHD Iris","Rp5.350.000","","","","Hexa Store laptop"
"1774611448-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/archive-sgcom-1697243964/msi-thin-15-b13ve-i7-13620h-16gb-512gb-rtx4050-6gb-15-6-144hz-ips-garansi-on-2026?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","MSI Thin 15 B13VE i7-13620H 16GB 512GB RTX4050 6GB 15.6"" 144Hz IPS Garansi ON 2026","Rp13.200.000","","","","SG Com"
"1774611451-11","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/sri-laptop-bdg/laptop-gaming-msi-gf63-thin-10scsr-intel-core-i7-10750h-8-512gb-gtx-1650-ti-1733186433741653676?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","Laptop Gaming MSI GF63 Thin 10SCSR Intel Core I7-10750H 8/512GB GTX 1650 Ti","Rp7.799.000","","","1 barang berhasil terjual","Sri Laptop BDG"
"1774611455-12","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/nyctophile-596/laptop-msi-thin-15-b12ucx-prosesor-intel-core-i5-12450h-ram-16gb-ssd-512gb-nvidia-geforce-rtx-2050-1733193528389043680?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","Laptop MSI Thin 15 B12UCX /Prosesor Intel Core i5-12450H/Ram 16GB/SSD 512GB/NVIDIA GeForce RTX 2050","Rp9.000.000","","","","@Nyctophile"
"1774611458-13","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/abang-ocin/laptop-msi-modern-14-i3-ram-8-storage-512gb-garansi-resmi-agustus-2025?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","LAPTOP MSI MODERN 14 i3 RAM 8 STORAGE 512GB GARANSI RESMI AGUSTUS 2025","Rp4.300.000","","","","Abang Ocin"
"1774611462-14","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/drcomkomputer/laptop-msi-gf63-thin-11sc-intel-core-i7-11800h-gen-11th-ram-16gb-512-ssd-dualvga-uhd-graphics-nvidia-geforce-gtx-1650-4gb-super-slim-gaming-editing-libas-super-ngebut-lengkap-like-new-full-mulus-black?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","Laptop MSI GF63 Thin 11SC, Intel Core i7-11800H, Gen 11Th, Ram 16Gb/512 SSD, #DualVga: - UHD Graphics, -Nvidia GeForce GTX 1650 4Gb, Super Slim, Gaming Editing Libas, Super Ngebut, Lengkap, Like New, Full Mulus, Black","Rp9.300.000","5.0","1 rating • 1 ulasan","Terjual 1","DrCom_NEW"
"1774611466-15","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/digitalit22/msi-gf63-intel-core-i5-12450h-ram-8-gb-ssd-1-tb-rtx-2050-4-gb-144hz-mulus-1732925154922628164?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","Msi GF63 intel core i5-12450h ram 8 gb ssd 1 tb rtx 2050 4 gb 144hz mulus","Rp7.800.000","","","","ALLSeriesTechnology"
"1774611469-16","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/geminigoldsaint/laptop-gaming-msi-ge72-6qf-1731379582456792858?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","Laptop Gaming MSI GE72 6QF","Rp3.000.000","","","","geminigoldsaint"
"1774611473-17","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/holycowsply/laptop-gaming-kenceng-msi-gl62-7rex-core-i7-gtx-ssd-1731807765513602654?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","LAPTOP GAMING KENCENG MSI GL62 7REX CORE i7 gtx ssd","Rp6.720.000","","","","Holycowsply"
"1774611476-18","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/archive-junijun-1743897786/laptop-msi-gl62m-7rdx-gaming-preloved-atau-bekas-1734182154860201792?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","Laptop MSI GL62M 7RDX Gaming  Preloved atau Bekas","Rp5.000.000","","","","JuniPrevoled"
"1774611480-19","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi","https://www.tokopedia.com/canrock/laptop-msi-brafo-ram-16-ssd-512-1731328080892298395?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026032711362834ED066DF378EF04DUDC%26src%3Dsearch","laptop MSI brafo ram 16 ssd 512","Rp6.000.000","","","","can'Rock"
