web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774626458-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","https://www.tokopedia.com/hauzstore/laptop-dell-latitude-5520-i7-gen-11-ram-32gb-ssd-512gb-dual-vga-mulus-bergaransi-resmi-1732642219825071702?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026032715465563923F49E52413020QPQ%26src%3Dsearch","Laptop Dell Latitude 5520 i7 Gen 11 Ram 32GB SSD 512GB | Dual VGA Mulus Bergaransi Resmi - Non touch, Single Vga, 32/512GB","Rp5.499.900","5.0","3 rating • 2 ulasan","Terjual 9","Studio Laptop Official"
"1774626462-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","https://www.tokopedia.com/timoho29/laptop-hp-elitebook-840-g6-core-i7-8665u-ram-32gb-ssd-512gb-bergaransi-840-g1-core-i5-8gb-ssd-256gb-a4567?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026032715465563923F49E52413020QPQ%26src%3Dsearch","Laptop HP Elitebook 840 G6 Core i7-8665u Ram 32GB SSD 512GB Bergaransi - 840 G1 CORE I5, 8GB SSD 256GB","Rp2.000.000","4.9","27 rating • 20 ulasan","Terjual 40+","Hosea Timoho29"
"1774626466-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","https://www.tokopedia.com/ceritalap/thinkpad-x390-i5-gen-8-thinkpad-x390-i7-gen-8-thinkpad-1731082466906309740-1734705114218268205?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026032715465563923F49E52413020QPQ%26src%3Dsearch","ThinkPad X390 i5 Gen 8 / ThinkPad X390 i7 Gen 8 / ThinkPad - X390 - i5 Gen 8 / 8GB, 128GB","Rp2.900.000","5.0","2 rating • 2 ulasan","Terjual 11","Cerita Laptop"
"1774626470-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","https://www.tokopedia.com/laptop-surabaya/thinkpad-laptop-bekas-murah?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026032715465563923F49E52413020QPQ%26src%3Dsearch","thinkpad laptop bekas murah","Rp3.308.000","5.0","20 rating • 0 ulasan","Terjual 25","LAPTOP SURABAYA_NEW"
"1774626473-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","https://www.tokopedia.com/pusat-laptop-bergaransi/laptop-lenovo-thinkpad-all-series-murah-meriah-second-original-mulus-bergaransi-bonus-softcase-mouse-windows-office-storage-1734121680613835926?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026032715465563923F49E52413020QPQ%26src%3Dsearch","LAPTOP LENOVO THINKPAD (ALL SERIES) MURAH MERIAH| SECOND ORIGINAL | MULUS | BERGARANSI | BONUS SOFTCASE & MOUSE / WINDOWS & OFFICE Storage - X270 i5Gen6 8GB, 500GB","Rp2.250.000","5.0","5 rating • 2 ulasan","Terjual 40+","Pusat Laptop Bergaransi_NEW"
"1774626477-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","https://www.tokopedia.com/dissant/acer-aspire-e5-553g-a10-9600p-8gb-ram-128gb-ssd-2tb-hdd-radeon-5-r7-mu?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026032715465563923F49E52413020QPQ%26src%3Dsearch","ACER ASPIRE E5-553G A10-9600P 8GB RAM 128GB SSD&2TB HDD RADEON 5&R7 MU","Rp3.600.000","","","","DissantsStore"
"1774626480-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","https://www.tokopedia.com/hologramcompute/laptop-lenovo-p50s-core-i7-vga-nvidia-ram-8-gb-ssd-512-spesial-render-dan-desain-1731661242991412307?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026032715465563923F49E52413020QPQ%26src%3Dsearch","LAPTOP LENOVO P50s CORE i7 VGA NVIDIA RAM 8 GB SSD 512 SPESIAL RENDER DAN DESAIN","Rp4.250.000","5.0","2 rating • 1 ulasan","Terjual 12","hologram comp"
"1774626484-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","https://www.tokopedia.com/jualandokcomputer/laptop-lenovo-thinkpad-x1-carbon-8th-core-i5-gen-10-ram-16gb-ssd-1tb-14-inch-slim-windows-11-pro-core-i5-gen-10-16gb-ssd-256gb-72edf?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026032715465563923F49E52413020QPQ%26src%3Dsearch","Laptop Lenovo ThinkPad X1 Carbon 8th Core i5 Gen 10 - RAM 16GB - SSD 1TB - 14 inch - Slim - Windows 11 Pro - Core i5 Gen 10, 16GB -SSD 256GB","Rp6.250.000","5.0","3 rating • 1 ulasan","Terjual 6","JUALANDOK Computer"
"1774626488-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","https://www.tokopedia.com/hologramcompute/laptop-lenovo-gaming-core-i3-7100u-vga-nvidia-ram-8gb-ssd-256-full-hd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026032715465563923F49E52413020QPQ%26src%3Dsearch","LAPTOP LENOVO GAMING CORE i3 7100U VGA NVIDIA RAM 8GB SSD 256 FULL HD","Rp3.100.000","5.0","3 rating • 3 ulasan","Terjual 25","hologram comp"
"1774626492-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","https://www.tokopedia.com/timoho29/laptop-lenovo-thinkpad-t14s-gen-3-core-i7-1270p-ram-32gb-ssd-512gb-bergaransi-1732359119143339095?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026032715465563923F49E52413020QPQ%26src%3Dsearch","Laptop Lenovo Thinkpad T14s Gen 3 Core I7-1270P Ram 32GB SSD 512GB Bergaransi - T14S G1 AMD, 16GB/256GB","Rp4.400.000","5.0","4 rating • 3 ulasan","Terjual 8","Hosea Timoho29"
