-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-xs/sp14_2,pointer-events-none_2,text-shopee-green,pointer-events-none_3,align-middle,text-ellipsis,img_2,text-xs_2,w-auto,text-white,truncate,_container,_container_link,text-xs,img
https://down-id.img.susercontent.com/file/id-11134207-822wr-mlq3uvttysxw42,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,"(Gratis Ongkir) POCO C75 5G (8/256GB) | Layar 6,88"" | 50MP AI | Refresh rate 120 Hz | Baterai 5160mAh | 18W Pengisian cepat",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.739.999,-33%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,18 Terjual,,,,"(Gratis Ongkir) POCO C75 5G (8/256GB) | Layar 6,88"" | 50MP AI | Refresh rate 120 Hz | Baterai 5160mAh | 18W Pengisian cepat
Rp
1.739.999
-33%
5.0
18 Terjual
3-5 Hari
Jakarta Barat",https://shopee.co.id/(Gratis-Ongkir)-POCO-C75-5G-(8-256GB)-Layar-6-88-50MP-AI-Refresh-rate-120-Hz-Baterai-5160mAh-18W-Pengisian-cepat-i.1733159604.49757130990?extraParams=%7B%22display_model_id%22%3A196377728264%2C%22model_selection_logic%22%3A3%7D&sp_atk=41036eaf-dae2-4441-8468-0f95dc962e1d&xptdk=41036eaf-dae2-4441-8468-0f95dc962e1d,,
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m9r8n4pkn22b3b,,"POCO C71 (4+4GB/128GB) Performa Cadas | Layar Cadas 6.88"" 120Hz | Baterai Cadas 5200mAh | Expansi RAM hingga 8GB dan storage 128GB | 15W Pengisian daya Cadas [Official Store]",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.599.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,10RB+ Terjual,,,,"POCO C71 (4+4GB/128GB) Performa Cadas | Layar Cadas 6.88"" 120Hz | Baterai Cadas 5200mAh | Expansi RAM hingga 8GB dan storage 128GB | 15W Pengisian daya Cadas [Official Store]
Rp
1.599.000
4.9
10RB+ Terjual
3-6 Hari
Kab. Tangerang",https://shopee.co.id/POCO-C71-(4-4GB-128GB)-Performa-Cadas-Layar-Cadas-6.88-120Hz-Baterai-Cadas-5200mAh-Expansi-RAM-hingga-8GB-dan-storage-128GB-15W-Pengisian-daya-Cadas-Official-Store--i.885639549.27285612661?extraParams=%7B%22display_model_id%22%3A186055393422%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b6b0256-b9a9-4e61-9e92-05d58ec36686&xptdk=7b6b0256-b9a9-4e61-9e92-05d58ec36686,,
https://down-id.img.susercontent.com/file/id-11134207-8224o-mfw118wrksgafb,,"POCO C71 (4+4GB/128GB) Performa Cadas | Layar Cadas 6.88"" 120Hz | Baterai Cadas 5200mAh | Expansi RAM hingga 8GB dan storage 128GB",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.594.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,10RB+ Terjual,,,,"POCO C71 (4+4GB/128GB) Performa Cadas | Layar Cadas 6.88"" 120Hz | Baterai Cadas 5200mAh | Expansi RAM hingga 8GB dan storage 128GB
Rp
1.594.000
-1%
5.0
10RB+ Terjual
3-5 Hari
Kab. Tangerang",https://shopee.co.id/POCO-C71-(4-4GB-128GB)-Performa-Cadas-Layar-Cadas-6.88-120Hz-Baterai-Cadas-5200mAh-Expansi-RAM-hingga-8GB-dan-storage-128GB-i.1632696269.40023206243?extraParams=%7B%22display_model_id%22%3A261884336640%2C%22model_selection_logic%22%3A3%7D&sp_atk=6a7fd279-6db4-43f8-9e68-df9a712987ef&xptdk=6a7fd279-6db4-43f8-9e68-df9a712987ef,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mdevezcx89720f,,"POCO C71 (4+4GB/128GB) Performa Cadas | Layar Cadas 6.88"" 120Hz | Baterai Cadas 5200mAh | Expansi RAM hingga 8GB dan storage 128GB",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.599.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,10RB+ Terjual,,,,"POCO C71 (4+4GB/128GB) Performa Cadas | Layar Cadas 6.88"" 120Hz | Baterai Cadas 5200mAh | Expansi RAM hingga 8GB dan storage 128GB
Rp
1.599.000
4.9
10RB+ Terjual
3 Hari
Kab. Tangerang",https://shopee.co.id/POCO-C71-(4-4GB-128GB)-Performa-Cadas-Layar-Cadas-6.88-120Hz-Baterai-Cadas-5200mAh-Expansi-RAM-hingga-8GB-dan-storage-128GB-i.51925611.43063095118?extraParams=%7B%22display_model_id%22%3A216206378093%2C%22model_selection_logic%22%3A3%7D&sp_atk=d93bb1cd-0a2f-4d03-bb0f-e4bd0590ed38&xptdk=d93bb1cd-0a2f-4d03-bb0f-e4bd0590ed38,,
https://down-id.img.susercontent.com/file/id-11134207-81ztd-mef6rfctu1hh64,,"POCO C85 (6/128 GB) (8/256 GB) Baterai besar 6000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 120Hz | 50MP kamera ganda AI [Official Store]",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.049.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,10RB+ Terjual,,,,"POCO C85 (6/128 GB) (8/256 GB) Baterai besar 6000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 120Hz | 50MP kamera ganda AI [Official Store]
Rp
2.049.000
4.9
10RB+ Terjual
3-6 Hari
Kab. Tangerang",https://shopee.co.id/POCO-C85-(6-128-GB)-(8-256-GB)-Baterai-besar-6000mAh-dengan-pengisian-daya-33W-Ekspansi-RAM-hingga-16GB-Layar-imersif-6.9-120Hz-50MP-kamera-ganda-AI-Official-Store--i.885639549.42214961946?extraParams=%7B%22display_model_id%22%3A276238696433%2C%22model_selection_logic%22%3A3%7D&sp_atk=20906817-01a6-472f-b1fa-a1bdac4c501d&xptdk=20906817-01a6-472f-b1fa-a1bdac4c501d,,
https://down-id.img.susercontent.com/file/id-11134207-8224y-mimgw8a9spac49,,"POCO C85 (6/128 GB) (8/256 GB) Baterai besar 6000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 120Hz | 50MP kamera ganda AI [Official Store]",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.029.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,6RB+ Terjual,,,,"POCO C85 (6/128 GB) (8/256 GB) Baterai besar 6000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 120Hz | 50MP kamera ganda AI [Official Store]
Rp
2.029.000
-1%
4.9
6RB+ Terjual
3-5 Hari
Kab. Tangerang",https://shopee.co.id/POCO-C85-(6-128-GB)-(8-256-GB)-Baterai-besar-6000mAh-dengan-pengisian-daya-33W-Ekspansi-RAM-hingga-16GB-Layar-imersif-6.9-120Hz-50MP-kamera-ganda-AI-Official-Store--i.1632696269.40073223549?extraParams=%7B%22display_model_id%22%3A306884985352%2C%22model_selection_logic%22%3A3%7D&sp_atk=d569a018-611f-420e-b34d-638bdec8b7c4&xptdk=d569a018-611f-420e-b34d-638bdec8b7c4,,
https://down-id.img.susercontent.com/file/id-11134207-822wm-mn5sin1f2sjn43,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Poco X8 Pro Series 12/512 8/512 8/256 GB NEW (BARU) ORIGINAL & GARANSI RESMI NO REPACK,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.450.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Poco X8 Pro Series 12/512 8/512 8/256 GB NEW (BARU) ORIGINAL & GARANSI RESMI NO REPACK
Rp
5.450.000
5.0
3 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/Poco-X8-Pro-Series-12-512-8-512-8-256-GB-NEW-(BARU)-ORIGINAL-GARANSI-RESMI-NO-REPACK-i.243177790.45709040661?extraParams=%7B%22display_model_id%22%3A350799307226%2C%22model_selection_logic%22%3A3%7D&sp_atk=d61bab74-8dd1-4700-926f-43e2696b381c&xptdk=d61bab74-8dd1-4700-926f-43e2696b381c,,
https://down-id.img.susercontent.com/file/id-11134207-81zto-mef6rfcthedh4f,,"POCO C85 (6/128 GB) (8/256 GB) Baterai besar 6000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 120Hz | 50MP kamera ganda AI [Official Store]",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.049.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,10RB+ Terjual,,,,"POCO C85 (6/128 GB) (8/256 GB) Baterai besar 6000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 120Hz | 50MP kamera ganda AI [Official Store]
Rp
2.049.000
4.9
10RB+ Terjual
3 Hari
Kab. Tangerang",https://shopee.co.id/POCO-C85-(6-128-GB)-(8-256-GB)-Baterai-besar-6000mAh-dengan-pengisian-daya-33W-Ekspansi-RAM-hingga-16GB-Layar-imersif-6.9-120Hz-50MP-kamera-ganda-AI-Official-Store--i.51925611.42814330071?extraParams=%7B%22display_model_id%22%3A186217199083%2C%22model_selection_logic%22%3A3%7D&sp_atk=0d627880-dfed-4116-abc0-da3eb2ef96b0&xptdk=0d627880-dfed-4116-abc0-da3eb2ef96b0,,
https://down-id.img.susercontent.com/file/id-11134207-81ztq-mfhqxxud4mj020,,"POCO M7 (8GB/256GB) Baterai besar 7000mAh dengan pengisian daya 33W | Layar imersif 6.9"" 144Hz | Ekspansi RAM hingga 16GB + UFS 2.2 256GB | 50MP kamera ganda AI [Official Store]",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.749.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4RB+ Terjual,,,,"POCO M7 (8GB/256GB) Baterai besar 7000mAh dengan pengisian daya 33W | Layar imersif 6.9"" 144Hz | Ekspansi RAM hingga 16GB + UFS 2.2 256GB | 50MP kamera ganda AI [Official Store]
Rp
2.749.000
4.9
4RB+ Terjual
3 Hari
Kab. Tangerang",https://shopee.co.id/POCO-M7-(8GB-256GB)-Baterai-besar-7000mAh-dengan-pengisian-daya-33W-Layar-imersif-6.9-144Hz-Ekspansi-RAM-hingga-16GB-UFS-2.2-256GB-50MP-kamera-ganda-AI-Official-Store--i.51925611.42920572345?extraParams=%7B%22display_model_id%22%3A196277951901%2C%22model_selection_logic%22%3A3%7D&sp_atk=8a654f55-bd38-420f-897a-ffea00f55983&xptdk=8a654f55-bd38-420f-897a-ffea00f55983,,
https://down-id.img.susercontent.com/file/id-11134207-8224z-mfw7g8z9d9u58e,,"POCO M7 (8GB/256GB) Baterai besar 7000mAh dengan pengisian daya 33W | Layar imersif 6.9"" 144Hz | Ekspansi RAM hingga 16GB + UFS 2.2 256GB | 50MP kamera ganda AI [Official Store]",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.729.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,1RB+ Terjual,,,,"POCO M7 (8GB/256GB) Baterai besar 7000mAh dengan pengisian daya 33W | Layar imersif 6.9"" 144Hz | Ekspansi RAM hingga 16GB + UFS 2.2 256GB | 50MP kamera ganda AI [Official Store]
Rp
2.729.000
-1%
5.0
1RB+ Terjual
3-5 Hari
Kab. Tangerang",https://shopee.co.id/POCO-M7-(8GB-256GB)-Baterai-besar-7000mAh-dengan-pengisian-daya-33W-Layar-imersif-6.9-144Hz-Ekspansi-RAM-hingga-16GB-UFS-2.2-256GB-50MP-kamera-ganda-AI-Official-Store--i.1632696269.43423217950?extraParams=%7B%22display_model_id%22%3A291888664746%2C%22model_selection_logic%22%3A3%7D&sp_atk=dd8126b3-e0b7-40aa-94cc-9e587ea5e5f7&xptdk=dd8126b3-e0b7-40aa-94cc-9e587ea5e5f7,,
