-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-ellipsis,img,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,truncate,_container,_container_link,text-shopee-green,img_2,text-xs_2,text-shopee-primary,pointer-events-none_3
https://down-id.img.susercontent.com/file/id-11134207-7qul1-liu8uk0411fffc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Poco C40 4/64 Second Fullset Kondisi 98% Mulus,Rp,1.099.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,"Poco C40 4/64 Second Fullset Kondisi 98% Mulus
Rp
1.099.000
5.0
3 Terjual
< 2 Hari
Surabaya",https://shopee.co.id/Poco-C40-4-64-Second-Fullset-Kondisi-98-Mulus-i.230315394.16595207612?extraParams=%7B%22display_model_id%22%3A204408526597%2C%22model_selection_logic%22%3A3%7D&sp_atk=4ae885fb-28a1-428c-8c68-0f7cdd0712d9&xptdk=4ae885fb-28a1-428c-8c68-0f7cdd0712d9,,,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk9-m6zsr3c1nja938,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Poco X6 12/256 Second Mulus Terawat Fullset,Rp,3.193.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,17 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Poco X6 12/256 Second Mulus Terawat Fullset
Rp
3.193.000
5.0
17 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/Poco-X6-12-256-Second-Mulus-Terawat-Fullset-i.309409025.25191081906?extraParams=%7B%22display_model_id%22%3A129230602091%2C%22model_selection_logic%22%3A3%7D&sp_atk=8bb0b1de-9019-4a0e-9c6e-03768d2b1aff&xptdk=8bb0b1de-9019-4a0e-9c6e-03768d2b1aff,,,,,
https://down-id.img.susercontent.com/file/id-11134207-822wk-mlslo4j6ksnj93,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Poco F7 atau Poco F6 5g 12/512 Second Komplit Nominus Siap Lembur,Rp,3.999.999,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Poco F7 atau Poco F6 5g 12/512 Second Komplit Nominus Siap Lembur
Rp
3.999.999
2 Terjual
< 2 Hari
Surakarta (Solo)",https://shopee.co.id/Poco-F7-atau-Poco-F6-5g-12-512-Second-Komplit-Nominus-Siap-Lembur-i.133913527.47857220141?extraParams=%7B%22display_model_id%22%3A196383033557%2C%22model_selection_logic%22%3A3%7D&sp_atk=56da4d23-66b6-40f2-a993-0fc856d4e5e2&xptdk=56da4d23-66b6-40f2-a993-0fc856d4e5e2,,,,,
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m61zyxfivms603,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,POCO X6 PRO 5G RAM 12/512 SECOND FULLSET,Rp,3.670.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,233 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"POCO X6 PRO 5G RAM 12/512 SECOND FULLSET
Rp
3.670.000
5.0
233 Terjual
2-4 Hari
Kab. Bandung",https://shopee.co.id/POCO-X6-PRO-5G-RAM-12-512-SECOND-FULLSET-i.596153850.28567871083?extraParams=%7B%22display_model_id%22%3A400641909274%2C%22model_selection_logic%22%3A3%7D&sp_atk=504e53fd-28e2-49dd-b3ee-b6baa68d6c9f&xptdk=504e53fd-28e2-49dd-b3ee-b6baa68d6c9f,,,,,
https://down-id.img.susercontent.com/file/id-11134207-822wq-mn7edfcjjwuge2,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,POCO f5 8/ 256 second fullset like new,Rp,2.750.000,,,,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Pidie,,,"POCO f5 8/ 256 second fullset like new
Rp
2.750.000
4-7 Hari
Kab. Pidie",https://shopee.co.id/POCO-f5-8-256-second-fullset-like-new-i.7963683.48059089650?extraParams=%7B%22display_model_id%22%3A415804325889%2C%22model_selection_logic%22%3A3%7D&sp_atk=149ed9a3-fcd5-4a0e-ac7e-e2f12b191d30&xptdk=149ed9a3-fcd5-4a0e-ac7e-e2f12b191d30,,,,,
https://down-id.img.susercontent.com/file/id-11134207-81zto-mf577r3fy03t38,,Xiaomi Poco C71 4/128 GB Garansi Resmi Indonesia Second Bekas Original,Rp,1.249.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Xiaomi Poco C71 4/128 GB Garansi Resmi Indonesia Second Bekas Original
Rp
1.249.000
5.0
10 Terjual
3 Hari
Jakarta Utara",https://shopee.co.id/Xiaomi-Poco-C71-4-128-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.42121849562?extraParams=%7B%22display_model_id%22%3A350405564762%2C%22model_selection_logic%22%3A3%7D&sp_atk=cc9c7a04-a5ec-4230-8adc-d4ebb79e1e1f&xptdk=cc9c7a04-a5ec-4230-8adc-d4ebb79e1e1f,,,,,
https://down-id.img.susercontent.com/file/id-11134207-822wu-mn192k10ym12a3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Poco M5 4/128 GB second original resmi ex xiaomi official store normal ram 4gb storage 128gb dual 4G nano sim bekas,Rp,1.296.000,,,,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,"Poco M5 4/128 GB second original resmi ex xiaomi official store normal ram 4gb storage 128gb dual 4G nano sim bekas
Rp
1.296.000
3-6 Hari
Malang",https://shopee.co.id/Poco-M5-4-128-GB-second-original-resmi-ex-xiaomi-official-store-normal-ram-4gb-storage-128gb-dual-4G-nano-sim-bekas-i.52277711.55908806774?extraParams=%7B%22display_model_id%22%3A410781840531%2C%22model_selection_logic%22%3A3%7D&sp_atk=6b72356f-08cc-442c-a6c6-eb03b0b0afe2&xptdk=6b72356f-08cc-442c-a6c6-eb03b0b0afe2,,,,,
https://down-id.img.susercontent.com/file/id-11134207-82250-mipzj645ihvk1d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,POCO M6 8/256GB SECOND MULUS TERAWAT,Rp,1.993.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Produk Baru,"POCO M6 8/256GB SECOND MULUS TERAWAT
Rp
1.993.000
Produk Baru
5.0
8 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/POCO-M6-8-256GB-SECOND-MULUS-TERAWAT-i.309409025.48753811738?extraParams=%7B%22display_model_id%22%3A440360105529%2C%22model_selection_logic%22%3A3%7D&sp_atk=d2f9b2e0-1a96-4e65-8fd9-3a55bf2e371f&xptdk=d2f9b2e0-1a96-4e65-8fd9-3a55bf2e371f,,,,,
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn423qkq6b5tef,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Poco F4 5G 6/128 second,Rp,1.600.000,,,,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjar,,,"Poco F4 5G 6/128 second
Rp
1.600.000
4-7 Hari
Banjar",https://shopee.co.id/Poco-F4-5G-6-128-second-i.170836397.47308889572?extraParams=%7B%22display_model_id%22%3A435787232186%2C%22model_selection_logic%22%3A3%7D&sp_atk=0882b6f7-fbbf-43a2-be96-9e3b11cf3cab&xptdk=0882b6f7-fbbf-43a2-be96-9e3b11cf3cab,,,,,
https://down-id.img.susercontent.com/file/id-11134207-7qul1-lht270bnrq5a4f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Poco X3 NFC 6/64 8/128 Second Mulus Kamera Terbaik,Rp,2.149.999,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,691 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Poco X3 NFC 6/64 8/128 Second Mulus Kamera Terbaik
Rp
2.149.999
5.0
691 Terjual
< 2 Hari
Surakarta (Solo)",https://shopee.co.id/Poco-X3-NFC-6-64-8-128-Second-Mulus-Kamera-Terbaik-i.133913527.22970535513?extraParams=%7B%22display_model_id%22%3A445543651258%2C%22model_selection_logic%22%3A3%7D&sp_atk=d2f3419c-dd82-4abb-9ba0-e1b7ece6facd&xptdk=d2f3419c-dd82-4abb-9ba0-e1b7ece6facd,,,,,
