-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,pointer-events-none_2,align-middle,w-auto,text-white,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-82251-mitwphkmcqo7e3,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,Asus Zenfone Go 1/8 Gb WIFI ONLY | NEW,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,199.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"Scrape to BigSeller
Asus Zenfone Go 1/8 Gb WIFI ONLY | NEW
Rp
199.000
Produk Baru
5.0
8 Terjual
3-4 Hari
Jakarta Barat",https://shopee.co.id/Asus-Zenfone-Go-1-8-Gb-WIFI-ONLY-NEW-i.729746479.42527627650?extraParams=%7B%22display_model_id%22%3A400369535242%2C%22model_selection_logic%22%3A3%7D&sp_atk=895a326a-cf07-4db1-9143-7aae4d4e5e17&xptdk=895a326a-cf07-4db1-9143-7aae4d4e5e17
https://down-id.img.susercontent.com/file/id-11134207-82250-mjcdx40um03rfa,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Handphone Asus Z007 ZENFONE C 1/8 GB Second Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,135.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,,,,"Scrape to BigSeller
Handphone Asus Z007 ZENFONE C 1/8 GB Second Original
Rp
135.000
Produk Baru
5.0
4 Terjual
3-4 Hari
Kab. Bogor",https://shopee.co.id/Handphone-Asus-Z007-ZENFONE-C-1-8-GB-Second-Original-i.445423666.55254448541?extraParams=%7B%22display_model_id%22%3A355417321264%2C%22model_selection_logic%22%3A3%7D&sp_atk=9ecd2c7f-0cbb-4e06-aa5b-28bd80bf5e38&xptdk=9ecd2c7f-0cbb-4e06-aa5b-28bd80bf5e38
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m9ed3u1ard9p4b,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,ASUS ZENFONE 4 MAX 3/32GB & ASUS ZENFONE 4 MAX PRO 3/32GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,399.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.9,20 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
ASUS ZENFONE 4 MAX 3/32GB & ASUS ZENFONE 4 MAX PRO 3/32GB
Rp
399.000
3.9
20 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/ASUS-ZENFONE-4-MAX-3-32GB-ASUS-ZENFONE-4-MAX-PRO-3-32GB-i.729746479.24195005421?extraParams=%7B%22display_model_id%22%3A248416035849%2C%22model_selection_logic%22%3A3%7D&sp_atk=bef901f6-d9f7-4d0b-9d0c-5fa945c02f8b&xptdk=bef901f6-d9f7-4d0b-9d0c-5fa945c02f8b
https://down-id.img.susercontent.com/file/id-11134207-8224s-mjnmdpyx7xtt39,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Zenfone Max M2 Android Gaming SD Gen6,,Rp,455.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
Asus Zenfone Max M2 Android Gaming SD Gen6
Rp
455.000
5.0
2 Terjual
< 2 Hari
Kab. Bogor",https://shopee.co.id/Asus-Zenfone-Max-M2-Android-Gaming-SD-Gen6-i.140878459.45504930799?extraParams=%7B%22display_model_id%22%3A216357818104%2C%22model_selection_logic%22%3A3%7D&sp_atk=ccc1f0d4-8666-4ec4-a00f-ba05c8b2166d&xptdk=ccc1f0d4-8666-4ec4-a00f-ba05c8b2166d
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mdl37y86va9g10,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,ASUS ZENFONE 2 LASER 3/32GB NEW,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,349.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.3,7 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
ASUS ZENFONE 2 LASER 3/32GB NEW
Rp
349.000
4.3
7 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/ASUS-ZENFONE-2-LASER-3-32GB-NEW-i.729746479.42113848800?extraParams=%7B%22display_model_id%22%3A281144727668%2C%22model_selection_logic%22%3A3%7D&sp_atk=d33b720c-c1d6-4815-9cee-4d39d5b144c5&xptdk=d33b720c-c1d6-4815-9cee-4d39d5b144c5
https://down-id.img.susercontent.com/file/39363a696e573a873597d85574bda048,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,ASUS Zenfone Flash,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,155 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
ASUS Zenfone Flash
Rp
9.000
4.9
155 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/ASUS-Zenfone-Flash-i.33282566.894355700?extraParams=%7B%22display_model_id%22%3A31161715678%2C%22model_selection_logic%22%3A2%7D&sp_atk=e194e4ef-34b3-442f-a6b3-18f3e8c99ab5&xptdk=e194e4ef-34b3-442f-a6b3-18f3e8c99ab5
https://down-id.img.susercontent.com/file/id-11134207-8224r-mgt3alnt340bd3,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,ASUS ZENFONE 2 2/16 GB | (ZE550ML),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,299.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
ASUS ZENFONE 2 2/16 GB | (ZE550ML)
Rp
299.000
< 2 Hari
Jakarta Barat",https://shopee.co.id/ASUS-ZENFONE-2-2-16-GB-(ZE550ML)-i.729746479.52451018158?extraParams=%7B%22display_model_id%22%3A365092433462%2C%22model_selection_logic%22%3A3%7D&sp_atk=2e0e1bf5-c5bf-4249-b225-c5402cfb864a&xptdk=2e0e1bf5-c5bf-4249-b225-c5402cfb864a
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmerlsgdyio80f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Zenfone Live,,Rp,275.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
Asus Zenfone Live
Rp
275.000
< 2 Hari
Kab. Bogor",https://shopee.co.id/Asus-Zenfone-Live-i.140878459.42129604751?extraParams=%7B%22display_model_id%22%3A59602913925%2C%22model_selection_logic%22%3A3%7D&sp_atk=92974eaa-6e47-4393-8e6a-6fd5f6a55b97&xptdk=92974eaa-6e47-4393-8e6a-6fd5f6a55b97
https://down-id.img.susercontent.com/file/sg-11134201-22090-8ern53kqvthv1c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASSUS ZENFONE C/ASSUS_Z007 NORMAL SIAP PAKAI,,Rp,200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,"Scrape to BigSeller
ASSUS ZENFONE C/ASSUS_Z007 NORMAL SIAP PAKAI
Rp
200.000
5.0
2 Terjual
3-4 Hari
Kab. Cirebon",https://shopee.co.id/ASSUS-ZENFONE-C-ASSUS_Z007-NORMAL-SIAP-PAKAI-i.865048652.19148946633?extraParams=%7B%22display_model_id%22%3A164574696574%2C%22model_selection_logic%22%3A3%7D&sp_atk=a91def88-af34-4fe5-ad97-fa3c25d581b9&xptdk=a91def88-af34-4fe5-ad97-fa3c25d581b9
https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m9gwf175vouq1e,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,ASUS ZENFONE MAX PLUS 4/64GB NEW 100%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,599.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
ASUS ZENFONE MAX PLUS 4/64GB NEW 100%
Rp
599.000
3.0
6 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/ASUS-ZENFONE-MAX-PLUS-4-64GB-NEW-100--i.729746479.26836293962?extraParams=%7B%22display_model_id%22%3A186073867091%2C%22model_selection_logic%22%3A3%7D&sp_atk=65109d70-a5c1-4729-98b5-24794735ab31&xptdk=65109d70-a5c1-4729-98b5-24794735ab31
