-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,truncate,inline-block,text-shopee-primary,img_2,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224t-mfsdiq5sjspb06,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus ZenFone Max Pro M1 RAM 6GB 64GB Garansi Resmi!,Rp,799.000,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Asus ZenFone Max Pro M1 RAM 6GB 64GB Garansi Resmi!
Rp
799.000
5.0
2 Terjual
Besok
Surabaya",https://shopee.co.id/Asus-ZenFone-Max-Pro-M1-RAM-6GB-64GB-Garansi-Resmi!-i.198773392.24361348079?extraParams=%7B%22display_model_id%22%3A271946716368%2C%22model_selection_logic%22%3A3%7D&sp_atk=af82939c-1bc3-4e2d-ba10-3e29066b187e&xptdk=af82939c-1bc3-4e2d-ba10-3e29066b187e
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mcvo2pzhm8lz50,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Asus zenfone max pro M2 4/64,Rp,700.000,,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,"Scrape to BigSeller
Asus zenfone max pro M2 4/64
Rp
700.000
4-7 Hari
Kab. Cirebon",https://shopee.co.id/Asus-zenfone-max-pro-M2-4-64-i.98712330.42661130685?extraParams=%7B%22display_model_id%22%3A280933421785%2C%22model_selection_logic%22%3A3%7D&sp_atk=0498b091-20c3-478b-805a-dd685a4db406&xptdk=0498b091-20c3-478b-805a-dd685a4db406
https://down-id.img.susercontent.com/file/id-11134207-7ra0j-md47czbbmbdk41,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus ROG 2 8/128gb TAM second,Rp,2.425.000,5.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Asus ROG 2 8/128gb TAM second
Rp
2.425.000
5.0
6 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/Asus-ROG-2-8-128gb-TAM-second-i.232169049.27839582057?extraParams=%7B%22display_model_id%22%3A265991713484%2C%22model_selection_logic%22%3A3%7D&sp_atk=9d1e39da-5c38-4d71-a6d0-47ffecef3c6d&xptdk=9d1e39da-5c38-4d71-a6d0-47ffecef3c6d
https://down-id.img.susercontent.com/file/8aaca30a1072669910c942f4fbedb147,https://down-id.img.susercontent.com/file/id-11134258-822wp-mlyjp115kz5tc6,Asus Zenfone 3 Max ZC520KL Ram 2gb Rom 16gb garansi resmi,Rp,2.065.000,,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Cicilan,,,,,"Scrape to BigSeller
Asus Zenfone 3 Max ZC520KL Ram 2gb Rom 16gb garansi resmi
Rp
2.065.000
Cicilan
3-4 Hari
Jakarta Pusat",https://shopee.co.id/Asus-Zenfone-3-Max-ZC520KL-Ram-2gb-Rom-16gb-garansi-resmi-i.6729887.80352956?extraParams=%7B%22display_model_id%22%3A71864215837%2C%22model_selection_logic%22%3A3%7D&sp_atk=582ba96f-7e68-4798-8617-f79871f1cd43&xptdk=582ba96f-7e68-4798-8617-f79871f1cd43
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn17ts6l2s5gce,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus ROG Phone 5 RAM 12/256GB Garansi Resmi Asus,Rp,7.228.000,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"Scrape to BigSeller
Asus ROG Phone 5 RAM 12/256GB Garansi Resmi Asus
Rp
7.228.000
< 2 Hari
Tangerang",https://shopee.co.id/Asus-ROG-Phone-5-RAM-12-256GB-Garansi-Resmi-Asus-i.228771622.46258811136?extraParams=%7B%22display_model_id%22%3A440781008814%2C%22model_selection_logic%22%3A3%7D&sp_atk=dd0f3187-83a1-4f73-9133-934ec01b35df&xptdk=dd0f3187-83a1-4f73-9133-934ec01b35df
https://down-id.img.susercontent.com/file/id-11134201-23030-4tm2fflsriov9f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ASUS ZENFONE 9 RAM 6/128GB, 16/256gb, 8/256gb - GARANSI RESMI",Rp,8.449.000,4.9,29 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Madiun,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-14%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
ASUS ZENFONE 9 RAM 6/128GB, 16/256gb, 8/256gb - GARANSI RESMI
Rp
8.449.000
-14%
4.9
29 Terjual
2-3 Hari
Madiun",https://shopee.co.id/ASUS-ZENFONE-9-RAM-6-128GB-16-256gb-8-256gb-GARANSI-RESMI-i.55231304.22305029084?extraParams=%7B%22display_model_id%22%3A231587852803%2C%22model_selection_logic%22%3A3%7D&sp_atk=405944db-19cf-4fb2-91a6-5094f2edec92&xptdk=405944db-19cf-4fb2-91a6-5094f2edec92
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmw0n74mww0099,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus Zenfone 10 8/128 5G Mulus Lengkap Fullset Nominus Original,Rp,5.600.000,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"Scrape to BigSeller
Asus Zenfone 10 8/128 5G Mulus Lengkap Fullset Nominus Original
Rp
5.600.000
1 Terjual
< 2 Hari
Surakarta (Solo)",https://shopee.co.id/Asus-Zenfone-10-8-128-5G-Mulus-Lengkap-Fullset-Nominus-Original-i.775552360.48258605944?extraParams=%7B%22display_model_id%22%3A282524203116%2C%22model_selection_logic%22%3A3%7D&sp_atk=5fa1bd93-50c1-4e80-9299-f5e3188cdbee&xptdk=5fa1bd93-50c1-4e80-9299-f5e3188cdbee
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lypvgcg79a7cdc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Zenfone 8 ZS590KS 256Gb Fulllset Termurah Bergaransi,Rp,3.799.999,5.0,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Asus Zenfone 8 ZS590KS 256Gb Fulllset Termurah Bergaransi
Rp
3.799.999
5.0
5 Terjual
< 2 Hari
Kab. Bekasi",https://shopee.co.id/Asus-Zenfone-8-ZS590KS-256Gb-Fulllset-Termurah-Bergaransi-i.61482812.26354172057?extraParams=%7B%22display_model_id%22%3A232953585719%2C%22model_selection_logic%22%3A3%7D&sp_atk=234dbb96-f930-4aa6-8a1c-ed974bca89b3&xptdk=234dbb96-f930-4aa6-8a1c-ed974bca89b3
https://down-id.img.susercontent.com/file/id-11134207-8224t-mipob71iji1395,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Asus Rog Phone 9 Series Aero Coller Original Resmi,Rp,1.599.000,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Asus Rog Phone 9 Series Aero Coller Original Resmi
Rp
1.599.000
5.0
1 Terjual
3-4 Hari
Jakarta Selatan",https://shopee.co.id/Asus-Rog-Phone-9-Series-Aero-Coller-Original-Resmi-i.29114753.28069167599?extraParams=%7B%22display_model_id%22%3A198021783649%2C%22model_selection_logic%22%3A3%7D&sp_atk=d79db3fa-34f8-4580-91af-5737b0852465&xptdk=d79db3fa-34f8-4580-91af-5737b0852465
https://down-id.img.susercontent.com/file/id-11134207-7qul1-lgsslp1238j0fb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ASUS ZENFONE 5 4/64,5Z 6/128",Rp,2.800.000,,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,"Scrape to BigSeller
ASUS ZENFONE 5 4/64,5Z 6/128
Rp
2.800.000
3-5 Hari
Jakarta Barat",https://shopee.co.id/ASUS-ZENFONE-5-4-64-5Z-6-128-i.12182751.8559608387?extraParams=%7B%22display_model_id%22%3A186744015893%2C%22model_selection_logic%22%3A3%7D&sp_atk=9e2f51f2-20b9-42d0-a5d3-c0d46d07f840&xptdk=9e2f51f2-20b9-42d0-a5d3-c0d46d07f840
