-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-82250-mjcdx40um03rfa,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Handphone Asus Z007 ZENFONE C 1/8 GB Second Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,135.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,,,,"Scrape to BigSeller
Handphone Asus Z007 ZENFONE C 1/8 GB Second Original
Rp
135.000
Produk Baru
5.0
4 Terjual
3-4 Hari
Kab. Bogor",https://shopee.co.id/Handphone-Asus-Z007-ZENFONE-C-1-8-GB-Second-Original-i.445423666.55254448541?extraParams=%7B%22display_model_id%22%3A355417321264%2C%22model_selection_logic%22%3A3%7D&sp_atk=490ba53a-ad45-4ea0-b4d6-1ac9e9899097&xptdk=490ba53a-ad45-4ea0-b4d6-1ac9e9899097
https://down-id.img.susercontent.com/file/sg-11134201-22090-8ern53kqvthv1c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASSUS ZENFONE C/ASSUS_Z007 NORMAL SIAP PAKAI,,Rp,200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,"Scrape to BigSeller
ASSUS ZENFONE C/ASSUS_Z007 NORMAL SIAP PAKAI
Rp
200.000
5.0
2 Terjual
3-4 Hari
Kab. Cirebon",https://shopee.co.id/ASSUS-ZENFONE-C-ASSUS_Z007-NORMAL-SIAP-PAKAI-i.865048652.19148946633?extraParams=%7B%22display_model_id%22%3A164574696574%2C%22model_selection_logic%22%3A3%7D&sp_atk=c268d525-c10e-401f-86b3-c094ad543349&xptdk=c268d525-c10e-401f-86b3-c094ad543349
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkvuww2qpta72c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus z010D 2/32Gb bisa pakai,,Rp,175.000,,,,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Serang,,,,,"Scrape to BigSeller
Asus z010D 2/32Gb bisa pakai
Rp
175.000
3-4 Hari
Serang",https://shopee.co.id/Asus-z010D-2-32Gb-bisa-pakai-i.22801848.21792345852?extraParams=%7B%22display_model_id%22%3A156991515821%2C%22model_selection_logic%22%3A3%7D&sp_atk=8f7bdc31-257d-4a02-b4b4-16244c77357e&xptdk=8f7bdc31-257d-4a02-b4b4-16244c77357e
https://down-id.img.susercontent.com/file/id-11134207-8224w-mjmfq2gbpm9x3a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Asus Z007 ZENFONE C 1/8 GB Second Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,135.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.5,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
Asus Z007 ZENFONE C 1/8 GB Second Original
Rp
135.000
Produk Baru
3.5
4 Terjual
< 2 Hari
Kab. Bogor",https://shopee.co.id/Asus-Z007-ZENFONE-C-1-8-GB-Second-Original-i.445423666.45254463318?extraParams=%7B%22display_model_id%22%3A445417139367%2C%22model_selection_logic%22%3A3%7D&sp_atk=72d9ef6d-aaea-46b0-b5ed-4ba113805772&xptdk=72d9ef6d-aaea-46b0-b5ed-4ba113805772
https://down-id.img.susercontent.com/file/id-11134207-822wr-mmljf2tf05qb6d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus zenfon flip 7 bekas kondisi mulus 96% batre awet normal,,Rp,1.290.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-13%,,"Scrape to BigSeller
Asus zenfon flip 7 bekas kondisi mulus 96% batre awet normal
Rp
1.290.000
-13%
< 2 Hari
Kab. Indramayu",https://shopee.co.id/Asus-zenfon-flip-7-bekas-kondisi-mulus-96-batre-awet-normal-i.195983364.49658201620?extraParams=%7B%22display_model_id%22%3A350726580461%2C%22model_selection_logic%22%3A3%7D&sp_atk=4dff1f2b-29e3-4001-8392-0b6cb7ced826&xptdk=4dff1f2b-29e3-4001-8392-0b6cb7ced826
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mckh3oimafjr33,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus ZenFone Live (L1) ZA550KL HP ANDROID SECOND NORMAL,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,340.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kudus,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
Asus ZenFone Live (L1) ZA550KL HP ANDROID SECOND NORMAL
Rp
340.000
5.0
5 Terjual
< 2 Hari
Kab. Kudus",https://shopee.co.id/Asus-ZenFone-Live-(L1)-ZA550KL-HP-ANDROID-SECOND-NORMAL-i.333519876.15497722816?extraParams=%7B%22display_model_id%22%3A214390951461%2C%22model_selection_logic%22%3A3%7D&sp_atk=48043075-753e-4780-8d58-db82cda0eba6&xptdk=48043075-753e-4780-8d58-db82cda0eba6
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmsjrzzno64o7c,https://down-id.img.susercontent.com/file/id-11134258-7ra0r-mbetcosmf42z25,Unit Second Asus Max Pro M1 3/32GB Normal Minus Touchscreen,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,350.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
Unit Second Asus Max Pro M1 3/32GB Normal Minus Touchscreen
Rp
350.000
5.0
5 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/Unit-Second-Asus-Max-Pro-M1-3-32GB-Normal-Minus-Touchscreen-i.507699530.26700255926?extraParams=%7B%22display_model_id%22%3A226344878958%2C%22model_selection_logic%22%3A3%7D&sp_atk=03ea4e70-6901-4173-8b66-56b1be1bda03&xptdk=03ea4e70-6901-4173-8b66-56b1be1bda03
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mc5sl43jdkv6ee,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus Zenfone 4 Max Bekas,,Rp,300.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
Asus Zenfone 4 Max Bekas
Rp
300.000
< 2 Hari
Makassar",https://shopee.co.id/Asus-Zenfone-4-Max-Bekas-i.4478665.40408422546?extraParams=%7B%22display_model_id%22%3A305710267650%2C%22model_selection_logic%22%3A3%7D&sp_atk=d07a850f-6087-47bf-8966-0f01744dfec5&xptdk=d07a850f-6087-47bf-8966-0f01744dfec5
https://down-id.img.susercontent.com/file/sg-11134201-22110-617n2nr27ckvf1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus Zenfone 5 Minuss,,Rp,115.000,,,,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,,,"Scrape to BigSeller
Asus Zenfone 5 Minuss
Rp
115.000
4-7 Hari
Jakarta Selatan",https://shopee.co.id/Asus-Zenfone-5-Minuss-i.131632897.23807791398?extraParams=%7B%22display_model_id%22%3A203349342677%2C%22model_selection_logic%22%3A3%7D&sp_atk=eb7cf09a-17da-41b9-8c8b-85ca782e22de&xptdk=eb7cf09a-17da-41b9-8c8b-85ca782e22de
https://down-id.img.susercontent.com/file/id-11134207-7r98u-llbp70g82ryq4d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HANDPHONE BEKAS SECOND ASUS ZENFONE MAX ZC550KL MATI TOTAL,,Rp,185.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
HANDPHONE BEKAS SECOND ASUS ZENFONE MAX ZC550KL MATI TOTAL
Rp
185.000
< 2 Hari
Jakarta Pusat",https://shopee.co.id/HANDPHONE-BEKAS-SECOND-ASUS-ZENFONE-MAX-ZC550KL-MATI-TOTAL-i.941744273.17998761607?extraParams=%7B%22display_model_id%22%3A221995519479%2C%22model_selection_logic%22%3A3%7D&sp_atk=e331effe-0016-4ca1-b4dc-377290b53999&xptdk=e331effe-0016-4ca1-b4dc-377290b53999
