-image-yazkc-11,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,img,text-xs/sp14_2,text-shopee-green,-image-yazkc-11_2,truncate,text-xs_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/9cef663bf4e3018252210fa93be82a52,Asus Zenfone 5Q 4/64 GB Ex Resmi Asus Indonesia Second Bekas Seken OK Ex Pemakaian Good Condition,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.590.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,< 2 Hari,,,"Scrape to BigSeller
Asus Zenfone 5Q 4/64 GB Ex Resmi Asus Indonesia Second Bekas Seken OK Ex Pemakaian Good Condition
Rp
1.590.000
< 2 Hari
Jakarta Utara",https://shopee.co.id/Asus-Zenfone-5Q-4-64-GB-Ex-Resmi-Asus-Indonesia-Second-Bekas-Seken-OK-Ex-Pemakaian-Good-Condition-i.304735900.19231076354?extraParams=%7B%22display_model_id%22%3A181601864673%2C%22model_selection_logic%22%3A3%7D&sp_atk=648984ea-8d04-4487-a168-89dc23ac8c0f&xptdk=648984ea-8d04-4487-a168-89dc23ac8c0f
https://down-id.img.susercontent.com/file/id-11134207-7qul5-lin3p9nx3ssw00,Asus Zenfone 4 Max Pro ZC554KL 3/32 GB Ex Resmi Asus Second Bekas Ex Pemakaian good Condition,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,990.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2-4 Hari,,,2 Terjual,,,"Scrape to BigSeller
Asus Zenfone 4 Max Pro ZC554KL 3/32 GB Ex Resmi Asus Second Bekas Ex Pemakaian good Condition
Rp
990.000
5.0
2 Terjual
2-4 Hari
Jakarta Utara",https://shopee.co.id/Asus-Zenfone-4-Max-Pro-ZC554KL-3-32-GB-Ex-Resmi-Asus-Second-Bekas-Ex-Pemakaian-good-Condition-i.304735900.9713311637?extraParams=%7B%22display_model_id%22%3A73642226860%2C%22model_selection_logic%22%3A3%7D&sp_atk=e7129e31-1d64-40f3-a97a-8d75728762cc&xptdk=e7129e31-1d64-40f3-a97a-8d75728762cc
https://down-id.img.susercontent.com/file/id-11134207-7r98u-ltby1r753fcpfb,ASUS ROG PHONE 7 8/256 SECOND FULLSET,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.949.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,2 Terjual,,,"Scrape to BigSeller
ASUS ROG PHONE 7 8/256 SECOND FULLSET
Rp
6.949.000
5.0
2 Terjual
< 2 Hari
Kab. Bogor",https://shopee.co.id/ASUS-ROG-PHONE-7-8-256-SECOND-FULLSET-i.586330356.24070946066?extraParams=%7B%22display_model_id%22%3A245540063431%2C%22model_selection_logic%22%3A3%7D&sp_atk=e89de03c-7b42-4293-a187-51e03d454994&xptdk=e89de03c-7b42-4293-a187-51e03d454994
https://down-id.img.susercontent.com/file/id-11134207-7rbk2-m6k269odvhu17d,Asus Rog Phone 3 Second Original,,Rp,3.550.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,1 Terjual,,,"Scrape to BigSeller
Asus Rog Phone 3 Second Original
Rp
3.550.000
5.0
1 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Asus-Rog-Phone-3-Second-Original-i.833146115.24091762657?extraParams=%7B%22display_model_id%22%3A178979119892%2C%22model_selection_logic%22%3A3%7D&sp_atk=5a967b78-59b6-4697-aa83-a178d331d923&xptdk=5a967b78-59b6-4697-aa83-a178d331d923
https://down-id.img.susercontent.com/file/id-11134207-7r98t-luxaaewwl2qvd1,Asus ROG Phone II ZS660KL Second Murah Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.909.999,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,,12-16 Hari,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,12-16 Hari,,,"Scrape to BigSeller
Asus ROG Phone II ZS660KL Second Murah Bergaransi
Rp
2.909.999
12-16 Hari
Kab. Bogor",https://shopee.co.id/Asus-ROG-Phone-II-ZS660KL-Second-Murah-Bergaransi-i.94908760.22315806272?extraParams=%7B%22display_model_id%22%3A245086750557%2C%22model_selection_logic%22%3A3%7D&sp_atk=2bbe73ac-282b-4732-a7ae-e9d903b57013&xptdk=2bbe73ac-282b-4732-a7ae-e9d903b57013
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lukff3xaq6cdea,asus max pro m2 second original,,Rp,1.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,3-4 Hari,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,2 Terjual,,,"Scrape to BigSeller
asus max pro m2 second original
Rp
1.300.000
4.5
2 Terjual
3-4 Hari
Jakarta Barat",https://shopee.co.id/asus-max-pro-m2-second-original-i.954669947.14696784076?extraParams=%7B%22display_model_id%22%3A221152270044%2C%22model_selection_logic%22%3A3%7D&sp_atk=656df5f2-6562-41d3-a033-a3330478069d&xptdk=656df5f2-6562-41d3-a033-a3330478069d
https://down-id.img.susercontent.com/file/id-11134207-7qul6-lir3sivfyja949,Asus Zenfone Max Pro M2 6/64 Ex Resmi Asus Indonesia Bekas Original Ex Pemakaian Good Condition,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.590.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2-4 Hari,,Cicilan,2 Terjual,,,"Scrape to BigSeller
Asus Zenfone Max Pro M2 6/64 Ex Resmi Asus Indonesia Bekas Original Ex Pemakaian Good Condition
Rp
1.590.000
Cicilan
5.0
2 Terjual
2-4 Hari
Jakarta Utara",https://shopee.co.id/Asus-Zenfone-Max-Pro-M2-6-64-Ex-Resmi-Asus-Indonesia-Bekas-Original-Ex-Pemakaian-Good-Condition-i.304735900.7078772604?extraParams=%7B%22display_model_id%22%3A33629946910%2C%22model_selection_logic%22%3A3%7D&sp_atk=0b5c8591-1e05-42cf-940c-d7526ac996ae&xptdk=0b5c8591-1e05-42cf-940c-d7526ac996ae
https://down-id.img.susercontent.com/file/ed36b1591e9e3957ce0e5149538c888d,ASUS ZENFONE MAX PRO M1 6/64 SECOND FULLSET,,Rp,1.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Lamongan,,,3-6 Hari,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,3-6 Hari,,,"Scrape to BigSeller
ASUS ZENFONE MAX PRO M1 6/64 SECOND FULLSET
Rp
1.300.000
3-6 Hari
Kab. Lamongan",https://shopee.co.id/ASUS-ZENFONE-MAX-PRO-M1-6-64-SECOND-FULLSET-i.40887951.21518404771?extraParams=%7B%22display_model_id%22%3A190994112953%2C%22model_selection_logic%22%3A3%7D&sp_atk=95e34837-fbe3-47e0-b2a1-53c83e510fbe&xptdk=95e34837-fbe3-47e0-b2a1-53c83e510fbe
https://down-id.img.susercontent.com/file/6228c7f68d61b60c44cf83f2ae9f939b,Handphone Hp Asus Zenfone Max Pro M2 4/64 Second Seken Bekas Murah,,Rp,950.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.0,3-5 Hari,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Cicilan,6 Terjual,,,"Scrape to BigSeller
Handphone Hp Asus Zenfone Max Pro M2 4/64 Second Seken Bekas Murah
Rp
950.000
Cicilan
3.0
6 Terjual
3-5 Hari
Bekasi",https://shopee.co.id/Handphone-Hp-Asus-Zenfone-Max-Pro-M2-4-64-Second-Seken-Bekas-Murah-i.40845245.2852055500?extraParams=%7B%22display_model_id%22%3A52579018566%2C%22model_selection_logic%22%3A3%7D&sp_atk=2532ce57-b889-4f76-8caa-05a734515b21&xptdk=2532ce57-b889-4f76-8caa-05a734515b21
https://down-id.img.susercontent.com/file/c727b3f2816a381b72d8659e9364f876,Asus Zenfone 3 ZE520KL RAM 4/32 (2nd),,Rp,1.400.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jombang,,,,,Cicilan,,,,"Scrape to BigSeller
Asus Zenfone 3 ZE520KL RAM 4/32 (2nd)
Rp
1.400.000
Cicilan
Kab. Jombang",https://shopee.co.id/Asus-Zenfone-3-ZE520KL-RAM-4-32-(2nd)-i.9858666.7000717953?extraParams=%7B%22display_model_id%22%3A8079779052%2C%22model_selection_logic%22%3A3%7D&sp_atk=f731ca1e-6c5c-4e4c-a1a4-9db40a723de9&xptdk=f731ca1e-6c5c-4e4c-a1a4-9db40a723de9
