-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,truncate,w-auto,text-white,img_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mb9ky81dtsvf32,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HP normal tinggal pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,730.000,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyumas,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
HP normal tinggal pakai
Rp
730.000
4.8
23 Terjual
3-5 Hari
Kab. Banyumas",https://shopee.co.id/HP-normal-tinggal-pakai-i.218859869.28284475108?extraParams=%7B%22display_model_id%22%3A266441716738%2C%22model_selection_logic%22%3A3%7D&sp_atk=7519322c-35d4-482c-8477-dc1aaadbc793&xptdk=7519322c-35d4-482c-8477-dc1aaadbc793
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmjq8pjltkwf14,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,frame only bekas Asus Zenfone live L1/L2,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.500,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purbalingga,,,,,,,"Scrape to BigSeller
frame only bekas Asus Zenfone live L1/L2
Rp
7.500
4-5 Hari
Kab. Purbalingga",https://shopee.co.id/frame-only-bekas-Asus-Zenfone-live-L1-L2-i.955240691.51508102682?extraParams=%7B%22display_model_id%22%3A340719721045%2C%22model_selection_logic%22%3A2%7D&sp_atk=ccea7b9e-4adf-4b8d-a94f-15c883e8e4a9&xptdk=ccea7b9e-4adf-4b8d-a94f-15c883e8e4a9
https://down-id.img.susercontent.com/file/id-11134207-8224s-mj6onupg8uf672,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Frame only bekas Asus Zenfone 3 max zc520tl,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purbalingga,Produk Baru,,,,,,"Scrape to BigSeller
Frame only bekas Asus Zenfone 3 max zc520tl
Rp
10.000
Produk Baru
4-5 Hari
Kab. Purbalingga",https://shopee.co.id/Frame-only-bekas-Asus-Zenfone-3-max-zc520tl-i.725599882.46954308475?extraParams=%7B%22display_model_id%22%3A139486439585%2C%22model_selection_logic%22%3A2%7D&sp_atk=bbefc43e-85f0-407a-9ea2-b62830000e53&xptdk=bbefc43e-85f0-407a-9ea2-b62830000e53
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lpaog47g7b8hc6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Zenfone X009DA 4G LTE  fisik Sesuai foto masih mulus warna hitam,,Rp,275.000,4.6,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,17 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
Asus Zenfone X009DA 4G LTE fisik Sesuai foto masih mulus warna hitam
Rp
275.000
4.6
17 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/Asus-Zenfone-X009DA-4G-LTE-fisik-Sesuai-foto-masih-mulus-warna-hitam-i.287908499.8202318614?extraParams=%7B%22display_model_id%22%3A90156482128%2C%22model_selection_logic%22%3A3%7D&sp_atk=0dc4741b-6c5a-4a85-9fd8-3a19f41c5fc7&xptdk=0dc4741b-6c5a-4a85-9fd8-3a19f41c5fc7
https://down-id.img.susercontent.com/file/id-11134207-7rbk2-magapzwjpi3d29,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,hp Samsung xiaomi LG Asus HTC china lenovo,,Rp,40.000,4.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
hp Samsung xiaomi LG Asus HTC china lenovo
Rp
40.000
4.0
1 Terjual
< 2 Hari
Bekasi",https://shopee.co.id/hp-Samsung-xiaomi-LG-Asus-HTC-china-lenovo-i.82754764.29425045204?extraParams=%7B%22display_model_id%22%3A237335603597%2C%22model_selection_logic%22%3A2%7D&sp_atk=fa557b7c-dfb2-4cf1-becb-adea4e4e16dc&xptdk=fa557b7c-dfb2-4cf1-becb-adea4e4e16dc
https://down-id.img.susercontent.com/file/id-11134207-7r98q-lp8zjp8c72ev45,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,BACKGLASS ASUS ZENFONE 5 ZE620KL ORIGINAL BEKAS,,Rp,70.000,4.2,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
BACKGLASS ASUS ZENFONE 5 ZE620KL ORIGINAL BEKAS
Rp
70.000
4.2
9 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/BACKGLASS-ASUS-ZENFONE-5-ZE620KL-ORIGINAL-BEKAS-i.941744273.22562795227?extraParams=%7B%22display_model_id%22%3A187212021097%2C%22model_selection_logic%22%3A3%7D&sp_atk=d0f77945-b8e1-4139-9ce2-5074a1a1205e&xptdk=d0f77945-b8e1-4139-9ce2-5074a1a1205e
https://down-id.img.susercontent.com/file/id-11134207-23020-te2y9ioalrnvfb,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,frame bekas asus zenfone 3max zc520tL,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purbalingga,,,,,,,"Scrape to BigSeller
frame bekas asus zenfone 3max zc520tL
Rp
10.000
1 Terjual
4-5 Hari
Kab. Purbalingga",https://shopee.co.id/frame-bekas-asus-zenfone-3max-zc520tL-i.725599882.16692872115?extraParams=%7B%22display_model_id%22%3A69259717415%2C%22model_selection_logic%22%3A2%7D&sp_atk=372b50c7-7df3-48c4-bf57-8ff5bf5a0628&xptdk=372b50c7-7df3-48c4-bf57-8ff5bf5a0628
https://down-id.img.susercontent.com/file/id-11134207-8224w-mhmo5g76iy9t44,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus zenfone selfie 3/32GB,,Rp,215.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Asus zenfone selfie 3/32GB
Rp
215.000
< 2 Hari
Kab. Bogor",https://shopee.co.id/Asus-zenfone-selfie-3-32GB-i.1090067830.51852298610?extraParams=%7B%22display_model_id%22%3A415222510281%2C%22model_selection_logic%22%3A3%7D&sp_atk=d0c4b6e1-3197-4f47-bcd6-8b2991a74882&xptdk=d0c4b6e1-3197-4f47-bcd6-8b2991a74882
https://down-id.img.susercontent.com/file/sg-11134201-22120-ft4qjryuwhlv8b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,frame bekas asus zenfone 3 max  ZC553KL,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purbalingga,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
frame bekas asus zenfone 3 max ZC553KL
Rp
10.000
5.0
2 Terjual
4-5 Hari
Kab. Purbalingga",https://shopee.co.id/frame-bekas-asus-zenfone-3-max-ZC553KL-i.725599882.22914094681?extraParams=%7B%22display_model_id%22%3A213625464126%2C%22model_selection_logic%22%3A2%7D&sp_atk=07f5c422-ac71-4aa4-888f-9fe69f6a2a49&xptdk=07f5c422-ac71-4aa4-888f-9fe69f6a2a49
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mbxzfz4r7t5wc7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DI OBRAL MURAH HP SAMSUNG GALAXY A 01 COR  HP NORMAL SIAP PAKE SECOND BERKUALITAS,,Rp,70.000,3.7,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,207 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
DI OBRAL MURAH HP SAMSUNG GALAXY A 01 COR HP NORMAL SIAP PAKE SECOND BERKUALITAS
Rp
70.000
3.7
207 Terjual
3-4 Hari
Kab. Cirebon",https://shopee.co.id/DI-OBRAL-MURAH-HP-SAMSUNG-GALAXY-A-01-COR-HP-NORMAL-SIAP-PAKE-SECOND-BERKUALITAS-i.1525952719.26888481166?extraParams=%7B%22display_model_id%22%3A266242652222%2C%22model_selection_logic%22%3A3%7D&sp_atk=196390b7-5ad8-4d09-82f6-2b37ecdc4577&xptdk=196390b7-5ad8-4d09-82f6-2b37ecdc4577
