-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,img,text-xs/sp14_2,text-shopee-primary,pointer-events-none_3,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rasc-m4wvoo01ch7ad7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Handphone Asus Zenfone 3 Max 5.5 MINUS LCD Rusak,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,180.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,,,,"Scrape to BigSeller
Handphone Asus Zenfone 3 Max 5.5 MINUS LCD Rusak
Rp
180.000
3-4 Hari
Jakarta Pusat",https://shopee.co.id/Handphone-Asus-Zenfone-3-Max-5.5-MINUS-LCD-Rusak-i.627578040.25540397867?extraParams=%7B%22display_model_id%22%3A242453952771%2C%22model_selection_logic%22%3A3%7D&sp_atk=4e3091e0-4037-4af1-8f8e-8174ea15db2a&xptdk=4e3091e0-4037-4af1-8f8e-8174ea15db2a
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lnh2r8op9ce9fe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Hp asus,,Rp,2.025.025,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Blora,,,,,,,,"Scrape to BigSeller
Hp asus
Rp
2.025.025
4-7 Hari
Kab. Blora",https://shopee.co.id/Hp-asus-i.697537493.18685866091?extraParams=%7B%22display_model_id%22%3A49716651261%2C%22model_selection_logic%22%3A3%7D&sp_atk=3aa42614-bf40-4b7e-8159-96d38af13239&xptdk=3aa42614-bf40-4b7e-8159-96d38af13239
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmw0n74mu2v418,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus Zenfone 10 8/128 5G Mulus Lengkap Fullset Nominus Original,,Rp,5.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,"Scrape to BigSeller
Asus Zenfone 10 8/128 5G Mulus Lengkap Fullset Nominus Original
Rp
5.600.000
1 Terjual
Besok
Surakarta (Solo)",https://shopee.co.id/Asus-Zenfone-10-8-128-5G-Mulus-Lengkap-Fullset-Nominus-Original-i.775552360.48258605944?extraParams=%7B%22display_model_id%22%3A282524203116%2C%22model_selection_logic%22%3A3%7D&sp_atk=93deaea5-5308-445f-91a9-ec2e5f0d83e7&xptdk=93deaea5-5308-445f-91a9-ec2e5f0d83e7
https://down-id.img.susercontent.com/file/id-11134207-8224r-mhus27g4side86,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS ROG Phone 8  – HP Gaming Terkuat Snapdragon 8 Gen 3,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Scrape to BigSeller
ASUS ROG Phone 8 – HP Gaming Terkuat Snapdragon 8 Gen 3
Rp
6.500.000
5.0
2 Terjual
5-7 Hari
Depok",https://shopee.co.id/ASUS-ROG-Phone-8-%E2%80%93-HP-Gaming-Terkuat-Snapdragon-8-Gen-3-i.267648802.45102630564?extraParams=%7B%22display_model_id%22%3A325251674696%2C%22model_selection_logic%22%3A3%7D&sp_atk=b4666f2a-f6a9-415b-9446-a7519f0ab564&xptdk=b4666f2a-f6a9-415b-9446-a7519f0ab564
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lwoz2nmn3j8eeb,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,hp Asus Zenfone 2 laser,,Rp,150.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,,,"Scrape to BigSeller
hp Asus Zenfone 2 laser
Rp
150.000
Jakarta Utara",https://shopee.co.id/hp-Asus-Zenfone-2-laser-i.38298008.27103183804?extraParams=%7B%22display_model_id%22%3A222914457742%2C%22model_selection_logic%22%3A3%7D&sp_atk=652bee8d-7bd1-4940-b566-341500fda96f&xptdk=652bee8d-7bd1-4940-b566-341500fda96f
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlu794y39n2b3b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Asus Zenfone 4s A450CG 4/64GB,unit only",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,475.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,"Scrape to BigSeller
Asus Zenfone 4s A450CG 4/64GB,unit only
Rp
475.000
Besok
Depok",https://shopee.co.id/Asus-Zenfone-4s-A450CG-4-64GB-unit-only-i.1677819636.51107245458?extraParams=%7B%22display_model_id%22%3A420644778412%2C%22model_selection_logic%22%3A3%7D&sp_atk=15e698eb-4ba5-46ef-b703-87fd612182cd&xptdk=15e698eb-4ba5-46ef-b703-87fd612182cd
https://down-id.img.susercontent.com/file/id-11134207-7rase-m31mjuwdypjpbc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Zenfone Max M2 C11P1805 Ori Copotan bawaan HP,,Rp,50.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Scrape to BigSeller
Asus Zenfone Max M2 C11P1805 Ori Copotan bawaan HP
Rp
50.000
5.0
1 Terjual
2-3 Hari
Kab. Bandung",https://shopee.co.id/Asus-Zenfone-Max-M2-C11P1805-Ori-Copotan-bawaan-HP-i.11632011.27018812047?extraParams=%7B%22display_model_id%22%3A257121128864%2C%22model_selection_logic%22%3A2%7D&sp_atk=e60c96cf-ef44-47b1-8f46-c3d193359fc8&xptdk=e60c96cf-ef44-47b1-8f46-c3d193359fc8
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lm4gs6w6bqn5a9,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Tam | Asus Zenfone 10 | 9 | 16/512GB 256GB 8/256GB 128GB Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.784.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,49 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Scrape to BigSeller
Tam | Asus Zenfone 10 | 9 | 16/512GB 256GB 8/256GB 128GB Garansi Resmi
Rp
4.784.000
-1%
4.9
49 Terjual
Besok
Tangerang Selatan",https://shopee.co.id/Tam-Asus-Zenfone-10-9-16-512GB-256GB-8-256GB-128GB-Garansi-Resmi-i.274506086.22481517297?extraParams=%7B%22display_model_id%22%3A137714893906%2C%22model_selection_logic%22%3A3%7D&sp_atk=9cd48f29-b57c-45f9-ad03-fb0f904cba89&xptdk=9cd48f29-b57c-45f9-ad03-fb0f904cba89
https://down-id.img.susercontent.com/file/sg-11134201-23010-mihiyo5b72lv81,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,asus zenfone live A007,,Rp,200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Karangasem,,,,,,,,"Scrape to BigSeller
asus zenfone live A007
Rp
200.000
4-8 Hari
Kab. Karangasem",https://shopee.co.id/asus-zenfone-live-A007-i.3395090.22617227408?extraParams=%7B%22display_model_id%22%3A230718430331%2C%22model_selection_logic%22%3A3%7D&sp_atk=31479dfd-c27e-45ad-b9ce-b65c569d8977&xptdk=31479dfd-c27e-45ad-b9ce-b65c569d8977
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmd3m5frudq9fd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ASUS ZENFONE MAX PRO M1 4/64 (bisa nego),,Rp,610.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palangka Raya,,,,,,,,"Scrape to BigSeller
ASUS ZENFONE MAX PRO M1 4/64 (bisa nego)
Rp
610.000
3-7 Hari
Palangka Raya",https://shopee.co.id/ASUS-ZENFONE-MAX-PRO-M1-4-64-(bisa-nego)-i.98171391.44129590707?extraParams=%7B%22display_model_id%22%3A330697890832%2C%22model_selection_logic%22%3A3%7D&sp_atk=3166aea4-c5c0-458f-b686-77d9c5a35d9c&xptdk=3166aea4-c5c0-458f-b686-77d9c5a35d9c
