-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,truncate,img_2,text-shopee-primary,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224y-mi1q0wz8q3gh5b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,asus rog 9 FE 12 / 256 resmi full ori garansi,Rp,7.500.000,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
asus rog 9 FE 12 / 256 resmi full ori garansi
Rp
7.500.000
5.0
2 Terjual
Besok
Bandung",https://shopee.co.id/asus-rog-9-FE-12-256-resmi-full-ori-garansi-i.1428249474.40651324520?extraParams=%7B%22display_model_id%22%3A305107215081%2C%22model_selection_logic%22%3A3%7D&sp_atk=88110797-c6df-449f-bd6a-d12d7602d033&xptdk=88110797-c6df-449f-bd6a-d12d7602d033
https://down-id.img.susercontent.com/file/id-11134207-7rbk2-m88kbcbqh1wt2f,,ASUS ROG PHONE 9 FE 12/256GB BLACK,Rp,7.499.000,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"Scrape to BigSeller
ASUS ROG PHONE 9 FE 12/256GB BLACK
Rp
7.499.000
Besok
Tangerang",https://shopee.co.id/ASUS-ROG-PHONE-9-FE-12-256GB-BLACK-i.1502470200.27130878360?extraParams=%7B%22display_model_id%22%3A215957919849%2C%22model_selection_logic%22%3A3%7D&sp_atk=3cd9a03b-943b-41fb-9929-656e4b8d7fe9&xptdk=3cd9a03b-943b-41fb-9929-656e4b8d7fe9
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mc25617k4qq956,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,asus zenfone 10 ram 8 / 128 resmi fullset original garansi,Rp,6.350.000,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
asus zenfone 10 ram 8 / 128 resmi fullset original garansi
Rp
6.350.000
5.0
2 Terjual
Besok
Bandung",https://shopee.co.id/asus-zenfone-10-ram-8-128-resmi-fullset-original-garansi-i.13724858.28303555876?extraParams=%7B%22display_model_id%22%3A226473911897%2C%22model_selection_logic%22%3A3%7D&sp_atk=aa9b00e2-cc2c-46b9-a9fd-e6dc521920b6&xptdk=aa9b00e2-cc2c-46b9-a9fd-e6dc521920b6
https://down-id.img.susercontent.com/file/id-11134207-7r991-loav8xv6ppvzb5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,AZUS ROG 5 8/128 MULUS SEPERTI BARU,Rp,3.500.000,4.5,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
AZUS ROG 5 8/128 MULUS SEPERTI BARU
Rp
3.500.000
4.5
3 Terjual
Besok
Kab. Bekasi",https://shopee.co.id/AZUS-ROG-5-8-128-MULUS-SEPERTI-BARU-i.31727429.24801418254?extraParams=%7B%22display_model_id%22%3A250036618666%2C%22model_selection_logic%22%3A3%7D&sp_atk=a411f6f1-34e7-4e3d-b423-2444640308df&xptdk=a411f6f1-34e7-4e3d-b423-2444640308df
https://down-id.img.susercontent.com/file/id-11134207-81ztc-mf2bruepf09bad,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,ASUS ROG PHONE 2 12/512 RESMI,Rp,3.700.000,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
ASUS ROG PHONE 2 12/512 RESMI
Rp
3.700.000
5.0
1 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/ASUS-ROG-PHONE-2-12-512-RESMI-i.348952502.27842158622?extraParams=%7B%22display_model_id%22%3A301741293851%2C%22model_selection_logic%22%3A3%7D&sp_atk=0a0eaff0-2fbe-450b-8146-5609bbcf4ff6&xptdk=0a0eaff0-2fbe-450b-8146-5609bbcf4ff6
https://down-id.img.susercontent.com/file/e502963f0b0dd72a86c01d9341f11668,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Zenfone 4 Selfie ZD553KL - 4/64 GB - Garansi Resmi,Rp,2.455.000,,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,,Cicilan,,,"Scrape to BigSeller
Asus Zenfone 4 Selfie ZD553KL - 4/64 GB - Garansi Resmi
Rp
2.455.000
Cicilan
3-6 Hari
Tangerang Selatan",https://shopee.co.id/Asus-Zenfone-4-Selfie-ZD553KL-4-64-GB-Garansi-Resmi-i.103571.561980377?extraParams=%7B%22display_model_id%22%3A427718912%2C%22model_selection_logic%22%3A3%7D&sp_atk=cee771c2-1937-40e1-8ba7-8e81d457eacc&xptdk=cee771c2-1937-40e1-8ba7-8e81d457eacc
https://down-id.img.susercontent.com/file/id-11134207-8224w-mkld2q70hekmb3,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,asus rog 8 resmi 12 / 256 fullset original murah,Rp,6.650.000,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"Scrape to BigSeller
asus rog 8 resmi 12 / 256 fullset original murah
Rp
6.650.000
Besok
Bandung",https://shopee.co.id/asus-rog-8-resmi-12-256-fullset-original-murah-i.1428249474.26885969573?extraParams=%7B%22display_model_id%22%3A243374641606%2C%22model_selection_logic%22%3A3%7D&sp_atk=8c15c717-5270-40c0-b1c8-2be4c85a2b51&xptdk=8c15c717-5270-40c0-b1c8-2be4c85a2b51
https://down-id.img.susercontent.com/file/1d348e01c2964c24df51c2661e986c29,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS ZENFONE MAX PRO M1 ZB602KL RAM 3 - 32 GB GARANSI RESMI,Rp,2.000.000,,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Cicilan,,,"Scrape to BigSeller
ASUS ZENFONE MAX PRO M1 ZB602KL RAM 3 - 32 GB GARANSI RESMI
Rp
2.000.000
Cicilan
2-3 Hari
Bekasi",https://shopee.co.id/ASUS-ZENFONE-MAX-PRO-M1-ZB602KL-RAM-3-32-GB-GARANSI-RESMI-i.19239573.1827626787?extraParams=%7B%22display_model_id%22%3A90316860681%2C%22model_selection_logic%22%3A3%7D&sp_atk=235c1890-d350-44b6-8c83-95d832303324&xptdk=235c1890-d350-44b6-8c83-95d832303324
https://down-id.img.susercontent.com/file/932ea434cafd068e13abbf2eaa97e9dd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ASUS MAX PRO M2 6/64,Rp,4.000.000,,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,,,,,"Scrape to BigSeller
ASUS MAX PRO M2 6/64
Rp
4.000.000
3-5 Hari
Kab. Sidoarjo",https://shopee.co.id/ASUS-MAX-PRO-M2-6-64-i.232873948.4960477051?extraParams=%7B%22display_model_id%22%3A41631594501%2C%22model_selection_logic%22%3A3%7D&sp_atk=a27aa20a-89f3-4399-9deb-87a87480982e&xptdk=a27aa20a-89f3-4399-9deb-87a87480982e
https://down-id.img.susercontent.com/file/a0a0def4c8c5ca272077d434c8720f6d,,Asua ZB633KL ZenFone Max M2 Ram 4 Rom 64 Grs resmi Tam 1 Tahun,Rp,2.670.000,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,Cicilan,,,"Scrape to BigSeller
Asua ZB633KL ZenFone Max M2 Ram 4 Rom 64 Grs resmi Tam 1 Tahun
Rp
2.670.000
Cicilan
Jakarta Barat",https://shopee.co.id/Asua-ZB633KL-ZenFone-Max-M2-Ram-4-Rom-64-Grs-resmi-Tam-1-Tahun-i.96446147.1764569696?extraParams=%7B%22display_model_id%22%3A23366642938%2C%22model_selection_logic%22%3A3%7D&sp_atk=6923d5cd-b693-4ef6-b1aa-bb0fd34a8b8c&xptdk=6923d5cd-b693-4ef6-b1aa-bb0fd34a8b8c
