-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,img,text-xs/sp14_2,text-xs,text-shopee-primary,pointer-events-none_3,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wl-mn8184jv045efe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,black shark 4 pro,Rp,900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,,"Scrape to BigSeller
black shark 4 pro
Rp
900.000
Besok
Kab. Sleman",https://shopee.co.id/black-shark-4-pro-i.1330733329.57359079952?extraParams=%7B%22display_model_id%22%3A315806245095%2C%22model_selection_logic%22%3A3%7D&sp_atk=dc718a4e-cd49-46ec-8774-f5cb3ec71e7f&xptdk=dc718a4e-cd49-46ec-8774-f5cb3ec71e7f
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmsmwnimwmip3e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Black Shark 4 5G Mirror Black 12/128 | NFC | Unit Only Ori Resmi |,Rp,2.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sukoharjo,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,,"Scrape to BigSeller
Xiaomi Black Shark 4 5G Mirror Black 12/128 | NFC | Unit Only Ori Resmi |
Rp
2.500.000
Besok
Kab. Sukoharjo",https://shopee.co.id/Xiaomi-Black-Shark-4-5G-Mirror-Black-12-128-NFC-Unit-Only-Ori-Resmi--i.1571243151.51058405749?extraParams=%7B%22display_model_id%22%3A380745315590%2C%22model_selection_logic%22%3A3%7D&sp_atk=2bc2d63f-43b3-499e-96f3-229d2b361088&xptdk=2bc2d63f-43b3-499e-96f3-229d2b361088
https://down-id.img.susercontent.com/file/02e592b4c6555afa1a3b13a006341397,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"BLACK SHARK 1, BLACK SHARK HELO, BLACK SHARK 2, BLACK SHARK 2 PRO ,BLACK SHARK 3, BLACK SHARK 3 PRO, BLACK SHARK 3S, BLACK SHARK 4, BLACK SHARK 4 PRO HYDROGEL VIVAN FILM PELINDUNG LAYAR ANTI GORES HIDROGEL VIVAN",Rp,30.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,4 Terjual,,,,"Scrape to BigSeller
BLACK SHARK 1, BLACK SHARK HELO, BLACK SHARK 2, BLACK SHARK 2 PRO ,BLACK SHARK 3, BLACK SHARK 3 PRO, BLACK SHARK 3S, BLACK SHARK 4, BLACK SHARK 4 PRO HYDROGEL VIVAN FILM PELINDUNG LAYAR ANTI GORES HIDROGEL VIVAN
Rp
30.000
4.5
4 Terjual
Besok
Depok",https://shopee.co.id/BLACK-SHARK-1-BLACK-SHARK-HELO-BLACK-SHARK-2-BLACK-SHARK-2-PRO-BLACK-SHARK-3-BLACK-SHARK-3-PRO-BLACK-SHARK-3S-BLACK-SHARK-4-BLACK-SHARK-4-PRO-HYDROGEL-VIVAN-FILM-PELINDUNG-LAYAR-ANTI-GORES-HIDROGEL-VIVAN-i.122574064.8390611819?extraParams=%7B%22display_model_id%22%3A111731328259%2C%22model_selection_logic%22%3A2%7D&sp_atk=24a69763-98e4-4f4b-af10-4839db24104a&xptdk=24a69763-98e4-4f4b-af10-4839db24104a
https://down-id.img.susercontent.com/file/id-11134207-8224r-mkcl5bhrecxs36,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Black shark 4S pro,Rp,2.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tegal,,,,2-3 Hari,,,,"Scrape to BigSeller
Black shark 4S pro
Rp
2.500.000
2-3 Hari
Kab. Tegal",https://shopee.co.id/Black-shark-4S-pro-i.585052875.51255876175?extraParams=%7B%22display_model_id%22%3A440530961800%2C%22model_selection_logic%22%3A3%7D&sp_atk=9d31d6fc-66af-40cb-84d1-1315afb41f14&xptdk=9d31d6fc-66af-40cb-84d1-1315afb41f14
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmub2bhl105d6a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,BLACK SHARK 2 PRO RAM 12/256GB Resmi,Rp,3.150.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,,"Scrape to BigSeller
BLACK SHARK 2 PRO RAM 12/256GB Resmi
Rp
3.150.000
Besok
Jakarta Selatan",https://shopee.co.id/BLACK-SHARK-2-PRO-RAM-12-256GB-Resmi-i.259954982.54858493529?extraParams=%7B%22display_model_id%22%3A430754421949%2C%22model_selection_logic%22%3A3%7D&sp_atk=06b29f44-488d-4ee1-9329-938c37ec5792&xptdk=06b29f44-488d-4ee1-9329-938c37ec5792
https://down-id.img.susercontent.com/file/id-11134207-822wu-mlx9aebt0irsed,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Blackshark 2 8/128gb HP only,Rp,1.344.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,,"Scrape to BigSeller
Blackshark 2 8/128gb HP only
Rp
1.344.000
Besok
Bogor",https://shopee.co.id/Blackshark-2-8-128gb-HP-only-i.59421805.54957304175?extraParams=%7B%22display_model_id%22%3A272460458702%2C%22model_selection_logic%22%3A3%7D&sp_atk=c42c535d-ee71-40e5-b125-0507783cb628&xptdk=c42c535d-ee71-40e5-b125-0507783cb628
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mcdlggbv3ie6b9,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,black shark 3,Rp,1.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Rokan Hulu,,,,5-11 Hari,,,,"Scrape to BigSeller
black shark 3
Rp
1.400.000
5-11 Hari
Kab. Rokan Hulu",https://shopee.co.id/black-shark-3-i.583709125.40659132063?extraParams=%7B%22display_model_id%22%3A305764305268%2C%22model_selection_logic%22%3A3%7D&sp_atk=050e3eff-cad7-42a6-82ee-88d606c86c61&xptdk=050e3eff-cad7-42a6-82ee-88d606c86c61
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmzmwmjdwqo4ae,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,blackshark 2,Rp,2.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tegal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,2-3 Hari,,,,"Scrape to BigSeller
blackshark 2
Rp
2.000.000
2-3 Hari
Kab. Tegal",https://shopee.co.id/blackshark-2-i.597652478.50258720795?extraParams=%7B%22display_model_id%22%3A410773576127%2C%22model_selection_logic%22%3A3%7D&sp_atk=e8ed9e4e-4123-4dd4-88d2-80233873c688&xptdk=e8ed9e4e-4123-4dd4-88d2-80233873c688
https://down-id.img.susercontent.com/file/id-11134207-822wj-mlt3173ctbm03e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Blackshark V2X White (BNIB),Rp,458.100,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,2-6 Hari,-34%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Scrape to BigSeller
Blackshark V2X White (BNIB)
Rp
458.100
-34%
2-6 Hari
Bandung",https://shopee.co.id/Blackshark-V2X-White-(BNIB)-i.50844890.46457231348?extraParams=%7B%22display_model_id%22%3A360641824767%2C%22model_selection_logic%22%3A3%7D&sp_atk=bb6eb7ad-3c68-4403-bc8c-e9ce428b040c&xptdk=bb6eb7ad-3c68-4403-bc8c-e9ce428b040c
https://down-id.img.susercontent.com/file/sg-11134201-7rbk0-lks3mxwhee7ifb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,XIAOMI BLACK SHARK 2 PRO Ram 8/128Gb FULLSET - rog phone,Rp,4.550.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,35 Terjual,-10%,,Cicilan,"Scrape to BigSeller
XIAOMI BLACK SHARK 2 PRO Ram 8/128Gb FULLSET - rog phone
Rp
4.550.000
-10%
Cicilan
4.8
35 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/XIAOMI-BLACK-SHARK-2-PRO-Ram-8-128Gb-FULLSET-rog-phone-i.64979891.6434124837?extraParams=%7B%22display_model_id%22%3A74480827183%2C%22model_selection_logic%22%3A3%7D&sp_atk=2740b514-6741-4f2b-a54c-9361b2c6aa25&xptdk=2740b514-6741-4f2b-a54c-9361b2c6aa25
