-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-green,truncate,inline-block,img,text-xs/sp14_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wl-mn8184jv045efe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,black shark 4 pro,Rp,900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,Besok,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
black shark 4 pro
Rp
900.000
Besok
Kab. Sleman",https://shopee.co.id/black-shark-4-pro-i.1330733329.57359079952?extraParams=%7B%22display_model_id%22%3A315806245095%2C%22model_selection_logic%22%3A3%7D&sp_atk=25ea7d49-8f6d-4175-b23e-5ad190cf4cc5&xptdk=25ea7d49-8f6d-4175-b23e-5ad190cf4cc5
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn5xlro3jdvmfe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,BLACK SHARK 4 8/128GB SECOND (CEK DESKRIPSI),Rp,850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bojonegoro,3-6 Hari,,,,,,,"Scrape to BigSeller
BLACK SHARK 4 8/128GB SECOND (CEK DESKRIPSI)
Rp
850.000
3-6 Hari
Kab. Bojonegoro",https://shopee.co.id/BLACK-SHARK-4-8-128GB-SECOND-(CEK-DESKRIPSI)-i.484668737.54909026087?extraParams=%7B%22display_model_id%22%3A380799740466%2C%22model_selection_logic%22%3A3%7D&sp_atk=60899644-2c29-48a4-9eb3-b3e3b26e6ce9&xptdk=60899644-2c29-48a4-9eb3-b3e3b26e6ce9
https://down-id.img.susercontent.com/file/id-11134207-822wm-mn9s9of3yrrc34,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Black shark 2 Second,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pontianak,6-15 Hari,,,,,,,"Scrape to BigSeller
Black shark 2 Second
Rp
1.500.000
6-15 Hari
Pontianak",https://shopee.co.id/Black-shark-2-Second-i.26960988.44509176576?extraParams=%7B%22display_model_id%22%3A302553223276%2C%22model_selection_logic%22%3A3%7D&sp_atk=d6fb5231-da8b-4aed-9bf5-ca860d7dda8d&xptdk=d6fb5231-da8b-4aed-9bf5-ca860d7dda8d
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmsmwnimwmip3e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Black Shark 4 5G Mirror Black 12/128 | NFC | Unit Only Ori Resmi |,Rp,2.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sukoharjo,Besok,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
Xiaomi Black Shark 4 5G Mirror Black 12/128 | NFC | Unit Only Ori Resmi |
Rp
2.500.000
Besok
Kab. Sukoharjo",https://shopee.co.id/Xiaomi-Black-Shark-4-5G-Mirror-Black-12-128-NFC-Unit-Only-Ori-Resmi--i.1571243151.51058405749?extraParams=%7B%22display_model_id%22%3A380745315590%2C%22model_selection_logic%22%3A3%7D&sp_atk=09a5c282-2ce3-406a-b82e-abbb0c0e0355&xptdk=09a5c282-2ce3-406a-b82e-abbb0c0e0355
https://down-id.img.susercontent.com/file/id-11134207-822wm-mlydjvmgcwlgb5,,"Xiaomi Black Shark 2 4G Black 8/128 | LCD Lokal, Finger Off | Minus bezel lecet wajar | Unit Only Ori Resmi | Imei 866713040355548",Rp,1.475.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sukoharjo,1-3 Hari,,,,,,,"Scrape to BigSeller
Xiaomi Black Shark 2 4G Black 8/128 | LCD Lokal, Finger Off | Minus bezel lecet wajar | Unit Only Ori Resmi | Imei 866713040355548
Rp
1.475.000
1-3 Hari
Kab. Sukoharjo",https://shopee.co.id/Xiaomi-Black-Shark-2-4G-Black-8-128-LCD-Lokal-Finger-Off-Minus-bezel-lecet-wajar-Unit-Only-Ori-Resmi-Imei-866713040355548-i.1730394944.55357370960?extraParams=%7B%22display_model_id%22%3A335655183455%2C%22model_selection_logic%22%3A3%7D&sp_atk=99eb6fa3-a4fe-4133-9d37-f369c3529a8a&xptdk=99eb6fa3-a4fe-4133-9d37-f369c3529a8a
https://down-id.img.susercontent.com/file/id-11134207-8224z-mj4wa14ptpmr81,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Hp black shark 2,Rp,1.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,< 2 Hari,Produk Baru,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
Hp black shark 2
Rp
1.900.000
Produk Baru
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/Hp-black-shark-2-i.78820267.56554161976?extraParams=%7B%22display_model_id%22%3A395395444444%2C%22model_selection_logic%22%3A3%7D&sp_atk=34982bd5-be83-4f1c-81cb-d4d504651ad0&xptdk=34982bd5-be83-4f1c-81cb-d4d504651ad0
https://down-id.img.susercontent.com/file/id-11134207-822wh-mmhhw00ogrnl73,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Xiaomi Black Shark Blackshark 2 Pro RAM 8GB ROM 128GB,Rp,1.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Pacitan,Besok,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
Xiaomi Black Shark Blackshark 2 Pro RAM 8GB ROM 128GB
Rp
1.800.000
Besok
Kab. Pacitan",https://shopee.co.id/Xiaomi-Black-Shark-Blackshark-2-Pro-RAM-8GB-ROM-128GB-i.15801856.47258035656?extraParams=%7B%22display_model_id%22%3A224668369556%2C%22model_selection_logic%22%3A3%7D&sp_atk=a61d4d2f-dcb1-4cba-a5ad-368c0d9c9f3b&xptdk=a61d4d2f-dcb1-4cba-a5ad-368c0d9c9f3b
https://down-id.img.susercontent.com/file/cc349ea60a66312d8a88a3f4822f143f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,xiaomi blackshark black shark 3 8/128gb second fullset,Rp,2.850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,4 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,"Scrape to BigSeller
xiaomi blackshark black shark 3 8/128gb second fullset
Rp
2.850.000
5.0
4 Terjual
Besok
Bekasi",https://shopee.co.id/xiaomi-blackshark-black-shark-3-8-128gb-second-fullset-i.43877791.18040094189?extraParams=%7B%22display_model_id%22%3A182039775887%2C%22model_selection_logic%22%3A3%7D&sp_atk=95ce4941-1540-4125-a0cb-3771ba0af9b2&xptdk=95ce4941-1540-4125-a0cb-3771ba0af9b2
https://down-id.img.susercontent.com/file/id-11134207-822ws-mm8spliktyiw0d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,BLACK SHARK 8/128 SNAPDRAGON 845 (Baca Deskripsi),Rp,1.250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Klaten,Besok,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
BLACK SHARK 8/128 SNAPDRAGON 845 (Baca Deskripsi)
Rp
1.250.000
Besok
Kab. Klaten",https://shopee.co.id/BLACK-SHARK-8-128-SNAPDRAGON-845-(Baca-Deskripsi)-i.144116326.47507731919?extraParams=%7B%22display_model_id%22%3A360685930472%2C%22model_selection_logic%22%3A3%7D&sp_atk=e4a1e32c-0f62-486f-af41-5446683eddc7&xptdk=e4a1e32c-0f62-486f-af41-5446683eddc7
https://down-id.img.susercontent.com/file/id-11134207-822wu-mlx9aebt0irsed,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Blackshark 2 8/128gb HP only,Rp,1.344.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,Besok,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
Blackshark 2 8/128gb HP only
Rp
1.344.000
Besok
Bogor",https://shopee.co.id/Blackshark-2-8-128gb-HP-only-i.59421805.54957304175?extraParams=%7B%22display_model_id%22%3A272460458702%2C%22model_selection_logic%22%3A3%7D&sp_atk=228cbba4-c26a-4e71-8507-67d7828b51ec&xptdk=228cbba4-c26a-4e71-8507-67d7828b51ec
