-image-yazkc-11,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,-image-yazkc-11_2,truncate,img_2,text-xs_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/6b047aef16954830675e1e932091c24c,Black Shark 3 8/128 GB Gaming Phone Resmi TAM Fullset Second Bekas,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.490.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 Terjual,,,"Scrape to BigSeller
Black Shark 3 8/128 GB Gaming Phone Resmi TAM Fullset Second Bekas
Rp
5.490.000
5.0
2 Terjual
Besok
Jakarta Utara",https://shopee.co.id/Black-Shark-3-8-128-GB-Gaming-Phone-Resmi-TAM-Fullset-Second-Bekas-i.304735900.21704290140?extraParams=%7B%22display_model_id%22%3A190241983760%2C%22model_selection_logic%22%3A3%7D&sp_atk=c0f01284-b87c-4501-b3b4-9512d57a1e82&xptdk=c0f01284-b87c-4501-b3b4-9512d57a1e82
https://down-id.img.susercontent.com/file/16900cafe7d537874229bf37288daead,XIAOMI BLACK SHARK 2 6/128GB GARANSI RESMI BLACKSHARK INDONESIA FULL BONUS,,Rp,5.499.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,11 Terjual,,,"Scrape to BigSeller
XIAOMI BLACK SHARK 2 6/128GB GARANSI RESMI BLACKSHARK INDONESIA FULL BONUS
Rp
5.499.000
Cicilan
5.0
11 Terjual
Besok
Tangerang",https://shopee.co.id/XIAOMI-BLACK-SHARK-2-6-128GB-GARANSI-RESMI-BLACKSHARK-INDONESIA-FULL-BONUS-i.37675336.12303723201?extraParams=%7B%22display_model_id%22%3A94718038157%2C%22model_selection_logic%22%3A3%7D&sp_atk=7939333c-5cca-4b7e-89e8-07344bda72a7&xptdk=7939333c-5cca-4b7e-89e8-07344bda72a7
https://down-id.img.susercontent.com/file/id-11134207-8224v-mh8viyzuz8jy3e,iPhone 13 Pro Max ex iBox Beacukai IMEI Permanen Garansi 12 Bln 100% Original Second iPhone FULLSET 128GB 256GB 512GB 1TB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.299.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,1RB+ Terjual,-33%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Scrape to BigSeller
iPhone 13 Pro Max ex iBox Beacukai IMEI Permanen Garansi 12 Bln 100% Original Second iPhone FULLSET 128GB 256GB 512GB 1TB
Rp
10.299.000
-33%
Hadiah Gratis
4.9
1RB+ Terjual
2-3 Hari
Jakarta Selatan",https://shopee.co.id/iPhone-13-Pro-Max-ex-iBox-Beacukai-IMEI-Permanen-Garansi-12-Bln-100-Original-Second-iPhone-FULLSET-128GB-256GB-512GB-1TB-i.1437255344.26077462969?extraParams=%7B%22display_model_id%22%3A252721319853%2C%22model_selection_logic%22%3A3%7D&sp_atk=7f972671-e1df-42b7-8ed7-a1b8db2722c5&xptdk=7f972671-e1df-42b7-8ed7-a1b8db2722c5
https://down-id.img.susercontent.com/file/899c67ff7977917ae3774df714119cff,"Black shark 3 12/256, 8/128 New",,Rp,9.400.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,10 Terjual,,,"Scrape to BigSeller
Black shark 3 12/256, 8/128 New
Rp
9.400.000
Cicilan
5.0
10 Terjual
Besok
Jakarta Barat",https://shopee.co.id/Black-shark-3-12-256-8-128-New-i.12182751.3105837920?extraParams=%7B%22display_model_id%22%3A55900731161%2C%22model_selection_logic%22%3A3%7D&sp_atk=f628ede0-9da1-4cf9-95e1-875af10b8007&xptdk=f628ede0-9da1-4cf9-95e1-875af10b8007
https://down-id.img.susercontent.com/file/id-11134207-7r98w-lm4mnmensq01c1,Xiaomi Black Shark 2,,Rp,2.200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,4-8 Hari,,,"Scrape to BigSeller
Xiaomi Black Shark 2
Rp
2.200.000
4-8 Hari
Jakarta Timur",https://shopee.co.id/Xiaomi-Black-Shark-2-i.125877478.23881527092?extraParams=%7B%22display_model_id%22%3A137715045763%2C%22model_selection_logic%22%3A3%7D&sp_atk=df02a98d-180a-48b2-a09b-1e6c878e47d8&xptdk=df02a98d-180a-48b2-a09b-1e6c878e47d8
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-m9wvayfyhgctc0,Black Shark 4 Ram 8GB/Rom 128GB Mirror Black,,Rp,3.199.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,"Scrape to BigSeller
Black Shark 4 Ram 8GB/Rom 128GB Mirror Black
Rp
3.199.000
Besok
Medan",https://shopee.co.id/Black-Shark-4-Ram-8GB-Rom-128GB-Mirror-Black-i.10257907.44201348487?extraParams=%7B%22display_model_id%22%3A290108989672%2C%22model_selection_logic%22%3A3%7D&sp_atk=c0efcd51-f8ec-4b0b-afe5-2aa1956ec3f8&xptdk=c0efcd51-f8ec-4b0b-afe5-2aa1956ec3f8
https://down-id.img.susercontent.com/file/8c8a00da8d5f591a613af1c79cfbb382,XIAOMI BLACK SHARK 2 PRO RAM 8/128,,Rp,4.900.000,4.0,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Pati,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,8 Terjual,,,"Scrape to BigSeller
XIAOMI BLACK SHARK 2 PRO RAM 8/128
Rp
4.900.000
4.0
8 Terjual
Kab. Pati",https://shopee.co.id/XIAOMI-BLACK-SHARK-2-PRO-RAM-8-128-i.15178604.7556475220?extraParams=%7B%22display_model_id%22%3A61320658922%2C%22model_selection_logic%22%3A3%7D&sp_atk=2e8864ef-468e-46df-951d-f8e641141fcf&xptdk=2e8864ef-468e-46df-951d-f8e641141fcf
https://down-id.img.susercontent.com/file/sg-11134201-7r98o-lks3hjvbccyde0,XIAOMI BLACK SHARK 5 8/128 FULLSET,,Rp,7.550.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,-48%,,"Scrape to BigSeller
XIAOMI BLACK SHARK 5 8/128 FULLSET
Rp
7.550.000
-48%
Besok
Jakarta Pusat",https://shopee.co.id/XIAOMI-BLACK-SHARK-5-8-128-FULLSET-i.64979891.20573092572?extraParams=%7B%22display_model_id%22%3A220927766463%2C%22model_selection_logic%22%3A3%7D&sp_atk=05f0590c-f15c-4ef3-bed6-eb4b9429ef3d&xptdk=05f0590c-f15c-4ef3-bed6-eb4b9429ef3d
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkess8qhcutk2a,XIAOMI BLACK SHARK 4 8/128 6/128 SECOND FULLSET,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.249.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,"Scrape to BigSeller
XIAOMI BLACK SHARK 4 8/128 6/128 SECOND FULLSET
Rp
4.249.000
Besok
Jakarta Barat",https://shopee.co.id/XIAOMI-BLACK-SHARK-4-8-128-6-128-SECOND-FULLSET-i.365327344.54805914095?extraParams=%7B%22display_model_id%22%3A208806327616%2C%22model_selection_logic%22%3A3%7D&sp_atk=19780f6c-4959-4964-99e5-fd9e093be57d&xptdk=19780f6c-4959-4964-99e5-fd9e093be57d
https://down-id.img.susercontent.com/file/59c25c04190ca1989f84fab0af0085d2,XIAOMI BLACK SHARK 4 8/128GB GARANSI RESMI TERMURAH,,Rp,8.299.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,4-7 Hari,,,"Scrape to BigSeller
XIAOMI BLACK SHARK 4 8/128GB GARANSI RESMI TERMURAH
Rp
8.299.000
4-7 Hari
Jakarta Barat",https://shopee.co.id/XIAOMI-BLACK-SHARK-4-8-128GB-GARANSI-RESMI-TERMURAH-i.135949182.9389853818?extraParams=%7B%22display_model_id%22%3A111512560252%2C%22model_selection_logic%22%3A3%7D&sp_atk=96406699-63c5-474e-9d56-2d47f76f4e37&xptdk=96406699-63c5-474e-9d56-2d47f76f4e37
