-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,img,text-xs/sp14_2,text-xs,truncate,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224r-mjjgcq6wsnwj09,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Black Shark S1 Classic Bekas - Fullset - second,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,450.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,,"Scrape to BigSeller
Black Shark S1 Classic Bekas - Fullset - second
Rp
450.000
Besok
Jakarta Pusat",https://shopee.co.id/Black-Shark-S1-Classic-Bekas-Fullset-second-i.30817255.52304766421?extraParams=%7B%22display_model_id%22%3A287338675795%2C%22model_selection_logic%22%3A3%7D&sp_atk=216fe428-06c6-4383-9947-d93d63c6c8b0&xptdk=216fe428-06c6-4383-9947-d93d63c6c8b0
https://down-id.img.susercontent.com/file/cc349ea60a66312d8a88a3f4822f143f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,xiaomi blackshark black shark 3 8/128gb second fullset,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,,,,"Scrape to BigSeller
xiaomi blackshark black shark 3 8/128gb second fullset
Rp
2.850.000
5.0
4 Terjual
Besok
Bekasi",https://shopee.co.id/xiaomi-blackshark-black-shark-3-8-128gb-second-fullset-i.43877791.18040094189?extraParams=%7B%22display_model_id%22%3A182039775887%2C%22model_selection_logic%22%3A3%7D&sp_atk=94077a32-b1b6-47e2-a242-d547db0c3488&xptdk=94077a32-b1b6-47e2-a242-d547db0c3488
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmrhbp9iudxcc1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,blackshark 4 pro 12/256 second mulus,,Rp,3.150.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sumedang,,,4-7 Hari,,,,"Scrape to BigSeller
blackshark 4 pro 12/256 second mulus
Rp
3.150.000
4-7 Hari
Kab. Sumedang",https://shopee.co.id/blackshark-4-pro-12-256-second-mulus-i.928681624.48608359424?extraParams=%7B%22display_model_id%22%3A177391803254%2C%22model_selection_logic%22%3A3%7D&sp_atk=11bae690-2728-435a-b934-a3d4de7faa23&xptdk=11bae690-2728-435a-b934-a3d4de7faa23
https://down-id.img.susercontent.com/file/6b047aef16954830675e1e932091c24c,,Black Shark 3 8/128 GB Gaming Phone Resmi TAM Fullset Second Bekas,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.490.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,,,,"Scrape to BigSeller
Black Shark 3 8/128 GB Gaming Phone Resmi TAM Fullset Second Bekas
Rp
5.490.000
5.0
2 Terjual
Besok
Jakarta Utara",https://shopee.co.id/Black-Shark-3-8-128-GB-Gaming-Phone-Resmi-TAM-Fullset-Second-Bekas-i.304735900.21704290140?extraParams=%7B%22display_model_id%22%3A190241983760%2C%22model_selection_logic%22%3A3%7D&sp_atk=6995eb4e-a88e-4437-9e6c-19242d1350dd&xptdk=6995eb4e-a88e-4437-9e6c-19242d1350dd
https://down-id.img.susercontent.com/file/id-11134207-8224z-mj4wa14ptpmr81,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Hp black shark 2,,Rp,1.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,Produk Baru,,,"Scrape to BigSeller
Hp black shark 2
Rp
1.900.000
Produk Baru
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/Hp-black-shark-2-i.78820267.56554161976?extraParams=%7B%22display_model_id%22%3A395395444444%2C%22model_selection_logic%22%3A3%7D&sp_atk=a880c448-4e15-4150-bccf-e3bad6c2b910&xptdk=a880c448-4e15-4150-bccf-e3bad6c2b910
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmrb9ocem6f9a8,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HP Black Shark 4 wajib baca deskripsi!!,,Rp,1.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,,4-7 Hari,,,,"Scrape to BigSeller
HP Black Shark 4 wajib baca deskripsi!!
Rp
1.000.000
4-7 Hari
Kab. Bogor",https://shopee.co.id/HP-Black-Shark-4-wajib-baca-deskripsi!!-i.94139139.53108346592?extraParams=%7B%22display_model_id%22%3A297512424644%2C%22model_selection_logic%22%3A3%7D&sp_atk=cba3bc6a-4aed-4740-9a4e-8c7bbff0d53d&xptdk=cba3bc6a-4aed-4740-9a4e-8c7bbff0d53d
https://down-id.img.susercontent.com/file/id-11134207-822ws-mm8spliktyiw0d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,BLACK SHARK 8/128 SNAPDRAGON 845 (Baca Deskripsi),,Rp,1.250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Klaten,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,,"Scrape to BigSeller
BLACK SHARK 8/128 SNAPDRAGON 845 (Baca Deskripsi)
Rp
1.250.000
Besok
Kab. Klaten",https://shopee.co.id/BLACK-SHARK-8-128-SNAPDRAGON-845-(Baca-Deskripsi)-i.144116326.47507731919?extraParams=%7B%22display_model_id%22%3A360685930472%2C%22model_selection_logic%22%3A3%7D&sp_atk=847b9257-6ba0-4f07-ae20-c5cc2ab6aff9&xptdk=847b9257-6ba0-4f07-ae20-c5cc2ab6aff9
https://down-id.img.susercontent.com/file/id-11134207-7r990-lt06renqbnbt70,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,copotan black shark 2/2pro,,Rp,75.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Blitar,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,,,"Scrape to BigSeller
copotan black shark 2/2pro
Rp
75.000
5.0
1 Terjual
3-6 Hari
Kab. Blitar",https://shopee.co.id/copotan-black-shark-2-2pro-i.334582256.25169540813?extraParams=%7B%22display_model_id%22%3A207379923005%2C%22model_selection_logic%22%3A2%7D&sp_atk=ccdc9e78-c3a4-42a7-9a3c-c2427613af68&xptdk=ccdc9e78-c3a4-42a7-9a3c-c2427613af68
https://down-id.img.susercontent.com/file/id-11134207-8224r-mkcl5bhrecxs36,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Black shark 4S pro,,Rp,2.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tegal,,,2-3 Hari,,,,"Scrape to BigSeller
Black shark 4S pro
Rp
2.500.000
2-3 Hari
Kab. Tegal",https://shopee.co.id/Black-shark-4S-pro-i.585052875.51255876175?extraParams=%7B%22display_model_id%22%3A440530961800%2C%22model_selection_logic%22%3A3%7D&sp_atk=773ec428-8471-4bbe-98b3-858e89b17fd0&xptdk=773ec428-8471-4bbe-98b3-858e89b17fd0
https://down-id.img.susercontent.com/file/id-11134207-822wk-mma0i2db4ft153,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,dijual black shark 5 second milik pribadi,,Rp,3.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sukoharjo,,,2-5 Hari,,,,"Scrape to BigSeller
dijual black shark 5 second milik pribadi
Rp
3.000.000
2-5 Hari
Kab. Sukoharjo",https://shopee.co.id/dijual-black-shark-5-second-milik-pribadi-i.16714070.42117876894?extraParams=%7B%22display_model_id%22%3A276472046635%2C%22model_selection_logic%22%3A3%7D&sp_atk=31a763bf-c716-4fe9-97ff-558e31855639&xptdk=31a763bf-c716-4fe9-97ff-558e31855639
