-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,inline-block,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkucpx275mr6ad,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LCD BLACK SHARK 3,Rp,895.999,Grosir,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tuban,,,,,,"Scrape to BigSeller
LCD BLACK SHARK 3
Rp
895.999
Grosir
4.0
5 Terjual
2-5 Hari
Kab. Tuban",https://shopee.co.id/LCD-BLACK-SHARK-3-i.269092366.20692312079?extraParams=%7B%22display_model_id%22%3A214533312155%2C%22model_selection_logic%22%3A3%7D&sp_atk=d91d8a7b-0882-4329-8e24-cc989c4b4c8d&xptdk=d91d8a7b-0882-4329-8e24-cc989c4b4c8d
https://down-id.img.susercontent.com/file/id-11134207-7r98x-ln6k788z2a3o38,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Blackshark 4 Resmi Indonesia Like New Black Shark 4 HP 5G HP Game,Rp,5.499.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Hari ini,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,,,,"Scrape to BigSeller
Xiaomi Blackshark 4 Resmi Indonesia Like New Black Shark 4 HP 5G HP Game
Rp
5.499.000
Hari ini
Surabaya",https://shopee.co.id/Xiaomi-Blackshark-4-Resmi-Indonesia-Like-New-Black-Shark-4-HP-5G-HP-Game-i.198773392.20185555387?extraParams=%7B%22display_model_id%22%3A184671377932%2C%22model_selection_logic%22%3A3%7D&sp_atk=c063779f-1781-43c3-83d3-1dcd8b4ad1cd&xptdk=c063779f-1781-43c3-83d3-1dcd8b4ad1cd
https://down-id.img.susercontent.com/file/720ddc9afe09e4a8f3b90e67da92644b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Black Shark 3 5G,Rp,4.700.000,,,,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Trenggalek,,,,,,"Scrape to BigSeller
Black Shark 3 5G
Rp
4.700.000
3-6 Hari
Kab. Trenggalek",https://shopee.co.id/Black-Shark-3-5G-i.21757605.20032869534?extraParams=%7B%22display_model_id%22%3A98116165380%2C%22model_selection_logic%22%3A3%7D&sp_atk=f19991c2-8204-450a-8a75-53d1c9eba8cd&xptdk=f19991c2-8204-450a-8a75-53d1c9eba8cd
https://down-id.img.susercontent.com/file/id-11134207-7r98x-lnocf1pk7v5oc4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,black shark 4 ram 8 / 128 resmi fullset original,Rp,3.799.900,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,"Scrape to BigSeller
black shark 4 ram 8 / 128 resmi fullset original
Rp
3.799.900
Besok
Bandung",https://shopee.co.id/black-shark-4-ram-8-128-resmi-fullset-original-i.13724858.25650138845?extraParams=%7B%22display_model_id%22%3A255003419528%2C%22model_selection_logic%22%3A3%7D&sp_atk=b7ce5e3d-7818-4337-8817-ddf03dca5ecb&xptdk=b7ce5e3d-7818-4337-8817-ddf03dca5ecb
https://down-id.img.susercontent.com/file/id-11134207-7rask-m5icz8pvpoci1d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Battery Baterai Batre Black Shark 5 / 5s / Blackshark 5 Pro BS10FA Original 100%,Rp,329.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,"Scrape to BigSeller
Battery Baterai Batre Black Shark 5 / 5s / Blackshark 5 Pro BS10FA Original 100%
Rp
329.000
Besok
Jakarta Pusat",https://shopee.co.id/Battery-Baterai-Batre-Black-Shark-5-5s-Blackshark-5-Pro-BS10FA-Original-100--i.192186022.28374688555?extraParams=%7B%22display_model_id%22%3A242559023632%2C%22model_selection_logic%22%3A3%7D&sp_atk=bfb7260f-3ee5-45a4-9783-c4b43fcc44c6&xptdk=bfb7260f-3ee5-45a4-9783-c4b43fcc44c6
https://down-id.img.susercontent.com/file/id-11134207-7qul4-lh9vplvegk2k8f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"blackshark 2,2PRO,blackshark  3 dan blackshark 4",Rp,3.650.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,,,"Scrape to BigSeller
blackshark 2,2PRO,blackshark 3 dan blackshark 4
Rp
3.650.000
5.0
2 Terjual
3-6 Hari
Kab. Tangerang",https://shopee.co.id/blackshark-2-2PRO-blackshark-3-dan-blackshark-4-i.34649569.16494786868?extraParams=%7B%22display_model_id%22%3A59342460966%2C%22model_selection_logic%22%3A3%7D&sp_atk=9ef857da-f101-4f51-ba3f-9668b1525203&xptdk=9ef857da-f101-4f51-ba3f-9668b1525203
https://down-id.img.susercontent.com/file/id-11134207-23010-ka528a26womv99,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LCD TOUCHSCREEN XIAOMI BLACKSHARK 2 2 PRO BISA FINGERPRINT,Rp,1.250.000,,,,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,"Scrape to BigSeller
LCD TOUCHSCREEN XIAOMI BLACKSHARK 2 2 PRO BISA FINGERPRINT
Rp
1.250.000
3-5 Hari
Surabaya",https://shopee.co.id/LCD-TOUCHSCREEN-XIAOMI-BLACKSHARK-2-2-PRO-BISA-FINGERPRINT-i.600043835.18771752593?extraParams=%7B%22display_model_id%22%3A59243054149%2C%22model_selection_logic%22%3A3%7D&sp_atk=80beac95-4703-405f-854e-2cc33e38e20b&xptdk=80beac95-4703-405f-854e-2cc33e38e20b
https://down-id.img.susercontent.com/file/e17becc4d3f41b948839e7750ec37f6b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,XIAOMI BLACK SHARK 4 RAM 8GB 128GB GARANSI RESMI TAM - BONUS,Rp,5.839.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Scrape to BigSeller
XIAOMI BLACK SHARK 4 RAM 8GB 128GB GARANSI RESMI TAM - BONUS
Rp
5.839.000
-1%
Besok
Tangerang",https://shopee.co.id/XIAOMI-BLACK-SHARK-4-RAM-8GB-128GB-GARANSI-RESMI-TAM-BONUS-i.2075581.8786894109?extraParams=%7B%22display_model_id%22%3A94011287383%2C%22model_selection_logic%22%3A3%7D&sp_atk=3fc29c69-87fe-4576-8069-38fa12a4bfa3&xptdk=3fc29c69-87fe-4576-8069-38fa12a4bfa3
https://down-id.img.susercontent.com/file/id-11134207-7rasa-m2tkesf13jkl4d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,black shark 3 ram 8 / 128 resmi dus unit aja,Rp,3.250.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,"Scrape to BigSeller
black shark 3 ram 8 / 128 resmi dus unit aja
Rp
3.250.000
Besok
Bandung",https://shopee.co.id/black-shark-3-ram-8-128-resmi-dus-unit-aja-i.13724858.29118187115?extraParams=%7B%22display_model_id%22%3A242070578702%2C%22model_selection_logic%22%3A3%7D&sp_atk=871705e2-2d0b-40c9-8e14-aa191fc3baf2&xptdk=871705e2-2d0b-40c9-8e14-aa191fc3baf2
https://down-id.img.susercontent.com/file/id-11134207-7r98w-lrrr1lcq66ppd4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LCD TOUCHSREEN XIAOMI BLACK SHARK 2 / BLACK SHARK 2 PRO Original Fingerpint,Rp,1.275.000,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,"Scrape to BigSeller
LCD TOUCHSREEN XIAOMI BLACK SHARK 2 / BLACK SHARK 2 PRO Original Fingerpint
Rp
1.275.000
Surabaya",https://shopee.co.id/LCD-TOUCHSREEN-XIAOMI-BLACK-SHARK-2-BLACK-SHARK-2-PRO-Original-Fingerpint-i.950658652.24813609205?extraParams=%7B%22display_model_id%22%3A147200980366%2C%22model_selection_logic%22%3A3%7D&sp_atk=d6dcfb27-79bc-434e-ad73-af220ee3ea1a&xptdk=d6dcfb27-79bc-434e-ad73-af220ee3ea1a
