-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-green,truncate,img,text-xs/sp14_3,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmts3944c4xx4d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Honor X6C 6GB/256GB Garansi Resmi Honor Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.689.000,-13%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Honor X6C 6GB/256GB Garansi Resmi Honor Indonesia
Rp
2.689.000
-13%
Besok
Jakarta Pusat",https://shopee.co.id/Honor-X6C-6GB-256GB-Garansi-Resmi-Honor-Indonesia-i.1119863145.52258466524?extraParams=%7B%22display_model_id%22%3A272518342399%2C%22model_selection_logic%22%3A3%7D&sp_atk=e87eaade-9135-4f08-aaba-1dc4adcb74e8&xptdk=e87eaade-9135-4f08-aaba-1dc4adcb74e8
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn8f9018csnc3e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HONOR 9N 4/64 gb,,Rp,850.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Pacitan,3-6 Hari,,,,,"Scrape to BigSeller
HONOR 9N 4/64 gb
Rp
850.000
3-6 Hari
Kab. Pacitan",https://shopee.co.id/HONOR-9N-4-64-gb-i.1004378635.58009103188?extraParams=%7B%22display_model_id%22%3A400806752671%2C%22model_selection_logic%22%3A3%7D&sp_atk=2e9ede37-43ea-4c01-b196-11d9071f3522&xptdk=2e9ede37-43ea-4c01-b196-11d9071f3522
https://down-id.img.susercontent.com/file/id-11134207-822wg-mlkrlc55dk3z8e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Hp honor Che1-L04 Restar,,Rp,110.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Hp honor Che1-L04 Restar
Rp
110.000
Besok
Jakarta Barat",https://shopee.co.id/Hp-honor-Che1-L04-Restar-i.41691336.45456962080?extraParams=%7B%22display_model_id%22%3A410620507777%2C%22model_selection_logic%22%3A3%7D&sp_atk=6f11bf90-285f-4fde-836c-947e77a98d84&xptdk=6f11bf90-285f-4fde-836c-947e77a98d84
https://down-id.img.susercontent.com/file/id-11134207-8224q-mj41p8vwa7ep48,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor x9c 5g ram 12 256gb Acc only,,Rp,120.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,Besok,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Honor x9c 5g ram 12 256gb Acc only
Rp
120.000
Produk Baru
Besok
Kab. Bandung",https://shopee.co.id/Honor-x9c-5g-ram-12-256gb-Acc-only-i.233843835.54654147297?extraParams=%7B%22display_model_id%22%3A315394562235%2C%22model_selection_logic%22%3A3%7D&sp_atk=c6816981-d5a7-41a9-a92e-59d58c569494&xptdk=c6816981-d5a7-41a9-a92e-59d58c569494
https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mb6pf56meeusa7,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HONOR GT 5PRO,,Rp,9.000.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Batam,,,,,,"Scrape to BigSeller
HONOR GT 5PRO
Rp
9.000.000
Batam",https://shopee.co.id/HONOR-GT-5PRO-i.160147028.40955194648?extraParams=%7B%22display_model_id%22%3A253537870306%2C%22model_selection_logic%22%3A3%7D&sp_atk=428f6e05-f068-466d-a69e-250d71568e25&xptdk=428f6e05-f068-466d-a69e-250d71568e25
https://down-id.img.susercontent.com/file/id-11134207-822wq-mme7ga4tc35u67,,HONOR 90 LITE 5G Murah Aje,,Rp,1.400.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,4-7 Hari,,,,,"Scrape to BigSeller
HONOR 90 LITE 5G Murah Aje
Rp
1.400.000
4-7 Hari
Bandung",https://shopee.co.id/HONOR-90-LITE-5G-Murah-Aje-i.755603192.48107926489?extraParams=%7B%22display_model_id%22%3A272489864324%2C%22model_selection_logic%22%3A3%7D&sp_atk=0261c57e-8a0c-4bde-862d-b796bcaee8c7&xptdk=0261c57e-8a0c-4bde-862d-b796bcaee8c7
https://down-id.img.susercontent.com/file/id-11134207-8224t-mkxl9v08rtvp73,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,honor x9b seken,,Rp,1.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Sibolga,5-10 Hari,,,,,"Scrape to BigSeller
honor x9b seken
Rp
1.500.000
5-10 Hari
Sibolga",https://shopee.co.id/honor-x9b-seken-i.658977457.53056293026?extraParams=%7B%22display_model_id%22%3A405569667550%2C%22model_selection_logic%22%3A3%7D&sp_atk=70639084-7eb9-414a-900c-2f49a2d8cc9b&xptdk=70639084-7eb9-414a-900c-2f49a2d8cc9b
https://down-id.img.susercontent.com/file/id-11134207-822wq-mmsg3p1xzj0i87,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"HONOR X6C 6GB/256GB NFC MediaTek Helio G81 Ultra, 5300mAh 35W | Garansi Resmi",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.149.000,-7%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,2 jam,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
HONOR X6C 6GB/256GB NFC MediaTek Helio G81 Ultra, 5300mAh 35W | Garansi Resmi
Rp
3.149.000
-7%
2 jam
Kab. Sidoarjo",https://shopee.co.id/HONOR-X6C-6GB-256GB-NFC-MediaTek-Helio-G81-Ultra-5300mAh-35W-Garansi-Resmi-i.105409987.49308407354?extraParams=%7B%22display_model_id%22%3A430744157274%2C%22model_selection_logic%22%3A3%7D&sp_atk=42732f14-9d5d-45c9-8ba9-80b5890f8279&xptdk=42732f14-9d5d-45c9-8ba9-80b5890f8279
https://down-id.img.susercontent.com/file/f23baaf138ce8adafe8cdae5ae8314af,,Huawei Honor 7x Mantap Ram 4/64Gb buat main PUBG dan MOBA kamera mantap,,Rp,1.900.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarmasin,5-8 Hari,Cicilan,,,,"Scrape to BigSeller
Huawei Honor 7x Mantap Ram 4/64Gb buat main PUBG dan MOBA kamera mantap
Rp
1.900.000
Cicilan
5-8 Hari
Banjarmasin",https://shopee.co.id/Huawei-Honor-7x-Mantap-Ram-4-64Gb-buat-main-PUBG-dan-MOBA-kamera-mantap-i.148721825.2580451874?extraParams=%7B%22display_model_id%22%3A80354281640%2C%22model_selection_logic%22%3A3%7D&sp_atk=3a9957c4-ef29-4633-831b-76395819df0b&xptdk=3a9957c4-ef29-4633-831b-76395819df0b
https://down-id.img.susercontent.com/file/id-11134207-81zti-metj78gvuy9w48,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HUAWEI HONOR 7X,,Rp,200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Trenggalek,1-3 Hari,,,,,"Scrape to BigSeller
HUAWEI HONOR 7X
Rp
200.000
1-3 Hari
Kab. Trenggalek",https://shopee.co.id/HUAWEI-HONOR-7X-i.510060640.42069909003?extraParams=%7B%22display_model_id%22%3A271628123567%2C%22model_selection_logic%22%3A3%7D&sp_atk=d237f04e-2a03-419e-a25d-e17418749205&xptdk=d237f04e-2a03-419e-a25d-e17418749205
