-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,truncate,pointer-events-none_2,text-shopee-green,w-auto,text-white,inline-block,img,text-xs/sp14_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wl-mler408izxu017,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Honor 200 Pro 5G 12GB 512GB | Snapdragon 8s Gen 3 Layar 6,78"" OLED Quad-curved 120Hz Battery 5200mAh Fast Charge 100W Garansi Resmi",Rp,6.982.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Batam,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,,,,,,,,,"Scrape to BigSeller
Honor 200 Pro 5G 12GB 512GB | Snapdragon 8s Gen 3 Layar 6,78"" OLED Quad-curved 120Hz Battery 5200mAh Fast Charge 100W Garansi Resmi
Rp
6.982.000
Batam",https://shopee.co.id/Honor-200-Pro-5G-12GB-512GB-Snapdragon-8s-Gen-3-Layar-6-78-OLED-Quad-curved-120Hz-Battery-5200mAh-Fast-Charge-100W-Garansi-Resmi-i.43460755.45806744928?extraParams=%7B%22display_model_id%22%3A405604743155%2C%22model_selection_logic%22%3A3%7D&sp_atk=ce5fcdf1-e735-4a70-8a20-8a4cd947fa49&xptdk=ce5fcdf1-e735-4a70-8a20-8a4cd947fa49
https://down-id.img.susercontent.com/file/ca427b02da942ec8203d00b193706870,,Honor 9i,Rp,2.790.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,,,,,,,,"Scrape to BigSeller
Honor 9i
Rp
2.790.000
Cicilan
4-7 Hari
Jakarta Barat",https://shopee.co.id/Honor-9i-i.30857404.1620423564?extraParams=%7B%22display_model_id%22%3A2509868981%2C%22model_selection_logic%22%3A3%7D&sp_atk=0ca472c4-ebf0-45e4-a32e-6b8ba53c614f&xptdk=0ca472c4-ebf0-45e4-a32e-6b8ba53c614f
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmmwjs6up14x82,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR X7d,Rp,4.723.950,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Denpasar,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
HONOR X7d
Rp
4.723.950
Besok
Denpasar",https://shopee.co.id/HONOR-X7d-i.1590547027.56458213785?extraParams=%7B%22display_model_id%22%3A370730471835%2C%22model_selection_logic%22%3A3%7D&sp_atk=d5825c51-60f0-4e5c-b97c-354cfbec4a51&xptdk=d5825c51-60f0-4e5c-b97c-354cfbec4a51
https://down-id.img.susercontent.com/file/id-11134207-822wr-mmvz4htct8g26a,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor X9b 12/256 GB beacukai,Rp,3.150.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Singkawang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
Honor X9b 12/256 GB beacukai
Rp
3.150.000
Besok
Singkawang",https://shopee.co.id/Honor-X9b-12-256-GB-beacukai-i.1055013078.42679936265?extraParams=%7B%22display_model_id%22%3A390760721980%2C%22model_selection_logic%22%3A3%7D&sp_atk=a9b0ec85-d8e8-4c39-9deb-1cf1e8ba912a&xptdk=a9b0ec85-d8e8-4c39-9deb-1cf1e8ba912a
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmsordm1jb4875,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor X7c 4G 8/256gb hp charger bukan bawaan tapi naik bagus. Support NFC,Rp,2.150.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
Honor X7c 4G 8/256gb hp charger bukan bawaan tapi naik bagus. Support NFC
Rp
2.150.000
Besok
Bogor",https://shopee.co.id/Honor-X7c-4G-8-256gb-hp-charger-bukan-bawaan-tapi-naik-bagus.-Support-NFC-i.1039270287.49208417044?extraParams=%7B%22display_model_id%22%3A440745472094%2C%22model_selection_logic%22%3A3%7D&sp_atk=21fdfdb8-51db-4d11-a78d-08f7f58ab772&xptdk=21fdfdb8-51db-4d11-a78d-08f7f58ab772
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmmy86aj8t1k32,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Honor X6c,Rp,3.148.950,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Denpasar,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
Honor X6c
Rp
3.148.950
Besok
Denpasar",https://shopee.co.id/Honor-X6c-i.1590547027.52908218665?extraParams=%7B%22display_model_id%22%3A307506617297%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b92e336-a1a1-4175-879d-7737e7e43805&xptdk=8b92e336-a1a1-4175-879d-7737e7e43805
https://down-id.img.susercontent.com/file/sg-11134275-81zwq-mminl8fipqf670,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor X6C [6GB+256GB] - Garansi Resmi 1 Tahun,Rp,2.689.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,,,,,"Scrape to BigSeller
Honor X6C [6GB+256GB] - Garansi Resmi 1 Tahun
Rp
2.689.000
2-3 Hari
Jakarta Utara",https://shopee.co.id/Honor-X6C-6GB-256GB-Garansi-Resmi-1-Tahun-i.927728909.48558076608?extraParams=%7B%22display_model_id%22%3A405715794709%2C%22model_selection_logic%22%3A3%7D&sp_atk=9000a94b-7637-46ac-b8fe-50305d9e2b46&xptdk=9000a94b-7637-46ac-b8fe-50305d9e2b46
https://down-id.img.susercontent.com/file/e016a653557c6fe7bc8c440d0ac1eeb8,,HONOR 9i 3/32,Rp,2.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Cimahi,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,,,,,,,,"Scrape to BigSeller
HONOR 9i 3/32
Rp
2.200.000
Cicilan
4-7 Hari
Cimahi",https://shopee.co.id/HONOR-9i-3-32-i.94559126.1551241490?extraParams=%7B%22display_model_id%22%3A80315044931%2C%22model_selection_logic%22%3A3%7D&sp_atk=5b69062d-2d04-4893-bc1d-1203be02e104&xptdk=5b69062d-2d04-4893-bc1d-1203be02e104
https://down-id.img.susercontent.com/file/id-11134207-822wj-mn8761uov2tgf0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Honor X6C 12/256 GB |Hellio G81 Ultra High perfomance | Ultra Camera 50 MP | 5300 mAh Fast Charging 33 W | Garansi resmi Honor Indonesia,Rp,3.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,150 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,"Scrape to BigSeller
Honor X6C 12/256 GB |Hellio G81 Ultra High perfomance | Ultra Camera 50 MP | 5300 mAh Fast Charging 33 W | Garansi resmi Honor Indonesia
Rp
3.999.000
5.0
150 Terjual
Besok
Kab. Tangerang",https://shopee.co.id/Honor-X6C-12-256-GB-Hellio-G81-Ultra-High-perfomance-Ultra-Camera-50-MP-5300-mAh-Fast-Charging-33-W-Garansi-resmi-Honor-Indonesia-i.226042718.24019748461?extraParams=%7B%22display_model_id%22%3A275976943511%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2ac5723-d0fd-42af-880f-db4d8cf7fe11&xptdk=c2ac5723-d0fd-42af-880f-db4d8cf7fe11
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmv7rpbjc7ic3e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,HONOR X6C Ram 6/256Gb – Garansi Resmi,Rp,3.025.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
HONOR X6C Ram 6/256Gb – Garansi Resmi
Rp
3.025.000
Besok
Surakarta (Solo)",https://shopee.co.id/HONOR-X6C-Ram-6-256Gb-%E2%80%93-Garansi-Resmi-i.1055639407.56208528596?extraParams=%7B%22display_model_id%22%3A440756493267%2C%22model_selection_logic%22%3A3%7D&sp_atk=537ba156-ae5b-4462-8743-6cd03cc04b7c&xptdk=537ba156-ae5b-4462-8743-6cd03cc04b7c
