-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-shopee-primary,truncate,w-auto,text-white,img,text-xs/sp14_3,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134275-82601-mmikucxoq0aw8f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor X6C [6GB+256GB] - Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.689.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,,,"Scrape to BigSeller
Honor X6C [6GB+256GB] - Garansi Resmi 1 Tahun
Rp
2.689.000
2-3 Hari
Jakarta Utara",https://shopee.co.id/Honor-X6C-6GB-256GB-Garansi-Resmi-1-Tahun-i.1053062682.47508069313?extraParams=%7B%22display_model_id%22%3A420715340169%2C%22model_selection_logic%22%3A3%7D&sp_atk=7e400e23-3193-413d-86e3-035e221bb4ba&xptdk=7e400e23-3193-413d-86e3-035e221bb4ba
https://down-id.img.susercontent.com/file/id-11134207-822wj-mlszexrfm29t1d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR X7D LTE 8/512GB Kamera 108MP Baterai 6500mAh NFC Smartphone Snapdragon 685 Original Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,4.499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,-10%,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
HONOR X7D LTE 8/512GB Kamera 108MP Baterai 6500mAh NFC Smartphone Snapdragon 685 Original Resmi
Rp
4.499.000
-10%
Hadiah Gratis
Besok
Tangerang",https://shopee.co.id/HONOR-X7D-LTE-8-512GB-Kamera-108MP-Baterai-6500mAh-NFC-Smartphone-Snapdragon-685-Original-Resmi-i.783890378.49407141528?extraParams=%7B%22display_model_id%22%3A330634976928%2C%22model_selection_logic%22%3A3%7D&sp_atk=2cfeea6d-1e91-4766-875a-992dd542f4de&xptdk=2cfeea6d-1e91-4766-875a-992dd542f4de
https://down-id.img.susercontent.com/file/id-11134207-8224r-mj2asbyiedxg9e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR 400 LITE 5G 8GB 256GB KAMERA 108MP LAYAR AMOLED BATERAI 5320MAH GARANSI RESMI,,Rp,3.899.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,Produk Baru,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
HONOR 400 LITE 5G 8GB 256GB KAMERA 108MP LAYAR AMOLED BATERAI 5320MAH GARANSI RESMI
Rp
3.899.000
Produk Baru
5.0
1 Terjual
2-3 Hari
Jakarta Pusat",https://shopee.co.id/HONOR-400-LITE-5G-8GB-256GB-KAMERA-108MP-LAYAR-AMOLED-BATERAI-5320MAH-GARANSI-RESMI-i.1125092180.46504103015?extraParams=%7B%22display_model_id%22%3A415388698214%2C%22model_selection_logic%22%3A3%7D&sp_atk=f503ccc5-9aa2-42dc-9c42-ed98a2991feb&xptdk=f503ccc5-9aa2-42dc-9c42-ed98a2991feb
https://down-id.img.susercontent.com/file/id-11134207-8224q-mj9qrpcecwzk4b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Honor 400 Lite 5G 8GB/256GB AMOLED 120Hz Garansi Resmi Honor Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.143.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,-8%,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Honor 400 Lite 5G 8GB/256GB AMOLED 120Hz Garansi Resmi Honor Indonesia
Rp
4.143.000
-8%
Produk Baru
Besok
Bandung",https://shopee.co.id/Honor-400-Lite-5G-8GB-256GB-AMOLED-120Hz-Garansi-Resmi-Honor-Indonesia-i.61089873.52204383070?extraParams=%7B%22display_model_id%22%3A405411930929%2C%22model_selection_logic%22%3A3%7D&sp_atk=e3ab7ae6-0979-4a0d-b69f-0c18968df3ac&xptdk=e3ab7ae6-0979-4a0d-b69f-0c18968df3ac
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmvaga34nshue0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Honor X6C [6GB+256GB] - Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.749.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,,,"Scrape to BigSeller
Honor X6C [6GB+256GB] - Garansi Resmi 1 Tahun
Rp
2.749.000
2-3 Hari
Jakarta Utara",https://shopee.co.id/Honor-X6C-6GB-256GB-Garansi-Resmi-1-Tahun-i.196149175.54258050571?extraParams=%7B%22display_model_id%22%3A310715762023%2C%22model_selection_logic%22%3A3%7D&sp_atk=a53667e2-b2cd-43ea-ba65-580fc3d5fc6d&xptdk=a53667e2-b2cd-43ea-ba65-580fc3d5fc6d
https://down-id.img.susercontent.com/file/id-11134207-822wp-mlx5n5n6sqo5ea,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR X6C LTE 6/256GB Kamera 50MP Baterai 5300mAh Fast Charge 35W Smartphone Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,-12%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
HONOR X6C LTE 6/256GB Kamera 50MP Baterai 5300mAh Fast Charge 35W Smartphone Garansi Resmi
Rp
2.999.000
-12%
Besok
Tangerang",https://shopee.co.id/HONOR-X6C-LTE-6-256GB-Kamera-50MP-Baterai-5300mAh-Fast-Charge-35W-Smartphone-Garansi-Resmi-i.18182651.43279220891?extraParams=%7B%22display_model_id%22%3A249182785892%2C%22model_selection_logic%22%3A3%7D&sp_atk=7a585086-5dc8-421f-a5a6-1283fb5c31be&xptdk=7a585086-5dc8-421f-a5a6-1283fb5c31be
https://down-id.img.susercontent.com/file/id-11134207-822wl-mm0dz9zuwv7z4c,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,DZL - HP HONOR X7d 8/512 GB 6500mAh 108MP Original Garansi Resmi Official Store Handphone Ori,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,4.329.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,-21%,,,,,,,"Scrape to BigSeller
DZL - HP HONOR X7d 8/512 GB 6500mAh 108MP Original Garansi Resmi Official Store Handphone Ori
Rp
4.329.000
-21%
2-3 Hari
Kab. Sleman",https://shopee.co.id/DZL-HP-HONOR-X7d-8-512-GB-6500mAh-108MP-Original-Garansi-Resmi-Official-Store-Handphone-Ori-i.1460001275.56957425228?extraParams=%7B%22display_model_id%22%3A292465702264%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca3c1570-0070-4ea3-9383-fe2f81a980e9&xptdk=ca3c1570-0070-4ea3-9383-fe2f81a980e9
https://down-id.img.susercontent.com/file/id-11134207-822wh-mm017eidc6blc6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Honor X6C 6/256GB - MediaTek Helio G81 Ultra Layar 6,61 Kamera 50MP+5MP Baterai 5300mAh 35W Honor SuperCharge",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,-25%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Honor X6C 6/256GB - MediaTek Helio G81 Ultra Layar 6,61 Kamera 50MP+5MP Baterai 5300mAh 35W Honor SuperCharge
Rp
2.999.000
-25%
Besok
Kab. Cirebon",https://shopee.co.id/Honor-X6C-6-256GB-MediaTek-Helio-G81-Ultra-Layar-6-61-Kamera-50MP-5MP-Baterai-5300mAh-35W-Honor-SuperCharge-i.25228914.48307750600?extraParams=%7B%22display_model_id%22%3A420687114637%2C%22model_selection_logic%22%3A3%7D&sp_atk=13f0b7f9-c032-480c-9d8f-a7b5e0eb74a6&xptdk=13f0b7f9-c032-480c-9d8f-a7b5e0eb74a6
https://down-id.img.susercontent.com/file/id-11134207-822wi-mn1mz1ldyhvo9f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,honor 400 5g 12/512 - AMOLED 120HZ - 6.55 inches - Qualcomm Snapdragon 7Gen 3 - 200 MP Dual Camera - 6000 mAh Battery,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.873.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
honor 400 5g 12/512 - AMOLED 120HZ - 6.55 inches - Qualcomm Snapdragon 7Gen 3 - 200 MP Dual Camera - 6000 mAh Battery
Rp
6.873.000
Besok
Semarang",https://shopee.co.id/honor-400-5g-12-512-AMOLED-120HZ-6.55-inches-Qualcomm-Snapdragon-7Gen-3-200-MP-Dual-Camera-6000-mAh-Battery-i.27808649.49606498743?extraParams=%7B%22display_model_id%22%3A282421110764%2C%22model_selection_logic%22%3A3%7D&sp_atk=9adfe611-ee6c-4d97-bed4-461a13af7cbd&xptdk=9adfe611-ee6c-4d97-bed4-461a13af7cbd
https://down-id.img.susercontent.com/file/24ef4c0eac12d7b51736c25e630f61f3,,Honor 7X 4GB/64GB Garansi Resmi-  Asuransi Pengiriman -,,Rp,2.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,Cicilan,,,,,,"Scrape to BigSeller
Honor 7X 4GB/64GB Garansi Resmi- Asuransi Pengiriman -
Rp
2.400.000
Cicilan
3-6 Hari
Surabaya",https://shopee.co.id/Honor-7X-4GB-64GB-Garansi-Resmi-Asuransi-Pengiriman--i.10817115.83670392?extraParams=%7B%22display_model_id%22%3A72575239088%2C%22model_selection_logic%22%3A3%7D&sp_atk=5854e511-76f8-4cce-9cda-2c980df88e48&xptdk=5854e511-76f8-4cce-9cda-2c980df88e48
