-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-shopee-primary,w-auto,text-white,img,text-xs/sp14_3,truncate,pointer-events-none_3,crawl-text,text-white_2,text-white_2_link,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wn-mmkbkc118g03e8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Honor X7D ( 8/256GB ) - Kamera 108MP Baterai 6500mAh Layar 120Hz NFC Smartphone Snapdragon 685  ( Garansi Resmi ),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.129.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,,,,Scrape to BigSeller,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=41379714325&shopid=1491513665,"Scrape to BigSeller
Honor X7D ( 8/256GB ) - Kamera 108MP Baterai 6500mAh Layar 120Hz NFC Smartphone Snapdragon 685 ( Garansi Resmi )
Rp
4.129.000
2-3 Hari
Jakarta Pusat",https://shopee.co.id/Honor-X7D-(-8-256GB-)-Kamera-108MP-Baterai-6500mAh-Layar-120Hz-NFC-Smartphone-Snapdragon-685-(-Garansi-Resmi-)-i.1491513665.41379714325?extraParams=%7B%22display_model_id%22%3A355722261047%2C%22model_selection_logic%22%3A3%7D&sp_atk=2a5b7622-fe31-4315-b4b1-d6254f624a8c&xptdk=2a5b7622-fe31-4315-b4b1-d6254f624a8c
https://down-id.img.susercontent.com/file/id-11134207-822wm-mlrtk5f38qo834,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,honor X7D 4G 8/512GB NFC Garansi Resmi Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,4.299.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,Scrape to BigSeller,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=52507154774&shopid=287662257,"Scrape to BigSeller
honor X7D 4G 8/512GB NFC Garansi Resmi Indonesia
Rp
4.299.000
-4%
Besok
Semarang",https://shopee.co.id/honor-X7D-4G-8-512GB-NFC-Garansi-Resmi-Indonesia-i.287662257.52507154774?extraParams=%7B%22display_model_id%22%3A297453494976%2C%22model_selection_logic%22%3A3%7D&sp_atk=2fdabcfd-3fd8-43fd-84be-19a96d3c47a6&xptdk=2fdabcfd-3fd8-43fd-84be-19a96d3c47a6
https://down-id.img.susercontent.com/file/id-11134207-7ra0h-mdj07ygiyic836,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR 400 Lite 8/256 GB SECOND FULLSET ORIGINAL,,Rp,3.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jombang,,,,,,,,Scrape to BigSeller,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=44113688872&shopid=425937299,"Scrape to BigSeller
HONOR 400 Lite 8/256 GB SECOND FULLSET ORIGINAL
Rp
3.500.000
2-4 Hari
Kab. Jombang",https://shopee.co.id/HONOR-400-Lite-8-256-GB-SECOND-FULLSET-ORIGINAL-i.425937299.44113688872?extraParams=%7B%22display_model_id%22%3A306132563493%2C%22model_selection_logic%22%3A3%7D&sp_atk=2ab79f7c-3aa2-4814-ab8e-2915b04e98da&xptdk=2ab79f7c-3aa2-4814-ab8e-2915b04e98da
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mcvqrdupesrcfe,,"Honor 400 Lite 5G 8/256GB Mediatek Dimensity 7025 Ultra (6 nm), 108MP Street Style Portrait garansi resmi indonesia",,Rp,3.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,Scrape to BigSeller,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=44411137427&shopid=83103291,"Scrape to BigSeller
Honor 400 Lite 5G 8/256GB Mediatek Dimensity 7025 Ultra (6 nm), 108MP Street Style Portrait garansi resmi indonesia
Rp
3.999.000
Besok
Jakarta Barat",https://shopee.co.id/Honor-400-Lite-5G-8-256GB-Mediatek-Dimensity-7025-Ultra-(6-nm)-108MP-Street-Style-Portrait-garansi-resmi-indonesia-i.83103291.44411137427?extraParams=%7B%22display_model_id%22%3A253696114865%2C%22model_selection_logic%22%3A3%7D&sp_atk=16e99e03-edf2-49d4-8e01-82ba678fd90a&xptdk=16e99e03-edf2-49d4-8e01-82ba678fd90a
https://down-id.img.susercontent.com/file/id-11134207-822wn-mm1sgwp1k7i9c6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR X7 D 8/512 GB SMARTPHONE NEW GARANSI - BATAM,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.699.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Batam,,,,,,,,Scrape to BigSeller,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=48707495289&shopid=1595025209,"Scrape to BigSeller
HONOR X7 D 8/512 GB SMARTPHONE NEW GARANSI - BATAM
Rp
4.699.000
Batam",https://shopee.co.id/HONOR-X7-D-8-512-GB-SMARTPHONE-NEW-GARANSI-BATAM-i.1595025209.48707495289?extraParams=%7B%22display_model_id%22%3A360664235707%2C%22model_selection_logic%22%3A3%7D&sp_atk=6235f6aa-83af-424e-abf8-b1ee33d46397&xptdk=6235f6aa-83af-424e-abf8-b1ee33d46397
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mcw7zwqeyvcs6b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Honor 400 Lite 5G 8/256 Resmi likenew,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,Scrape to BigSeller,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=28939403837&shopid=348952502,"Scrape to BigSeller
Honor 400 Lite 5G 8/256 Resmi likenew
Rp
3.300.000
5.0
3 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/Honor-400-Lite-5G-8-256-Resmi-likenew-i.348952502.28939403837?extraParams=%7B%22display_model_id%22%3A208625975799%2C%22model_selection_logic%22%3A3%7D&sp_atk=5101822b-bb8b-407b-9cba-b45987360bd2&xptdk=5101822b-bb8b-407b-9cba-b45987360bd2
https://down-id.img.susercontent.com/file/sg-11134201-81zu8-mn3zcs6syvieec,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor Power 2 5G 256GB 512GB Dimensity 8500 Elite 10080mAh 80W 50MP Camera Power2,,Rp,10.649.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,18 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,,,,,,Scrape to BigSeller,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=54558931617&shopid=168851519,"Scrape to BigSeller
Honor Power 2 5G 256GB 512GB Dimensity 8500 Elite 10080mAh 80W 50MP Camera Power2
Rp
10.649.000
18 Hari
Jakarta Selatan",https://shopee.co.id/Honor-Power-2-5G-256GB-512GB-Dimensity-8500-Elite-10080mAh-80W-50MP-Camera-Power2-i.168851519.54558931617?extraParams=%7B%22display_model_id%22%3A272542198428%2C%22model_selection_logic%22%3A3%7D&sp_atk=01badb18-4e16-4306-b3d9-1b6a496e1214&xptdk=01badb18-4e16-4306-b3d9-1b6a496e1214
https://down-id.img.susercontent.com/file/98cafb8dfb929ef0f814a5c91353b21f,,Huawei honor 3c,,Rp,110.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purbalingga,,,,,,,,Scrape to BigSeller,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=9636576581&shopid=29167400,"Scrape to BigSeller
Huawei honor 3c
Rp
110.000
5-8 Hari
Kab. Purbalingga",https://shopee.co.id/Huawei-honor-3c-i.29167400.9636576581?extraParams=%7B%22display_model_id%22%3A54606013201%2C%22model_selection_logic%22%3A3%7D&sp_atk=9fae874f-b835-4e62-b625-54931cbe52b0&xptdk=9fae874f-b835-4e62-b625-54931cbe52b0
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mcaejsy8ngcb1a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HONOR 400 LITE 8/256GB GARANSI RESMI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.150.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,Scrape to BigSeller,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=42108812559&shopid=303300919,"Scrape to BigSeller
HONOR 400 LITE 8/256GB GARANSI RESMI
Rp
4.150.000
5.0
9 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/HONOR-400-LITE-8-256GB-GARANSI-RESMI-i.303300919.42108812559?extraParams=%7B%22display_model_id%22%3A260741630416%2C%22model_selection_logic%22%3A3%7D&sp_atk=c15d22ce-0219-4138-94bc-2f531ca40a0e&xptdk=c15d22ce-0219-4138-94bc-2f531ca40a0e
https://down-id.img.susercontent.com/file/1aa9babaccc182084ecccd726072ff3c,,Honor 8X 128GB GARANSI RESMI!!!!,,Rp,3.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Karanganyar,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,Cicilan,,Scrape to BigSeller,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=1862341071&shopid=14991830,"Scrape to BigSeller
Honor 8X 128GB GARANSI RESMI!!!!
Rp
3.000.000
Cicilan
5.0
1 Terjual
3-6 Hari
Kab. Karanganyar",https://shopee.co.id/Honor-8X-128GB-GARANSI-RESMI!!!!-i.14991830.1862341071?extraParams=%7B%22display_model_id%22%3A3203731548%2C%22model_selection_logic%22%3A3%7D&sp_atk=03f25d26-c111-4873-aed8-ea5504fcff15&xptdk=03f25d26-c111-4873-aed8-ea5504fcff15
