-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-shopee-primary,text-xs/sp14_3,w-auto,text-white,truncate,img_2,text-xs_2,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134201-23020-9eo3iw2a5anv9a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,lcd tc honor 4c ori copotan minus dikit,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,70.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,,1 Terjual,,"Scrape to BigSeller
lcd tc honor 4c ori copotan minus dikit
Rp
70.000
1 Terjual
2-3 Hari
Kab. Cirebon",https://shopee.co.id/lcd-tc-honor-4c-ori-copotan-minus-dikit-i.300725469.21171902838?extraParams=%7B%22display_model_id%22%3A203756690551%2C%22model_selection_logic%22%3A3%7D&sp_atk=4eb9a007-f8ee-4cc8-9eca-613beced505d&xptdk=4eb9a007-f8ee-4cc8-9eca-613beced505d
https://down-id.img.susercontent.com/file/id-11134275-7ra0k-mbjhw5sdykta83,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR 400 5G 12/512 GB GARANSI RESMI HONOR INDONESIA TERMURAH,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.817.200,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-4%,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,25 Terjual,,"Scrape to BigSeller
HONOR 400 5G 12/512 GB GARANSI RESMI HONOR INDONESIA TERMURAH
Rp
6.817.200
-4%
5.0
25 Terjual
Hari ini
Surabaya",https://shopee.co.id/HONOR-400-5G-12-512-GB-GARANSI-RESMI-HONOR-INDONESIA-TERMURAH-i.91322698.43506523998?extraParams=%7B%22display_model_id%22%3A305548759746%2C%22model_selection_logic%22%3A3%7D&sp_atk=5b4b139d-790f-460f-bebf-6e5adb55135e&xptdk=5b4b139d-790f-460f-bebf-6e5adb55135e
https://down-id.img.susercontent.com/file/dddd38b17283048470b099a78810ceaa,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Honor 8x 4/128 GB Garansi Honor Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,,5.0,,,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,20 Terjual,,"Scrape to BigSeller
Honor 8x 4/128 GB Garansi Honor Indonesia
Rp
3.850.000
Cicilan
5.0
20 Terjual
3-4 Hari
Tangerang Selatan",https://shopee.co.id/Honor-8x-4-128-GB-Garansi-Honor-Indonesia-i.119346266.1969750893?extraParams=%7B%22display_model_id%22%3A30858179403%2C%22model_selection_logic%22%3A3%7D&sp_atk=0e67044a-f4b0-438d-9f22-ff6fd8e7d872&xptdk=0e67044a-f4b0-438d-9f22-ff6fd8e7d872
https://down-id.img.susercontent.com/file/839fcd52b34f50ed0583c7ecd9481469,,Honor View 10 6/128GB,,Rp,7.825.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,5.0,,,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 Terjual,,"Scrape to BigSeller
Honor View 10 6/128GB
Rp
7.825.000
Cicilan
5.0
2 Terjual
Jakarta Selatan",https://shopee.co.id/Honor-View-10-6-128GB-i.158036743.2354599349?extraParams=%7B%22display_model_id%22%3A52624896101%2C%22model_selection_logic%22%3A3%7D&sp_atk=8fbfbf00-8879-4de2-8156-16b16dc7cb38&xptdk=8fbfbf00-8879-4de2-8156-16b16dc7cb38
https://down-id.img.susercontent.com/file/id-11134207-822wh-mmo599mczvuqaa,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR X6C 6GB/256GB NEW Garansi RESMI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.689.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,"Scrape to BigSeller
HONOR X6C 6GB/256GB NEW Garansi RESMI
Rp
2.689.000
Besok
Depok",https://shopee.co.id/HONOR-X6C-6GB-256GB-NEW-Garansi-RESMI-i.923855370.26339357076?extraParams=%7B%22display_model_id%22%3A295924197330%2C%22model_selection_logic%22%3A3%7D&sp_atk=b9b6f449-8a3f-4b47-b73d-d50b1f8dbe66&xptdk=b9b6f449-8a3f-4b47-b73d-d50b1f8dbe66
https://down-id.img.susercontent.com/file/24ef4c0eac12d7b51736c25e630f61f3,,Honor 7X 4GB/64GB Garansi Resmi-  Asuransi Pengiriman -,,Rp,2.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,Cicilan,,3-6 Hari,,"Scrape to BigSeller
Honor 7X 4GB/64GB Garansi Resmi- Asuransi Pengiriman -
Rp
2.400.000
Cicilan
3-6 Hari
Surabaya",https://shopee.co.id/Honor-7X-4GB-64GB-Garansi-Resmi-Asuransi-Pengiriman--i.10817115.83670392?extraParams=%7B%22display_model_id%22%3A72575239088%2C%22model_selection_logic%22%3A3%7D&sp_atk=4396ea53-6a11-4593-aec6-8fdd3d551e6a&xptdk=4396ea53-6a11-4593-aec6-8fdd3d551e6a
https://down-id.img.susercontent.com/file/id-11134207-822wr-mmkjxzp4pddtab,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Honor 400 Lite 5G 8/256 Pemakaian 3 Bulanan Mulus TOP,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.549.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Lamongan,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Scrape to BigSeller
Honor 400 Lite 5G 8/256 Pemakaian 3 Bulanan Mulus TOP
Rp
3.549.000
< 2 Hari
Kab. Lamongan",https://shopee.co.id/Honor-400-Lite-5G-8-256-Pemakaian-3-Bulanan-Mulus-TOP-i.523499909.54308141773?extraParams=%7B%22display_model_id%22%3A385723043872%2C%22model_selection_logic%22%3A3%7D&sp_atk=ac474a56-7405-4b2d-b4ab-25c14136b377&xptdk=ac474a56-7405-4b2d-b4ab-25c14136b377
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmzlp07rd3445d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,HONOR X7d 4G [8/512GB] - Garansi Resmi Honor Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.495.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,,"Scrape to BigSeller
HONOR X7d 4G [8/512GB] - Garansi Resmi Honor Indonesia
Rp
4.495.000
Hari ini
Surabaya",https://shopee.co.id/HONOR-X7d-4G-8-512GB-Garansi-Resmi-Honor-Indonesia-i.30103636.42729998378?extraParams=%7B%22display_model_id%22%3A335773666931%2C%22model_selection_logic%22%3A3%7D&sp_atk=67dbc6f9-2390-454c-91dc-0c23609ce431&xptdk=67dbc6f9-2390-454c-91dc-0c23609ce431
https://down-id.img.susercontent.com/file/id-11134207-7ra0m-mc63p0mlsrofa6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR 400 Lite 5G Smartphone RAM 8GB+8GB/256GB AI Camera Button | Ultra-Clear Camera | Ultra-tough Triple Defense Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,4.219.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,298 Terjual,,"Scrape to BigSeller
HONOR 400 Lite 5G Smartphone RAM 8GB+8GB/256GB AI Camera Button | Ultra-Clear Camera | Ultra-tough Triple Defense Garansi Resmi
Rp
4.219.000
4.9
298 Terjual
Besok
Tangerang",https://shopee.co.id/HONOR-400-Lite-5G-Smartphone-RAM-8GB-8GB-256GB-AI-Camera-Button-Ultra-Clear-Camera-Ultra-tough-Triple-Defense-Garansi-Resmi-i.18182651.40108448269?extraParams=%7B%22display_model_id%22%3A415086383187%2C%22model_selection_logic%22%3A3%7D&sp_atk=00c6fbfe-0eaf-4547-9080-70cab63e2bd3&xptdk=00c6fbfe-0eaf-4547-9080-70cab63e2bd3
https://down-id.img.susercontent.com/file/id-11134207-822wn-mmk14haqtr0i1b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Grosir LCD Honor X9c / BRP-NX1 Support Fingerprint - Fullset Touchscreen (ANTI PECAH),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,685.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-90%,,,,,,1 Terjual,,"Scrape to BigSeller
Grosir LCD Honor X9c / BRP-NX1 Support Fingerprint - Fullset Touchscreen (ANTI PECAH)
Rp
685.000
-90%
1 Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/Grosir-LCD-Honor-X9c-BRP-NX1-Support-Fingerprint-Fullset-Touchscreen-(ANTI-PECAH)-i.1293558332.49958135248?extraParams=%7B%22display_model_id%22%3A119601217593%2C%22model_selection_logic%22%3A3%7D&sp_atk=ac010c4f-b79b-4d52-a0f8-6a898451bcd9&xptdk=ac010c4f-b79b-4d52-a0f8-6a898451bcd9
