-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,truncate,img_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wg-ml90bf0upwqq9a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR 400 5G 512 GB eSIM 6000mAh Garansi 2 Tahun | Honor 400 Lite 5G 256 GB,Rp,3.699.000,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
HONOR 400 5G 512 GB eSIM 6000mAh Garansi 2 Tahun | Honor 400 Lite 5G 256 GB
Rp
3.699.000
5.0
1 Terjual
Hari ini
Surabaya",https://shopee.co.id/HONOR-400-5G-512-GB-eSIM-6000mAh-Garansi-2-Tahun-Honor-400-Lite-5G-256-GB-i.198773392.48956589311?extraParams=%7B%22display_model_id%22%3A420634819623%2C%22model_selection_logic%22%3A3%7D&sp_atk=ad6a2dfd-fe5a-4a0a-8640-0e5d9fcd6af3&xptdk=ad6a2dfd-fe5a-4a0a-8640-0e5d9fcd6af3
https://down-id.img.susercontent.com/file/id-11134207-8224p-mghrrz0py6tl9e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor X8a Ram 4/128gb Wifi Only,Rp,1.700.000,,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,"Scrape to BigSeller
Honor X8a Ram 4/128gb Wifi Only
Rp
1.700.000
3-6 Hari
Surabaya",https://shopee.co.id/Honor-X8a-Ram-4-128gb-Wifi-Only-i.1343755755.57250584428?extraParams=%7B%22display_model_id%22%3A375051897883%2C%22model_selection_logic%22%3A3%7D&sp_atk=f6165553-56de-4ec6-84e8-4a6fb6faf96c&xptdk=f6165553-56de-4ec6-84e8-4a6fb6faf96c
https://down-id.img.susercontent.com/file/id-11134207-82251-mgd6y7ddubrg36,,[LIKE NEW] Honor 400 Lite 5G 8/256 GB Garansi Resmi Indonesia Original,Rp,3.290.000,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
[LIKE NEW] Honor 400 Lite 5G 8/256 GB Garansi Resmi Indonesia Original
Rp
3.290.000
5.0
4 Terjual
Besok
Jakarta Utara",https://shopee.co.id/-LIKE-NEW-Honor-400-Lite-5G-8-256-GB-Garansi-Resmi-Indonesia-Original-i.304735900.43125862379?extraParams=%7B%22display_model_id%22%3A244069473443%2C%22model_selection_logic%22%3A3%7D&sp_atk=08e19f17-4320-482a-a105-eaa8b9a7933c&xptdk=08e19f17-4320-482a-a105-eaa8b9a7933c
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmcf54ubbqx16c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HUAWEI HONOR X50 5G 12/256 ex GARANSI INTER,Rp,2.999.000,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Klaten,,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
HUAWEI HONOR X50 5G 12/256 ex GARANSI INTER
Rp
2.999.000
Produk Baru
5.0
1 Terjual
Besok
Kab. Klaten",https://shopee.co.id/HUAWEI-HONOR-X50-5G-12-256-ex-GARANSI-INTER-i.144116326.52454089933?extraParams=%7B%22display_model_id%22%3A405389586787%2C%22model_selection_logic%22%3A3%7D&sp_atk=02075665-5a6a-477e-a4a8-41a7c185d378&xptdk=02075665-5a6a-477e-a4a8-41a7c185d378
https://down-id.img.susercontent.com/file/id-11134207-7ra0o-md61clqhy7fra9,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,honor PRA-LA1,Rp,100.000,,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Karawang,,,,,,"Scrape to BigSeller
honor PRA-LA1
Rp
100.000
3-6 Hari
Kab. Karawang",https://shopee.co.id/honor-PRA-LA1-i.282260903.27689619661?extraParams=%7B%22display_model_id%22%3A306006071669%2C%22model_selection_logic%22%3A3%7D&sp_atk=ffd4a8e3-4273-435e-b061-e0feed949f09&xptdk=ffd4a8e3-4273-435e-b061-e0feed949f09
https://down-id.img.susercontent.com/file/sg-11134201-7rff8-m3jc36unv8emc8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LCD TOUCHSCREEN HONOR 8X - LCD HONOR VIEW 10 COMPLETE ORIGINAL,Rp,132.500,4.9,85 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
LCD TOUCHSCREEN HONOR 8X - LCD HONOR VIEW 10 COMPLETE ORIGINAL
Rp
132.500
4.9
85 Terjual
2-3 Hari
Jakarta Timur",https://shopee.co.id/LCD-TOUCHSCREEN-HONOR-8X-LCD-HONOR-VIEW-10-COMPLETE-ORIGINAL-i.1054334617.26970086464?extraParams=%7B%22display_model_id%22%3A281930642436%2C%22model_selection_logic%22%3A3%7D&sp_atk=166640ea-da6d-4ab2-bbee-65f229074aa4&xptdk=166640ea-da6d-4ab2-bbee-65f229074aa4
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-md96yaeyketz95,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,honor 70 pro 8/256 imei beacukai,Rp,3.300.000,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banda Aceh,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
honor 70 pro 8/256 imei beacukai
Rp
3.300.000
Besok
Banda Aceh",https://shopee.co.id/honor-70-pro-8-256-imei-beacukai-i.56801986.41912215897?extraParams=%7B%22display_model_id%22%3A271022214791%2C%22model_selection_logic%22%3A3%7D&sp_atk=85f7e27e-13c5-42c1-b895-601fd7230424&xptdk=85f7e27e-13c5-42c1-b895-601fd7230424
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn2ayjyugfepb6,,Honor Magic 7 RSR Porsche Design inter 16/512GB ( blm terdaftar bea cukai ),Rp,12.700.000,,4-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cilacap,,,,,,"Scrape to BigSeller
Honor Magic 7 RSR Porsche Design inter 16/512GB ( blm terdaftar bea cukai )
Rp
12.700.000
4-8 Hari
Kab. Cilacap",https://shopee.co.id/Honor-Magic-7-RSR-Porsche-Design-inter-16-512GB-(-blm-terdaftar-bea-cukai-)-i.623260169.53758837329?extraParams=%7B%22display_model_id%22%3A375784698468%2C%22model_selection_logic%22%3A3%7D&sp_atk=e5aeebe3-860e-40f2-8a78-36ccac4102bd&xptdk=e5aeebe3-860e-40f2-8a78-36ccac4102bd
https://down-id.img.susercontent.com/file/id-11134207-8224r-mis1vtbmrif744,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor 70 256gb,Rp,3.500.000,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Honor 70 256gb
Rp
3.500.000
Produk Baru
Besok
Jakarta Selatan",https://shopee.co.id/Honor-70-256gb-i.86474250.52353824763?extraParams=%7B%22display_model_id%22%3A435364578601%2C%22model_selection_logic%22%3A3%7D&sp_atk=d5ea7c8f-5d05-4efd-8f22-20f3c041d09b&xptdk=d5ea7c8f-5d05-4efd-8f22-20f3c041d09b
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-maf51fhvlonycf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Original LCD TouchScreen - Honor X5 Plus / Honor X5+,Rp,380.000,5.0,2 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
Original LCD TouchScreen - Honor X5 Plus / Honor X5+
Rp
380.000
5.0
2 Terjual
Jakarta Timur",https://shopee.co.id/Original-LCD-TouchScreen-Honor-X5-Plus-Honor-X5--i.174978705.40002825630?extraParams=%7B%22display_model_id%22%3A270229727870%2C%22model_selection_logic%22%3A3%7D&sp_atk=6ce4f4fd-bc1b-4a8a-ae65-f644c0a376f4&xptdk=6ce4f4fd-bc1b-4a8a-ae65-f644c0a376f4
