-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,img,text-xs/sp14_3,text-shopee-green,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wm-mneke2wkpqti58,https://down-id.img.susercontent.com/file/id-11134258-822wp-mlyjp115kz5tc6,[KINI HADIR] HUAWEI Mate 80 Pro Smartphone 16+512G l True-to-Colour Camera 2.0 l 2nd Gen Kunlun Glass l Smart AI | 100W,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,16.799.000,-16%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"Scrape to BigSeller
[KINI HADIR] HUAWEI Mate 80 Pro Smartphone 16+512G l True-to-Colour Camera 2.0 l 2nd Gen Kunlun Glass l Smart AI | 100W
Rp
16.799.000
-16%
Besok
Tangerang",https://shopee.co.id/-KINI-HADIR-HUAWEI-Mate-80-Pro-Smartphone-16-512G-l-True-to-Colour-Camera-2.0-l-2nd-Gen-Kunlun-Glass-l-Smart-AI-100W-i.39372120.50208390196?extraParams=%7B%22display_model_id%22%3A330744562165%2C%22model_selection_logic%22%3A3%7D&sp_atk=e8152981-d0ee-47bc-99bd-59492fed795b&xptdk=e8152981-d0ee-47bc-99bd-59492fed795b
https://down-id.img.susercontent.com/file/id-11134207-7rbka-m7dumiku0zra2d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HUEWAI Mate X6 Smartphone Ultra slim,,Rp,1.500.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,"Scrape to BigSeller
HUEWAI Mate X6 Smartphone Ultra slim
Rp
1.500.000
5.0
1 Terjual
4-7 Hari
Jakarta Utara",https://shopee.co.id/HUEWAI-Mate-X6-Smartphone-Ultra-slim-i.152536221.27379749353?extraParams=%7B%22display_model_id%22%3A257902448975%2C%22model_selection_logic%22%3A3%7D&sp_atk=5917115e-05d1-48b5-aeae-b14ef526dd0e&xptdk=5917115e-05d1-48b5-aeae-b14ef526dd0e
https://down-id.img.susercontent.com/file/id-11134207-23030-zrn47shq1aov61,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Huawei Nova 5T Ram 8 128GB Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.899.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,3 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,11 Terjual,Cicilan,"Scrape to BigSeller
Huawei Nova 5T Ram 8 128GB Garansi Resmi
Rp
1.899.000
Cicilan
5.0
11 Terjual
3 jam
Surabaya",https://shopee.co.id/Huawei-Nova-5T-Ram-8-128GB-Garansi-Resmi-i.94985634.12506888354?extraParams=%7B%22display_model_id%22%3A49261775055%2C%22model_selection_logic%22%3A3%7D&sp_atk=cec11bed-cd90-4782-b02e-773a8d1a0829&xptdk=cec11bed-cd90-4782-b02e-773a8d1a0829
https://down-id.img.susercontent.com/file/f2dcd3994f50525d91fd1d8d36f88d0a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,HP android Huawei Y5 2015 Wifi Murah Batik Edition New Fullset Only Open Box Ready,,Rp,355.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Yogyakarta,,,4-7 Hari,,"Scrape to BigSeller
HP android Huawei Y5 2015 Wifi Murah Batik Edition New Fullset Only Open Box Ready
Rp
355.000
4-7 Hari
Yogyakarta",https://shopee.co.id/HP-android-Huawei-Y5-2015-Wifi-Murah-Batik-Edition-New-Fullset-Only-Open-Box-Ready-i.376618188.8311171786?extraParams=%7B%22display_model_id%22%3A73507301250%2C%22model_selection_logic%22%3A3%7D&sp_atk=67a2798f-70cb-4cf3-bd3a-45887be83fe3&xptdk=67a2798f-70cb-4cf3-bd3a-45887be83fe3
https://down-id.img.susercontent.com/file/id-11134207-81ztf-me9xh9pn2fwh41,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawei Nova 3i 4/128 GB Resmi Indonesia Second Ori (Baca Deskripsi),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,675.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"Scrape to BigSeller
Huawei Nova 3i 4/128 GB Resmi Indonesia Second Ori (Baca Deskripsi)
Rp
675.000
Besok
Jakarta Utara",https://shopee.co.id/Huawei-Nova-3i-4-128-GB-Resmi-Indonesia-Second-Ori-(Baca-Deskripsi)-i.1563349780.41967650182?extraParams=%7B%22display_model_id%22%3A276452833167%2C%22model_selection_logic%22%3A3%7D&sp_atk=9cd0e110-b638-4d04-98d4-58d10fc2c1e4&xptdk=9cd0e110-b638-4d04-98d4-58d10fc2c1e4
https://down-id.img.susercontent.com/file/id-11134207-7rasc-m2dkmcpn4leq26,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Huawei R4850G5 50ampere, kondisi New",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,830.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,204 Terjual,,"Scrape to BigSeller
Huawei R4850G5 50ampere, kondisi New
Rp
830.000
5.0
204 Terjual
5-7 Hari
Bandung",https://shopee.co.id/Huawei-R4850G5-50ampere-kondisi-New-i.18801509.28706368201?extraParams=%7B%22display_model_id%22%3A256272537918%2C%22model_selection_logic%22%3A3%7D&sp_atk=4818470f-4287-41e8-96d4-0995c67e993c&xptdk=4818470f-4287-41e8-96d4-0995c67e993c
https://down-id.img.susercontent.com/file/id-11134207-8224s-mhcstuttfj7ubf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,huawei nova 3i ram 4/128 nurmal cek deskripsi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,915.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Probolinggo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,"Scrape to BigSeller
huawei nova 3i ram 4/128 nurmal cek deskripsi
Rp
915.000
< 2 Hari
Kab. Probolinggo",https://shopee.co.id/huawei-nova-3i-ram-4-128-nurmal-cek-deskripsi-i.78346931.46201937206?extraParams=%7B%22display_model_id%22%3A330188145903%2C%22model_selection_logic%22%3A3%7D&sp_atk=5aa3c3ac-3476-47f5-b69f-9ae70c7fa601&xptdk=5aa3c3ac-3476-47f5-b69f-9ae70c7fa601
https://down-id.img.susercontent.com/file/f06251deabebefbb04ae85adb663e006,,huawei Nova 9 256gb Rom 8gb ram fullset original,,Rp,2.700.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kulon Progo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,175 Terjual,Cicilan,"Scrape to BigSeller
huawei Nova 9 256gb Rom 8gb ram fullset original
Rp
2.700.000
Cicilan
4.8
175 Terjual
Besok
Kab. Kulon Progo",https://shopee.co.id/huawei-Nova-9-256gb-Rom-8gb-ram-fullset-original-i.34341683.4215824466?extraParams=%7B%22display_model_id%22%3A213766747790%2C%22model_selection_logic%22%3A3%7D&sp_atk=7cfe9b9c-5b82-46d2-87bf-d9a78475c7f8&xptdk=7cfe9b9c-5b82-46d2-87bf-d9a78475c7f8
https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m7w8pk8uvoct7b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawai cun l22,,Rp,51.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tasikmalaya,,,4-8 Hari,,"Scrape to BigSeller
Huawai cun l22
Rp
51.000
4-8 Hari
Kab. Tasikmalaya",https://shopee.co.id/Huawai-cun-l22-i.1351012869.26131197704?extraParams=%7B%22display_model_id%22%3A79539445027%2C%22model_selection_logic%22%3A3%7D&sp_atk=20434e8d-df42-479e-aeb2-d08a94f5e3b8&xptdk=20434e8d-df42-479e-aeb2-d08a94f5e3b8
https://down-id.img.susercontent.com/file/id-11134207-8224z-mgph51r4mart54,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,huawei nova 7i ram 8/128 second nurmal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.600.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Probolinggo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,2 Terjual,,"Scrape to BigSeller
huawei nova 7i ram 8/128 second nurmal
Rp
1.600.000
4.5
2 Terjual
< 2 Hari
Kab. Probolinggo",https://shopee.co.id/huawei-nova-7i-ram-8-128-second-nurmal-i.78346931.26660327380?extraParams=%7B%22display_model_id%22%3A108448280487%2C%22model_selection_logic%22%3A3%7D&sp_atk=a3982362-36a8-47c9-b546-f9f7048c2108&xptdk=a3982362-36a8-47c9-b546-f9f7048c2108
