-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,inline-block,img,text-xs/sp14_2,w-auto,text-white,truncate,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-82250-mk34hmyrgb9k62,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawei mate 20 pro resmi indo,Rp,1.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,,,,"Scrape to BigSeller
Huawei mate 20 pro resmi indo
Rp
1.700.000
3-6 Hari
Surabaya",https://shopee.co.id/Huawei-mate-20-pro-resmi-indo-i.310132567.58055594221?extraParams=%7B%22display_model_id%22%3A350506892569%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb42b6d9-2d61-422a-9392-920381408ab5&xptdk=fb42b6d9-2d61-422a-9392-920381408ab5
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn46cmv7lmh146,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Huawei Nova 9 ram 8gb internal 256gb resmi indonesia original,Rp,2.790.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,,"Scrape to BigSeller
Huawei Nova 9 ram 8gb internal 256gb resmi indonesia original
Rp
2.790.000
5.0
1 Terjual
2-4 Hari
Kab. Bekasi",https://shopee.co.id/Huawei-Nova-9-ram-8gb-internal-256gb-resmi-indonesia-original-i.183869163.14084561915?extraParams=%7B%22display_model_id%22%3A200176946212%2C%22model_selection_logic%22%3A3%7D&sp_atk=8949dfec-78a7-4cfb-9ff2-0489cf1c760b&xptdk=8949dfec-78a7-4cfb-9ff2-0489cf1c760b
https://down-id.img.susercontent.com/file/id-11134207-8224u-ml1px0ve04cia3,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,huawei p30 lite dual sim 6/128gb,Rp,1.100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,"Scrape to BigSeller
huawei p30 lite dual sim 6/128gb
Rp
1.100.000
Besok
Bekasi",https://shopee.co.id/huawei-p30-lite-dual-sim-6-128gb-i.216215939.49856360729?extraParams=%7B%22display_model_id%22%3A159342357621%2C%22model_selection_logic%22%3A3%7D&sp_atk=4d330513-32f6-4df8-bc05-5df35bd4addf&xptdk=4d330513-32f6-4df8-bc05-5df35bd4addf
https://down-id.img.susercontent.com/file/id-11134207-8224p-miyhxq809vk6d8,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawei Mate 10 Pro ram 6/128 dualsim All operator,Rp,950.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jepara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,Produk Baru,,,"Scrape to BigSeller
Huawei Mate 10 Pro ram 6/128 dualsim All operator
Rp
950.000
Produk Baru
Besok
Kab. Jepara",https://shopee.co.id/Huawei-Mate-10-Pro-ram-6-128-dualsim-All-operator-i.251420436.53603781354?extraParams=%7B%22display_model_id%22%3A297291244699%2C%22model_selection_logic%22%3A3%7D&sp_atk=a3e71878-8464-47c4-a15d-c391fc709b48&xptdk=a3e71878-8464-47c4-a15d-c391fc709b48
https://down-id.img.susercontent.com/file/928d8cde5bf3cd26e863c174f773fb66,,Huawei Gr 3,Rp,730.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,,,,,,,,"Scrape to BigSeller
Huawei Gr 3
Rp
730.000
Kab. Bogor",https://shopee.co.id/Huawei-Gr-3-i.237179092.3920309283?extraParams=%7B%22display_model_id%22%3A72621257681%2C%22model_selection_logic%22%3A3%7D&sp_atk=e90c41f0-7e4d-46b0-a467-dc5394cddc9e&xptdk=e90c41f0-7e4d-46b0-a467-dc5394cddc9e
https://down-id.img.susercontent.com/file/id-11134207-82250-mipjsplv7pjc94,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Huawei Nova 9 8/256GB Produk Resmi Indonesia,Rp,3.756.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,Produk Baru,,,"Scrape to BigSeller
Huawei Nova 9 8/256GB Produk Resmi Indonesia
Rp
3.756.000
Produk Baru
Besok
Jakarta Barat",https://shopee.co.id/Huawei-Nova-9-8-256GB-Produk-Resmi-Indonesia-i.1599175836.54603762939?extraParams=%7B%22display_model_id%22%3A297290478347%2C%22model_selection_logic%22%3A3%7D&sp_atk=6d15aff5-1231-463b-a3d3-b477d416d7d3&xptdk=6d15aff5-1231-463b-a3d3-b477d416d7d3
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m2icl7bgy07e57,,Huawei Nova 9 8/256 GB Garansi Resmi Indonesia Second Bekas Original,Rp,2.990.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,"Scrape to BigSeller
Huawei Nova 9 8/256 GB Garansi Resmi Indonesia Second Bekas Original
Rp
2.990.000
5.0
5 Terjual
Besok
Jakarta Utara",https://shopee.co.id/Huawei-Nova-9-8-256-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.27567396927?extraParams=%7B%22display_model_id%22%3A217969902325%2C%22model_selection_logic%22%3A3%7D&sp_atk=0ac00dea-fca6-48d2-89db-e743cfd4e0df&xptdk=0ac00dea-fca6-48d2-89db-e743cfd4e0df
https://down-id.img.susercontent.com/file/id-11134207-822wk-mndunhaudxc1bc,https://down-id.img.susercontent.com/file/id-11134258-822wp-mlyjp115kz5tc6,[PayDay Voucher s/d 15%] HUAWEI nova 14 Pro Smartphone l True-to-Life Color Camera | 50 MP Front Dual Camera l Smart AI | 100W,Rp,8.449.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,642 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,Produk Baru,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Scrape to BigSeller
[PayDay Voucher s/d 15%] HUAWEI nova 14 Pro Smartphone l True-to-Life Color Camera | 50 MP Front Dual Camera l Smart AI | 100W
Rp
8.449.000
-4%
Produk Baru
4.9
642 Terjual
Besok
Tangerang",https://shopee.co.id/-PayDay-Voucher-s-d-15-HUAWEI-nova-14-Pro-Smartphone-l-True-to-Life-Color-Camera-50-MP-Front-Dual-Camera-l-Smart-AI-100W-i.39372120.40627874949?extraParams=%7B%22display_model_id%22%3A188797339533%2C%22model_selection_logic%22%3A3%7D&sp_atk=43813c4e-dd3d-46a5-bbbf-af4f7079f0ef&xptdk=43813c4e-dd3d-46a5-bbbf-af4f7079f0ef
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmh598fntseb4a,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawei P30 Lite 6/128 Unit Only Cek Deskripsi,Rp,1.100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,,,,,,,,"Scrape to BigSeller
Huawei P30 Lite 6/128 Unit Only Cek Deskripsi
Rp
1.100.000
2-4 Hari
Bekasi",https://shopee.co.id/Huawei-P30-Lite-6-128-Unit-Only-Cek-Deskripsi-i.383919264.56757991594?extraParams=%7B%22display_model_id%22%3A355710197423%2C%22model_selection_logic%22%3A3%7D&sp_atk=0e9eb143-4660-40d0-a342-5d802e28439c&xptdk=0e9eb143-4660-40d0-a342-5d802e28439c
https://down-id.img.susercontent.com/file/id-11134207-7rasb-m63qibf28d9247,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Huawei Nova 5T 8/128gb Bekas (100% Original),Rp,1.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,,"Scrape to BigSeller
Huawei Nova 5T 8/128gb Bekas (100% Original)
Rp
1.700.000
5.0
3 Terjual
2-3 Hari
Surakarta (Solo)",https://shopee.co.id/Huawei-Nova-5T-8-128gb-Bekas-(100-Original)-i.101812551.18173269140?extraParams=%7B%22display_model_id%22%3A186970662586%2C%22model_selection_logic%22%3A3%7D&sp_atk=9be865cc-1bb3-428a-a498-55106c005f9b&xptdk=9be865cc-1bb3-428a-a498-55106c005f9b
