-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,truncate,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,img,text-xs/sp14_2,inline-block,text-shopee-primary,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmyu4wdu6qyseb,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawei pura 80 pro 12/512gb fullset original garansi resmi,Rp,10.449.000,Produk Baru,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
Huawei pura 80 pro 12/512gb fullset original garansi resmi
Rp
10.449.000
Produk Baru
1 Terjual
Besok
Tangerang Selatan",https://shopee.co.id/Huawei-pura-80-pro-12-512gb-fullset-original-garansi-resmi-i.372340008.55404350432?extraParams=%7B%22display_model_id%22%3A445407703919%2C%22model_selection_logic%22%3A3%7D&sp_atk=a11c666a-5cd5-4928-9589-a3a99b2a4bb7&xptdk=a11c666a-5cd5-4928-9589-a3a99b2a4bb7
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m4bc1i7v7y62c2,,Huawei mate 30  128gb rom 8gb ram batangan Bea cukai,Rp,3.000.000,Cicilan,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kulon Progo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,,,"Scrape to BigSeller
Huawei mate 30 128gb rom 8gb ram batangan Bea cukai
Rp
3.000.000
Cicilan
4.8
8 Terjual
Besok
Kab. Kulon Progo",https://shopee.co.id/Huawei-mate-30-128gb-rom-8gb-ram-batangan-Bea-cukai-i.34341683.2954533812?extraParams=%7B%22display_model_id%22%3A25800765366%2C%22model_selection_logic%22%3A3%7D&sp_atk=c8f4a69a-ff87-4f9b-b979-80104d692359&xptdk=c8f4a69a-ff87-4f9b-b979-80104d692359
https://down-id.img.susercontent.com/file/id-11134207-7rbk6-maz2o7xeq66u76,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HUAWEI P30 Pro 8/256GB | HUAWEI P30 PRO 8/128GB | HUAWEI P40 P50 P60 PRO 5G |  HUAWEI MATE 30 40 50 60,Rp,3.410.000,,24 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Scrape to BigSeller
HUAWEI P30 Pro 8/256GB | HUAWEI P30 PRO 8/128GB | HUAWEI P40 P50 P60 PRO 5G | HUAWEI MATE 30 40 50 60
Rp
3.410.000
4.8
24 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/HUAWEI-P30-Pro-8-256GB-HUAWEI-P30-PRO-8-128GB-HUAWEI-P40-P50-P60-PRO-5G-HUAWEI-MATE-30-40-50-60-i.1129417904.27272119886?extraParams=%7B%22display_model_id%22%3A257520783438%2C%22model_selection_logic%22%3A3%7D&sp_atk=1c088d08-db3a-468a-bbea-052012f45574&xptdk=1c088d08-db3a-468a-bbea-052012f45574
https://down-id.img.susercontent.com/file/id-11134207-822ws-mmv0b2l4qy9y4b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawei P30 Pro 8/128,Rp,3.250.000,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
Huawei P30 Pro 8/128
Rp
3.250.000
Besok
Kab. Tangerang",https://shopee.co.id/Huawei-P30-Pro-8-128-i.80219078.48258542048?extraParams=%7B%22display_model_id%22%3A405755666695%2C%22model_selection_logic%22%3A3%7D&sp_atk=ce9aba33-5b97-48f0-b2a5-e8f9e4f64108&xptdk=ce9aba33-5b97-48f0-b2a5-e8f9e4f64108
https://down-id.img.susercontent.com/file/id-11134207-8224o-mjxvy1coq7eq8b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HUAWEI MATE 30 PRO SECOND / MATE 30 PRO SECOND 8/256 [BACA DESKRIPSI],Rp,2.400.000,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,"Scrape to BigSeller
HUAWEI MATE 30 PRO SECOND / MATE 30 PRO SECOND 8/256 [BACA DESKRIPSI]
Rp
2.400.000
Besok
Kab. Bogor",https://shopee.co.id/HUAWEI-MATE-30-PRO-SECOND-MATE-30-PRO-SECOND-8-256-BACA-DESKRIPSI--i.391453485.43473522567?extraParams=%7B%22display_model_id%22%3A435574531032%2C%22model_selection_logic%22%3A3%7D&sp_atk=61ce0809-b452-44fd-a808-61dafeff06a0&xptdk=61ce0809-b452-44fd-a808-61dafeff06a0
https://down-id.img.susercontent.com/file/97a5da8143ecdca051a4ddc2f1ca3346,,Huawei nexus 6p 32gb seken original,Rp,1.350.000,Grosir,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"Scrape to BigSeller
Huawei nexus 6p 32gb seken original
Rp
1.350.000
Grosir
Cicilan
4-7 Hari
Jakarta Barat",https://shopee.co.id/Huawei-nexus-6p-32gb-seken-original-i.113904426.1743197292?extraParams=%7B%22display_model_id%22%3A23352654533%2C%22model_selection_logic%22%3A3%7D&sp_atk=b72cfedf-fe4e-468a-bb0b-513c05656ef0&xptdk=b72cfedf-fe4e-468a-bb0b-513c05656ef0
https://down-id.img.susercontent.com/file/id-11134207-822wr-mnebktwh1edhfe,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Poco X8 Pro 5G 8/256 8/512 12/512 Second Garansi Resmi,Rp,4.999.000,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Scrape to BigSeller
Poco X8 Pro 5G 8/256 8/512 12/512 Second Garansi Resmi
Rp
4.999.000
1 Terjual
Besok
Jakarta Timur",https://shopee.co.id/Poco-X8-Pro-5G-8-256-8-512-12-512-Second-Garansi-Resmi-i.1385068681.51156342996?extraParams=%7B%22display_model_id%22%3A325828920487%2C%22model_selection_logic%22%3A3%7D&sp_atk=90fbbb85-24b2-4dbf-9e85-708c4af4b199&xptdk=90fbbb85-24b2-4dbf-9e85-708c4af4b199
https://down-id.img.susercontent.com/file/id-11134207-7r990-lszev5qbr7g93a,,Huawei mate 20 mate 20x 128gb Rom 6gb ram original,Rp,1.950.000,Cicilan,39 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kulon Progo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.3,,,"Scrape to BigSeller
Huawei mate 20 mate 20x 128gb Rom 6gb ram original
Rp
1.950.000
Cicilan
4.3
39 Terjual
Besok
Kab. Kulon Progo",https://shopee.co.id/Huawei-mate-20-mate-20x-128gb-Rom-6gb-ram-original-i.34341683.10079593042?extraParams=%7B%22display_model_id%22%3A325117202943%2C%22model_selection_logic%22%3A3%7D&sp_atk=65cdea23-72a9-45e3-b6ac-4beb6ee882c5&xptdk=65cdea23-72a9-45e3-b6ac-4beb6ee882c5
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m60l2imdbeh2cd,,Huawei p50 pro resmi Indonesia fullset,Rp,4.900.000,,15 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kulon Progo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.4,,,"Scrape to BigSeller
Huawei p50 pro resmi Indonesia fullset
Rp
4.900.000
4.4
15 Terjual
Besok
Kab. Kulon Progo",https://shopee.co.id/Huawei-p50-pro-resmi-Indonesia-fullset-i.34341683.19371749872?extraParams=%7B%22display_model_id%22%3A250443273168%2C%22model_selection_logic%22%3A3%7D&sp_atk=b397ff97-2568-4ddd-9fbe-20284b51f3ed&xptdk=b397ff97-2568-4ddd-9fbe-20284b51f3ed
https://down-id.img.susercontent.com/file/id-11134207-8224p-mgmhi15rft3ibe,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Huawei P30 Lite 128GB Termurah dan Terlaris,Rp,1.319.999,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,"Scrape to BigSeller
Huawei P30 Lite 128GB Termurah dan Terlaris
Rp
1.319.999
5.0
1 Terjual
5-8 Hari
Jakarta Timur",https://shopee.co.id/Huawei-P30-Lite-128GB-Termurah-dan-Terlaris-i.1433674527.56250761111?extraParams=%7B%22display_model_id%22%3A310068681244%2C%22model_selection_logic%22%3A3%7D&sp_atk=d7e3df87-3867-4775-ae3a-07d94e959567&xptdk=d7e3df87-3867-4775-ae3a-07d94e959567
https://down-id.img.susercontent.com/file/id-11134207-7ra0t-md6vad7dwcuve0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,huawei nova 8 5G minus,Rp,1.450.500,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Lamongan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Scrape to BigSeller
huawei nova 8 5G minus
Rp
1.450.500
< 2 Hari
Kab. Lamongan",https://shopee.co.id/huawei-nova-8-5G-minus-i.18854966.43112066784?extraParams=%7B%22display_model_id%22%3A261011480491%2C%22model_selection_logic%22%3A3%7D&sp_atk=394e13ea-3760-4268-96ae-ff7fb19ab072&xptdk=394e13ea-3760-4268-96ae-ff7fb19ab072
https://down-id.img.susercontent.com/file/id-11134207-822wj-mn5jglqzuz2c5d,,HUAWEI Mate X7 [ 16GB RAM + 512GB ROM ],Rp,27.999.000,,3 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,3 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Scrape to BigSeller
HUAWEI Mate X7 [ 16GB RAM + 512GB ROM ]
Rp
27.999.000
3 jam
Surabaya",https://shopee.co.id/HUAWEI-Mate-X7-16GB-RAM-512GB-ROM--i.146811401.51756478003?extraParams=%7B%22display_model_id%22%3A380583097429%2C%22model_selection_logic%22%3A3%7D&sp_atk=af718ffc-b1c6-4268-9dd9-41d458564a0f&xptdk=af718ffc-b1c6-4268-9dd9-41d458564a0f
https://down-id.img.susercontent.com/file/a39765d49582b8c0ff31a7eacf00b556,,Huawei mate 20 pro mate 20x 128gb second bekas original,Rp,2.350.000,Cicilan,75 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kulon Progo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.4,,,"Scrape to BigSeller
Huawei mate 20 pro mate 20x 128gb second bekas original
Rp
2.350.000
Cicilan
4.4
75 Terjual
Besok
Kab. Kulon Progo",https://shopee.co.id/Huawei-mate-20-pro-mate-20x-128gb-second-bekas-original-i.34341683.2453472543?extraParams=%7B%22display_model_id%22%3A87751332697%2C%22model_selection_logic%22%3A3%7D&sp_atk=782a778c-c15a-4377-8d35-320df74c1520&xptdk=782a778c-c15a-4377-8d35-320df74c1520
