-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,crawl-text,img,text-xs/sp14_2,text-white_2,text-white_2_link,text-shopee-green,truncate,text-shopee-primary,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wn-mn9hs26shhqea5,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawei P40 Pro 8/256 GB Resmi Indonesia Second Ori (Baca Deskripsi),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.975.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,Scrape to BigSeller,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=47509149612&shopid=1563349780,Besok,,,"Scrape to BigSeller
Huawei P40 Pro 8/256 GB Resmi Indonesia Second Ori (Baca Deskripsi)
Rp
2.975.000
Besok
Jakarta Utara",https://shopee.co.id/Huawei-P40-Pro-8-256-GB-Resmi-Indonesia-Second-Ori-(Baca-Deskripsi)-i.1563349780.47509149612?extraParams=%7B%22display_model_id%22%3A340809163402%2C%22model_selection_logic%22%3A3%7D&sp_atk=aed73ef4-34f6-4bcb-bae2-869245ac9452&xptdk=aed73ef4-34f6-4bcb-bae2-869245ac9452
https://down-id.img.susercontent.com/file/id-11134207-822wu-mlqgjbdhdeko4c,,Preloved Bekas Handphone Huawei  P50 pro 256Gb original ex garansi Indonesia kondisi istimewa like new 8/256 Black,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,3 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Gresik,Scrape to BigSeller,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=22565191285&shopid=81803183,1 Terjual,,,"Scrape to BigSeller
Preloved Bekas Handphone Huawei P50 pro 256Gb original ex garansi Indonesia kondisi istimewa like new 8/256 Black
Rp
4.900.000
5.0
1 Terjual
3 jam
Kab. Gresik",https://shopee.co.id/Preloved-Bekas-Handphone-Huawei-P50-pro-256Gb-original-ex-garansi-Indonesia-kondisi-istimewa-like-new-8-256-Black-i.81803183.22565191285?extraParams=%7B%22display_model_id%22%3A188283319421%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b514aee-688b-4a09-a55c-771720e73545&xptdk=8b514aee-688b-4a09-a55c-771720e73545
https://down-id.img.susercontent.com/file/id-11134207-822wn-mlg5uy26zkebc1,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Hp Handpone Huawei P30 Pro 8/256 Second Seken Bekas Murah Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,Scrape to BigSeller,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.0,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=29920918175&shopid=221779283,2 Terjual,,,"Scrape to BigSeller
Hp Handpone Huawei P30 Pro 8/256 Second Seken Bekas Murah Bergaransi
Rp
3.300.000
3.0
2 Terjual
2-3 Hari
Jakarta Timur",https://shopee.co.id/Hp-Handpone-Huawei-P30-Pro-8-256-Second-Seken-Bekas-Murah-Bergaransi-i.221779283.29920918175?extraParams=%7B%22display_model_id%22%3A208071330390%2C%22model_selection_logic%22%3A3%7D&sp_atk=f18dd438-56b0-4d98-b1c8-270ca3b5bea0&xptdk=f18dd438-56b0-4d98-b1c8-270ca3b5bea0
https://down-id.img.susercontent.com/file/08f1b98532637dd6a0770689b55a8f54,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Huawei Nova Series (Second),,Rp,2.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bantul,Scrape to BigSeller,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=11001717556&shopid=159404340,11 Terjual,Cicilan,,"Scrape to BigSeller
Huawei Nova Series (Second)
Rp
2.650.000
Cicilan
5.0
11 Terjual
3-7 Hari
Kab. Bantul",https://shopee.co.id/Huawei-Nova-Series-(Second)-i.159404340.11001717556?extraParams=%7B%22display_model_id%22%3A109019577953%2C%22model_selection_logic%22%3A3%7D&sp_atk=01315714-15d8-4f23-8a89-6ee2dab1d800&xptdk=01315714-15d8-4f23-8a89-6ee2dab1d800
https://down-id.img.susercontent.com/file/id-11134207-7rasj-m0gug6ohvozb02,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HUAWEI P30 SECOND 8/128GB HANDPHONE SECOND HP SEKEN HP BEKAS HP MURAH,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,Scrape to BigSeller,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=29262058591&shopid=15939657,2 Terjual,,,"Scrape to BigSeller
HUAWEI P30 SECOND 8/128GB HANDPHONE SECOND HP SEKEN HP BEKAS HP MURAH
Rp
2.500.000
5.0
2 Terjual
Besok
Kab. Bogor",https://shopee.co.id/HUAWEI-P30-SECOND-8-128GB-HANDPHONE-SECOND-HP-SEKEN-HP-BEKAS-HP-MURAH-i.15939657.29262058591?extraParams=%7B%22display_model_id%22%3A195411082538%2C%22model_selection_logic%22%3A3%7D&sp_atk=561c4575-300a-4b99-9e94-d2bea798b1fb&xptdk=561c4575-300a-4b99-9e94-d2bea798b1fb
https://down-id.img.susercontent.com/file/97a5da8143ecdca051a4ddc2f1ca3346,,Huawei nexus 6p 32gb seken original,,Rp,1.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,Scrape to BigSeller,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=1743197292&shopid=113904426,4-7 Hari,Grosir,,"Scrape to BigSeller
Huawei nexus 6p 32gb seken original
Rp
1.350.000
Grosir
Cicilan
4-7 Hari
Jakarta Barat",https://shopee.co.id/Huawei-nexus-6p-32gb-seken-original-i.113904426.1743197292?extraParams=%7B%22display_model_id%22%3A23352654533%2C%22model_selection_logic%22%3A3%7D&sp_atk=32911841-97a0-489a-9f20-cc85c8bc3ca9&xptdk=32911841-97a0-489a-9f20-cc85c8bc3ca9
https://down-id.img.susercontent.com/file/id-11134207-822wm-mlfwjiwfwkqoae,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HUAWEI P30 PRO SECOND 8/256GB [BACA DESKRIPSI],https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,Scrape to BigSeller,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=25028916546&shopid=391453485,3 Terjual,,,"Scrape to BigSeller
HUAWEI P30 PRO SECOND 8/256GB [BACA DESKRIPSI]
Rp
2.000.000
5.0
3 Terjual
Besok
Kab. Bogor",https://shopee.co.id/HUAWEI-P30-PRO-SECOND-8-256GB-BACA-DESKRIPSI--i.391453485.25028916546?extraParams=%7B%22display_model_id%22%3A262392325212%2C%22model_selection_logic%22%3A3%7D&sp_atk=2646be52-1ee2-4f8d-a4f8-b09ef6da9ea9&xptdk=2646be52-1ee2-4f8d-a4f8-b09ef6da9ea9
https://down-id.img.susercontent.com/file/id-11134207-8224o-mfuyxcj41vyl4f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HUAWEI P20 PRO SECOND / P20 PRO SECOND RAM 6/128 GB [BACA DESKRIPSI],https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.750.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,Scrape to BigSeller,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=44424299960&shopid=119246735,2-3 Hari,,,"Scrape to BigSeller
HUAWEI P20 PRO SECOND / P20 PRO SECOND RAM 6/128 GB [BACA DESKRIPSI]
Rp
1.750.000
2-3 Hari
Kab. Bogor",https://shopee.co.id/HUAWEI-P20-PRO-SECOND-P20-PRO-SECOND-RAM-6-128-GB-BACA-DESKRIPSI--i.119246735.44424299960?extraParams=%7B%22display_model_id%22%3A261972883568%2C%22model_selection_logic%22%3A3%7D&sp_atk=b466d21a-9d74-4b2b-b601-55f2f09c6987&xptdk=b466d21a-9d74-4b2b-b601-55f2f09c6987
https://down-id.img.susercontent.com/file/id-11134207-7r98s-lqofvo01h15285,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawei 3i SECOND ORI MURAH,,Rp,1.250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,Scrape to BigSeller,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=24109374065&shopid=375298660,Besok,,,"Scrape to BigSeller
Huawei 3i SECOND ORI MURAH
Rp
1.250.000
Besok
Jakarta Barat",https://shopee.co.id/Huawei-3i-SECOND-ORI-MURAH-i.375298660.24109374065?extraParams=%7B%22display_model_id%22%3A240241903654%2C%22model_selection_logic%22%3A3%7D&sp_atk=52bec9f0-e0a4-4c41-afd0-faf699d8b6d8&xptdk=52bec9f0-e0a4-4c41-afd0-faf699d8b6d8
https://down-id.img.susercontent.com/file/id-11134207-7qukz-ljd0puvj4brq95,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Huawei Nova 9 8/256 Second,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,Scrape to BigSeller,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100013&itemid=21602563701&shopid=348952502,11 Terjual,,,"Scrape to BigSeller
Huawei Nova 9 8/256 Second
Rp
3.900.000
5.0
11 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/Huawei-Nova-9-8-256-Second-i.348952502.21602563701?extraParams=%7B%22display_model_id%22%3A106625345417%2C%22model_selection_logic%22%3A3%7D&sp_atk=b3a8ed58-f06f-4097-9fc9-737ae435b468&xptdk=b3a8ed58-f06f-4097-9fc9-737ae435b468
