-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,truncate,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,img,text-xs/sp14_2,text-xs_2,text-shopee-primary,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224p-miser2g4elfo52,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HUAWEI PURA 80 ULTRA 16/512 HUAWEI PURA 80ULTRA 16/512 HUAWEIPURA80 ULTRA 16/512 SECOND BEKAS GARANSI PANJANG,Rp,17.800.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"Scrape to BigSeller
HUAWEI PURA 80 ULTRA 16/512 HUAWEI PURA 80ULTRA 16/512 HUAWEIPURA80 ULTRA 16/512 SECOND BEKAS GARANSI PANJANG
Rp
17.800.000
Produk Baru
Besok
Tangerang",https://shopee.co.id/HUAWEI-PURA-80-ULTRA-16-512-HUAWEI-PURA-80ULTRA-16-512-HUAWEIPURA80-ULTRA-16-512-SECOND-BEKAS-GARANSI-PANJANG-i.1610829036.53903820237?extraParams=%7B%22display_model_id%22%3A415571575015%2C%22model_selection_logic%22%3A3%7D&sp_atk=fcc2d468-b8c4-49fc-8ebd-36d3cbdaac64&xptdk=fcc2d468-b8c4-49fc-8ebd-36d3cbdaac64
https://down-id.img.susercontent.com/file/id-11134207-7rbk9-ma14vgx9aivh98,,HUAWEI MATE X6 | SECOND | DISPLAY SET,Rp,15.999.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,3 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,"Scrape to BigSeller
HUAWEI MATE X6 | SECOND | DISPLAY SET
Rp
15.999.000
5.0
1 Terjual
3 jam
Surabaya",https://shopee.co.id/HUAWEI-MATE-X6-SECOND-DISPLAY-SET-i.394410537.28936797735?extraParams=%7B%22display_model_id%22%3A149188297751%2C%22model_selection_logic%22%3A3%7D&sp_atk=c6ae0c68-8f80-411c-9213-36490c1cd350&xptdk=c6ae0c68-8f80-411c-9213-36490c1cd350
https://down-id.img.susercontent.com/file/id-11134207-7rasm-m6214x2wrg9i20,,Huawei P50 Pro 8/256 GB Garansi  Resmi Indonesia Second Bekas Original,Rp,4.990.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,3 Terjual,,"Scrape to BigSeller
Huawei P50 Pro 8/256 GB Garansi Resmi Indonesia Second Bekas Original
Rp
4.990.000
4.0
3 Terjual
Besok
Jakarta Utara",https://shopee.co.id/Huawei-P50-Pro-8-256-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.26365634889?extraParams=%7B%22display_model_id%22%3A205760133811%2C%22model_selection_logic%22%3A3%7D&sp_atk=96999b9e-c137-424b-ba8a-61fc5c4f45e4&xptdk=96999b9e-c137-424b-ba8a-61fc5c4f45e4
https://down-id.img.susercontent.com/file/id-11134207-8224u-mkrk8qa3e5txe1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Huawei P50 Pro 8/256 RAM 8 ROM 256 GB Second Bekas Pakai Garansi Resmi Indonesia,Rp,4.975.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"Scrape to BigSeller
Huawei P50 Pro 8/256 RAM 8 ROM 256 GB Second Bekas Pakai Garansi Resmi Indonesia
Rp
4.975.000
Besok
Jakarta Utara",https://shopee.co.id/Huawei-P50-Pro-8-256-RAM-8-ROM-256-GB-Second-Bekas-Pakai-Garansi-Resmi-Indonesia-i.1489005931.46106251808?extraParams=%7B%22display_model_id%22%3A292410683895%2C%22model_selection_logic%22%3A3%7D&sp_atk=7d4c762d-c512-4034-9e16-0d669dbf9545&xptdk=7d4c762d-c512-4034-9e16-0d669dbf9545
https://down-id.img.susercontent.com/file/f7324f15ee6bd0e27a9b0859ec5ec04e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Huawei P30 pro 8/256 Breathing Crystal  ( Bekas ),Rp,7.999.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,"Scrape to BigSeller
Huawei P30 pro 8/256 Breathing Crystal ( Bekas )
Rp
7.999.000
Cicilan
5.0
1 Terjual
4-7 Hari
Jakarta Barat",https://shopee.co.id/Huawei-P30-pro-8-256-Breathing-Crystal-(-Bekas-)-i.315329223.3867317419?extraParams=%7B%22display_model_id%22%3A52230530118%2C%22model_selection_logic%22%3A3%7D&sp_atk=ce023180-6737-402b-9ba5-c70e9f8ea26f&xptdk=ce023180-6737-402b-9ba5-c70e9f8ea26f
https://down-id.img.susercontent.com/file/5030927b41dd6ae57a01d32063032ee5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HUAWEI NOVA 5T 8/128 SECOND FULLSET ORI,Rp,3.300.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Lamongan,,,,3-6 Hari,,"Scrape to BigSeller
HUAWEI NOVA 5T 8/128 SECOND FULLSET ORI
Rp
3.300.000
Cicilan
3-6 Hari
Kab. Lamongan",https://shopee.co.id/HUAWEI-NOVA-5T-8-128-SECOND-FULLSET-ORI-i.40887951.18800467753?extraParams=%7B%22display_model_id%22%3A144232154134%2C%22model_selection_logic%22%3A3%7D&sp_atk=309942e6-3d2d-4836-ad3d-55b1a74bd922&xptdk=309942e6-3d2d-4836-ad3d-55b1a74bd922
https://down-id.img.susercontent.com/file/id-11134207-82250-mg5n6b6fj0ge73,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Huawei Mate 20 Pro 6/128gb Second Normal Resmi Indonesia,Rp,2.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"Scrape to BigSeller
Huawei Mate 20 Pro 6/128gb Second Normal Resmi Indonesia
Rp
2.500.000
Besok
Jakarta Selatan",https://shopee.co.id/Huawei-Mate-20-Pro-6-128gb-Second-Normal-Resmi-Indonesia-i.225821637.25627557243?extraParams=%7B%22display_model_id%22%3A232745757395%2C%22model_selection_logic%22%3A3%7D&sp_atk=eae30a2e-8cfd-4272-bb1d-f7d32f349883&xptdk=eae30a2e-8cfd-4272-bb1d-f7d32f349883
https://down-id.img.susercontent.com/file/id-11134207-7rbkb-m8wu9vqmaakx33,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Huawei P20 Pro Ram 6/128 GB Second Original Termurah,Rp,2.109.999,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,"Scrape to BigSeller
Huawei P20 Pro Ram 6/128 GB Second Original Termurah
Rp
2.109.999
5.0
1 Terjual
12-16 Hari
Kab. Bogor",https://shopee.co.id/Huawei-P20-Pro-Ram-6-128-GB-Second-Original-Termurah-i.94908760.25576432518?extraParams=%7B%22display_model_id%22%3A198459008237%2C%22model_selection_logic%22%3A3%7D&sp_atk=22d8181a-4dc6-4600-8bda-2239dd2f2908&xptdk=22d8181a-4dc6-4600-8bda-2239dd2f2908
https://down-id.img.susercontent.com/file/id-11134207-7ra0t-md4o8v8vkc6t3b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Huawei P30 Pro 8/256gb Second Resmi,Rp,3.550.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"Scrape to BigSeller
Huawei P30 Pro 8/256gb Second Resmi
Rp
3.550.000
Besok
Jakarta Selatan",https://shopee.co.id/Huawei-P30-Pro-8-256gb-Second-Resmi-i.225821637.25264543622?extraParams=%7B%22display_model_id%22%3A255357687521%2C%22model_selection_logic%22%3A3%7D&sp_atk=6fe09afe-cb6c-4d4c-8b08-3050d96f5df1&xptdk=6fe09afe-cb6c-4d4c-8b08-3050d96f5df1
https://down-id.img.susercontent.com/file/id-11134207-7qul0-lgj1rvv57gu3ab,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Handphone Hp Huawei Nova 5T 8/128 Second Seken Bekas Murah,Rp,2.450.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"Scrape to BigSeller
Handphone Hp Huawei Nova 5T 8/128 Second Seken Bekas Murah
Rp
2.450.000
Besok
Bekasi",https://shopee.co.id/Handphone-Hp-Huawei-Nova-5T-8-128-Second-Seken-Bekas-Murah-i.40845245.21479552042?extraParams=%7B%22display_model_id%22%3A214279149646%2C%22model_selection_logic%22%3A3%7D&sp_atk=c3fccb45-4ee9-4e51-a662-36604cee15f2&xptdk=c3fccb45-4ee9-4e51-a662-36604cee15f2
