-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,text-ellipsis,img,text-xs/sp14_2,text-xs,pointer-events-none,pointer-events-none_2,align-middle,pointer-events-none_3,w-auto,text-white,truncate,_container,_container_link,text-shopee-green,img_2,text-xs_2
"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Infinix Smart 20 4/128GB - Up to 8GB Extended RAM - Mediatek Helio G81 - 6.78” - 8MP - 5200 mAh - IP64,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.809.000,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,"Infinix Smart 20 4/128GB - Up to 8GB Extended RAM - Mediatek Helio G81 - 6.78” - 8MP - 5200 mAh - IP64
Rp
1.809.000
-5%
5.0
6RB+ Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/Infinix-Smart-20-4-128GB-Up-to-8GB-Extended-RAM-Mediatek-Helio-G81-6.78%E2%80%9D-8MP-5200-mAh-IP64-i.342033216.40428983454?extraParams=%7B%22display_model_id%22%3A320597350981%2C%22model_selection_logic%22%3A3%7D&sp_atk=f0d94a14-7be1-4c38-88b4-06250d1cf815&xptdk=f0d94a14-7be1-4c38-88b4-06250d1cf815,,,
https://down-id.img.susercontent.com/file/id-11134207-822wr-mnb0jqs9s4qod3,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Infinix Note 60 Ultra 12/512GB - Up to 24GB Extended RAM - Mediatek Dimensity 8400 Ultimate - 6.78” 1.5K Amoled - 200MP - 7000 mAh - 100W Charging - NFC,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,11.999.000,,,,,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,"Infinix Note 60 Ultra 12/512GB - Up to 24GB Extended RAM - Mediatek Dimensity 8400 Ultimate - 6.78” 1.5K Amoled - 200MP - 7000 mAh - 100W Charging - NFC
Rp
11.999.000
2-3 Hari
Jakarta Utara",https://shopee.co.id/Infinix-Note-60-Ultra-12-512GB-Up-to-24GB-Extended-RAM-Mediatek-Dimensity-8400-Ultimate-6.78%E2%80%9D-1.5K-Amoled-200MP-7000-mAh-100W-Charging-NFC-i.342033216.53208885165?extraParams=%7B%22display_model_id%22%3A415787441690%2C%22model_selection_logic%22%3A3%7D&sp_atk=dc04ee0e-90a4-4852-8eae-d2c26d957213&xptdk=dc04ee0e-90a4-4852-8eae-d2c26d957213,,,
https://down-id.img.susercontent.com/file/id-11134207-822wj-mlh6m6cl0d8l6e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,INFINIX SMART 20 4GB 64/128GB | BLACK - TITANIUM - ORANGE - BLUE,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.849.000,-47%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,190 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,,"INFINIX SMART 20 4GB 64/128GB | BLACK - TITANIUM - ORANGE - BLUE
Rp
1.849.000
-47%
5.0
190 Terjual
Hari ini
Surabaya",https://shopee.co.id/INFINIX-SMART-20-4GB-64-128GB-BLACK-TITANIUM-ORANGE-BLUE-i.1273997571.49356561048?extraParams=%7B%22display_model_id%22%3A302438137137%2C%22model_selection_logic%22%3A3%7D&sp_atk=3888bfeb-cb38-49dc-aaa1-990eadf4c0b5&xptdk=3888bfeb-cb38-49dc-aaa1-990eadf4c0b5,,,
https://down-id.img.susercontent.com/file/sg-11134301-820om-mnfbhwwp258j13,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Infinix GT 50 Pro 12/256GB Special Box - Up to 24GB Extended RAM - Dimensity 8400 Ultimate - 6.78"" Amoled 1.5KHz - 50MP - 6500 mAh - NFC",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.999.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,Hadiah Gratis,"Infinix GT 50 Pro 12/256GB Special Box - Up to 24GB Extended RAM - Dimensity 8400 Ultimate - 6.78"" Amoled 1.5KHz - 50MP - 6500 mAh - NFC
Rp
6.999.000
Hadiah Gratis
1 Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/Infinix-GT-50-Pro-12-256GB-Special-Box-Up-to-24GB-Extended-RAM-Dimensity-8400-Ultimate-6.78-Amoled-1.5KHz-50MP-6500-mAh-NFC-i.342033216.28994488897?extraParams=%7B%22display_model_id%22%3A340715988892%2C%22model_selection_logic%22%3A3%7D&sp_atk=1ceacaf1-5c82-49f4-b0ae-1a9a6523365d&xptdk=1ceacaf1-5c82-49f4-b0ae-1a9a6523365d,,,
https://down-id.img.susercontent.com/file/id-11134207-822wg-mlap55ur5zwjb6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,INFINIX SMART 20 RAM 4GB / 128GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.699.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,122 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Samarinda,,,,,"INFINIX SMART 20 RAM 4GB / 128GB
Rp
1.699.000
4.9
122 Terjual
1-4 Hari
Samarinda",https://shopee.co.id/INFINIX-SMART-20-RAM-4GB-128GB-i.60878004.52156615847?extraParams=%7B%22display_model_id%22%3A410594514937%2C%22model_selection_logic%22%3A3%7D&sp_atk=d777f918-c259-4ec7-8465-b38c804a1b11&xptdk=d777f918-c259-4ec7-8465-b38c804a1b11,,,
https://down-id.img.susercontent.com/file/sg-11134301-820od-mnfbhy1ogpab66,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Infinix GT 50 Pro 12/512GB Specia Box - Up to 24GB Extended RAM - Dimensity 8400 Ultimate - 6.78"" Amoled 1.5KHz - 50MP - 6500 mAh - NFC",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.999.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,Hadiah Gratis,"Infinix GT 50 Pro 12/512GB Specia Box - Up to 24GB Extended RAM - Dimensity 8400 Ultimate - 6.78"" Amoled 1.5KHz - 50MP - 6500 mAh - NFC
Rp
7.999.000
Hadiah Gratis
5.0
3 Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/Infinix-GT-50-Pro-12-512GB-Specia-Box-Up-to-24GB-Extended-RAM-Dimensity-8400-Ultimate-6.78-Amoled-1.5KHz-50MP-6500-mAh-NFC-i.342033216.55508057044?extraParams=%7B%22display_model_id%22%3A375715998303%2C%22model_selection_logic%22%3A3%7D&sp_atk=13dad11c-e453-43b9-b793-fe3575bef76d&xptdk=13dad11c-e453-43b9-b793-fe3575bef76d,,,
https://down-id.img.susercontent.com/file/id-11134207-8224u-mjw5ykba9r7r03,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,Infinix Note Edge 5G 8/256 GB Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.328.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,72 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari Ini 12:00,,"Infinix Note Edge 5G 8/256 GB Garansi Resmi
Rp
3.328.000
5.0
72 Terjual
Hari Ini 12:00
Surabaya",https://shopee.co.id/Infinix-Note-Edge-5G-8-256-GB-Garansi-Resmi-i.536255382.47755301260?extraParams=%7B%22display_model_id%22%3A365482199836%2C%22model_selection_logic%22%3A3%7D&sp_atk=212a3d87-4fd3-400b-901f-181c34ce5f28&xptdk=212a3d87-4fd3-400b-901f-181c34ce5f28,,,
"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Infinix Smart 20 4/64GB - Up to 8GB Extended RAM - Mediatek Helio G81 - 6.78” - 8MP - 5200 mAh - IP64,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.709.000,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,10RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,"Infinix Smart 20 4/64GB - Up to 8GB Extended RAM - Mediatek Helio G81 - 6.78” - 8MP - 5200 mAh - IP64
Rp
1.709.000
-5%
5.0
10RB+ Terjual
Besok
Surabaya",https://shopee.co.id/Infinix-Smart-20-4-64GB-Up-to-8GB-Extended-RAM-Mediatek-Helio-G81-6.78%E2%80%9D-8MP-5200-mAh-IP64-i.342033216.46906666616?extraParams=%7B%22display_model_id%22%3A277429228902%2C%22model_selection_logic%22%3A3%7D&sp_atk=03ce51e6-c674-49ed-b7e7-892dc6cc1d05&xptdk=03ce51e6-c674-49ed-b7e7-892dc6cc1d05,,,
https://down-id.img.susercontent.com/file/id-11134207-822ws-ml7wi22c7u2rd1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Infinix Smart 20 4/64 GB - 4/128 GB MediaTek Helio G81 Ultimate IPS LCD 6.78 inci,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.725.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,54 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari Ini 12:00,,"Infinix Smart 20 4/64 GB - 4/128 GB MediaTek Helio G81 Ultimate IPS LCD 6.78 inci
Rp
1.725.000
5.0
54 Terjual
Hari Ini 12:00
Surabaya",https://shopee.co.id/Infinix-Smart-20-4-64-GB-4-128-GB-MediaTek-Helio-G81-Ultimate-IPS-LCD-6.78-inci-i.41047020.48706584033?extraParams=%7B%22display_model_id%22%3A128459669678%2C%22model_selection_logic%22%3A3%7D&sp_atk=b4893c6a-bc44-4ecb-bc05-a09dc0388a93&xptdk=b4893c6a-bc44-4ecb-bc05-a09dc0388a93,,,
https://down-id.img.susercontent.com/file/id-11134207-8224z-ml4t6a2cpe6h64,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Infinix Smart 20 4G 4/64GB Garansi Resmi Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.699.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,137 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Infinix Smart 20 4G 4/64GB Garansi Resmi Indonesia
Rp
1.699.000
4.9
137 Terjual
< 2 Hari
Semarang",https://shopee.co.id/Infinix-Smart-20-4G-4-64GB-Garansi-Resmi-Indonesia-i.287662257.46606455148?extraParams=%7B%22display_model_id%22%3A267419313880%2C%22model_selection_logic%22%3A3%7D&sp_atk=10e64ce5-2f0d-4ed3-ba49-8d79e54bf33d&xptdk=10e64ce5-2f0d-4ed3-ba49-8d79e54bf33d,,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mc078syzzrmp68,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,infinix hot 60i 8/256 (HANYA PULAU JAWA) baru fresh resmi bnib,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.119.900,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,350 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,,"infinix hot 60i 8/256 (HANYA PULAU JAWA) baru fresh resmi bnib
Rp
2.119.900
4.9
350 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/infinix-hot-60i-8-256-(HANYA-PULAU-JAWA)-baru-fresh-resmi-bnib-i.352109822.41207963748?extraParams=%7B%22display_model_id%22%3A261243729258%2C%22model_selection_logic%22%3A3%7D&sp_atk=8317ffee-f996-4e8b-8ed4-124282174528&xptdk=8317ffee-f996-4e8b-8ed4-124282174528,,,
https://down-id.img.susercontent.com/file/id-11134207-8224s-mknetzffzuh291,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Infinix Note 60 Pro 5G 8GB/256GB | 12GB/256GB - Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.795.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,37 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari Ini 12:00,,"Infinix Note 60 Pro 5G 8GB/256GB | 12GB/256GB - Garansi Resmi
Rp
4.795.000
5.0
37 Terjual
Hari Ini 12:00
Surabaya",https://shopee.co.id/Infinix-Note-60-Pro-5G-8GB-256GB-12GB-256GB-Garansi-Resmi-i.41047020.53806153624?extraParams=%7B%22display_model_id%22%3A335609766055%2C%22model_selection_logic%22%3A3%7D&sp_atk=cf565b12-0b8d-4298-858b-0c58530a4be5&xptdk=cf565b12-0b8d-4298-858b-0c58530a4be5,,,
