-image-yazkc-11,text-sm,inline-block,text-xs/sp14,font-medium,text-ellipsis,img,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,-image-yazkc-11_2,text-shopee-primary,text-white_2,pointer-events-none_3,truncate,_container,_container_link,img_2,text-xs_2
https://down-id.img.susercontent.com/file/id-11134207-7rasg-m5ag507lieab52,"Infinix Zero X Neo 8/128GB Second 4G LTE 6.78"" Display",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,< 2 Hari,,,"Infinix Zero X Neo 8/128GB Second 4G LTE 6.78"" Display
Rp
1.999.000
5.0
2 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Infinix-Zero-X-Neo-8-128GB-Second-4G-LTE-6.78-Display-i.86064906.13853385645?extraParams=%7B%22display_model_id%22%3A49863635199%2C%22model_selection_logic%22%3A3%7D&sp_atk=e340219c-a326-48bd-a6a1-45bf86c5951d&xptdk=e340219c-a326-48bd-a6a1-45bf86c5951d,,
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmgct5mxophka0,INFINIX HOT 12 PLAY 4/128GB SECOND MULUS TERAWAT,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.129.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,Besok 12:00,,,"INFINIX HOT 12 PLAY 4/128GB SECOND MULUS TERAWAT
Rp
1.129.000
5.0
2 Terjual
Besok 12:00
Kab. Sidoarjo",https://shopee.co.id/INFINIX-HOT-12-PLAY-4-128GB-SECOND-MULUS-TERAWAT-i.309409025.48907979919?extraParams=%7B%22display_model_id%22%3A395819939206%2C%22model_selection_logic%22%3A3%7D&sp_atk=6965ee3c-b0a1-4d3e-8644-783b5d873609&xptdk=6965ee3c-b0a1-4d3e-8644-783b5d873609,,
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn9efuigun0l96,INFINIX NOTE 50 PRO 8/256 SECOUND,,Rp,2.064.000,,,,2-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,-4%,,,,"INFINIX NOTE 50 PRO 8/256 SECOUND
Rp
2.064.000
-4%
2-4 Hari
Kab. Bekasi",https://shopee.co.id/INFINIX-NOTE-50-PRO-8-256-SECOUND-i.32668172.50959128446?extraParams=%7B%22display_model_id%22%3A224678207374%2C%22model_selection_logic%22%3A3%7D&sp_atk=6274f80e-435d-4441-9fa1-5537fc221097&xptdk=6274f80e-435d-4441-9fa1-5537fc221097,,
https://down-id.img.susercontent.com/file/id-11134207-8224u-mhapjyawc45k55,INFINIX HOT 50 8/128GB & 6/256GB SECOND MULUS PEMAKAIAN,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.899.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,15 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,Besok 12:00,,,"INFINIX HOT 50 8/128GB & 6/256GB SECOND MULUS PEMAKAIAN
Rp
1.899.000
5.0
15 Terjual
Besok 12:00
Kab. Sidoarjo",https://shopee.co.id/INFINIX-HOT-50-8-128GB-6-256GB-SECOND-MULUS-PEMAKAIAN-i.309409025.51001832198?extraParams=%7B%22display_model_id%22%3A345385074084%2C%22model_selection_logic%22%3A3%7D&sp_atk=37362fe4-9dd3-4a1e-aef6-8c0104b4d2b4&xptdk=37362fe4-9dd3-4a1e-aef6-8c0104b4d2b4,,
https://down-id.img.susercontent.com/file/id-11134201-822wu-mn6lvkykynlt46,Infinix Note 40S 8/256GB LTE | Second Mulus | Garansi Resmi | Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.775.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,Besok 11:00,,,"Infinix Note 40S 8/256GB LTE | Second Mulus | Garansi Resmi | Original
Rp
1.775.000
Besok 11:00
Surabaya",https://shopee.co.id/Infinix-Note-40S-8-256GB-LTE-Second-Mulus-Garansi-Resmi-Original-i.1661859023.42430157673?extraParams=%7B%22display_model_id%22%3A315801820411%2C%22model_selection_logic%22%3A3%7D&sp_atk=950a13bd-2a32-4adf-9b3a-dbf76db503e3&xptdk=950a13bd-2a32-4adf-9b3a-dbf76db503e3,,
https://down-id.img.susercontent.com/file/id-11134207-822wu-mnce2ykcs5qe37,INFINIX NOTE 50 PRO SECOND / NOTE 50 PRO SECOND 8/256 GB [BACA DESKRIPSI],https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.900.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,,< 2 Hari,,,"INFINIX NOTE 50 PRO SECOND / NOTE 50 PRO SECOND 8/256 GB [BACA DESKRIPSI]
Rp
1.900.000
< 2 Hari
Kab. Bogor",https://shopee.co.id/INFINIX-NOTE-50-PRO-SECOND-NOTE-50-PRO-SECOND-8-256-GB-BACA-DESKRIPSI--i.119246735.52759288523?extraParams=%7B%22display_model_id%22%3A320821548058%2C%22model_selection_logic%22%3A3%7D&sp_atk=43aa38eb-ca11-47c5-ac41-2d51e788277f&xptdk=43aa38eb-ca11-47c5-ac41-2d51e788277f,,
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn874yfwxwqt4b,"Infinix note 40, 8/256 second hand",,Rp,1.500.000,,,,1-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Pasuruan,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,"Infinix note 40, 8/256 second hand
Rp
1.500.000
1-3 Hari
Kab. Pasuruan",https://shopee.co.id/Infinix-note-40-8-256-second-hand-i.134823899.47959125335?extraParams=%7B%22display_model_id%22%3A410806040703%2C%22model_selection_logic%22%3A3%7D&sp_atk=129df909-1e83-43f0-9186-fe090647232d&xptdk=129df909-1e83-43f0-9186-fe090647232d,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-m73t6k6zafxw63,Infinix Smart 9 3/64 4/64 4/128 GB Garansi Resmi Indonesia Second,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.320.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,131 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purwakarta,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,,< 2 Hari,,,"Infinix Smart 9 3/64 4/64 4/128 GB Garansi Resmi Indonesia Second
Rp
1.320.000
4.9
131 Terjual
< 2 Hari
Kab. Purwakarta",https://shopee.co.id/Infinix-Smart-9-3-64-4-64-4-128-GB-Garansi-Resmi-Indonesia-Second-i.42718474.22334596663?extraParams=%7B%22display_model_id%22%3A195628425776%2C%22model_selection_logic%22%3A3%7D&sp_atk=6040ea72-00dc-4142-aaa6-fc82e98592e4&xptdk=6040ea72-00dc-4142-aaa6-fc82e98592e4,,
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m1scco6524s12e,Infinix Hot 30i Second Like New Muluss Fullset,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,99.999.999,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,,,"Infinix Hot 30i Second Like New Muluss Fullset
Rp
99.999.999
5.0
9 Terjual
2-4 Hari
Jakarta Timur",https://shopee.co.id/Infinix-Hot-30i-Second-Like-New-Muluss-Fullset-i.26817867.19296416373?extraParams=%7B%22display_model_id%22%3A250515284623%2C%22model_selection_logic%22%3A3%7D&sp_atk=5ac74d87-ffec-44a9-880d-55100e3c77d9&xptdk=5ac74d87-ffec-44a9-880d-55100e3c77d9,,
https://down-id.img.susercontent.com/file/id-11134207-81zth-metlup3qm03l31,INFINIX HOT 60i 8/256GB SECOND MULUS TERAWAT,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.829.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,22 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,< 2 Hari,,,"INFINIX HOT 60i 8/256GB SECOND MULUS TERAWAT
Rp
1.829.000
4.9
22 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/INFINIX-HOT-60i-8-256GB-SECOND-MULUS-TERAWAT-i.309409025.40369927916?extraParams=%7B%22display_model_id%22%3A335520626587%2C%22model_selection_logic%22%3A3%7D&sp_atk=78f3d0a4-8b6f-45d6-b2b0-9afc2f790913&xptdk=78f3d0a4-8b6f-45d6-b2b0-9afc2f790913,,
