-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,text-xs/sp14_2,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,pointer-events-none_3,text-shopee-green,truncate,img_2,text-ellipsis,_container,_container_link,text-xs_2,text-xs,img
https://down-id.img.susercontent.com/file/id-11134207-8224r-ml4z1o4cjwnh38,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,itel City200 NFC RAM 128+8GB(4+4GB) - Big Battery 5200mAh - 6.78'' 120Hz IP65 High Brightness Display,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.594.000,-36%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,3RB+ Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"itel City200 NFC RAM 128+8GB(4+4GB) - Big Battery 5200mAh - 6.78'' 120Hz IP65 High Brightness Display
Rp
1.594.000
-36%
4.9
3RB+ Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/itel-City200-NFC-RAM-128-8GB(4-4GB)-Big-Battery-5200mAh-6.78''-120Hz-IP65-High-Brightness-Display-i.1586001868.47055421260?extraParams=%7B%22display_model_id%22%3A430492096091%2C%22model_selection_logic%22%3A3%7D&sp_atk=cf07390e-9ad0-4a41-bcd7-d6c191be3eb4&xptdk=cf07390e-9ad0-4a41-bcd7-d6c191be3eb4,,,
https://down-id.img.susercontent.com/file/sg-11134201-8261i-ml4hxgi46neta8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ITEL A100C 4+64GB Layar 6.6"" 90Hz Tahan Banting Military-Grade Big Memory UltraLink Free Call 5000mAh Battery",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.304.000,-48%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,1RB+ Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"ITEL A100C 4+64GB Layar 6.6"" 90Hz Tahan Banting Military-Grade Big Memory UltraLink Free Call 5000mAh Battery
Rp
1.304.000
-48%
4.9
1RB+ Terjual
3-4 Hari
Jakarta Utara",https://shopee.co.id/ITEL-A100C-4-64GB-Layar-6.6-90Hz-Tahan-Banting-Military-Grade-Big-Memory-UltraLink-Free-Call-5000mAh-Battery-i.1640101372.52956404819?extraParams=%7B%22display_model_id%22%3A310578950269%2C%22model_selection_logic%22%3A3%7D&sp_atk=73ada1af-8a20-4cf7-8d91-1ace8921319a&xptdk=73ada1af-8a20-4cf7-8d91-1ace8921319a,,,
https://down-id.img.susercontent.com/file/id-11134207-8224q-ml4z1o4erz0rad,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,itel City200 NFC RAM 128+8GB(4+4GB) - Big Battery 5200mAh - 6.78'' 120Hz IP65 High Brightness Display,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.598.500,-36%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,569 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"itel City200 NFC RAM 128+8GB(4+4GB) - Big Battery 5200mAh - 6.78'' 120Hz IP65 High Brightness Display
Rp
1.598.500
-36%
4.9
569 Terjual
3-5 Hari
Kab. Tangerang",https://shopee.co.id/itel-City200-NFC-RAM-128-8GB(4-4GB)-Big-Battery-5200mAh-6.78''-120Hz-IP65-High-Brightness-Display-i.347662719.57306630420?extraParams=%7B%22display_model_id%22%3A335595688530%2C%22model_selection_logic%22%3A3%7D&sp_atk=893016d5-e980-4891-b2e3-cf148a24d8e5&xptdk=893016d5-e980-4891-b2e3-cf148a24d8e5,,,
https://down-id.img.susercontent.com/file/id-11134207-8224p-mipqgtk1f4zre2,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Itel A100C [4GB+64GB] - Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.299.000,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,184 Terjual,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Itel A100C [4GB+64GB] - Garansi Resmi 1 Tahun
Rp
1.299.000
Produk Baru
5.0
184 Terjual
3-5 Hari
Jakarta Utara",https://shopee.co.id/Itel-A100C-4GB-64GB-Garansi-Resmi-1-Tahun-i.1053062682.48753469344?extraParams=%7B%22display_model_id%22%3A330528757603%2C%22model_selection_logic%22%3A3%7D&sp_atk=2c896275-135a-4be2-addc-710daffd62e9&xptdk=2c896275-135a-4be2-addc-710daffd62e9,,,
https://down-id.img.susercontent.com/file/id-11134207-8224w-ml4q0t5vhjii13,https://down-id.img.susercontent.com/file/id-11134258-822wh-mncisnffoni9b9,"Itel City 200 4/128GB - Layar 6.78"" Kamera 50MP",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.749.000,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarbaru,,9 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,"Itel City 200 4/128GB - Layar 6.78"" Kamera 50MP
Rp
1.749.000
5.0
9 Terjual
3-6 Hari
Banjarbaru",https://shopee.co.id/Itel-City-200-4-128GB-Layar-6.78-Kamera-50MP-i.26887717.27444269911?extraParams=%7B%22display_model_id%22%3A188809468076%2C%22model_selection_logic%22%3A3%7D&sp_atk=c323a7ef-f092-4999-9c50-19c2152f7c08&xptdk=c323a7ef-f092-4999-9c50-19c2152f7c08,,,
https://down-id.img.susercontent.com/file/id-11134207-8224v-mk7gscqqv8qvf8,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"itel A100C 3+64GB Layar 6.6"" 90Hz Tahan Banting Military-Grade UltraLink Free Call 5000mAh Battery",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.898.500,-1%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,3RB+ Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"itel A100C 3+64GB Layar 6.6"" 90Hz Tahan Banting Military-Grade UltraLink Free Call 5000mAh Battery
Rp
1.898.500
-1%
4.9
3RB+ Terjual
3-5 Hari
Kab. Tangerang",https://shopee.co.id/itel-A100C-3-64GB-Layar-6.6-90Hz-Tahan-Banting-Military-Grade-UltraLink-Free-Call-5000mAh-Battery-i.347662719.52505702702?extraParams=%7B%22display_model_id%22%3A287382025938%2C%22model_selection_logic%22%3A3%7D&sp_atk=8ec0ba37-6011-4cd7-a2b5-4c96bf174c03&xptdk=8ec0ba37-6011-4cd7-a2b5-4c96bf174c03,,,
https://down-id.img.susercontent.com/file/id-11134207-8224p-mivlnhcjq22vf7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Itel A100C Ram 3/64 | 4/64 GB UNISOC T7100 IPS LCD 6.6 inci,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.342.800,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari Ini 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,411 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Itel A100C Ram 3/64 | 4/64 GB UNISOC T7100 IPS LCD 6.6 inci
Rp
1.342.800
5.0
411 Terjual
Hari Ini 12:00
Surabaya",https://shopee.co.id/Itel-A100C-Ram-3-64-4-64-GB-UNISOC-T7100-IPS-LCD-6.6-inci-i.41047020.27906967115?extraParams=%7B%22display_model_id%22%3A425542906312%2C%22model_selection_logic%22%3A3%7D&sp_atk=47285a35-26d5-461e-a68a-bf9d79c717a8&xptdk=47285a35-26d5-461e-a68a-bf9d79c717a8,,,
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmsflq3pepz6f4,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Itel A100C 3GB/64GB Garansi Resmi Itel Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.304.000,-35%,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,1RB+ Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Itel A100C 3GB/64GB Garansi Resmi Itel Indonesia
Rp
1.304.000
-35%
5.0
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Itel-A100C-3GB-64GB-Garansi-Resmi-Itel-Indonesia-i.1345303945.46855763823?extraParams=%7B%22display_model_id%22%3A360519937646%2C%22model_selection_logic%22%3A3%7D&sp_atk=b1bc86e2-b54f-44af-9812-84b5aa8da1cb&xptdk=b1bc86e2-b54f-44af-9812-84b5aa8da1cb,,,
https://down-id.img.susercontent.com/file/id-11134207-81ztd-mey554me53pg6e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"[Free Case] itel S26 Ultra 8+8/256GB | 144Hz 1.5K AMOLED, 6000mAh, IP65 Waterproof, Gorilla Glass 7i, AI Eraser, NFC",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.796.500,-30%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,2RB+ Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"[Free Case] itel S26 Ultra 8+8/256GB | 144Hz 1.5K AMOLED, 6000mAh, IP65 Waterproof, Gorilla Glass 7i, AI Eraser, NFC
Rp
2.796.500
-30%
4.9
2RB+ Terjual
3-5 Hari
Kab. Tangerang",https://shopee.co.id/-Free-Case-itel-S26-Ultra-8-8-256GB-144Hz-1.5K-AMOLED-6000mAh-IP65-Waterproof-Gorilla-Glass-7i-AI-Eraser-NFC-i.347662719.40120575369?extraParams=%7B%22display_model_id%22%3A261680917502%2C%22model_selection_logic%22%3A3%7D&sp_atk=9d1a039f-4214-4e04-be90-fedcd5b223b3&xptdk=9d1a039f-4214-4e04-be90-fedcd5b223b3,,,
https://down-id.img.susercontent.com/file/id-11134207-822wr-mlmyj33jbi8537,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Itel City200 4GB/128GB - NFC Big Battery 5200mAh 6.78'' 120Hz IP65 High Brightness Display Garansi Resmi Itel Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.579.000,-30%,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,15 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Itel City200 4GB/128GB - NFC Big Battery 5200mAh 6.78'' 120Hz IP65 High Brightness Display Garansi Resmi Itel Indonesia
Rp
1.579.000
-30%
5.0
15 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Itel-City200-4GB-128GB-NFC-Big-Battery-5200mAh-6.78''-120Hz-IP65-High-Brightness-Display-Garansi-Resmi-Itel-Indonesia-i.1249173228.41379162038?extraParams=%7B%22display_model_id%22%3A350625086082%2C%22model_selection_logic%22%3A3%7D&sp_atk=e5893e72-b874-48d9-8561-d76995a1ce1b&xptdk=e5893e72-b874-48d9-8561-d76995a1ce1b,,,
