-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,inline-block,text-white,img,text-xs/sp14_2,w-auto,text-ellipsis,text-shopee-primary,truncate,pointer-events-none_3,_container,_container_link,text-xs,img_2,text-xs_2
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m16hdsauhvs583,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Itel-S23(second_mulus)16/128gb,Rp,1.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Garut,,,,,,,,,,"Itel-S23(second_mulus)16/128gb
Rp
1.000.000
3-6 Hari
Kab. Garut",https://shopee.co.id/Itel-S23(second_mulus)16-128gb-i.1356213711.28763650053?extraParams=%7B%22display_model_id%22%3A185450056911%2C%22model_selection_logic%22%3A3%7D&sp_atk=8a908e1b-4c65-48d3-a28f-b17513c0b5fa&xptdk=8a908e1b-4c65-48d3-a28f-b17513c0b5fa,,,
https://down-id.img.susercontent.com/file/id-11134207-822wo-mn56f0pr1reo26,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HP ANDROID ITEL P55 5G RAM 6+6GB INTERNAL 128GB SECOND,Rp,990.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Magelang,,,,,,,,,,"HP ANDROID ITEL P55 5G RAM 6+6GB INTERNAL 128GB SECOND
Rp
990.000
3-5 Hari
Kab. Magelang",https://shopee.co.id/HP-ANDROID-ITEL-P55-5G-RAM-6-6GB-INTERNAL-128GB-SECOND-i.110483008.40580128081?extraParams=%7B%22display_model_id%22%3A440796237895%2C%22model_selection_logic%22%3A3%7D&sp_atk=55e2916b-9790-404b-9cb2-5dbc14e883b9&xptdk=55e2916b-9790-404b-9cb2-5dbc14e883b9,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lwb5sgaqee5m82,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Itel A70 Ram 3/128GB | Ram 4/64GB | Ram 4/12GB | Ram 4/256GB | Ram 8/128GB ( SECOND ),Rp,999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,20 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Cashback 99%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,"Itel A70 Ram 3/128GB | Ram 4/64GB | Ram 4/12GB | Ram 4/256GB | Ram 8/128GB ( SECOND )
Rp
999.000
Cashback 99%
4.8
20 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Itel-A70-Ram-3-128GB-Ram-4-64GB-Ram-4-12GB-Ram-4-256GB-Ram-8-128GB-(-SECOND-)-i.288677122.29802231550?extraParams=%7B%22display_model_id%22%3A242066986219%2C%22model_selection_logic%22%3A3%7D&sp_atk=3f9e2b75-37d0-434c-8274-42c9fa446a55&xptdk=3f9e2b75-37d0-434c-8274-42c9fa446a55,,,
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn695vf5crnm1b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Itel RS4 8/128GB Second,Rp,1.250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jember,,,,,,,,,,"Itel RS4 8/128GB Second
Rp
1.250.000
2-5 Hari
Kab. Jember",https://shopee.co.id/Itel-RS4-8-128GB-Second-i.833213921.44759050319?extraParams=%7B%22display_model_id%22%3A385800410771%2C%22model_selection_logic%22%3A3%7D&sp_atk=735ee387-3fe9-411a-8730-bcc70ffe7685&xptdk=735ee387-3fe9-411a-8730-bcc70ffe7685,,,
https://down-id.img.susercontent.com/file/id-11134207-822wg-mlqh0r5x7ked01,,itel p55 5G second 6/128 gb,Rp,870.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Barito Kuala,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,,"itel p55 5G second 6/128 gb
Rp
870.000
5.0
1 Terjual
5-8 Hari
Kab. Barito Kuala",https://shopee.co.id/itel-p55-5G-second-6-128-gb-i.1275512845.52207187607?extraParams=%7B%22display_model_id%22%3A345640917075%2C%22model_selection_logic%22%3A3%7D&sp_atk=a094061c-8c16-4711-9d76-16db64d44e89&xptdk=a094061c-8c16-4711-9d76-16db64d44e89,,,
https://down-id.img.susercontent.com/file/id-11134207-822wl-mnc80ml76p6rca,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,hp itel Vision 1pro second siap pakai minus tc retak sehelai rambut tapi tidak ngaruh sentuhan normal siap pakai,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,,,"hp itel Vision 1pro second siap pakai minus tc retak sehelai rambut tapi tidak ngaruh sentuhan normal siap pakai
Rp
250.000
2-4 Hari
Kab. Bogor",https://shopee.co.id/hp-itel-Vision-1pro-second-siap-pakai-minus-tc-retak-sehelai-rambut-tapi-tidak-ngaruh-sentuhan-normal-siap-pakai-i.445020913.47809297070?extraParams=%7B%22display_model_id%22%3A390820786561%2C%22model_selection_logic%22%3A3%7D&sp_atk=467e7f07-a2cf-44fd-932d-5e3ff7a67843&xptdk=467e7f07-a2cf-44fd-932d-5e3ff7a67843,,,
https://down-id.img.susercontent.com/file/id-11134207-822wp-mldvgf4vxptuf3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ITEL P70 4/128GB SECOND MULUS TERAWAT,Rp,1.349.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,"ITEL P70 4/128GB SECOND MULUS TERAWAT
Rp
1.349.000
Besok 12:00
Kab. Sidoarjo",https://shopee.co.id/ITEL-P70-4-128GB-SECOND-MULUS-TERAWAT-i.309409025.47306717507?extraParams=%7B%22display_model_id%22%3A415602225919%2C%22model_selection_logic%22%3A3%7D&sp_atk=588c21df-aed7-48f0-9025-8ec4fccc9f80&xptdk=588c21df-aed7-48f0-9025-8ec4fccc9f80,,,
https://down-id.img.susercontent.com/file/id-11134207-81ztc-mf7otvqg776152,,Itel P40 4/64 GB Garansi Resmi Indonesia Second Bekas Original,Rp,990.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,"Itel P40 4/64 GB Garansi Resmi Indonesia Second Bekas Original
Rp
990.000
5.0
3 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Itel-P40-4-64-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.26992398399?extraParams=%7B%22display_model_id%22%3A296805577940%2C%22model_selection_logic%22%3A3%7D&sp_atk=13872c48-9a72-4253-a0aa-1e71b6e86df7&xptdk=13872c48-9a72-4253-a0aa-1e71b6e86df7,,,
https://down-id.img.susercontent.com/file/id-11134207-7rase-m4syq5vqgvpebd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Itel S23 4G 8/256gb Fullset Second Garansi Resmi,Rp,1.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,"Itel S23 4G 8/256gb Fullset Second Garansi Resmi
Rp
1.200.000
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Itel-S23-4G-8-256gb-Fullset-Second-Garansi-Resmi-i.382086230.27723121186?extraParams=%7B%22display_model_id%22%3A158973283116%2C%22model_selection_logic%22%3A3%7D&sp_atk=ff0ea154-9ed1-47bc-93da-d6b6de7aef75&xptdk=ff0ea154-9ed1-47bc-93da-d6b6de7aef75,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lwb6woft7y22a7,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,iTel A70 Ram 3/64GB I Ram 3/128GB | Ram 4/64GB | Ram 4/128GB | Ram 4/256GB | Ram 8/128GB  ( Second ),Rp,1.099.100,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,93 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,-45%,,,"iTel A70 Ram 3/64GB I Ram 3/128GB | Ram 4/64GB | Ram 4/128GB | Ram 4/256GB | Ram 8/128GB ( Second )
Rp
1.099.100
-45%
4.9
93 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/iTel-A70-Ram-3-64GB-I-Ram-3-128GB-Ram-4-64GB-Ram-4-128GB-Ram-4-256GB-Ram-8-128GB-(-Second-)-i.194632330.26452232829?extraParams=%7B%22display_model_id%22%3A400417045358%2C%22model_selection_logic%22%3A3%7D&sp_atk=ee9e7ea9-6c9c-4689-b710-91ed2d968ace&xptdk=ee9e7ea9-6c9c-4689-b710-91ed2d968ace,,,
