-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,truncate,img,text-xs/sp14_2,text-xs,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/1da03da63967e79654a21c60ff532d64,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Lenovo S930 EX Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,450.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,"Scrape to BigSeller
Lenovo S930 EX Garansi Resmi
Rp
450.000
Besok
Depok",https://shopee.co.id/Lenovo-S930-EX-Garansi-Resmi-i.2178285.18324303528?extraParams=%7B%22display_model_id%22%3A211262909273%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b85d53f-e867-4a8f-8e35-caee3c6620a1&xptdk=8b85d53f-e867-4a8f-8e35-caee3c6620a1
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkxrhdh308lb99,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Evercoss M6A 4/32 Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,588.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,592 Terjual,,,"Scrape to BigSeller
Evercoss M6A 4/32 Garansi Resmi
Rp
588.000
Cicilan
4.9
592 Terjual
2-3 Hari
Bekasi",https://shopee.co.id/Evercoss-M6A-4-32-Garansi-Resmi-i.63955985.1059794717?extraParams=%7B%22display_model_id%22%3A215760626169%2C%22model_selection_logic%22%3A3%7D&sp_atk=564f2f9c-1047-4e37-8fb9-77e598925e76&xptdk=564f2f9c-1047-4e37-8fb9-77e598925e76
https://down-id.img.susercontent.com/file/id-11134207-7qul4-lh7clftr36r06d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Lenovo S60a Minus TS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,107.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,,,,3-4 Hari,,,"Scrape to BigSeller
Lenovo S60a Minus TS
Rp
107.000
3-4 Hari
Makassar",https://shopee.co.id/Lenovo-S60a-Minus-TS-i.23643844.23769032304?extraParams=%7B%22display_model_id%22%3A204319658329%2C%22model_selection_logic%22%3A3%7D&sp_atk=9b679028-c9a5-4cfb-871d-09f18bd6f64f&xptdk=9b679028-c9a5-4cfb-871d-09f18bd6f64f
https://down-id.img.susercontent.com/file/865146671b6808c555d41815f5d06986,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo vibe c a2020 minus mati,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,40.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,2-3 Hari,,,"Scrape to BigSeller
Lenovo vibe c a2020 minus mati
Rp
40.000
2-3 Hari
Semarang",https://shopee.co.id/Lenovo-vibe-c-a2020-minus-mati-i.172103875.9076726613?extraParams=%7B%22display_model_id%22%3A26717107376%2C%22model_selection_logic%22%3A2%7D&sp_atk=87a0f62d-66fb-4bb4-8558-60ed67ed5e99&xptdk=87a0f62d-66fb-4bb4-8558-60ed67ed5e99
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmzikbam8iywb9,,"Xiaomi Redmi Note 15 5G (6/128 GB) (8/256 GB) (12/512 GB) | Baterai 5520mAh dengan desain ramping | Kaca layar dengan daya tahan tinggi | IP66 Ketahanan debu dan air | Kamera super jernih 108MP | Layar AMOLED FHD+ 6,77"" | NFC [Xiaomi Official Store]",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,10RB+ Terjual,,,"Scrape to BigSeller
Xiaomi Redmi Note 15 5G (6/128 GB) (8/256 GB) (12/512 GB) | Baterai 5520mAh dengan desain ramping | Kaca layar dengan daya tahan tinggi | IP66 Ketahanan debu dan air | Kamera super jernih 108MP | Layar AMOLED FHD+ 6,77"" | NFC [Xiaomi Official Store]
Rp
3.499.000
Hadiah Gratis
4.9
10RB+ Terjual
3-4 Hari
Kab. Tangerang",https://shopee.co.id/Xiaomi-Redmi-Note-15-5G-(6-128-GB)-(8-256-GB)-(12-512-GB)-Baterai-5520mAh-dengan-desain-ramping-Kaca-layar-dengan-daya-tahan-tinggi-IP66-Ketahanan-debu-dan-air-Kamera-super-jernih-108MP-Layar-AMOLED-FHD-6-77-NFC-Xiaomi-Official-Store--i.51925611.28073103561?extraParams=%7B%22display_model_id%22%3A380487845822%2C%22model_selection_logic%22%3A3%7D&sp_atk=99f49026-32ce-44d1-bbc8-471118c55e7b&xptdk=99f49026-32ce-44d1-bbc8-471118c55e7b
https://down-id.img.susercontent.com/file/id-11134207-7rbka-m8edej5dterm31,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,lenovo a6600,,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung Barat,,,,2-3 Hari,,,"Scrape to BigSeller
lenovo a6600
Rp
250.000
2-3 Hari
Kab. Bandung Barat",https://shopee.co.id/lenovo-a6600-i.1003326438.27182854640?extraParams=%7B%22display_model_id%22%3A258137202993%2C%22model_selection_logic%22%3A3%7D&sp_atk=0327840f-e3aa-4e9f-9d7f-5b35ad38bc69&xptdk=0327840f-e3aa-4e9f-9d7f-5b35ad38bc69
https://down-id.img.susercontent.com/file/id-11134207-7r990-loz5m6q7qs9ac2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo K6 Ram 4GB 32GB Android 7,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,338.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,,,"Scrape to BigSeller
Lenovo K6 Ram 4GB 32GB Android 7
Rp
338.000
Cicilan
5.0
2 Terjual
2-3 Hari
Tangerang",https://shopee.co.id/Lenovo-K6-Ram-4GB-32GB-Android-7-i.48358453.4545360039?extraParams=%7B%22display_model_id%22%3A60523330755%2C%22model_selection_logic%22%3A3%7D&sp_atk=ff4e19e1-ccb2-46cb-8bf6-4738a9f8ed17&xptdk=ff4e19e1-ccb2-46cb-8bf6-4738a9f8ed17
https://down-id.img.susercontent.com/file/id-11134207-7r98v-ltq8zbmdmwot22,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HP LENOVO A6000 bootloop (tanpa baterai),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,108.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cianjur,,,,7-9 Hari,,,"Scrape to BigSeller
HP LENOVO A6000 bootloop (tanpa baterai)
Rp
108.000
7-9 Hari
Kab. Cianjur",https://shopee.co.id/HP-LENOVO-A6000-bootloop-(tanpa-baterai)-i.38162338.25172492591?extraParams=%7B%22display_model_id%22%3A245586488626%2C%22model_selection_logic%22%3A3%7D&sp_atk=304a9b2a-7b22-454d-99e2-114df62444bf&xptdk=304a9b2a-7b22-454d-99e2-114df62444bf
https://down-id.img.susercontent.com/file/2335a730e454c6820ba70b4254d27dbb,,HP MURAH!!! RESMI lenovo moto e3 power,,Rp,700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Binjai,Cicilan,,,10-18 Hari,,,"Scrape to BigSeller
HP MURAH!!! RESMI lenovo moto e3 power
Rp
700.000
Cicilan
10-18 Hari
Binjai",https://shopee.co.id/HP-MURAH!!!-RESMI-lenovo-moto-e3-power-i.235355251.4243485447?extraParams=%7B%22display_model_id%22%3A40389771003%2C%22model_selection_logic%22%3A3%7D&sp_atk=d707dd5a-45cc-4597-894b-44c07cfe9d3d&xptdk=d707dd5a-45cc-4597-894b-44c07cfe9d3d
https://down-id.img.susercontent.com/file/6dfd6285d9d19f842e61ed988e81be2e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo P780 Ram 1GB 8GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,228.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,"Scrape to BigSeller
Lenovo P780 Ram 1GB 8GB
Rp
228.000
Besok
Tangerang",https://shopee.co.id/Lenovo-P780-Ram-1GB-8GB-i.48358453.4978655453?extraParams=%7B%22display_model_id%22%3A33612963917%2C%22model_selection_logic%22%3A3%7D&sp_atk=6949f20a-e490-4ebc-84a7-e92ba066e3cc&xptdk=6949f20a-e490-4ebc-84a7-e92ba066e3cc
