-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,img,text-xs/sp14_2,text-xs,text-shopee-primary,pointer-events-none_3,w-auto,text-white,truncate,inline-block,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r990-lmwo9cusv5vwc6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LenovoS5kondisirusaklcd,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,4-7 Hari,,,,,,,"Scrape to BigSeller
LenovoS5kondisirusaklcd
Rp
250.000
4-7 Hari
Semarang",https://shopee.co.id/LenovoS5kondisirusaklcd-i.20751534.22783457872?extraParams=%7B%22display_model_id%22%3A232133103137%2C%22model_selection_logic%22%3A3%7D&sp_atk=ec68edcf-eb4c-4d6d-8f95-f2cd884b1eb0&xptdk=ec68edcf-eb4c-4d6d-8f95-f2cd884b1eb0
https://down-id.img.susercontent.com/file/id-11134207-822ws-mn6tm7opjnrc96,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Lenovo A6600 plus 4G Ram 2/16Gb Normal lancar,Rp,290.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,2 Terjual,,,,,,,"Scrape to BigSeller
Lenovo A6600 plus 4G Ram 2/16Gb Normal lancar
Rp
290.000
4.0
2 Terjual
3-6 Hari
Kab. Sleman",https://shopee.co.id/Lenovo-A6600-plus-4G-Ram-2-16Gb-Normal-lancar-i.12636915.7160015152?extraParams=%7B%22display_model_id%22%3A71596259130%2C%22model_selection_logic%22%3A3%7D&sp_atk=f7ba42ee-88cf-4543-8572-f767f4df178d&xptdk=f7ba42ee-88cf-4543-8572-f767f4df178d
https://down-id.img.susercontent.com/file/id-11134207-8224z-ml0rna1u8lc1a4,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Lenovo A2010a bekas,Rp,110.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,3-6 Hari,-12%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,,,"Scrape to BigSeller
Lenovo A2010a bekas
Rp
110.500
-12%
3-6 Hari
Surabaya",https://shopee.co.id/Lenovo-A2010a-bekas-i.1646512720.41278824740?extraParams=%7B%22display_model_id%22%3A350571837879%2C%22model_selection_logic%22%3A3%7D&sp_atk=c6f9d6d8-4f60-429c-b6e1-d889eaddcacf&xptdk=c6f9d6d8-4f60-429c-b6e1-d889eaddcacf
https://down-id.img.susercontent.com/file/id-11134207-7r98t-ll4qhynchchwff,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HANDPHONE BEKAS SECOND LENOVO A1000 MATI TOTAL,Rp,50.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,7 Terjual,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,"Scrape to BigSeller
HANDPHONE BEKAS SECOND LENOVO A1000 MATI TOTAL
Rp
50.000
5.0
7 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/HANDPHONE-BEKAS-SECOND-LENOVO-A1000-MATI-TOTAL-i.941744273.18992580675?extraParams=%7B%22display_model_id%22%3A216999235886%2C%22model_selection_logic%22%3A2%7D&sp_atk=57cfecaa-560d-4e19-800e-2dafd7818ea9&xptdk=57cfecaa-560d-4e19-800e-2dafd7818ea9
https://down-id.img.susercontent.com/file/id-11134207-8224o-mhfk57ca3a4o2a,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HP Handphone Lenovo S850 bekas. Baca deskripsi!,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Lampung Selatan,,,4-8 Hari,,,,,,,"Scrape to BigSeller
HP Handphone Lenovo S850 bekas. Baca deskripsi!
Rp
250.000
4-8 Hari
Kab. Lampung Selatan",https://shopee.co.id/HP-Handphone-Lenovo-S850-bekas.-Baca-deskripsi!-i.455850353.53051993740?extraParams=%7B%22display_model_id%22%3A440195046247%2C%22model_selection_logic%22%3A3%7D&sp_atk=754d398d-b233-4ed8-be5b-055e219c0daf&xptdk=754d398d-b233-4ed8-be5b-055e219c0daf
https://down-id.img.susercontent.com/file/id-11134207-81ztg-mf69rtdpwummf4,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"UNIT BARU - HARGA BEKAS | LENOVO A7700 - [WIFI ONLY] KAMERA 8MP, RAM 2/16GB, BAT 2900MAH",Rp,650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,Besok,-66%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,"Scrape to BigSeller
UNIT BARU - HARGA BEKAS | LENOVO A7700 - [WIFI ONLY] KAMERA 8MP, RAM 2/16GB, BAT 2900MAH
Rp
650.000
-66%
Besok
Jakarta Pusat",https://shopee.co.id/UNIT-BARU-HARGA-BEKAS-LENOVO-A7700-WIFI-ONLY-KAMERA-8MP-RAM-2-16GB-BAT-2900MAH-i.134727823.14067724324?extraParams=%7B%22display_model_id%22%3A115979492043%2C%22model_selection_logic%22%3A3%7D&sp_atk=d162d000-9553-4b9d-ae5f-15d5851717fd&xptdk=d162d000-9553-4b9d-ae5f-15d5851717fd
https://down-id.img.susercontent.com/file/id-11134207-7r98v-ll4p9npekcx500,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HANDPHONE BEKAS SECOND LENOVO X2 MATI TOTAL,Rp,140.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,1 Terjual,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,"Scrape to BigSeller
HANDPHONE BEKAS SECOND LENOVO X2 MATI TOTAL
Rp
140.000
1 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/HANDPHONE-BEKAS-SECOND-LENOVO-X2-MATI-TOTAL-i.941744273.23153248997?extraParams=%7B%22display_model_id%22%3A184549328771%2C%22model_selection_logic%22%3A3%7D&sp_atk=b50ec755-7033-4064-8d0b-9bec8d874076&xptdk=b50ec755-7033-4064-8d0b-9bec8d874076
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lynfx6zx33mo86,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo A6000 Seken 4G LTE Android 5 RAM 1GB ROM 8GB,Rp,229.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Pati,,,3 Terjual,,,,,Cicilan,,"Scrape to BigSeller
Lenovo A6000 Seken 4G LTE Android 5 RAM 1GB ROM 8GB
Rp
229.000
Cicilan
3 Terjual
3-6 Hari
Kab. Pati",https://shopee.co.id/Lenovo-A6000-Seken-4G-LTE-Android-5-RAM-1GB-ROM-8GB-i.4611452.1349873888?extraParams=%7B%22display_model_id%22%3A42889590849%2C%22model_selection_logic%22%3A3%7D&sp_atk=33ee2674-f188-4e92-ad48-71e905afd2bd&xptdk=33ee2674-f188-4e92-ad48-71e905afd2bd
https://down-id.img.susercontent.com/file/id-11134207-7r98v-lu6hd8knth0o48,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo S930 RAM 1GB Internal 8GB Bekas Resmi,Rp,229.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Cimahi,,,Besok,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,"Scrape to BigSeller
Lenovo S930 RAM 1GB Internal 8GB Bekas Resmi
Rp
229.000
Besok
Cimahi",https://shopee.co.id/Lenovo-S930-RAM-1GB-Internal-8GB-Bekas-Resmi-i.211023013.21182134483?extraParams=%7B%22display_model_id%22%3A137648256159%2C%22model_selection_logic%22%3A3%7D&sp_atk=b54ddd7f-0d76-4d15-8191-345fbd42a3b6&xptdk=b54ddd7f-0d76-4d15-8191-345fbd42a3b6
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlnpj7dv4745e2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo K5 (K350t) RAM 3/32 - minus bisa pakai,Rp,300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,"Scrape to BigSeller
Lenovo K5 (K350t) RAM 3/32 - minus bisa pakai
Rp
300.000
5.0
1 Terjual
Besok
Jakarta Barat",https://shopee.co.id/Lenovo-K5-(K350t)-RAM-3-32-minus-bisa-pakai-i.201942958.23488824998?extraParams=%7B%22display_model_id%22%3A197228517083%2C%22model_selection_logic%22%3A3%7D&sp_atk=730a159a-849c-43d6-ba6f-8d7274cfd88e&xptdk=730a159a-849c-43d6-ba6f-8d7274cfd88e
