-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-shopee-primary,img,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,inline-block,pointer-events-none_3,truncate,text-xs_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-82251-mkelu04akkqwda,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,BISA COD PROMO NOKIA 230 DUAL SIM KAMERA SELFIE NORMAL SECOND ORI,Rp,99.000,-36%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,2 Terjual,"Scrape to BigSeller
BISA COD PROMO NOKIA 230 DUAL SIM KAMERA SELFIE NORMAL SECOND ORI
Rp
99.000
-36%
5.0
2 Terjual
4-7 Hari
Kab. Cirebon",https://shopee.co.id/BISA-COD-PROMO-NOKIA-230-DUAL-SIM-KAMERA-SELFIE-NORMAL-SECOND-ORI-i.1206168117.40378651586?extraParams=%7B%22display_model_id%22%3A355536668750%2C%22model_selection_logic%22%3A3%7D&sp_atk=c93b589a-8076-4f7c-ba48-278d5e4767f1&xptdk=c93b589a-8076-4f7c-ba48-278d5e4767f1
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmk086g7qnepbd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia Lumia 520 - Second / Bekas,Rp,250.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,Besok,"Scrape to BigSeller
Nokia Lumia 520 - Second / Bekas
Rp
250.000
Besok
Jakarta Barat",https://shopee.co.id/Nokia-Lumia-520-Second-Bekas-i.457773151.44279699674?extraParams=%7B%22display_model_id%22%3A320720369827%2C%22model_selection_logic%22%3A3%7D&sp_atk=3d093eb4-8bb4-419d-99fd-82502fc9e2b7&xptdk=3d093eb4-8bb4-419d-99fd-82502fc9e2b7
https://down-id.img.susercontent.com/file/id-11134207-7r98s-lvps4zuoq03ga6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,nokia 216 selfi +mp3 second,Rp,73.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,16 Terjual,"Scrape to BigSeller
nokia 216 selfi +mp3 second
Rp
73.000
5.0
16 Terjual
3-5 Hari
Kab. Cirebon",https://shopee.co.id/nokia-216-selfi-mp3-second-i.771375084.27650924428?extraParams=%7B%22display_model_id%22%3A178222245947%2C%22model_selection_logic%22%3A3%7D&sp_atk=78db0d25-e55d-48b7-9b31-56fbc7549a8d&xptdk=78db0d25-e55d-48b7-9b31-56fbc7549a8d
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmeft58zr5lb98,,nokia 230 seken bekas pemakaian,Rp,165.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,,,4-8 Hari,"Scrape to BigSeller
nokia 230 seken bekas pemakaian
Rp
165.000
4-8 Hari
Kab. Tangerang",https://shopee.co.id/nokia-230-seken-bekas-pemakaian-i.230298126.45257930292?extraParams=%7B%22display_model_id%22%3A390702628036%2C%22model_selection_logic%22%3A3%7D&sp_atk=24df70f4-ebb2-44d6-8a93-4dfc341e49e9&xptdk=24df70f4-ebb2-44d6-8a93-4dfc341e49e9
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lvps4zup18n0cc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,nokia 150 (2018) second mp3+camera,Rp,70.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,36 Terjual,"Scrape to BigSeller
nokia 150 (2018) second mp3+camera
Rp
70.000
3.9
36 Terjual
3-5 Hari
Kab. Cirebon",https://shopee.co.id/nokia-150-(2018)-second-mp3-camera-i.771375084.29600936733?extraParams=%7B%22display_model_id%22%3A250892710605%2C%22model_selection_logic%22%3A3%7D&sp_atk=0d63d49b-8204-4eaf-ae2e-ad07f6f242d0&xptdk=0d63d49b-8204-4eaf-ae2e-ad07f6f242d0
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m265x7o8xldga8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HP NOKIA JADUL BEKAS HITAM,Rp,105.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,,,,409 Terjual,"Scrape to BigSeller
HP NOKIA JADUL BEKAS HITAM
Rp
105.000
5.0
409 Terjual
2 jam
Kab. Sidoarjo",https://shopee.co.id/HP-NOKIA-JADUL-BEKAS-HITAM-i.9585476.26766451131?extraParams=%7B%22display_model_id%22%3A410093072155%2C%22model_selection_logic%22%3A2%7D&sp_atk=28ab4465-be51-4a8a-aa2c-3e8404d1676a&xptdk=28ab4465-be51-4a8a-aa2c-3e8404d1676a
https://down-id.img.susercontent.com/file/8af2f624c345f5a654ffc68bbc2ee4e6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Nokia 5310 Display Bekas Pajangan Original Tam,Rp,398.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,219 Terjual,"Scrape to BigSeller
Nokia 5310 Display Bekas Pajangan Original Tam
Rp
398.000
4.6
219 Terjual
2-4 Hari
Jakarta Barat",https://shopee.co.id/Nokia-5310-Display-Bekas-Pajangan-Original-Tam-i.736803387.14072188669?extraParams=%7B%22display_model_id%22%3A116220456204%2C%22model_selection_logic%22%3A3%7D&sp_atk=f2fd853f-6b2d-439d-a9ac-994ee0280214&xptdk=f2fd853f-6b2d-439d-a9ac-994ee0280214
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkek1cjm47b419,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia second 2630 HIDUP,Rp,90.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Magetan,,,,,,1-3 Hari,"Scrape to BigSeller
Nokia second 2630 HIDUP
Rp
90.000
1-3 Hari
Kab. Magetan",https://shopee.co.id/Nokia-second-2630-HIDUP-i.951425174.48555946623?extraParams=%7B%22display_model_id%22%3A310536296832%2C%22model_selection_logic%22%3A3%7D&sp_atk=0a9427d4-fdfd-4c4f-9793-70c263b475a2&xptdk=0a9427d4-fdfd-4c4f-9793-70c263b475a2
https://down-id.img.susercontent.com/file/id-11134207-8224q-mjrjkxvyouthbd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Handphone Nokia 105(2023) Black | 2nd Bekas,Rp,69.900,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jambi,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,4-7 Hari,"Scrape to BigSeller
Handphone Nokia 105(2023) Black | 2nd Bekas
Rp
69.900
4-7 Hari
Jambi",https://shopee.co.id/Handphone-Nokia-105(2023)-Black-2nd-Bekas-i.32178392.46555075128?extraParams=%7B%22display_model_id%22%3A287352188978%2C%22model_selection_logic%22%3A3%7D&sp_atk=69d15dba-2c9f-492e-beaa-84d05e49faf8&xptdk=69d15dba-2c9f-492e-beaa-84d05e49faf8
https://down-id.img.susercontent.com/file/5d0dd7ce7a061af14e4c327865714bb2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,kualitas terbaik NOKIA 210 205 qwerty second original 100%,Rp,225.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.3,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,66 Terjual,"Scrape to BigSeller
kualitas terbaik NOKIA 210 205 qwerty second original 100%
Rp
225.000
4.3
66 Terjual
< 2 Hari
Kab. Banyuwangi",https://shopee.co.id/kualitas-terbaik-NOKIA-210-205-qwerty-second-original-100--i.193551914.3867265037?extraParams=%7B%22display_model_id%22%3A223276687625%2C%22model_selection_logic%22%3A3%7D&sp_atk=81609428-2b41-4e8b-9b2f-91255996b154&xptdk=81609428-2b41-4e8b-9b2f-91255996b154
