-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,inline-block,w-auto,text-white,text-shopee-primary,pointer-events-none_3,img_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m3eqk6ikc0uw22,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Nokia 105 USB type rm 1134, single SIM, second normal",Rp,55.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jombang,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Nokia 105 USB type rm 1134, single SIM, second normal
Rp
55.000
5.0
1 Terjual
2-5 Hari
Kab. Jombang",https://shopee.co.id/Nokia-105-USB-type-rm-1134-single-SIM-second-normal-i.1389808480.27169802796?extraParams=%7B%22display_model_id%22%3A139165289069%2C%22model_selection_logic%22%3A3%7D&sp_atk=c04a06fa-7345-41be-bebd-9e47b0b0e90d&xptdk=c04a06fa-7345-41be-bebd-9e47b0b0e90d
https://down-id.img.susercontent.com/file/id-11134207-81ztp-mes5mneirthe02,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Nokia handphone jadul bekas second dan perbaikan untuk peminat hp lama,Rp,65.000,4.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jember,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Nokia handphone jadul bekas second dan perbaikan untuk peminat hp lama
Rp
65.000
4.0
5 Terjual
< 2 Hari
Kab. Jember",https://shopee.co.id/Nokia-handphone-jadul-bekas-second-dan-perbaikan-untuk-peminat-hp-lama-i.8897605.7836277321?extraParams=%7B%22display_model_id%22%3A301606557918%2C%22model_selection_logic%22%3A2%7D&sp_atk=b7120d29-fad3-4b85-9c94-5fd2a7f2b472&xptdk=b7120d29-fad3-4b85-9c94-5fd2a7f2b472
https://down-id.img.susercontent.com/file/id-11134207-7r98z-lu7jpbi2zime07,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,nokia 2330 classic pemakaian,Rp,50.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,,,,,,,"Scrape to BigSeller
nokia 2330 classic pemakaian
Rp
50.000
4-7 Hari
Kab. Bogor",https://shopee.co.id/nokia-2330-classic-pemakaian-i.73610279.25374702217?extraParams=%7B%22display_model_id%22%3A69762911736%2C%22model_selection_logic%22%3A2%7D&sp_atk=0dea8936-5785-44ee-b7e6-b2f08d9d437d&xptdk=0dea8936-5785-44ee-b7e6-b2f08d9d437d
https://down-id.img.susercontent.com/file/id-11134207-7r98q-ltg41667e8tff5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA 2 TA-1029 4G 1/8GB ANDROID 7 ORIGINAL HP SECOND NORMAL,Rp,269.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
NOKIA 2 TA-1029 4G 1/8GB ANDROID 7 ORIGINAL HP SECOND NORMAL
Rp
269.000
5.0
4 Terjual
Besok
Jakarta Timur",https://shopee.co.id/NOKIA-2-TA-1029-4G-1-8GB-ANDROID-7-ORIGINAL-HP-SECOND-NORMAL-i.287908499.18194490184?extraParams=%7B%22display_model_id%22%3A187119673476%2C%22model_selection_logic%22%3A3%7D&sp_atk=0524a9ab-8890-49b1-b38a-56143f0cb8e2&xptdk=0524a9ab-8890-49b1-b38a-56143f0cb8e2
https://down-id.img.susercontent.com/file/c3ede54ea927f93d76c08da6181eb84b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Nokia 1616 Bonus CAS bonus Bublewrap packing aman, hp jadul second original",Rp,74.000,4.2,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,239 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Nokia 1616 Bonus CAS bonus Bublewrap packing aman, hp jadul second original
Rp
74.000
4.2
239 Terjual
< 2 Hari
Kab. Banyuwangi",https://shopee.co.id/Nokia-1616-Bonus-CAS-bonus-Bublewrap-packing-aman-hp-jadul-second-original-i.193551914.14771611949?extraParams=%7B%22display_model_id%22%3A137536418316%2C%22model_selection_logic%22%3A3%7D&sp_atk=ff674f8d-fe4f-441c-ba94-b4c57b763d4f&xptdk=ff674f8d-fe4f-441c-ba94-b4c57b763d4f
https://down-id.img.susercontent.com/file/id-11134207-7r98y-ly1rgyhkzpgsca,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Nokia RM 863 normal second,Rp,63.000,3.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,105 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Nokia RM 863 normal second
Rp
63.000
-3%
3.9
105 Terjual
2-5 Hari
Kab. Cirebon",https://shopee.co.id/Nokia-RM-863-normal-second-i.979239140.20377768049?extraParams=%7B%22display_model_id%22%3A197669867060%2C%22model_selection_logic%22%3A2%7D&sp_atk=493f9e7f-6af0-4d14-a612-fc8d465e5630&xptdk=493f9e7f-6af0-4d14-a612-fc8d465e5630
https://down-id.img.susercontent.com/file/3cbc7a223ecc2fa70a556cb7ae9c01a3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Nokia 1280 hp+btrai+cas bonus buble wrap packing. second original,Rp,70.000,4.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Nokia 1280 hp+btrai+cas bonus buble wrap packing. second original
Rp
70.000
4.0
1RB+ Terjual
< 2 Hari
Kab. Banyuwangi",https://shopee.co.id/Nokia-1280-hp-btrai-cas-bonus-buble-wrap-packing.-second-original-i.193551914.12173334307?extraParams=%7B%22display_model_id%22%3A233292703971%2C%22model_selection_logic%22%3A3%7D&sp_atk=cb04e278-56b7-4262-93c1-34e604397e81&xptdk=cb04e278-56b7-4262-93c1-34e604397e81
https://down-id.img.susercontent.com/file/id-11134207-82252-mizf5klkg5j7ce,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia TA-1557 Dual Sim Normal Second,Rp,82.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Nokia TA-1557 Dual Sim Normal Second
Rp
82.000
5.0
5 Terjual
2-5 Hari
Kab. Cirebon",https://shopee.co.id/Nokia-TA-1557-Dual-Sim-Normal-Second-i.1675555240.24047736643?extraParams=%7B%22display_model_id%22%3A435138953052%2C%22model_selection_logic%22%3A3%7D&sp_atk=06376338-f14e-4b31-88e8-55b55a84a154&xptdk=06376338-f14e-4b31-88e8-55b55a84a154
https://down-id.img.susercontent.com/file/id-11134207-8224r-mizf5klpabydfb,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia 130 TA-1017 Dual Sim Camera Normal Second,Rp,55.000,3.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Nokia 130 TA-1017 Dual Sim Camera Normal Second
Rp
55.000
3.8
12 Terjual
2-5 Hari
Kab. Cirebon",https://shopee.co.id/Nokia-130-TA-1017-Dual-Sim-Camera-Normal-Second-i.1675555240.55151506970?extraParams=%7B%22display_model_id%22%3A385137717423%2C%22model_selection_logic%22%3A3%7D&sp_atk=8f29d526-4fc7-4af4-b7d6-c7eae2b8f8ec&xptdk=8f29d526-4fc7-4af4-b7d6-c7eae2b8f8ec
https://down-id.img.susercontent.com/file/2a73feba568f42ba9f1ad8e1e280d7cd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Nokia 150 216 second original , kondisi normal siap pakai",Rp,100.000,4.6,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,56 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Scrape to BigSeller
Nokia 150 216 second original , kondisi normal siap pakai
Rp
100.000
4.6
56 Terjual
< 2 Hari
Kab. Banyuwangi",https://shopee.co.id/Nokia-150-216-second-original-kondisi-normal-siap-pakai-i.193551914.20522043615?extraParams=%7B%22display_model_id%22%3A181157776921%2C%22model_selection_logic%22%3A3%7D&sp_atk=c688a835-a992-489e-afa2-08d496daf4f6&xptdk=c688a835-a992-489e-afa2-08d496daf4f6
