-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-ellipsis,img,text-xs/sp14_2,text-xs,pointer-events-none,pointer-events-none_2,align-middle,w-auto,text-white,text-shopee-primary,pointer-events-none_3,truncate,_container,_container_link,text-shopee-green,text-xs_2
https://down-id.img.susercontent.com/file/id-11134207-822wk-mm6aaikktipw7d,https://down-id.img.susercontent.com/file/id-11134258-822wp-mnayfzzccrupa3,Handphone Opp0 A1 /A83 ram 4gb internal 64gb Second Original Murah,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,715.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,88 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,,"Handphone Opp0 A1 /A83 ram 4gb internal 64gb Second Original Murah
Rp
715.000
4.8
88 Terjual
3 Hari
Jakarta Pusat",https://shopee.co.id/Handphone-Opp0-A1-A83-ram-4gb-internal-64gb-Second-Original-Murah-i.461345307.24807065431?extraParams=%7B%22display_model_id%22%3A257616897855%2C%22model_selection_logic%22%3A3%7D&sp_atk=e7528645-4762-4075-9fe2-9bfca22a5c70&xptdk=e7528645-4762-4075-9fe2-9bfca22a5c70,,
https://down-id.img.susercontent.com/file/id-11134207-822wu-mn1kuh4i26me77,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,OPPO F7 4/64 Second Minus (BACA DESKRIPSI),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,550.000,,,,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,,,,,,"OPPO F7 4/64 Second Minus (BACA DESKRIPSI)
Rp
550.000
3-5 Hari
Kab. Bekasi",https://shopee.co.id/OPPO-F7-4-64-Second-Minus-(BACA-DESKRIPSI)-i.126106337.56858827301?extraParams=%7B%22display_model_id%22%3A310784138346%2C%22model_selection_logic%22%3A3%7D&sp_atk=2e51b301-4557-432b-b3cc-b5b8dc9712e3&xptdk=2e51b301-4557-432b-b3cc-b5b8dc9712e3,,
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmbjjf9wwxz755,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HP OPPO F7 4/64 SECOND NORMAL lengkap DUS BOOK charger finger on masih all ori semua tdk pernah service,,Rp,485.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,"HP OPPO F7 4/64 SECOND NORMAL lengkap DUS BOOK charger finger on masih all ori semua tdk pernah service
Rp
485.000
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/HP-OPPO-F7-4-64-SECOND-NORMAL-lengkap-DUS-BOOK-charger-finger-on-masih-all-ori-semua-tdk-pernah-service-i.1121629590.56707451551?extraParams=%7B%22display_model_id%22%3A385737017287%2C%22model_selection_logic%22%3A3%7D&sp_atk=245d5909-407e-4bca-bd14-f8b4eada00b1&xptdk=245d5909-407e-4bca-bd14-f8b4eada00b1,,
https://down-id.img.susercontent.com/file/id-11134207-81ztd-mejn66ukac5c60,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,OPPO A5i 4/128GB SECOND SUPER MULUS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.439.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,33 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,"OPPO A5i 4/128GB SECOND SUPER MULUS
Rp
1.439.000
5.0
33 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/OPPO-A5i-4-128GB-SECOND-SUPER-MULUS-i.309409025.42718647768?extraParams=%7B%22display_model_id%22%3A177315475522%2C%22model_selection_logic%22%3A3%7D&sp_atk=1477af4d-bcdc-4d3b-9337-7caaa1f4e8ec&xptdk=1477af4d-bcdc-4d3b-9337-7caaa1f4e8ec,,
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn5rlkd3d1j60e,https://down-id.img.susercontent.com/file/id-11134258-7ra0r-mbetcosmf42z25,OPPO A53 RAM 6GB/128GB SECOND RESMI BERGARANSI DAN BISA RETUR YA,,Rp,730.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Demak,,,,,,"OPPO A53 RAM 6GB/128GB SECOND RESMI BERGARANSI DAN BISA RETUR YA
Rp
730.000
3-6 Hari
Kab. Demak",https://shopee.co.id/OPPO-A53-RAM-6GB-128GB-SECOND-RESMI-BERGARANSI-DAN-BISA-RETUR-YA-i.535149109.54208952491?extraParams=%7B%22display_model_id%22%3A297543426118%2C%22model_selection_logic%22%3A3%7D&sp_atk=5dbb2bb8-cdbd-404e-8cb9-673b3398ef3a&xptdk=5dbb2bb8-cdbd-404e-8cb9-673b3398ef3a,,
https://down-id.img.susercontent.com/file/sg-11134201-7rbl1-lpgg1tz27e2mdd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Oppo A18 Ram 4 Rom 128GB Second Berkualitas Mulus,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.430.199,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,167 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-21%,,,"Oppo A18 Ram 4 Rom 128GB Second Berkualitas Mulus
Rp
1.430.199
-21%
4.9
167 Terjual
< 2 Hari
Surabaya",https://shopee.co.id/Oppo-A18-Ram-4-Rom-128GB-Second-Berkualitas-Mulus-i.194632330.18987103814?extraParams=%7B%22display_model_id%22%3A147151199672%2C%22model_selection_logic%22%3A3%7D&sp_atk=264ee4f2-4742-43a4-92f2-39bc2fcce611&xptdk=264ee4f2-4742-43a4-92f2-39bc2fcce611,,
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m307ty4zmlg120,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Oppo A3x Ram 4/64GB | Ram 4/128GB I Ram 6/128GB( Second ),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.380.999,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,284 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-11%,,,"Oppo A3x Ram 4/64GB | Ram 4/128GB I Ram 6/128GB( Second )
Rp
1.380.999
-11%
4.8
284 Terjual
< 2 Hari
Surabaya",https://shopee.co.id/Oppo-A3x-Ram-4-64GB-Ram-4-128GB-I-Ram-6-128GB(-Second-)-i.194632330.28818615079?extraParams=%7B%22display_model_id%22%3A168676704538%2C%22model_selection_logic%22%3A3%7D&sp_atk=f3ed4692-729d-4ba3-8393-b6cd0f34e4e7&xptdk=f3ed4692-729d-4ba3-8393-b6cd0f34e4e7,,
https://down-id.img.susercontent.com/file/id-11134207-7rbkd-m9d98u6imgrib4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Oppo A18 4/128 Second Mulus Terawat Fullset,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.393.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,24 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,"Oppo A18 4/128 Second Mulus Terawat Fullset
Rp
1.393.000
5.0
24 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/Oppo-A18-4-128-Second-Mulus-Terawat-Fullset-i.309409025.27085993982?extraParams=%7B%22display_model_id%22%3A206065820130%2C%22model_selection_logic%22%3A3%7D&sp_atk=75851dd2-201e-4c97-8c71-3f1312f511a3&xptdk=75851dd2-201e-4c97-8c71-3f1312f511a3,,
https://down-id.img.susercontent.com/file/0b8a8cb90893218224b8a8893abf85cf,,Oppo A95 8/128 GB Ex Resmi Oppo Indonesia Second Bekas Seken Original Ex Pemakaian Good Condition,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.490.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,56 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,"Oppo A95 8/128 GB Ex Resmi Oppo Indonesia Second Bekas Seken Original Ex Pemakaian Good Condition
Rp
1.490.000
4.9
56 Terjual
3 Hari
Jakarta Utara",https://shopee.co.id/Oppo-A95-8-128-GB-Ex-Resmi-Oppo-Indonesia-Second-Bekas-Seken-Original-Ex-Pemakaian-Good-Condition-i.304735900.16008474930?extraParams=%7B%22display_model_id%22%3A144883009272%2C%22model_selection_logic%22%3A3%7D&sp_atk=a50a9046-a25d-4ba5-a176-5c9d9a3686e1&xptdk=a50a9046-a25d-4ba5-a176-5c9d9a3686e1,,
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkassyg0zzt212,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,OPPO A6X 6/256GB // 4/128GB SECOND MULUS TERAWAT,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.599.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,"OPPO A6X 6/256GB // 4/128GB SECOND MULUS TERAWAT
Rp
1.599.000
5.0
8 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/OPPO-A6X-6-256GB-4-128GB-SECOND-MULUS-TERAWAT-i.309409025.50705808415?extraParams=%7B%22display_model_id%22%3A315620607493%2C%22model_selection_logic%22%3A3%7D&sp_atk=e3ad3985-f7f3-4482-866e-c48540a07627&xptdk=e3ad3985-f7f3-4482-866e-c48540a07627,,
