-image-yazkc-11,text-sm,inline-block,text-xs/sp14,font-medium,text-ellipsis,img,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,-image-yazkc-11_2,text-shopee-primary,truncate,text-white_2,pointer-events-none_3,_container,_container_link,img_2,text-xs_2,text-shopee-green,text-xs/sp14_3
https://down-id.img.susercontent.com/file/id-11134207-81zte-mfrxhddtu2a425,REALME C71 4/128GB & 6/128GB & 8/128GB SECOND,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,34 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,< 2 Hari,,"REALME C71 4/128GB & 6/128GB & 8/128GB SECOND
Rp
1.999.000
4.7
34 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/REALME-C71-4-128GB-6-128GB-8-128GB-SECOND-i.86064906.43523916080?extraParams=%7B%22display_model_id%22%3A340005901427%2C%22model_selection_logic%22%3A3%7D&sp_atk=2d8dabaf-950e-4098-9503-177ceba043d3&xptdk=2d8dabaf-950e-4098-9503-177ceba043d3,,,,
https://down-id.img.susercontent.com/file/id-11134207-822wp-mn6inrl289he6d,Realme 15 5g 8/256gb second hp only,,Rp,2.900.000,,,,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,"Realme 15 5g 8/256gb second hp only
Rp
2.900.000
3-5 Hari
Jakarta Timur",https://shopee.co.id/Realme-15-5g-8-256gb-second-hp-only-i.98781325.51959035843?extraParams=%7B%22display_model_id%22%3A272547399315%2C%22model_selection_logic%22%3A3%7D&sp_atk=22b85843-3098-449e-bd7e-a1c84ef9aa29&xptdk=22b85843-3098-449e-bd7e-a1c84ef9aa29,,,,
https://down-id.img.susercontent.com/file/id-11134207-822wq-mmzp06slixoj35,Realme 12 Plus 8/256 Fulset (Second),,Rp,2.200.000,,,,4-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Demak,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,"Realme 12 Plus 8/256 Fulset (Second)
Rp
2.200.000
4-6 Hari
Kab. Demak",https://shopee.co.id/Realme-12-Plus-8-256-Fulset-(Second)-i.238073021.44508741705?extraParams=%7B%22display_model_id%22%3A365773888477%2C%22model_selection_logic%22%3A3%7D&sp_atk=6ed0bf37-9353-4b6e-a795-17a88e5c9617&xptdk=6ed0bf37-9353-4b6e-a795-17a88e5c9617,,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-m69fkqq5rifqc4,Realme C61 8/128 GB Resmi Realme Indonesia Second Bekas Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.249.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,13 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,< 2 Hari,,"Realme C61 8/128 GB Resmi Realme Indonesia Second Bekas Original
Rp
1.249.000
5.0
13 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Realme-C61-8-128-GB-Resmi-Realme-Indonesia-Second-Bekas-Original-i.304735900.27320928225?extraParams=%7B%22display_model_id%22%3A178608296678%2C%22model_selection_logic%22%3A3%7D&sp_atk=c20418bb-7285-4ed1-8699-d5d1ec309139&xptdk=c20418bb-7285-4ed1-8699-d5d1ec309139,,,,
https://down-id.img.susercontent.com/file/id-11134207-822wo-mn9wnbfn239e5e,Handphone HP Realme 12Pro Plus 13 14 5G 8/256 Original Second resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.499.000,,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,,,,,"Handphone HP Realme 12Pro Plus 13 14 5G 8/256 Original Second resmi
Rp
2.499.000
1 Terjual
3-5 Hari
Jakarta Timur",https://shopee.co.id/Handphone-HP-Realme-12Pro-Plus-13-14-5G-8-256-Original-Second-resmi-i.221779283.48909182584?extraParams=%7B%22display_model_id%22%3A307553786933%2C%22model_selection_logic%22%3A3%7D&sp_atk=e1a913cd-9af2-493a-b0dc-92fb250eaeb7&xptdk=e1a913cd-9af2-493a-b0dc-92fb250eaeb7,,,,
https://down-id.img.susercontent.com/file/id-11134207-81ztm-meqtvrhahfrb01,REALME NOTE 60 // NOTE60X 4/64GB SECOND MULUS TERAWAT,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.279.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,24 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,Besok 12:00,,"REALME NOTE 60 // NOTE60X 4/64GB SECOND MULUS TERAWAT
Rp
1.279.000
5.0
24 Terjual
Besok 12:00
Kab. Sidoarjo",https://shopee.co.id/REALME-NOTE-60-NOTE60X-4-64GB-SECOND-MULUS-TERAWAT-i.309409025.40769352124?extraParams=%7B%22display_model_id%22%3A267048898582%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb05597b-2499-4c7d-9ed5-1cda73520792&xptdk=fb05597b-2499-4c7d-9ed5-1cda73520792,,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lxik2zcu12xq87,Realme C55 6/128 | 8/256 GB Garansi Resmi Indonesia Fullset Second Bekas Seken Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.449.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,108 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,< 2 Hari,,"Realme C55 6/128 | 8/256 GB Garansi Resmi Indonesia Fullset Second Bekas Seken Original
Rp
1.449.000
4.9
108 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Realme-C55-6-128-8-256-GB-Garansi-Resmi-Indonesia-Fullset-Second-Bekas-Seken-Original-i.304735900.24652315289?extraParams=%7B%22display_model_id%22%3A168299330072%2C%22model_selection_logic%22%3A3%7D&sp_atk=1d031ea5-55ef-4f78-b855-f3e31f527c28&xptdk=1d031ea5-55ef-4f78-b855-f3e31f527c28,,,,
https://down-id.img.susercontent.com/file/id-11134207-8224w-mifrhhymgydc19,Realme 14T 5G 8/128 GB Garansi Resmi Indonesia Second Bekas Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.090.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,< 2 Hari,,"Realme 14T 5G 8/128 GB Garansi Resmi Indonesia Second Bekas Original
Rp
2.090.000
5.0
3 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Realme-14T-5G-8-128-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.40617044518?extraParams=%7B%22display_model_id%22%3A385320312623%2C%22model_selection_logic%22%3A3%7D&sp_atk=9157d2c7-673a-45ee-b4ad-ac5d74755730&xptdk=9157d2c7-673a-45ee-b4ad-ac5d74755730,,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk2-m9ziqcikgd2559,Realme 13 8/128 | 8/256 GB Garansi Resmi Indonesia Second Bekas Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.749.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,27 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,< 2 Hari,,"Realme 13 8/128 | 8/256 GB Garansi Resmi Indonesia Second Bekas Original
Rp
1.749.000
4.9
27 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Realme-13-8-128-8-256-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.27322865812?extraParams=%7B%22display_model_id%22%3A305123869228%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b2f62a3-7ab3-4e54-932a-42dbff5c424c&xptdk=8b2f62a3-7ab3-4e54-932a-42dbff5c424c,,,,
https://down-id.img.susercontent.com/file/id-11134207-8224s-mjjdivcq95vlb8,Realme C71 4/128 GB Garansi Resmi Indonesia Second Bekas Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.349.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,< 2 Hari,,"Realme C71 4/128 GB Garansi Resmi Indonesia Second Bekas Original
Rp
1.349.000
5.0
6 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Realme-C71-4-128-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.44271860852?extraParams=%7B%22display_model_id%22%3A365091193261%2C%22model_selection_logic%22%3A3%7D&sp_atk=d3866dab-83c0-4657-8858-a26a0f373c6e&xptdk=d3866dab-83c0-4657-8858-a26a0f373c6e,,,,
