-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-ellipsis,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none_2,pointer-events-none_3,align-middle,w-auto,text-white,_container,_container_link,text-shopee-green,truncate_2,img_2
https://down-id.img.susercontent.com/file/id-11134207-8224z-mh8viyzv0n4e00,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Samsung S23 Second Resmi ex SEIN BC Beacukai IMEI Permanen 100% Original FULLSET 128GB 256GB 512GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.694.000,-17%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,162 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,"Samsung S23 Second Resmi ex SEIN BC Beacukai IMEI Permanen 100% Original FULLSET 128GB 256GB 512GB
Rp
6.694.000
-17%
Hadiah Gratis
4.9
162 Terjual
2-3 Hari
Jakarta Selatan",https://shopee.co.id/Samsung-S23-Second-Resmi-ex-SEIN-BC-Beacukai-IMEI-Permanen-100-Original-FULLSET-128GB-256GB-512GB-i.1437255344.26186184778?extraParams=%7B%22display_model_id%22%3A138334891183%2C%22model_selection_logic%22%3A3%7D&sp_atk=e3e8bda7-7224-4281-b916-57cd92e6056c&xptdk=e3e8bda7-7224-4281-b916-57cd92e6056c,,,
https://down-id.img.susercontent.com/file/sg-11134201-81zum-micr05bgyiv4ca,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Samsung Galaxy A16 8/128GB - Black,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.759.000,-8%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,10RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,"Samsung Galaxy A16 8/128GB - Black
Rp
2.759.000
-8%
4.9
10RB+ Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/Samsung-Galaxy-A16-8-128GB-Black-i.52635036.26817242184?extraParams=%7B%22display_model_id%22%3A99687259092%2C%22model_selection_logic%22%3A3%7D&sp_atk=b60ab987-613b-4d81-aa7a-b1ae3b3192f1&xptdk=b60ab987-613b-4d81-aa7a-b1ae3b3192f1,,,
https://down-id.img.susercontent.com/file/id-11134207-81ztd-me4hzi5q3nk4a7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung Galaxy A17 4G 5G 8/128GB 8/256GB RAM 8GB ROM 128GB 256GB  - Garansi Resmi SEIN 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.229.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,3RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,"Samsung Galaxy A17 4G 5G 8/128GB 8/256GB RAM 8GB ROM 128GB 256GB - Garansi Resmi SEIN 1 Tahun
Rp
3.229.000
Cicilan
4.9
3RB+ Terjual
2 jam
Surabaya",https://shopee.co.id/Samsung-Galaxy-A17-4G-5G-8-128GB-8-256GB-RAM-8GB-ROM-128GB-256GB-Garansi-Resmi-SEIN-1-Tahun-i.160369383.4885137716?extraParams=%7B%22display_model_id%22%3A271703868027%2C%22model_selection_logic%22%3A3%7D&sp_atk=414f2e29-ebef-4a9a-9865-b2bd41d3f32d&xptdk=414f2e29-ebef-4a9a-9865-b2bd41d3f32d,,,
https://down-id.img.susercontent.com/file/id-11134207-8224w-mkxeb482ap6p41,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SAMSUNG GALAXY A36 5G 8GB 256GB | BLACK - LAVENDER - LIME - WHITE,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.239.000,-35%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,69 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,4 jam,"SAMSUNG GALAXY A36 5G 8GB 256GB | BLACK - LAVENDER - LIME - WHITE
Rp
5.239.000
-35%
4.9
69 Terjual
4 jam
Surabaya",https://shopee.co.id/SAMSUNG-GALAXY-A36-5G-8GB-256GB-BLACK-LAVENDER-LIME-WHITE-i.1273997571.56556287226?extraParams=%7B%22display_model_id%22%3A350568853371%2C%22model_selection_logic%22%3A3%7D&sp_atk=420169d7-4d55-4956-9ace-6df9ee764e80&xptdk=420169d7-4d55-4956-9ace-6df9ee764e80,,,
https://down-id.img.susercontent.com/file/sg-11134201-81zuc-mmin3gxgqsqsee,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung Galaxy A57 5G 8/128GB | 8/256GB | 12/256GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.099.000,-7%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,417 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,"Samsung Galaxy A57 5G 8/128GB | 8/256GB | 12/256GB
Rp
7.099.000
-7%
5.0
417 Terjual
3 Hari
Bandung",https://shopee.co.id/Samsung-Galaxy-A57-5G-8-128GB-8-256GB-12-256GB-i.1101386382.52458060594?extraParams=%7B%22display_model_id%22%3A355715561855%2C%22model_selection_logic%22%3A3%7D&sp_atk=644da64f-f926-4090-b5c5-24e01b3b52a4&xptdk=644da64f-f926-4090-b5c5-24e01b3b52a4,,,
https://down-id.img.susercontent.com/file/id-11134207-822ws-mlbtl3jgy7t4ce,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung Galaxy A07 5G 6/128GB Garansi Resmi SEIN,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.249.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,28 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,"Samsung Galaxy A07 5G 6/128GB Garansi Resmi SEIN
Rp
3.249.000
5.0
28 Terjual
2 jam
Surabaya",https://shopee.co.id/Samsung-Galaxy-A07-5G-6-128GB-Garansi-Resmi-SEIN-i.143199398.48106662159?extraParams=%7B%22display_model_id%22%3A425597012458%2C%22model_selection_logic%22%3A3%7D&sp_atk=3a8ddf92-267c-4c11-b91d-947b61c52846&xptdk=3a8ddf92-267c-4c11-b91d-947b61c52846,,,
https://down-id.img.susercontent.com/file/id-11134207-8224x-mkuh6dps75l250,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung Galaxy A56 5G 12/256GB | 8/256GB Galaxy AI - Smartphone AI - 50MP OIS HRD Camera - Fast Charge Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.702.420,-7%,,,Kombo Hemat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,2RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"Samsung Galaxy A56 5G 12/256GB | 8/256GB Galaxy AI - Smartphone AI - 50MP OIS HRD Camera - Fast Charge Garansi Resmi
Rp
6.702.420
-7%
Kombo Hemat
4.9
2RB+ Terjual
3 Hari
Jakarta Barat",https://shopee.co.id/Samsung-Galaxy-A56-5G-12-256GB-8-256GB-Galaxy-AI-Smartphone-AI-50MP-OIS-HRD-Camera-Fast-Charge-Garansi-Resmi-i.1516969716.24496089265?extraParams=%7B%22display_model_id%22%3A280838542425%2C%22model_selection_logic%22%3A3%7D&sp_atk=625bb334-1af7-4979-9304-3c352a30e55f&xptdk=625bb334-1af7-4979-9304-3c352a30e55f,,,
https://down-id.img.susercontent.com/file/id-11134207-822ws-mml9z49r4m4hc3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung Galaxy A57 5G 8/128GB I 8/256GB I 12/256GB Garansi Resmi Samsung Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.619.000,-17%,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,94 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Samsung Galaxy A57 5G 8/128GB I 8/256GB I 12/256GB Garansi Resmi Samsung Indonesia
Rp
6.619.000
-17%
4.9
94 Terjual
3 Hari
Jakarta Pusat",https://shopee.co.id/Samsung-Galaxy-A57-5G-8-128GB-I-8-256GB-I-12-256GB-Garansi-Resmi-Samsung-Indonesia-i.1119863145.46408182939?extraParams=%7B%22display_model_id%22%3A385725171294%2C%22model_selection_logic%22%3A3%7D&sp_atk=fe45cbdf-897e-4c3a-a33d-058f761d681d&xptdk=fe45cbdf-897e-4c3a-a33d-058f761d681d,,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0r-mc63vbsb3sy9b8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung Galaxy A26 5G Ram 8/256Gb Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.110.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,175 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kediri,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"Samsung Galaxy A26 5G Ram 8/256Gb Garansi Resmi
Rp
4.110.000
5.0
175 Terjual
< 2 Hari
Kediri",https://shopee.co.id/Samsung-Galaxy-A26-5G-Ram-8-256Gb-Garansi-Resmi-i.45658405.28834432550?extraParams=%7B%22display_model_id%22%3A258260029092%2C%22model_selection_logic%22%3A3%7D&sp_atk=8d972211-4b69-4d2b-887c-23ebc7e8ea69&xptdk=8d972211-4b69-4d2b-887c-23ebc7e8ea69,,,
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmfyr4bb2whv74,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Samsung Galaxy A57 5G [8GB+128GB] [8GB+256GB] [12GB+256GB] Display 6,7 inch Super AMOLED+ - Exynos 1680 - Camera 50MP - 5000mAh - Garansi Resmi SEIN 1 Tahun",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.719.000,-18%,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,190 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"Samsung Galaxy A57 5G [8GB+128GB] [8GB+256GB] [12GB+256GB] Display 6,7 inch Super AMOLED+ - Exynos 1680 - Camera 50MP - 5000mAh - Garansi Resmi SEIN 1 Tahun
Rp
6.719.000
-18%
5.0
190 Terjual
3 Hari
Jakarta Barat",https://shopee.co.id/Samsung-Galaxy-A57-5G-8GB-128GB-8GB-256GB-12GB-256GB-Display-6-7-inch-Super-AMOLED-Exynos-1680-Camera-50MP-5000mAh-Garansi-Resmi-SEIN-1-Tahun-i.1516969716.46657985842?extraParams=%7B%22display_model_id%22%3A375706933102%2C%22model_selection_logic%22%3A3%7D&sp_atk=ac13331e-4887-4d95-847f-392e758554df&xptdk=ac13331e-4887-4d95-847f-392e758554df,,,
