-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-xs/sp14_2,inline-block,truncate,img_2,w-auto,text-white,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wn-mmzlwd3xreo401,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia M2 dual,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kediri,,,,,,,"Scrape to BigSeller
Sony Xperia M2 dual
Rp
250.000
3-6 Hari
Kediri",https://shopee.co.id/Sony-Xperia-M2-dual-i.103397198.42580001666?extraParams=%7B%22display_model_id%22%3A380773562319%2C%22model_selection_logic%22%3A3%7D&sp_atk=f833635e-b90f-4d9f-9030-5d1afda5c654&xptdk=f833635e-b90f-4d9f-9030-5d1afda5c654
https://down-id.img.susercontent.com/file/id-11134207-8224w-mk3krt5ofnd17a,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Experia Z1 big,Rp,130.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tuban,,,,,,,"Scrape to BigSeller
Sony Experia Z1 big
Rp
130.000
3-6 Hari
Kab. Tuban",https://shopee.co.id/Sony-Experia-Z1-big-i.132819562.28394173803?extraParams=%7B%22display_model_id%22%3A380508368114%2C%22model_selection_logic%22%3A3%7D&sp_atk=b3821529-4453-47d2-863f-fb76d9fdbf55&xptdk=b3821529-4453-47d2-863f-fb76d9fdbf55
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmo9jpzewzydba,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia XZ3 4/64GB,Rp,390.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palembang,5.0,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
Sony Xperia XZ3 4/64GB
Rp
390.000
5.0
2 Terjual
4-8 Hari
Palembang",https://shopee.co.id/Sony-Xperia-XZ3-4-64GB-i.17009913.43428801213?extraParams=%7B%22display_model_id%22%3A390566866165%2C%22model_selection_logic%22%3A3%7D&sp_atk=2582b9f9-2525-48d2-b0a4-eefd3b6fa9d6&xptdk=2582b9f9-2525-48d2-b0a4-eefd3b6fa9d6
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn3l8k7boeti5b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,sony xperia docomo z5,Rp,170.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-9 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Subang,,,,,,,"Scrape to BigSeller
sony xperia docomo z5
Rp
170.000
4-9 Hari
Kab. Subang",https://shopee.co.id/sony-xperia-docomo-z5-i.847414376.27794620360?extraParams=%7B%22display_model_id%22%3A310790790737%2C%22model_selection_logic%22%3A3%7D&sp_atk=155863a8-39a6-4a29-8273-247a46844d4f&xptdk=155863a8-39a6-4a29-8273-247a46844d4f
https://down-id.img.susercontent.com/file/id-11134207-822wi-mn43s1db589246,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia Z2 Docomo SO-03F 2014,Rp,200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bantul,,,,,,,"Scrape to BigSeller
Sony Xperia Z2 Docomo SO-03F 2014
Rp
200.000
2-5 Hari
Kab. Bantul",https://shopee.co.id/Sony-Xperia-Z2-Docomo-SO-03F-2014-i.127185886.56208934387?extraParams=%7B%22display_model_id%22%3A249211061871%2C%22model_selection_logic%22%3A3%7D&sp_atk=bb2faf4e-ac75-471b-9470-14a12e7b8bf1&xptdk=bb2faf4e-ac75-471b-9470-14a12e7b8bf1
https://down-id.img.susercontent.com/file/id-11134207-7rbk1-m99nhq92cu7hd3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia X Compact 3/32 ALL OPERATOR GOOD CONDITION,Rp,850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,44 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jepara,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,"Scrape to BigSeller
Sony Xperia X Compact 3/32 ALL OPERATOR GOOD CONDITION
Rp
850.000
Cicilan
4.8
44 Terjual
Besok
Kab. Jepara",https://shopee.co.id/Sony-Xperia-X-Compact-3-32-ALL-OPERATOR-GOOD-CONDITION-i.38916987.17161482290?extraParams=%7B%22display_model_id%22%3A315792037123%2C%22model_selection_logic%22%3A3%7D&sp_atk=a3c1a07c-1d85-4083-a4b0-04f65d21744c&xptdk=a3c1a07c-1d85-4083-a4b0-04f65d21744c
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmgplh1tcf0k15,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia ZR,Rp,130.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kediri,,,,,,,"Scrape to BigSeller
Sony Xperia ZR
Rp
130.000
3-6 Hari
Kediri",https://shopee.co.id/Sony-Xperia-ZR-i.103397198.53307976745?extraParams=%7B%22display_model_id%22%3A430708689938%2C%22model_selection_logic%22%3A3%7D&sp_atk=73425dc9-e6a8-4ca3-991f-f8105f6ca14f&xptdk=73425dc9-e6a8-4ca3-991f-f8105f6ca14f
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m48cctlna7ne5a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,sony xperia S,Rp,80.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,,"Scrape to BigSeller
sony xperia S
Rp
80.000
2-5 Hari
Surabaya",https://shopee.co.id/sony-xperia-S-i.290570572.26771781916?extraParams=%7B%22display_model_id%22%3A252343988583%2C%22model_selection_logic%22%3A3%7D&sp_atk=cd2c0455-0808-42ca-b9b8-ec780d093516&xptdk=cd2c0455-0808-42ca-b9b8-ec780d093516
https://down-id.img.susercontent.com/file/id-11134207-822wq-mn9qgwdzc5xg0b,,Sony XPERIA XZ2 MAGENTA all operator,Rp,650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,4.5,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
Sony XPERIA XZ2 MAGENTA all operator
Rp
650.000
4.5
4 Terjual
2-5 Hari
Kab. Sleman",https://shopee.co.id/Sony-XPERIA-XZ2-MAGENTA-all-operator-i.173452651.20567784836?extraParams=%7B%22display_model_id%22%3A139058898915%2C%22model_selection_logic%22%3A3%7D&sp_atk=fbc06f77-ec5b-4619-bc88-1a31ced414ae&xptdk=fbc06f77-ec5b-4619-bc88-1a31ced414ae
https://down-id.img.susercontent.com/file/id-11134207-822wj-mna6oz3jp79h51,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Ericsson Xperia x10,Rp,160.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,"Scrape to BigSeller
Sony Ericsson Xperia x10
Rp
160.000
Besok
Jakarta Timur",https://shopee.co.id/Sony-Ericsson-Xperia-x10-i.197694818.29494645528?extraParams=%7B%22display_model_id%22%3A307554888828%2C%22model_selection_logic%22%3A3%7D&sp_atk=810b70ff-c4b5-470d-ad3a-2f7087b925df&xptdk=810b70ff-c4b5-470d-ad3a-2f7087b925df
