-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,inline-block,img,text-xs/sp14_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wh-mmyqw4f4ncow13,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia XZ2,Rp,235.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,,,,"Scrape to BigSeller
Sony Xperia XZ2
Rp
235.000
3-7 Hari
Semarang",https://shopee.co.id/Sony-Xperia-XZ2-i.153576676.44608703344?extraParams=%7B%22display_model_id%22%3A400770713713%2C%22model_selection_logic%22%3A3%7D&sp_atk=da2deb42-938a-469f-9ef9-07baedaad868&xptdk=da2deb42-938a-469f-9ef9-07baedaad868
https://down-id.img.susercontent.com/file/id-11134207-822wh-mn9k15asda0zbc,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia Z5 Compact,Rp,700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Sony Xperia Z5 Compact
Rp
700.000
Besok
Jakarta Utara",https://shopee.co.id/Sony-Xperia-Z5-Compact-i.182273016.57259141292?extraParams=%7B%22display_model_id%22%3A445809464400%2C%22model_selection_logic%22%3A3%7D&sp_atk=fac6faaa-afef-4f85-945f-c6ba4ac16adb&xptdk=fac6faaa-afef-4f85-945f-c6ba4ac16adb
https://down-id.img.susercontent.com/file/id-11134207-8224w-mkesbcryyv465d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xz Premium 4/64 GLOBAL DUAL SIM All Operator Good Condition,Rp,1.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,16 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jepara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,,"Scrape to BigSeller
Sony Xz Premium 4/64 GLOBAL DUAL SIM All Operator Good Condition
Rp
1.200.000
4.7
16 Terjual
Besok
Kab. Jepara",https://shopee.co.id/Sony-Xz-Premium-4-64-GLOBAL-DUAL-SIM-All-Operator-Good-Condition-i.38916987.22033811283?extraParams=%7B%22display_model_id%22%3A241954264978%2C%22model_selection_logic%22%3A3%7D&sp_atk=0004678a-8062-4267-8799-016766fb0cce&xptdk=0004678a-8062-4267-8799-016766fb0cce
https://down-id.img.susercontent.com/file/id-11134207-7rasa-m4ob6ryw8apma0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia 1 V 2023 - 1 Mark v - 6.5 inch,Rp,29.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Sony Xperia 1 V 2023 - 1 Mark v - 6.5 inch
Rp
29.000
Besok
Jakarta Barat",https://shopee.co.id/Sony-Xperia-1-V-2023-1-Mark-v-6.5-inch-i.776358861.26922755697?extraParams=%7B%22display_model_id%22%3A168647480788%2C%22model_selection_logic%22%3A2%7D&sp_atk=4f1fc902-9025-4c01-a31a-ada6fd0e3964&xptdk=4f1fc902-9025-4c01-a31a-ada6fd0e3964
https://down-id.img.susercontent.com/file/id-11134207-7rask-m1smi0tho7z09f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Sony xperia 1ii mark ii ram 8,Xperia 1",Rp,1.699.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Trenggalek,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
Sony xperia 1ii mark ii ram 8,Xperia 1
Rp
1.699.000
5.0
10 Terjual
4-7 Hari
Kab. Trenggalek",https://shopee.co.id/Sony-xperia-1ii-mark-ii-ram-8-Xperia-1-i.739601592.17385486094?extraParams=%7B%22display_model_id%22%3A296229069713%2C%22model_selection_logic%22%3A3%7D&sp_atk=cd9ca1f6-2760-4caf-97f4-c798f57e828a&xptdk=cd9ca1f6-2760-4caf-97f4-c798f57e828a
https://down-id.img.susercontent.com/file/6a25e380d96c0a4599d5e0b4c3fdae2b,,Sony xperia C4 garansi TAM,Rp,1.699.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,,Cicilan,"Scrape to BigSeller
Sony xperia C4 garansi TAM
Rp
1.699.000
Cicilan
4-7 Hari
Jakarta Timur",https://shopee.co.id/Sony-xperia-C4-garansi-TAM-i.11056069.487370891?extraParams=%7B%22display_model_id%22%3A42826518364%2C%22model_selection_logic%22%3A3%7D&sp_atk=deedb982-5c7d-406d-8145-a5e9544503a8&xptdk=deedb982-5c7d-406d-8145-a5e9544503a8
https://down-id.img.susercontent.com/file/id-11134207-822wm-mn55mmiypmgw40,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,sony xperia,Rp,450.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jepara,,,,,,,"Scrape to BigSeller
sony xperia
Rp
450.000
5-7 Hari
Kab. Jepara",https://shopee.co.id/sony-xperia-i.851778499.56208990202?extraParams=%7B%22display_model_id%22%3A375796742306%2C%22model_selection_logic%22%3A3%7D&sp_atk=60f54d61-923a-4b5d-9663-37757189dbb8&xptdk=60f54d61-923a-4b5d-9663-37757189dbb8
https://down-id.img.susercontent.com/file/0202cdac56ca0168dfeedb5be16e3fdd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia ZR docomo 2/32Gb 4G,Rp,575.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,203 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,Cicilan,"Scrape to BigSeller
Sony Xperia ZR docomo 2/32Gb 4G
Rp
575.000
Cicilan
4.7
203 Terjual
Besok
Jakarta Barat",https://shopee.co.id/Sony-Xperia-ZR-docomo-2-32Gb-4G-i.3257946.324072569?extraParams=%7B%22display_model_id%22%3A233732876%2C%22model_selection_logic%22%3A3%7D&sp_atk=64945a19-892b-4e8b-873b-40a6c044bce0&xptdk=64945a19-892b-4e8b-873b-40a6c044bce0
https://down-id.img.susercontent.com/file/id-11134207-82251-mfukli7j5vyk46,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia Z5 Big Ram 3GB 32GB Bergaransi ALL operator original,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Sony Xperia Z5 Big Ram 3GB 32GB Bergaransi ALL operator original
Rp
250.000
< 2 Hari
Kab. Kediri",https://shopee.co.id/Sony-Xperia-Z5-Big-Ram-3GB-32GB-Bergaransi-ALL-operator-original-i.95583795.42774212993?extraParams=%7B%22display_model_id%22%3A261965301823%2C%22model_selection_logic%22%3A3%7D&sp_atk=377535d9-43ed-4dde-8785-69d084e64128&xptdk=377535d9-43ed-4dde-8785-69d084e64128
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m5c3cze7g4lc8a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia XZ3 4/64 ALL OPERATOR Good Condition,Rp,1.550.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,60 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jepara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,,"Scrape to BigSeller
Sony Xperia XZ3 4/64 ALL OPERATOR Good Condition
Rp
1.550.000
4.9
60 Terjual
Besok
Kab. Jepara",https://shopee.co.id/Sony-Xperia-XZ3-4-64-ALL-OPERATOR-Good-Condition-i.38916987.22905355941?extraParams=%7B%22display_model_id%22%3A157583283148%2C%22model_selection_logic%22%3A3%7D&sp_atk=dc611e3f-bdc6-4847-b9b9-4f50afd98fff&xptdk=dc611e3f-bdc6-4847-b9b9-4f50afd98fff
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mb8trtq5c5en55,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia XZ2 4/64 GOOD CONDITION,Rp,1.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,13 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jepara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.4,,"Scrape to BigSeller
Sony Xperia XZ2 4/64 GOOD CONDITION
Rp
1.350.000
4.4
13 Terjual
Besok
Kab. Jepara",https://shopee.co.id/Sony-Xperia-XZ2-4-64-GOOD-CONDITION-i.38916987.21055371320?extraParams=%7B%22display_model_id%22%3A350101500856%2C%22model_selection_logic%22%3A3%7D&sp_atk=2aecf260-1327-45fa-8e55-1af9184400b3&xptdk=2aecf260-1327-45fa-8e55-1af9184400b3
https://down-id.img.susercontent.com/file/id-11134207-822wl-mlomqy0fl150aa,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SONY ERICSSON XPERIA ST12i2 / XPERIA TIPO DUAL SIM,Rp,130.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Wonosobo,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
SONY ERICSSON XPERIA ST12i2 / XPERIA TIPO DUAL SIM
Rp
130.000
5.0
2 Terjual
2-3 Hari
Kab. Wonosobo",https://shopee.co.id/SONY-ERICSSON-XPERIA-ST12i2-XPERIA-TIPO-DUAL-SIM-i.178509174.15297702376?extraParams=%7B%22display_model_id%22%3A206832869922%2C%22model_selection_logic%22%3A3%7D&sp_atk=01167c56-2063-4c99-bc90-0820a8644a69&xptdk=01167c56-2063-4c99-bc90-0820a8644a69
https://down-id.img.susercontent.com/file/id-11134207-8224x-mjed0mw9lq1306,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,sony experia t2 ultra,Rp,100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Gresik,,,,,,,"Scrape to BigSeller
sony experia t2 ultra
Rp
100.000
3-6 Hari
Kab. Gresik",https://shopee.co.id/sony-experia-t2-ultra-i.266874829.48254596304?extraParams=%7B%22display_model_id%22%3A375425186945%2C%22model_selection_logic%22%3A3%7D&sp_atk=055d5ece-8788-4ad3-a544-39b03eab8059&xptdk=055d5ece-8788-4ad3-a544-39b03eab8059
https://down-id.img.susercontent.com/file/sg-11134201-22120-13ud91xe3jkvbb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Sony xperia z3 big D6653/D6603  global LTE 4G Camera 20,7mp",Rp,700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,17 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
Sony xperia z3 big D6653/D6603 global LTE 4G Camera 20,7mp
Rp
700.000
5.0
17 Terjual
4-7 Hari
Jakarta Timur",https://shopee.co.id/Sony-xperia-z3-big-D6653-D6603-global-LTE-4G-Camera-20-7mp-i.191927978.14749232205?extraParams=%7B%22display_model_id%22%3A58320028939%2C%22model_selection_logic%22%3A3%7D&sp_atk=13f54821-a9b1-4c11-aed8-d82046f6eba5&xptdk=13f54821-a9b1-4c11-aed8-d82046f6eba5
