-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,truncate,img_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbk9-ma93rcy9cqrp9e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SONY ERICSSON G700 BAHAN / MINUS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,130.000,4.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Wonosobo,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
SONY ERICSSON G700 BAHAN / MINUS
Rp
130.000
4.0
2 Terjual
2-3 Hari
Kab. Wonosobo",https://shopee.co.id/SONY-ERICSSON-G700-BAHAN-MINUS-i.178509174.25615512861?extraParams=%7B%22display_model_id%22%3A214932887468%2C%22model_selection_logic%22%3A3%7D&sp_atk=b52faff6-0a3e-47a5-9bf8-139573b46044&xptdk=b52faff6-0a3e-47a5-9bf8-139573b46044
https://down-id.img.susercontent.com/file/id-11134207-7r98q-lykhsbvwhbgla3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,sony Xperia 8 4/64gb second Japan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.450.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
sony Xperia 8 4/64gb second Japan
Rp
1.450.000
5.0
2 Terjual
Besok
Bekasi",https://shopee.co.id/sony-Xperia-8-4-64gb-second-Japan-i.43877791.26457053499?extraParams=%7B%22display_model_id%22%3A157406186809%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca2959e8-3852-4775-97b4-a6ca82a65b56&xptdk=ca2959e8-3852-4775-97b4-a6ca82a65b56
https://down-id.img.susercontent.com/file/465b8d2abe9771bf8e6be0d9e0728723,,Sony z5 ram 3gb SOLDD,,Rp,700.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,,,Cicilan,,,,"Scrape to BigSeller
Sony z5 ram 3gb SOLDD
Rp
700.000
Cicilan
Kab. Bekasi",https://shopee.co.id/Sony-z5-ram-3gb-SOLDD-i.182570927.7242151213?extraParams=%7B%22display_model_id%22%3A70283348208%2C%22model_selection_logic%22%3A3%7D&sp_atk=28e6e993-1625-4c67-8093-dd1ea82d691f&xptdk=28e6e993-1625-4c67-8093-dd1ea82d691f
https://down-id.img.susercontent.com/file/5f9907370aeb3346cd10a8fa2b07d722,,"Sony Xperia Z2, Bekas, Fullset",,Rp,1.000.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,Cicilan,,,,"Scrape to BigSeller
Sony Xperia Z2, Bekas, Fullset
Rp
1.000.000
Cicilan
Jakarta Utara",https://shopee.co.id/Sony-Xperia-Z2-Bekas-Fullset-i.11841903.679962790?extraParams=%7B%22display_model_id%22%3A80405460571%2C%22model_selection_logic%22%3A3%7D&sp_atk=aebb2ddd-04b3-4921-b749-a4e2d41e9113&xptdk=aebb2ddd-04b3-4921-b749-a4e2d41e9113
https://down-id.img.susercontent.com/file/id-11134207-7rbk1-m8kj2d3ldfrl0f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia ZR Minus Lcd,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,185.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,,,,,,,"Scrape to BigSeller
Sony Xperia ZR Minus Lcd
Rp
185.000
4-7 Hari
Makassar",https://shopee.co.id/Sony-Xperia-ZR-Minus-Lcd-i.1285062414.28433417313?extraParams=%7B%22display_model_id%22%3A205991790734%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca3f0354-7a5b-44f6-a108-e74a9b3cd4e2&xptdk=ca3f0354-7a5b-44f6-a108-e74a9b3cd4e2
https://down-id.img.susercontent.com/file/17690991782294af19f6adac08d2f422,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SONY XPERIA XZ 3GB / 32GB BEKAS BERGARANSI GOOD CONDITIONS,,Rp,1.450.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,Cicilan,,,,"Scrape to BigSeller
SONY XPERIA XZ 3GB / 32GB BEKAS BERGARANSI GOOD CONDITIONS
Rp
1.450.000
Cicilan
4-7 Hari
Jakarta Barat",https://shopee.co.id/SONY-XPERIA-XZ-3GB-32GB-BEKAS-BERGARANSI-GOOD-CONDITIONS-i.3257946.1790620332?extraParams=%7B%22display_model_id%22%3A3009613365%2C%22model_selection_logic%22%3A3%7D&sp_atk=50db336a-5486-4aa7-be98-39f22b8a9767&xptdk=50db336a-5486-4aa7-be98-39f22b8a9767
https://down-id.img.susercontent.com/file/b8ecefbb79cabcb951a93dc6c3eb29a1,,SONY Z3 BIG GROBAL  SECOND MULUS,,Rp,950.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Aceh Barat,,,Cicilan,,,,"Scrape to BigSeller
SONY Z3 BIG GROBAL SECOND MULUS
Rp
950.000
Cicilan
Kab. Aceh Barat",https://shopee.co.id/SONY-Z3-BIG-GROBAL-SECOND-MULUS-i.36270341.5525650234?extraParams=%7B%22display_model_id%22%3A62858914102%2C%22model_selection_logic%22%3A3%7D&sp_atk=565ab9fe-354b-4310-984a-26e4e8e2ad4e&xptdk=565ab9fe-354b-4310-984a-26e4e8e2ad4e
https://down-id.img.susercontent.com/file/85a746e561c4ffad87968dc7e0da1ee9,,SONY XPERIA Z3 BIG SECOND MULUS,,Rp,800.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Aceh Barat,,,Cicilan,,,,"Scrape to BigSeller
SONY XPERIA Z3 BIG SECOND MULUS
Rp
800.000
Cicilan
Kab. Aceh Barat",https://shopee.co.id/SONY-XPERIA-Z3-BIG-SECOND-MULUS-i.36270341.6137139952?extraParams=%7B%22display_model_id%22%3A72858914036%2C%22model_selection_logic%22%3A3%7D&sp_atk=9f4d1778-31dd-4b29-982d-f0c9c897ba7f&xptdk=9f4d1778-31dd-4b29-982d-f0c9c897ba7f
https://down-id.img.susercontent.com/file/9ed8169acf63941e00a83df4f532241e,,sony xperia xz2 premium au seken second bekas 64gb rom snapdragon 845 original unit only,,Rp,1.650.000,3.6,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,15 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kulon Progo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
sony xperia xz2 premium au seken second bekas 64gb rom snapdragon 845 original unit only
Rp
1.650.000
Cicilan
3.6
15 Terjual
Besok
Kab. Kulon Progo",https://shopee.co.id/sony-xperia-xz2-premium-au-seken-second-bekas-64gb-rom-snapdragon-845-original-unit-only-i.34341683.8502128244?extraParams=%7B%22display_model_id%22%3A23053189026%2C%22model_selection_logic%22%3A3%7D&sp_atk=883830db-4bbb-45dc-9077-4a1c5de28cc7&xptdk=883830db-4bbb-45dc-9077-4a1c5de28cc7
https://down-id.img.susercontent.com/file/id-11134207-8224w-mg3h6uyqg6q3e1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Xperia 1ii Global Bekas imei aman second bunus clear case Sony xperia UBL unlocked 5ii,,Rp,5.300.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-12 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sambas,,,,,,,"Scrape to BigSeller
Xperia 1ii Global Bekas imei aman second bunus clear case Sony xperia UBL unlocked 5ii
Rp
5.300.000
4-12 Hari
Kab. Sambas",https://shopee.co.id/Xperia-1ii-Global-Bekas-imei-aman-second-bunus-clear-case-Sony-xperia-UBL-unlocked-5ii-i.657963471.27643229535?extraParams=%7B%22display_model_id%22%3A149318358698%2C%22model_selection_logic%22%3A3%7D&sp_atk=4ac339b3-8a0c-4f04-a030-d73cb56b39f2&xptdk=4ac339b3-8a0c-4f04-a030-d73cb56b39f2
