-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-shopee-primary,pointer-events-none_3,img,text-xs/sp14_3,inline-block,truncate,w-auto,text-white,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmfz6a37j2th48,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia ZR Docomo,Rp,115.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kediri,,,,,,,,,"Scrape to BigSeller
Sony Xperia ZR Docomo
Rp
115.000
3-6 Hari
Kediri",https://shopee.co.id/Sony-Xperia-ZR-Docomo-i.103397198.28094484285?extraParams=%7B%22display_model_id%22%3A415707046360%2C%22model_selection_logic%22%3A3%7D&sp_atk=3973d6dd-b3cc-4d3c-9921-b54fa6a45d5c&xptdk=3973d6dd-b3cc-4d3c-9921-b54fa6a45d5c
https://down-id.img.susercontent.com/file/sg-11134201-22120-kbfqr1pr3llv4a,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,sony z3 compact dan sony z4 plus minus + mesin redmi note 7,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tulungagung,,,,,,,,,"Scrape to BigSeller
sony z3 compact dan sony z4 plus minus + mesin redmi note 7
Rp
250.000
3-6 Hari
Kab. Tulungagung",https://shopee.co.id/sony-z3-compact-dan-sony-z4-plus-minus-mesin-redmi-note-7-i.368120680.23914677729?extraParams=%7B%22display_model_id%22%3A156498452744%2C%22model_selection_logic%22%3A3%7D&sp_atk=e77bbfd3-0398-4a01-9bd4-b2e53d135e76&xptdk=e77bbfd3-0398-4a01-9bd4-b2e53d135e76
https://down-id.img.susercontent.com/file/id-11134207-822wt-mnauilfnxwxs95,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia XZ Docomo SO-01J 3/32GB minus bahan,Rp,330.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandar Lampung,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,"Scrape to BigSeller
Sony Xperia XZ Docomo SO-01J 3/32GB minus bahan
Rp
330.000
-6%
5.0
3 Terjual
3-5 Hari
Bandar Lampung",https://shopee.co.id/Sony-Xperia-XZ-Docomo-SO-01J-3-32GB-minus-bahan-i.33875416.52505682666?extraParams=%7B%22display_model_id%22%3A259159027726%2C%22model_selection_logic%22%3A3%7D&sp_atk=bd933b2d-57f6-4d75-a24a-de8599a9aa12&xptdk=bd933b2d-57f6-4d75-a24a-de8599a9aa12
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mdgygd6zwu5wcb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SONY XPERIA st23i bahan,Rp,65.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,"Scrape to BigSeller
SONY XPERIA st23i bahan
Rp
65.000
5.0
1 Terjual
1-4 Hari
Surabaya",https://shopee.co.id/SONY-XPERIA-st23i-bahan-i.287942642.12007519855?extraParams=%7B%22display_model_id%22%3A37264265378%2C%22model_selection_logic%22%3A3%7D&sp_atk=c93a18d2-4205-42c8-820c-22814c5c8cea&xptdk=c93a18d2-4205-42c8-820c-22814c5c8cea
https://down-id.img.susercontent.com/file/id-11134207-8224x-mj8fq5e1vqbp4e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,sony Xperia L1,Rp,120.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Produk Baru,,,"Scrape to BigSeller
sony Xperia L1
Rp
120.000
Produk Baru
1-3 Hari
Kab. Kediri",https://shopee.co.id/sony-Xperia-L1-i.1201236760.43477864973?extraParams=%7B%22display_model_id%22%3A375407718533%2C%22model_selection_logic%22%3A3%7D&sp_atk=a1448981-ff9b-401d-994e-ebdb060f6051&xptdk=a1448981-ff9b-401d-994e-ebdb060f6051
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mdh41nfw0tqn04,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SONY ANDROID LAWAS c2305 BAHAN BUKAN NORMAL,Rp,75.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,"Scrape to BigSeller
SONY ANDROID LAWAS c2305 BAHAN BUKAN NORMAL
Rp
75.000
5.0
1 Terjual
1-4 Hari
Surabaya",https://shopee.co.id/SONY-ANDROID-LAWAS-c2305-BAHAN-BUKAN-NORMAL-i.287942642.13905119617?extraParams=%7B%22display_model_id%22%3A112273197274%2C%22model_selection_logic%22%3A3%7D&sp_atk=ee125ced-c3a3-4c05-b4b2-c35edc7dc8cc&xptdk=ee125ced-c3a3-4c05-b4b2-c35edc7dc8cc
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlfs6wmoip6od6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia E4 Dual,Rp,365.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,"Scrape to BigSeller
Sony Xperia E4 Dual
Rp
365.500
Besok
Kab. Bogor",https://shopee.co.id/Sony-Xperia-E4-Dual-i.63253367.46556785996?extraParams=%7B%22display_model_id%22%3A385607132492%2C%22model_selection_logic%22%3A3%7D&sp_atk=23802b21-ef0c-4707-afd8-faa7ba7b90b1&xptdk=23802b21-ef0c-4707-afd8-faa7ba7b90b1
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmzmkfvlb8ckfd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,SONY XPERIA 1 MESIN,Rp,500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tasikmalaya,,,,,,,,,"Scrape to BigSeller
SONY XPERIA 1 MESIN
Rp
500.000
4-8 Hari
Kab. Tasikmalaya",https://shopee.co.id/SONY-XPERIA-1-MESIN-i.289377513.49808745117?extraParams=%7B%22display_model_id%22%3A390773606981%2C%22model_selection_logic%22%3A3%7D&sp_atk=e1d53f55-a753-4966-860b-a9f89156c3c1&xptdk=e1d53f55-a753-4966-860b-a9f89156c3c1
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmpas9fv8w7a53,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia XZ1 Docomo All Operator,Rp,380.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Pemalang,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,"Scrape to BigSeller
Sony Xperia XZ1 Docomo All Operator
Rp
380.000
5.0
1 Terjual
4-7 Hari
Kab. Pemalang",https://shopee.co.id/Sony-Xperia-XZ1-Docomo-All-Operator-i.46132872.25100366999?extraParams=%7B%22display_model_id%22%3A69370094594%2C%22model_selection_logic%22%3A3%7D&sp_atk=a82590aa-c8e3-4313-8f75-846fdfcd5d03&xptdk=a82590aa-c8e3-4313-8f75-846fdfcd5d03
https://down-id.img.susercontent.com/file/id-11134207-822wt-ml8jdep2zym957,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HANDPHONE SONY XPERIA Z,Rp,50.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palembang,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,"Scrape to BigSeller
HANDPHONE SONY XPERIA Z
Rp
50.000
5.0
1 Terjual
Besok
Palembang",https://shopee.co.id/HANDPHONE-SONY-XPERIA-Z-i.135304875.27535682263?extraParams=%7B%22display_model_id%22%3A227781763484%2C%22model_selection_logic%22%3A2%7D&sp_atk=1857f552-c408-4545-84b6-67eec3f41a58&xptdk=1857f552-c408-4545-84b6-67eec3f41a58
