-image-yazkc-11,text-sm,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,-image-yazkc-11_2,text-shopee-green,img,text-xs/sp14_2,truncate,inline-block,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmdyrivx2614c3,Sony xperia 5 iii,Rp,1.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Gresik,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,,"Scrape to BigSeller
Sony xperia 5 iii
Rp
1.900.000
Besok
Kab. Gresik",https://shopee.co.id/Sony-xperia-5-iii-i.327226612.42179601490?extraParams=%7B%22display_model_id%22%3A355700988466%2C%22model_selection_logic%22%3A3%7D&sp_atk=eaa5a3fc-9cf9-4db4-84f6-96dc379b2235&xptdk=eaa5a3fc-9cf9-4db4-84f6-96dc379b2235
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmo6q6rtj4shaa,Sony Xperia Mini ST15i,Rp,100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,,"Scrape to BigSeller
Sony Xperia Mini ST15i
Rp
100.000
Besok
Kab. Bandung",https://shopee.co.id/Sony-Xperia-Mini-ST15i-i.71490570.45108280310?extraParams=%7B%22display_model_id%22%3A360732889394%2C%22model_selection_logic%22%3A3%7D&sp_atk=f439f6a8-2194-44c7-8746-089d58a90889&xptdk=f439f6a8-2194-44c7-8746-089d58a90889
https://down-id.img.susercontent.com/file/id-11134207-822wk-mlsxwwrxi6tca2,sony xperia 1 putih softbank global bahan lcd matot,Rp,850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Hari ini,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,,"Scrape to BigSeller
sony xperia 1 putih softbank global bahan lcd matot
Rp
850.000
Hari ini
Surabaya",https://shopee.co.id/sony-xperia-1-putih-softbank-global-bahan-lcd-matot-i.264650774.57807209760?extraParams=%7B%22display_model_id%22%3A395641283631%2C%22model_selection_logic%22%3A3%7D&sp_atk=aade5764-e8d1-4572-960c-efe8a72fa18e&xptdk=aade5764-e8d1-4572-960c-efe8a72fa18e
https://down-id.img.susercontent.com/file/id-11134207-7r991-lqjucilx6kdu18,SECOND) SONY XPERIA 10 II RAM 4GB INTERNAL 64GB HP ANTI AIR HP SISWA MEWAH HP SULTAN HP ANAK SULTAN HP ANAK KOS HP MURAH MEWAH HP ANTI AIR HP ANTI HUJAN HP ANTI AIR SECOND) SONY XPERIA 10 II RAM 4GB INTERNAL 64GB,Rp,789.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,4-7 Hari,,,,,,,"Scrape to BigSeller
SECOND) SONY XPERIA 10 II RAM 4GB INTERNAL 64GB HP ANTI AIR HP SISWA MEWAH HP SULTAN HP ANAK SULTAN HP ANAK KOS HP MURAH MEWAH HP ANTI AIR HP ANTI HUJAN HP ANTI AIR SECOND) SONY XPERIA 10 II RAM 4GB INTERNAL 64GB
Rp
789.000
4-7 Hari
Jakarta Utara",https://shopee.co.id/SECOND)-SONY-XPERIA-10-II-RAM-4GB-INTERNAL-64GB-HP-ANTI-AIR-HP-SISWA-MEWAH-HP-SULTAN-HP-ANAK-SULTAN-HP-ANAK-KOS-HP-MURAH-MEWAH-HP-ANTI-AIR-HP-ANTI-HUJAN-HP-ANTI-AIR-SECOND)-SONY-XPERIA-10-II-RAM-4GB-INTERNAL-64GB-i.62852011.25708660291?extraParams=%7B%22display_model_id%22%3A250225002163%2C%22model_selection_logic%22%3A3%7D&sp_atk=ea2173b0-34f5-46da-aae3-00a3ed968a9d&xptdk=ea2173b0-34f5-46da-aae3-00a3ed968a9d
https://down-id.img.susercontent.com/file/21474ebfd0d2967db2e79575d856f1ed,Sony x compact (sold),Rp,600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tulungagung,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,"Scrape to BigSeller
Sony x compact (sold)
Rp
600.000
5.0
2 Terjual
3-6 Hari
Kab. Tulungagung",https://shopee.co.id/Sony-x-compact-(sold)-i.127493566.10715378766?extraParams=%7B%22display_model_id%22%3A110842495912%2C%22model_selection_logic%22%3A3%7D&sp_atk=40dce655-13a7-44fe-995a-68b6e7ff1bd9&xptdk=40dce655-13a7-44fe-995a-68b6e7ff1bd9
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lsrtx3eox0wd0f,Sony c2005 bahan apa adanya,Rp,185.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,3-5 Hari,,,,,,,"Scrape to BigSeller
Sony c2005 bahan apa adanya
Rp
185.000
3-5 Hari
Kab. Sidoarjo",https://shopee.co.id/Sony-c2005-bahan-apa-adanya-i.85872223.21096371213?extraParams=%7B%22display_model_id%22%3A250454055919%2C%22model_selection_logic%22%3A3%7D&sp_atk=e8224f28-5ca0-4e5a-a300-ec916a227497&xptdk=e8224f28-5ca0-4e5a-a300-ec916a227497
https://down-id.img.susercontent.com/file/0202cdac56ca0168dfeedb5be16e3fdd,Sony Xperia ZR docomo 2/32Gb 4G,Rp,575.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,203 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,Cicilan,,,,"Scrape to BigSeller
Sony Xperia ZR docomo 2/32Gb 4G
Rp
575.000
Cicilan
4.7
203 Terjual
Besok
Jakarta Barat",https://shopee.co.id/Sony-Xperia-ZR-docomo-2-32Gb-4G-i.3257946.324072569?extraParams=%7B%22display_model_id%22%3A233732876%2C%22model_selection_logic%22%3A3%7D&sp_atk=8d22d764-682f-416d-961e-984841ed9fb4&xptdk=8d22d764-682f-416d-961e-984841ed9fb4
https://down-id.img.susercontent.com/file/8d6696a02c852d9e6b6c447afd6472ae,sony docomo,Rp,100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,4-7 Hari,,,,,,,"Scrape to BigSeller
sony docomo
Rp
100.000
4-7 Hari
Kab. Bogor",https://shopee.co.id/sony-docomo-i.493487401.14638603186?extraParams=%7B%22display_model_id%22%3A141820172552%2C%22model_selection_logic%22%3A3%7D&sp_atk=62b0c91f-226c-4355-9185-9f79475c8068&xptdk=62b0c91f-226c-4355-9185-9f79475c8068
https://down-id.img.susercontent.com/file/id-11134207-7rbkd-m9zd3ucyzlsd15,Sony Xperia berdua bahan minus matot,Rp,80.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,,"Scrape to BigSeller
Sony Xperia berdua bahan minus matot
Rp
80.000
Besok
Malang",https://shopee.co.id/Sony-Xperia-berdua-bahan-minus-matot-i.368667247.41901503540?extraParams=%7B%22display_model_id%22%3A300122576970%2C%22model_selection_logic%22%3A3%7D&sp_atk=e96488a7-759e-48ef-88ce-0611b40125bb&xptdk=e96488a7-759e-48ef-88ce-0611b40125bb
https://down-id.img.susercontent.com/file/id-11134207-7ra0m-mdg0ticpv9dbd5,(HANDPHONE MURAH) SONY XPERIA C3 MESIN NORMAL UNIT,Rp,60.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,2-3 Hari,,,,,,,"Scrape to BigSeller
(HANDPHONE MURAH) SONY XPERIA C3 MESIN NORMAL UNIT
Rp
60.000
2-3 Hari
Kab. Cirebon",https://shopee.co.id/(HANDPHONE-MURAH)-SONY-XPERIA-C3-MESIN-NORMAL-UNIT-i.279269345.43013278483?extraParams=%7B%22display_model_id%22%3A261104627529%2C%22model_selection_logic%22%3A3%7D&sp_atk=9cefc4ab-fc84-4615-8fca-3e772c46ca3b&xptdk=9cefc4ab-fc84-4615-8fca-3e772c46ca3b
