-image-yazkc-11,text-sm,inline-block,text-xs/sp14,font-medium,text-ellipsis,img,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,-image-yazkc-11_2,text-shopee-primary,pointer-events-none_3,text-white_2,truncate,_container,_container_link,text-shopee-green,img_2
https://down-id.img.susercontent.com/file/id-11134207-8224x-mh50e0jqe23204,TECNO POVA  CURVE 5G 8/256GB SECOND,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.799.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,< 2 Hari,,"TECNO POVA CURVE 5G 8/256GB SECOND
Rp
2.799.000
5.0
2 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/TECNO-POVA-CURVE-5G-8-256GB-SECOND-i.86064906.48151806651?extraParams=%7B%22display_model_id%22%3A272513414355%2C%22model_selection_logic%22%3A3%7D&sp_atk=a61315d8-5a21-4db5-97b8-87e6404524f7&xptdk=a61315d8-5a21-4db5-97b8-87e6404524f7,,
https://down-id.img.susercontent.com/file/id-11134207-822wt-mncej8ic0zk3cd,Tecno Spark Go 2023 Second,,Rp,617.500,,,,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Serang,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,"Tecno Spark Go 2023 Second
Rp
617.500
-5%
3-5 Hari
Kab. Serang",https://shopee.co.id/Tecno-Spark-Go-2023-Second-i.969124245.45959308785?extraParams=%7B%22display_model_id%22%3A188826931119%2C%22model_selection_logic%22%3A3%7D&sp_atk=f0565fb7-7225-4566-b376-8d49ba185c46&xptdk=f0565fb7-7225-4566-b376-8d49ba185c46,,
https://down-id.img.susercontent.com/file/id-11134207-822wg-ml8ufaroy1hdf5,TECNO SPARK GO 2 4/128GB // 4/64GB SECOND MULUS TERAWAT,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.299.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,Besok 12:00,,"TECNO SPARK GO 2 4/128GB // 4/64GB SECOND MULUS TERAWAT
Rp
1.299.000
5.0
2 Terjual
Besok 12:00
Kab. Sidoarjo",https://shopee.co.id/TECNO-SPARK-GO-2-4-128GB-4-64GB-SECOND-MULUS-TERAWAT-i.309409025.55156559130?extraParams=%7B%22display_model_id%22%3A405590047558%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b6b499d-c364-4724-9a46-0b3c6f716ae6&xptdk=8b6b499d-c364-4724-9a46-0b3c6f716ae6,,
https://down-id.img.susercontent.com/file/id-11134207-8224y-mky7xbuqiy9z89,TECNO SPARK 40 PRO 8/128GB SECOND MULUS TERAWAT,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.139.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,Besok 12:00,,"TECNO SPARK 40 PRO 8/128GB SECOND MULUS TERAWAT
Rp
2.139.000
5.0
1 Terjual
Besok 12:00
Kab. Sidoarjo",https://shopee.co.id/TECNO-SPARK-40-PRO-8-128GB-SECOND-MULUS-TERAWAT-i.309409025.43728822111?extraParams=%7B%22display_model_id%22%3A415570068959%2C%22model_selection_logic%22%3A3%7D&sp_atk=bb74717c-7416-46e1-91f4-5c6d21f62880&xptdk=bb74717c-7416-46e1-91f4-5c6d21f62880,,
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlewqqsbe48y24,second hp tecno optimus prime 8/256gb,,Rp,1.550.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banjar,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,< 2 Hari,,"second hp tecno optimus prime 8/256gb
Rp
1.550.000
< 2 Hari
Kab. Banjar",https://shopee.co.id/second-hp-tecno-optimus-prime-8-256gb-i.293738077.41779024864?extraParams=%7B%22display_model_id%22%3A435605310320%2C%22model_selection_logic%22%3A3%7D&sp_atk=d767f11f-f56e-4bee-9c3b-d8c5828efdbb&xptdk=d767f11f-f56e-4bee-9c3b-d8c5828efdbb,,
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m2nivjvrsf6dfc,TECNO SPARK 20 c NFC 8/128 SECOND FULLSET,,Rp,1.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,Besok,,"TECNO SPARK 20 c NFC 8/128 SECOND FULLSET
Rp
1.200.000
Besok
Surabaya",https://shopee.co.id/TECNO-SPARK-20-c-NFC-8-128-SECOND-FULLSET-i.230315394.22365018101?extraParams=%7B%22display_model_id%22%3A247040913022%2C%22model_selection_logic%22%3A3%7D&sp_atk=b0924eb7-1fd3-48ac-b550-6d1a7745a957&xptdk=b0924eb7-1fd3-48ac-b550-6d1a7745a957,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk9-m8g7v6pes8b159,Tecno Spark GO 1 4/64 | 4/128 GB Garansi Resmi Indonesia Second Bekas Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.090.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,27 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,< 2 Hari,,"Tecno Spark GO 1 4/64 | 4/128 GB Garansi Resmi Indonesia Second Bekas Original
Rp
1.090.000
5.0
27 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Tecno-Spark-GO-1-4-64-4-128-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.29521236116?extraParams=%7B%22display_model_id%22%3A168855496364%2C%22model_selection_logic%22%3A3%7D&sp_atk=9dd7eb14-7b88-4685-ae86-5492ecda0ed3&xptdk=9dd7eb14-7b88-4685-ae86-5492ecda0ed3,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk1-m9u5u5432g0i2f,Tecno Spark Go 1 Ram 3/64GB | Ram 4/64GB | Ram 4/128GB ( Second ),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.130.199,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,53 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,-25%,,Besok 12:00,,"Tecno Spark Go 1 Ram 3/64GB | Ram 4/64GB | Ram 4/128GB ( Second )
Rp
1.130.199
-25%
4.6
53 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Tecno-Spark-Go-1-Ram-3-64GB-Ram-4-64GB-Ram-4-128GB-(-Second-)-i.194632330.26686661671?extraParams=%7B%22display_model_id%22%3A292324552842%2C%22model_selection_logic%22%3A3%7D&sp_atk=50af98d8-3b60-4e7b-ba44-5dcdc05e3ce2&xptdk=50af98d8-3b60-4e7b-ba44-5dcdc05e3ce2,,
https://down-id.img.susercontent.com/file/id-11134207-82251-ml0j4ccsqo05ca,Tecno Spark 40 Pro Plus 8/128 Second,,Rp,1.950.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,< 2 Hari,,"Tecno Spark 40 Pro Plus 8/128 Second
Rp
1.950.000
< 2 Hari
Bandung",https://shopee.co.id/Tecno-Spark-40-Pro-Plus-8-128-Second-i.105324319.45406342739?extraParams=%7B%22display_model_id%22%3A320571665000%2C%22model_selection_logic%22%3A3%7D&sp_atk=2077afc0-0460-4a14-90c7-495e1873a26f&xptdk=2077afc0-0460-4a14-90c7-495e1873a26f,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0h-mbuglkjta0kkb7,TECNO SPARK 30C Original Second,,Rp,1.160.000,,,,1-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Pasuruan,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,"TECNO SPARK 30C Original Second
Rp
1.160.000
1-3 Hari
Kab. Pasuruan",https://shopee.co.id/TECNO-SPARK-30C-Original-Second-i.694612262.40307510045?extraParams=%7B%22display_model_id%22%3A248601299877%2C%22model_selection_logic%22%3A3%7D&sp_atk=d3dca766-9ad5-4bdb-8ef9-92a3b7561a65&xptdk=d3dca766-9ad5-4bdb-8ef9-92a3b7561a65,,
