-image-yazkc-11,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-green,text-shopee-primary,pointer-events-none_3,_container,_container_link,-image-yazkc-11_2,inline-block,text-ellipsis,text-xs/sp14_3,truncate,text-xs
https://down-id.img.susercontent.com/file/id-11134207-7r98s-lllron069ji497,Vivo V29 5G 8Gb/256Gb & 12Gb/512Gb Garansi Resmi 1 Tahun,Rp,4.499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,107 Terjual,,,"Vivo V29 5G 8Gb/256Gb & 12Gb/512Gb Garansi Resmi 1 Tahun
Rp
4.499.000
4.9
107 Terjual
< 2 Hari
Surabaya",https://shopee.co.id/Vivo-V29-5G-8Gb-256Gb-12Gb-512Gb-Garansi-Resmi-1-Tahun-i.134819232.3960187767?extraParams=%7B%22display_model_id%22%3A232026651694%2C%22model_selection_logic%22%3A3%7D&sp_atk=011eedb9-5fc0-410e-8d3a-a52c12cc63be&xptdk=011eedb9-5fc0-410e-8d3a-a52c12cc63be,,,,,,
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m59rik72x1c6ea,VIVO V30e 5G NEW RAM 8 INTERNAL 128/256 GARANSI RESMI INDONESIA,Rp,2.895.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,2 Terjual,,,"VIVO V30e 5G NEW RAM 8 INTERNAL 128/256 GARANSI RESMI INDONESIA
Rp
2.895.000
5.0
2 Terjual
2-4 Hari
Surabaya",https://shopee.co.id/VIVO-V30e-5G-NEW-RAM-8-INTERNAL-128-256-GARANSI-RESMI-INDONESIA-i.1217763119.19387624108?extraParams=%7B%22display_model_id%22%3A187594894826%2C%22model_selection_logic%22%3A3%7D&sp_atk=7586f56d-2359-4ae8-861f-a9b7d9e2d8c8&xptdk=7586f56d-2359-4ae8-861f-a9b7d9e2d8c8,,,,,,
https://down-id.img.susercontent.com/file/id-11134207-81ztn-mdxzjqouhe6eea,Vivo Y400 RAM 8GB/128GB 8GB/256GB 8GB+8GB Extended RAM Layar 6.67 inch AMOLED FHD+ 120Hz Snapdragon 685 Baterai 6000mAh - Garansi Resmi Vivo 1 Tahun,Rp,3.499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,6 Terjual,,,"Vivo Y400 RAM 8GB/128GB 8GB/256GB 8GB+8GB Extended RAM Layar 6.67 inch AMOLED FHD+ 120Hz Snapdragon 685 Baterai 6000mAh - Garansi Resmi Vivo 1 Tahun
Rp
3.499.000
5.0
6 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Vivo-Y400-RAM-8GB-128GB-8GB-256GB-8GB-8GB-Extended-RAM-Layar-6.67-inch-AMOLED-FHD-120Hz-Snapdragon-685-Baterai-6000mAh-Garansi-Resmi-Vivo-1-Tahun-i.139245516.41661438250?extraParams=%7B%22display_model_id%22%3A260960840120%2C%22model_selection_logic%22%3A3%7D&sp_atk=1060a894-fd01-4656-83ca-cc3900aab475&xptdk=1060a894-fd01-4656-83ca-cc3900aab475,,,,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lwp1nutl0u4tcb,vivo Y28 NFC [8GB/128GB - 8GB/256GB] Extended RAM 8GB - Helio G85 - 50MP Dual Camera -  Li-Po 6000mAh - Fast Charging 44W Garansi Resmi 1 Tahun,Rp,2.643.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,46 Terjual,-9%,,"vivo Y28 NFC [8GB/128GB - 8GB/256GB] Extended RAM 8GB - Helio G85 - 50MP Dual Camera - Li-Po 6000mAh - Fast Charging 44W Garansi Resmi 1 Tahun
Rp
2.643.000
-9%
5.0
46 Terjual
3 Hari
Kab. Bekasi",https://shopee.co.id/vivo-Y28-NFC-8GB-128GB-8GB-256GB-Extended-RAM-8GB-Helio-G85-50MP-Dual-Camera-Li-Po-6000mAh-Fast-Charging-44W-Garansi-Resmi-1-Tahun-i.6357391.28003184597?extraParams=%7B%22display_model_id%22%3A335820861127%2C%22model_selection_logic%22%3A3%7D&sp_atk=42c146b9-5b2f-4542-8668-eca6d40f0c39&xptdk=42c146b9-5b2f-4542-8668-eca6d40f0c39,,,,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lp58vw1ukplt28,Vivo Y27s NFC Ram8/256Gb New 100% Original & Bergaransi Resmi Vivo Service Center,Rp,2.399.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,12 Terjual,,,"Vivo Y27s NFC Ram8/256Gb New 100% Original & Bergaransi Resmi Vivo Service Center
Rp
2.399.000
5.0
12 Terjual
2-4 Hari
Surabaya",https://shopee.co.id/Vivo-Y27s-NFC-Ram8-256Gb-New-100-Original-Bergaransi-Resmi-Vivo-Service-Center-i.34104270.16574049142?extraParams=%7B%22display_model_id%22%3A176260285189%2C%22model_selection_logic%22%3A3%7D&sp_atk=87c02275-694f-4604-98e9-2cdaa70da1a5&xptdk=87c02275-694f-4604-98e9-2cdaa70da1a5,,,,,,
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmctm9ornair82,VIVO Y21D Ram 6GB 256GB 6500mAh 90Hz,Rp,2.394.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Karawang,3-6 Hari,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"VIVO Y21D Ram 6GB 256GB 6500mAh 90Hz
Rp
2.394.000
-1%
3-6 Hari
Kab. Karawang",https://shopee.co.id/VIVO-Y21D-Ram-6GB-256GB-6500mAh-90Hz-i.1306576837.54352456487?extraParams=%7B%22display_model_id%22%3A216342941737%2C%22model_selection_logic%22%3A3%7D&sp_atk=0bfc824f-73c1-4735-9cf7-3b1c1ba2af88&xptdk=0bfc824f-73c1-4735-9cf7-3b1c1ba2af88,,,,,,
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlekz4bx5wcgde,"Vivo V70 (Ram 12GB, Rom 256GB, Battery 6500mAh, Qualcomm SM7750-AB Snapdragon 7 Gen 4)",Rp,9.195.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,29 Terjual,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Vivo V70 (Ram 12GB, Rom 256GB, Battery 6500mAh, Qualcomm SM7750-AB Snapdragon 7 Gen 4)
Rp
9.195.000
-1%
5.0
29 Terjual
< 2 Hari
Malang",https://shopee.co.id/Vivo-V70-(Ram-12GB-Rom-256GB-Battery-6500mAh-Qualcomm-SM7750-AB-Snapdragon-7-Gen-4)-i.49893858.27501931387?extraParams=%7B%22display_model_id%22%3A286474560660%2C%22model_selection_logic%22%3A3%7D&sp_atk=a2007936-2d63-4f5a-a39b-13562cc813b8&xptdk=a2007936-2d63-4f5a-a39b-13562cc813b8,,,,,,
https://down-id.img.susercontent.com/file/id-11134207-81ztc-mfkvll7ku2h7e3,Ready-Stock-2025 Vivo V40 Lite 5G Terbaru 2025 - RAM 8GB ROM 256GB | Layar AMOLED 120Hz | Kamera 64MP | Baterai 5500mAh Fast Charging | Garansi Resmi,Rp,3.398.900,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.3,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,63 Terjual,-17%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Ready-Stock-2025 Vivo V40 Lite 5G Terbaru 2025 - RAM 8GB ROM 256GB | Layar AMOLED 120Hz | Kamera 64MP | Baterai 5500mAh Fast Charging | Garansi Resmi
Rp
3.398.900
-17%
4.3
63 Terjual
4-7 Hari
Jakarta Barat",https://shopee.co.id/Ready-Stock-2025-Vivo-V40-Lite-5G-Terbaru-2025-RAM-8GB-ROM-256GB-Layar-AMOLED-120Hz-Kamera-64MP-Baterai-5500mAh-Fast-Charging-Garansi-Resmi-i.1639421028.40523207350?extraParams=%7B%22display_model_id%22%3A281886637699%2C%22model_selection_logic%22%3A3%7D&sp_atk=5735e6a1-fd1c-4b23-9b97-3325e07ab8fb&xptdk=5735e6a1-fd1c-4b23-9b97-3325e07ab8fb,,,,,,
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m2jabyyr0itq77,VIVO V40 LITE 4G {8GB/128GB} {8GB/256GB} GARANSI RESMI VIVO,Rp,2.799.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,56 Terjual,-15%,,"VIVO V40 LITE 4G {8GB/128GB} {8GB/256GB} GARANSI RESMI VIVO
Rp
2.799.000
-15%
5.0
56 Terjual
3 Hari
Surabaya",https://shopee.co.id/VIVO-V40-LITE-4G-8GB-128GB-8GB-256GB-GARANSI-RESMI-VIVO-i.151788128.25234887994?extraParams=%7B%22display_model_id%22%3A247017490502%2C%22model_selection_logic%22%3A3%7D&sp_atk=13e94d1f-eb9f-4e92-862c-a589ec5078b2&xptdk=13e94d1f-eb9f-4e92-862c-a589ec5078b2,,,,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbkd-m7l8tv4xg7ghe9,VIVO V40 5G RAM 12/256GB ORIGINAL BERGARANSI RESMI VIVO INDONESIA,Rp,5.195.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,305 Terjual,-26%,,"VIVO V40 5G RAM 12/256GB ORIGINAL BERGARANSI RESMI VIVO INDONESIA
Rp
5.195.000
-26%
4.9
305 Terjual
2-4 Hari
Surabaya",https://shopee.co.id/VIVO-V40-5G-RAM-12-256GB-ORIGINAL-BERGARANSI-RESMI-VIVO-INDONESIA-i.220501664.23950524438?extraParams=%7B%22display_model_id%22%3A188334767293%2C%22model_selection_logic%22%3A3%7D&sp_atk=f29e5ef7-1225-466c-8849-712025c2d3ff&xptdk=f29e5ef7-1225-466c-8849-712025c2d3ff,,,,,,
