-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,inline-block,text-xs/sp14_2,w-auto,text-white,text-shopee-primary,truncate,img_2,text-white_2,text-ellipsis,pointer-events-none_3,_container,_container_link,img,text-xs,text-xs_2
https://down-id.img.susercontent.com/file/id-11134207-822wq-mn9xo2xo2aywa0,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Vivo X100 12/256 Second,Rp,6.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Garut,,,,,,,,,,,"Vivo X100 12/256 Second
Rp
6.800.000
3 Hari
Kab. Garut",https://shopee.co.id/Vivo-X100-12-256-Second-i.904956335.47009183052?extraParams=%7B%22display_model_id%22%3A390811937313%2C%22model_selection_logic%22%3A3%7D&sp_atk=95e0def2-f309-4fc4-8a0e-36bc02b217e4&xptdk=95e0def2-f309-4fc4-8a0e-36bc02b217e4,,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mbze1bwt8vv56a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Vivo V40 LITE 5G & 4G 8/256 SECOND MULUS,Rp,2.393.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,31 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,< 2 Hari,,,"Vivo V40 LITE 5G & 4G 8/256 SECOND MULUS
Rp
2.393.000
5.0
31 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/Vivo-V40-LITE-5G-4G-8-256-SECOND-MULUS-i.309409025.27224658145?extraParams=%7B%22display_model_id%22%3A228152673592%2C%22model_selection_logic%22%3A3%7D&sp_atk=0047213d-84db-4250-9277-4ddd93e67f65&xptdk=0047213d-84db-4250-9277-4ddd93e67f65,,,
https://down-id.img.susercontent.com/file/id-11134207-822wg-mmr4s7uust1k2f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,VIVO V25E 12/256GB // 8/128GB SECOND MULUS PEMAKAIAN,Rp,2.199.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"VIVO V25E 12/256GB // 8/128GB SECOND MULUS PEMAKAIAN
Rp
2.199.000
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/VIVO-V25E-12-256GB-8-128GB-SECOND-MULUS-PEMAKAIAN-i.309409025.55058330174?extraParams=%7B%22display_model_id%22%3A380739598594%2C%22model_selection_logic%22%3A3%7D&sp_atk=5ca672d1-1fde-4d2f-8ae7-52b03203a3fa&xptdk=5ca672d1-1fde-4d2f-8ae7-52b03203a3fa,,,
https://down-id.img.susercontent.com/file/46712b9ca2351a227483685403158ebb,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Vivo Y12i SNAPDRAGON Ram 3 Rom 32GB (SECOND),Rp,1.130.199,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,225 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-37%,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,< 2 Hari,,,"Vivo Y12i SNAPDRAGON Ram 3 Rom 32GB (SECOND)
Rp
1.130.199
-37%
Cicilan
4.8
225 Terjual
< 2 Hari
Surabaya",https://shopee.co.id/Vivo-Y12i-SNAPDRAGON-Ram-3-Rom-32GB-(SECOND)-i.194632330.6866639093?extraParams=%7B%22display_model_id%22%3A222053708785%2C%22model_selection_logic%22%3A3%7D&sp_atk=4dd3f1ec-9e85-4850-bf4f-b4792f5bebae&xptdk=4dd3f1ec-9e85-4850-bf4f-b4792f5bebae,,,
https://down-id.img.susercontent.com/file/id-11134207-8224z-miqwwg2gc5q920,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Vivo V50 Lite 5g 8/256 Second Bekas Like New Komplit Nominus Siap Garansi,Rp,2.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,5.0,,,,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"Vivo V50 Lite 5g 8/256 Second Bekas Like New Komplit Nominus Siap Garansi
Rp
2.900.000
Produk Baru
5.0
5 Terjual
3 Hari
Surakarta (Solo)",https://shopee.co.id/Vivo-V50-Lite-5g-8-256-Second-Bekas-Like-New-Komplit-Nominus-Siap-Garansi-i.133913527.54853802822?extraParams=%7B%22display_model_id%22%3A420788466089%2C%22model_selection_logic%22%3A3%7D&sp_atk=52da921d-0016-4e62-845d-21d115c8b474&xptdk=52da921d-0016-4e62-845d-21d115c8b474,,,
https://down-id.img.susercontent.com/file/id-11134207-8224p-mjo7i8u2g6pzab,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"HP Second Bekas VIVO V21 RAM 8 + 4, 128GB",Rp,1.630.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"HP Second Bekas VIVO V21 RAM 8 + 4, 128GB
Rp
1.630.000
< 2 Hari
Surabaya",https://shopee.co.id/HP-Second-Bekas-VIVO-V21-RAM-8-4-128GB-i.73886639.56854917902?extraParams=%7B%22display_model_id%22%3A330454140486%2C%22model_selection_logic%22%3A3%7D&sp_atk=0afda770-5242-4713-a189-bf8ddc8dac05&xptdk=0afda770-5242-4713-a189-bf8ddc8dac05,,,
https://down-id.img.susercontent.com/file/06f784701350756eb4cb300e2cf30f92,,Vivo V21 8/128 GB Ex Resmi Vivo Indonesia Original Second Bekas Ori,Rp,1.890.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,83 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,4.9,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"Vivo V21 8/128 GB Ex Resmi Vivo Indonesia Original Second Bekas Ori
Rp
1.890.000
4.9
83 Terjual
4-6 Hari
Jakarta Utara",https://shopee.co.id/Vivo-V21-8-128-GB-Ex-Resmi-Vivo-Indonesia-Original-Second-Bekas-Ori-i.304735900.12252972505?extraParams=%7B%22display_model_id%22%3A142768728226%2C%22model_selection_logic%22%3A3%7D&sp_atk=a9816662-b0b6-43a9-9a00-721cd5787e92&xptdk=a9816662-b0b6-43a9-9a00-721cd5787e92,,,
https://down-id.img.susercontent.com/file/id-11134207-8224z-mj5ivqnrtddt13,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,VIVO V60 LITE 4G 8/256 VIVO V 60 LITE 4G 8/256 VIVOV60 LUTE 4G 8/256 SECOND BEKAS GARANSI PANJANG,Rp,3.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,19 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,5.0,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"VIVO V60 LITE 4G 8/256 VIVO V 60 LITE 4G 8/256 VIVOV60 LUTE 4G 8/256 SECOND BEKAS GARANSI PANJANG
Rp
3.350.000
5.0
19 Terjual
3 Hari
Tangerang",https://shopee.co.id/VIVO-V60-LITE-4G-8-256-VIVO-V-60-LITE-4G-8-256-VIVOV60-LUTE-4G-8-256-SECOND-BEKAS-GARANSI-PANJANG-i.853782271.57752020061?extraParams=%7B%22display_model_id%22%3A395397691135%2C%22model_selection_logic%22%3A3%7D&sp_atk=773c60a4-2139-4e64-a522-e08d94e28459&xptdk=773c60a4-2139-4e64-a522-e08d94e28459,,,
https://down-id.img.susercontent.com/file/id-11134207-7rasg-m1jco4vlugtt76,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,VIVO V40 LITE 4G 8/256 Dan 8/128 Second Fullset,Rp,2.549.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,182 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,4.9,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,,"VIVO V40 LITE 4G 8/256 Dan 8/128 Second Fullset
Rp
2.549.000
4.9
182 Terjual
3 Hari
Jakarta Barat",https://shopee.co.id/VIVO-V40-LITE-4G-8-256-Dan-8-128-Second-Fullset-i.37906250.28814577469?extraParams=%7B%22display_model_id%22%3A168502729048%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b57ea31-c9db-4732-bf61-32b7446ff813&xptdk=3b57ea31-c9db-4732-bf61-32b7446ff813,,,
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m5b3cmt59pjx10,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Vivo V40 Lite Ram 8/128GB | Ram 8/256GB | Ram 12/512GB ( Second ),Rp,2.430.999,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,15 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-22%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Cashback 99%,,,"Vivo V40 Lite Ram 8/128GB | Ram 8/256GB | Ram 12/512GB ( Second )
Rp
2.430.999
-22%
Cashback 99%
4.9
15 Terjual
< 2 Hari
Surabaya",https://shopee.co.id/Vivo-V40-Lite-Ram-8-128GB-Ram-8-256GB-Ram-12-512GB-(-Second-)-i.288677122.26669997616?extraParams=%7B%22display_model_id%22%3A198388634794%2C%22model_selection_logic%22%3A3%7D&sp_atk=f5859339-82e0-4a3a-9a3e-205359035700&xptdk=f5859339-82e0-4a3a-9a3e-205359035700,,,
