-image-yazkc-11,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,-image-yazkc-11_2,inline-block,img,text-xs/sp14_2,text-xs,w-auto,text-white,truncate,text-ellipsis,text-shopee-primary,_container,_container_link,img_2,pointer-events-none_3,text-xs_2
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn9l62yrj5z752,HP REDMI NOTE 9 (bekas/second),Rp,600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,3-6 Hari,,,,,,"HP REDMI NOTE 9 (bekas/second)
Rp
600.000
3-6 Hari
Surabaya",https://shopee.co.id/HP-REDMI-NOTE-9-(bekas-second)-i.179075216.46509167834?extraParams=%7B%22display_model_id%22%3A292552844278%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8d8528-ac60-4203-a8e6-400d71d4d00a&xptdk=da8d8528-ac60-4203-a8e6-400d71d4d00a,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk1-m94pwxx6tl2l03,mi 12T 5G 8/256 gb second resmi siap pakai,Rp,3.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,20 Terjual,,,,,,"mi 12T 5G 8/256 gb second resmi siap pakai
Rp
3.000.000
5.0
20 Terjual
3-5 Hari
Depok",https://shopee.co.id/mi-12T-5G-8-256-gb-second-resmi-siap-pakai-i.932239136.27724469868?extraParams=%7B%22display_model_id%22%3A405233071474%2C%22model_selection_logic%22%3A3%7D&sp_atk=a52e411a-f04e-41b2-b6f5-5a2284eeaac6&xptdk=a52e411a-f04e-41b2-b6f5-5a2284eeaac6,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbke-m8md7df7n30x40,Xiaomi 12 8/256 SECOND RESMI MULUS PEMAKAIAN,Rp,3.699.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,"Xiaomi 12 8/256 SECOND RESMI MULUS PEMAKAIAN
Rp
3.699.000
5.0
6 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/Xiaomi-12-8-256-SECOND-RESMI-MULUS-PEMAKAIAN-i.309409025.29273336361?extraParams=%7B%22display_model_id%22%3A198142271152%2C%22model_selection_logic%22%3A3%7D&sp_atk=5d16bc10-be3a-4ce6-b52b-9b4858d525ac&xptdk=5d16bc10-be3a-4ce6-b52b-9b4858d525ac,,,
https://down-id.img.susercontent.com/file/id-11134207-81ztp-me5jr63vu6mfbc,Redmi Note 13 5G 8/258 Second Like New Fullset Mulus Nominus Bergaransi,Rp,2.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,21 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,"Redmi Note 13 5G 8/258 Second Like New Fullset Mulus Nominus Bergaransi
Rp
2.300.000
5.0
21 Terjual
< 2 Hari
Surakarta (Solo)",https://shopee.co.id/Redmi-Note-13-5G-8-258-Second-Like-New-Fullset-Mulus-Nominus-Bergaransi-i.133913527.28212082639?extraParams=%7B%22display_model_id%22%3A315711602997%2C%22model_selection_logic%22%3A3%7D&sp_atk=8daae883-608c-41fd-a451-4e2b7155a8f7&xptdk=8daae883-608c-41fd-a451-4e2b7155a8f7,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98q-lt3hlxc0xpop49,Xiaomi 12 Lite 5G 8/256 GB Resmi TAM Indonesia Second Bekas Original,Rp,2.590.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,33 Terjual,,,,,,"Xiaomi 12 Lite 5G 8/256 GB Resmi TAM Indonesia Second Bekas Original
Rp
2.590.000
5.0
33 Terjual
3 Hari
Jakarta Utara",https://shopee.co.id/Xiaomi-12-Lite-5G-8-256-GB-Resmi-TAM-Indonesia-Second-Bekas-Original-i.304735900.25119940461?extraParams=%7B%22display_model_id%22%3A166385775541%2C%22model_selection_logic%22%3A3%7D&sp_atk=0ceb1b65-4fcb-4e94-947a-05d07ddd04b8&xptdk=0ceb1b65-4fcb-4e94-947a-05d07ddd04b8,,,
https://down-id.img.susercontent.com/file/id-11134207-81ztf-mf3qytq8jpji98,REDMI 12 8/256GB // 8/128GB SECOND MULUS,Rp,1.717.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,16 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,"REDMI 12 8/256GB // 8/128GB SECOND MULUS
Rp
1.717.000
5.0
16 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/REDMI-12-8-256GB-8-128GB-SECOND-MULUS-i.309409025.28892226419?extraParams=%7B%22display_model_id%22%3A440223397754%2C%22model_selection_logic%22%3A3%7D&sp_atk=becb9a12-3125-4cf9-9b4f-33363746e879&xptdk=becb9a12-3125-4cf9-9b4f-33363746e879,,,
https://down-id.img.susercontent.com/file/sg-11134201-22100-wlwuimcw0tiv48,Xiaomi Redmi Note 11 4/128 GB | 6/128 GB Ex Resmi Xiaomi Second Bekas Original OK,Rp,1.390.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,160 Terjual,,,,,,"Xiaomi Redmi Note 11 4/128 GB | 6/128 GB Ex Resmi Xiaomi Second Bekas Original OK
Rp
1.390.000
4.9
160 Terjual
3 Hari
Jakarta Utara",https://shopee.co.id/Xiaomi-Redmi-Note-11-4-128-GB-6-128-GB-Ex-Resmi-Xiaomi-Second-Bekas-Original-OK-i.304735900.20436554409?extraParams=%7B%22display_model_id%22%3A145677942168%2C%22model_selection_logic%22%3A3%7D&sp_atk=d217d34d-2938-4979-8e2e-f5719e08a27a&xptdk=d217d34d-2938-4979-8e2e-f5719e08a27a,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkp5z7sw3vhn6e,XIAOMI REDMI 12 4/128 8/128 8/256 SECOND FULLSET,Rp,1.625.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,338 Terjual,,,,,,"XIAOMI REDMI 12 4/128 8/128 8/256 SECOND FULLSET
Rp
1.625.000
4.9
338 Terjual
3-5 Hari
Jakarta Barat",https://shopee.co.id/XIAOMI-REDMI-12-4-128-8-128-8-256-SECOND-FULLSET-i.203572497.21683216204?extraParams=%7B%22display_model_id%22%3A186975556063%2C%22model_selection_logic%22%3A3%7D&sp_atk=0c076968-5d3d-4048-a69b-0a3bc605e5a2&xptdk=0c076968-5d3d-4048-a69b-0a3bc605e5a2,,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0l-md7uerahdno7ad,Redmi note 13 8/256GB // 8/128GB SECOND MULUS,Rp,2.121.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,18 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,"Redmi note 13 8/256GB // 8/128GB SECOND MULUS
Rp
2.121.000
5.0
18 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/Redmi-note-13-8-256GB-8-128GB-SECOND-MULUS-i.309409025.27026622187?extraParams=%7B%22display_model_id%22%3A261750533359%2C%22model_selection_logic%22%3A3%7D&sp_atk=5106ed4f-c362-40f7-9975-1375aea490cf&xptdk=5106ed4f-c362-40f7-9975-1375aea490cf,,,
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmo4bcsut2iued,Xiaomi Mi 11 Lite Second / Bekas Warna Boba Black 6GB / 64GB,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bantul,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,4-7 Hari,,,,,,"Xiaomi Mi 11 Lite Second / Bekas Warna Boba Black 6GB / 64GB
Rp
1.500.000
4-7 Hari
Kab. Bantul",https://shopee.co.id/Xiaomi-Mi-11-Lite-Second-Bekas-Warna-Boba-Black-6GB-64GB-i.9711564.57008249299?extraParams=%7B%22display_model_id%22%3A292507882897%2C%22model_selection_logic%22%3A3%7D&sp_atk=5d1f3478-c32d-4955-914f-362629106544&xptdk=5d1f3478-c32d-4955-914f-362629106544,,,
