-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,truncate,img_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mbmn2hn5rhp321,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"HP ZTE BLADE A56 4GB/128GB, dan A36 4GB/64GB(Garansi Resmi Zte 1 Tahun)",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.500.000,4.9,907 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,5 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
HP ZTE BLADE A56 4GB/128GB, dan A36 4GB/64GB(Garansi Resmi Zte 1 Tahun)
Rp
1.500.000
4.9
907 Terjual
5 jam
Surabaya",https://shopee.co.id/HP-ZTE-BLADE-A56-4GB-128GB-dan-A36-4GB-64GB(Garansi-Resmi-Zte-1-Tahun)-i.457871974.28106726268?extraParams=%7B%22display_model_id%22%3A218580078599%2C%22model_selection_logic%22%3A3%7D&sp_atk=bf512a0e-cad2-4d65-99fe-026bc4e37d9d&xptdk=bf512a0e-cad2-4d65-99fe-026bc4e37d9d
https://down-id.img.susercontent.com/file/id-11134207-8224s-mkrnhwljfzeu16,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE BLADE A35,,Rp,350.000,,2-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bireuen,,,,,"Scrape to BigSeller
ZTE BLADE A35
Rp
350.000
2-6 Hari
Kab. Bireuen",https://shopee.co.id/ZTE-BLADE-A35-i.288443706.41478791186?extraParams=%7B%22display_model_id%22%3A430565465780%2C%22model_selection_logic%22%3A3%7D&sp_atk=c6499f61-c9ba-4235-ab31-7feaa627c12a&xptdk=c6499f61-c9ba-4235-ab31-7feaa627c12a
https://down-id.img.susercontent.com/file/sg-11134201-825zq-mkbtw61587bb8b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE nubia V80 MAX - Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.999.000,5.0,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarbaru,Kombo Hemat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
ZTE nubia V80 MAX - Garansi Resmi
Rp
1.999.000
Kombo Hemat
5.0
8 Terjual
3-5 Hari
Banjarbaru",https://shopee.co.id/ZTE-nubia-V80-MAX-Garansi-Resmi-i.53222836.54155832667?extraParams=%7B%22display_model_id%22%3A435527799645%2C%22model_selection_logic%22%3A3%7D&sp_atk=91fbf051-9cf2-4258-afc2-71b77426f834&xptdk=91fbf051-9cf2-4258-afc2-71b77426f834
https://down-id.img.susercontent.com/file/id-11134207-822wo-mncgc0tg4pvl86,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE NUBIA V70 NFC RAM 8GB+256GB GARANSI RESMI - Nubia V70,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.849.000,5.0,45 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
ZTE NUBIA V70 NFC RAM 8GB+256GB GARANSI RESMI - Nubia V70
Rp
1.849.000
5.0
45 Terjual
Besok
Jakarta Timur",https://shopee.co.id/ZTE-NUBIA-V70-NFC-RAM-8GB-256GB-GARANSI-RESMI-Nubia-V70-i.516371273.28711377758?extraParams=%7B%22display_model_id%22%3A355823627223%2C%22model_selection_logic%22%3A3%7D&sp_atk=3c8c6f72-d6d7-4ed4-9d14-472f581fda51&xptdk=3c8c6f72-d6d7-4ed4-9d14-472f581fda51
https://down-id.img.susercontent.com/file/id-11134207-81zto-me9kpuusqsqoe4,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ZTE Light Jadul,,Rp,100.000,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
ZTE Light Jadul
Rp
100.000
Besok
Kab. Tangerang",https://shopee.co.id/ZTE-Light-Jadul-i.945610.41967563659?extraParams=%7B%22display_model_id%22%3A306447308852%2C%22model_selection_logic%22%3A3%7D&sp_atk=2e1b076f-ee7a-48b2-9d8d-908ff8da6333&xptdk=2e1b076f-ee7a-48b2-9d8d-908ff8da6333
https://down-id.img.susercontent.com/file/id-11134207-8224v-mk7ork5ruosi78,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE Nubia A76 5G 8GB/128GB Garansi Resmi ZTE Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.969.000,5.0,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,-34%,,"Scrape to BigSeller
ZTE Nubia A76 5G 8GB/128GB Garansi Resmi ZTE Indonesia
Rp
1.969.000
-34%
5.0
10 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/ZTE-Nubia-A76-5G-8GB-128GB-Garansi-Resmi-ZTE-Indonesia-i.1119892890.27394114670?extraParams=%7B%22display_model_id%22%3A297365564303%2C%22model_selection_logic%22%3A3%7D&sp_atk=fd60b7f0-928d-4109-9331-a88222728928&xptdk=fd60b7f0-928d-4109-9331-a88222728928
https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m6mtixy8q7os76,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE BLADE V40 VITA 4GB 128GB 6.75 Inch Triple Camera 48MP 5130 mAh Garansi Resmi,,Rp,850.000,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
ZTE BLADE V40 VITA 4GB 128GB 6.75 Inch Triple Camera 48MP 5130 mAh Garansi Resmi
Rp
850.000
Besok
Jakarta Selatan",https://shopee.co.id/ZTE-BLADE-V40-VITA-4GB-128GB-6.75-Inch-Triple-Camera-48MP-5130-mAh-Garansi-Resmi-i.62011099.25591841081?extraParams=%7B%22display_model_id%22%3A252717844404%2C%22model_selection_logic%22%3A3%7D&sp_atk=9ccffe3c-d545-454f-93c6-bff953c9d682&xptdk=9ccffe3c-d545-454f-93c6-bff953c9d682
https://down-id.img.susercontent.com/file/id-11134207-82252-mk0vsu21r18ob2,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,"ZTE nubia V80 Max (RAM 6/8GB, ROM 128GB, Up to 16GB Extended RAM, 6.9"" HD, 120Hz, 6000mAh)",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.806.000,5.0,27 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
ZTE nubia V80 Max (RAM 6/8GB, ROM 128GB, Up to 16GB Extended RAM, 6.9"" HD, 120Hz, 6000mAh)
Rp
1.806.000
5.0
27 Terjual
2 jam
Surabaya",https://shopee.co.id/ZTE-nubia-V80-Max-(RAM-6-8GB-ROM-128GB-Up-to-16GB-Extended-RAM-6.9-HD-120Hz-6000mAh)-i.49893858.25642947679?extraParams=%7B%22display_model_id%22%3A365750981595%2C%22model_selection_logic%22%3A3%7D&sp_atk=75aebc54-eb8a-44c4-ba9a-76d2c4d490cf&xptdk=75aebc54-eb8a-44c4-ba9a-76d2c4d490cf
https://down-id.img.susercontent.com/file/id-11134207-822wm-mn3shza9iygycf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE NUBIA V80 MAX | 6gb/128gb 8gb/128gb | GARANSI RESMI INDONESIA,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.739.000,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
ZTE NUBIA V80 MAX | 6gb/128gb 8gb/128gb | GARANSI RESMI INDONESIA
Rp
1.739.000
Besok
Depok",https://shopee.co.id/ZTE-NUBIA-V80-MAX-6gb-128gb-8gb-128gb-GARANSI-RESMI-INDONESIA-i.261978781.47758871220?extraParams=%7B%22display_model_id%22%3A287538481378%2C%22model_selection_logic%22%3A3%7D&sp_atk=90df730f-7af1-4126-b6dd-c144c061da2b&xptdk=90df730f-7af1-4126-b6dd-c144c061da2b
https://down-id.img.susercontent.com/file/id-11134207-7r991-llpm92y4wsdwe5,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ZTE Esia Max-D Like New,,Rp,150.000,,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,,,,"Scrape to BigSeller
ZTE Esia Max-D Like New
Rp
150.000
2-3 Hari
Kab. Bogor",https://shopee.co.id/ZTE-Esia-Max-D-Like-New-i.30866203.18784213186?extraParams=%7B%22display_model_id%22%3A147018293441%2C%22model_selection_logic%22%3A3%7D&sp_atk=add0cf49-1522-4137-b38f-584ef3659e43&xptdk=add0cf49-1522-4137-b38f-584ef3659e43
https://down-id.img.susercontent.com/file/id-11134207-8224w-mjo9qnw12rcya0,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Hp Jadul ZTE,,Rp,75.000,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyumas,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Hp Jadul ZTE
Rp
75.000
Besok
Kab. Banyumas",https://shopee.co.id/Hp-Jadul-ZTE-i.160772343.50604904342?extraParams=%7B%22display_model_id%22%3A307346184823%2C%22model_selection_logic%22%3A3%7D&sp_atk=9674d382-1e9a-443f-8817-753200c5007f&xptdk=9674d382-1e9a-443f-8817-753200c5007f
https://down-id.img.susercontent.com/file/sg-11134201-8262e-mlq1vx693taa5b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE Nubia Neo 3 GT 5G 8/256GB | Nubia Neo 3 5G 8/256GB Garansi Resmi Not GT 30 - [LIVE],https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.772.000,5.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,-45%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Scrape to BigSeller
ZTE Nubia Neo 3 GT 5G 8/256GB | Nubia Neo 3 5G 8/256GB Garansi Resmi Not GT 30 - [LIVE]
Rp
2.772.000
-45%
5.0
6 Terjual
2-3 Hari
Jakarta Pusat",https://shopee.co.id/ZTE-Nubia-Neo-3-GT-5G-8-256GB-Nubia-Neo-3-5G-8-256GB-Garansi-Resmi-Not-GT-30-LIVE--i.1639279615.50907940446?extraParams=%7B%22display_model_id%22%3A262491812013%2C%22model_selection_logic%22%3A3%7D&sp_atk=559f25bc-100f-48f3-8f1f-3d6eec054f27&xptdk=559f25bc-100f-48f3-8f1f-3d6eec054f27
