-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,text-shopee-primary,pointer-events-none_3,img,text-xs/sp14_3,text-shopee-green,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-82250-mglpgm0j55vz42,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Zte Nubia A36,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,"Scrape to BigSeller
Zte Nubia A36
Rp
1.599.000
Besok
Kab. Kediri",https://shopee.co.id/Zte-Nubia-A36-i.1493678699.44125812236?extraParams=%7B%22display_model_id%22%3A325013921439%2C%22model_selection_logic%22%3A3%7D&sp_atk=677ce988-18fb-4ce6-b069-37df7de8a870&xptdk=677ce988-18fb-4ce6-b069-37df7de8a870
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmt02bhg9mva3d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ZTE nubia A76 5G 8/128GB 6.75""HD+ 5000mAh Unisoc T8300 Garansi Resmi",Rp,1.977.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-21%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,"Scrape to BigSeller
ZTE nubia A76 5G 8/128GB 6.75""HD+ 5000mAh Unisoc T8300 Garansi Resmi
Rp
1.977.000
-21%
5.0
1 Terjual
Besok
Jakarta Barat",https://shopee.co.id/ZTE-nubia-A76-5G-8-128GB-6.75-HD-5000mAh-Unisoc-T8300-Garansi-Resmi-i.267821952.47058442595?extraParams=%7B%22display_model_id%22%3A395747719258%2C%22model_selection_logic%22%3A3%7D&sp_atk=85076c7a-5e3c-427e-9920-b392cb03e3b9&xptdk=85076c7a-5e3c-427e-9920-b392cb03e3b9
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbqlg49ze2acbd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ZTE BLADE A54 4/64 GB Garansi Resmi indonesia Second Original,Rp,975.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,1 Terjual,,"Scrape to BigSeller
ZTE BLADE A54 4/64 GB Garansi Resmi indonesia Second Original
Rp
975.000
1 Terjual
Besok
Jakarta Utara",https://shopee.co.id/ZTE-BLADE-A54-4-64-GB-Garansi-Resmi-indonesia-Second-Original-i.1563349780.29638304710?extraParams=%7B%22display_model_id%22%3A265608244793%2C%22model_selection_logic%22%3A3%7D&sp_atk=db98b857-24f5-4edb-ac5e-32195a8a5538&xptdk=db98b857-24f5-4edb-ac5e-32195a8a5538
https://down-id.img.susercontent.com/file/id-11134207-7rasa-m5axvmp9o7o3bd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,zte blade a35 ram 12gb/64gb,Rp,1.250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jember,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,"Scrape to BigSeller
zte blade a35 ram 12gb/64gb
Rp
1.250.000
5.0
1 Terjual
3-6 Hari
Kab. Jember",https://shopee.co.id/zte-blade-a35-ram-12gb-64gb-i.27915777.26124192869?extraParams=%7B%22display_model_id%22%3A188167737173%2C%22model_selection_logic%22%3A3%7D&sp_atk=3224b6dc-ba68-413c-a3d0-d92e63ca289d&xptdk=3224b6dc-ba68-413c-a3d0-d92e63ca289d
https://down-id.img.susercontent.com/file/id-11134207-8224q-mhlg54yjysjl48,,NEW ZTE NUBIA A36 RAM 4/64 BATTERRY 5000mAH,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,395 Terjual,,"Scrape to BigSeller
NEW ZTE NUBIA A36 RAM 4/64 BATTERRY 5000mAH
Rp
1.599.000
4.9
395 Terjual
2-3 Hari
Kab. Bogor",https://shopee.co.id/NEW-ZTE-NUBIA-A36-RAM-4-64-BATTERRY-5000mAH-i.27670266.24802097749?extraParams=%7B%22display_model_id%22%3A166705759396%2C%22model_selection_logic%22%3A3%7D&sp_atk=e95ef14d-ebe7-4fbb-9666-62d59304ab24&xptdk=e95ef14d-ebe7-4fbb-9666-62d59304ab24
https://down-id.img.susercontent.com/file/id-11134207-81ztd-mfdgce0cc1sd9d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Nubia Neo 3 5G 8/256GB - ZTE Nubia Neo 3 5G Garansi Resmi 1 Tahun,Rp,2.737.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-46%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,229 Terjual,,"Scrape to BigSeller
Nubia Neo 3 5G 8/256GB - ZTE Nubia Neo 3 5G Garansi Resmi 1 Tahun
Rp
2.737.000
-46%
4.9
229 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/Nubia-Neo-3-5G-8-256GB-ZTE-Nubia-Neo-3-5G-Garansi-Resmi-1-Tahun-i.102896867.20972740530?extraParams=%7B%22display_model_id%22%3A286774490470%2C%22model_selection_logic%22%3A3%7D&sp_atk=8fb68b46-19c8-42ce-b7e7-6ca3050626c8&xptdk=8fb68b46-19c8-42ce-b7e7-6ca3050626c8
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn49j8jc740699,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ZTE Nubia V70 8GB+256GB - Display 6,7 Inch - Camera utama 108MP - Battery 5000mAh - Garansi Resmi 1 Tahun",Rp,1.899.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,-32%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,1 Terjual,,"Scrape to BigSeller
ZTE Nubia V70 8GB+256GB - Display 6,7 Inch - Camera utama 108MP - Battery 5000mAh - Garansi Resmi 1 Tahun
Rp
1.899.000
-32%
1 Terjual
Besok
Jakarta Barat",https://shopee.co.id/ZTE-Nubia-V70-8GB-256GB-Display-6-7-Inch-Camera-utama-108MP-Battery-5000mAh-Garansi-Resmi-1-Tahun-i.1516969716.54758951063?extraParams=%7B%22display_model_id%22%3A320793525820%2C%22model_selection_logic%22%3A3%7D&sp_atk=54a5cb50-6922-4824-8a2d-8a66b7e3f9bf&xptdk=54a5cb50-6922-4824-8a2d-8a66b7e3f9bf
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m2zchvmw7uzkcc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HP ZTE Blade A35,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jember,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,83 Terjual,,"Scrape to BigSeller
HP ZTE Blade A35
Rp
1.599.000
5.0
83 Terjual
3-6 Hari
Kab. Jember",https://shopee.co.id/HP-ZTE-Blade-A35-i.385872807.27518562628?extraParams=%7B%22display_model_id%22%3A247099221215%2C%22model_selection_logic%22%3A3%7D&sp_atk=6474709f-02e5-4eef-bf4a-a197ebd70def&xptdk=6474709f-02e5-4eef-bf4a-a197ebd70def
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmr2qw39dxj723,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ZTE Nubia A76 5G [8GB+128GB] - Garansi Resmi 1 Tahun,Rp,1.899.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,,,,,2-3 Hari,,"Scrape to BigSeller
ZTE Nubia A76 5G [8GB+128GB] - Garansi Resmi 1 Tahun
Rp
1.899.000
2-3 Hari
Jakarta Utara",https://shopee.co.id/ZTE-Nubia-A76-5G-8GB-128GB-Garansi-Resmi-1-Tahun-i.927728909.26244526944?extraParams=%7B%22display_model_id%22%3A385739381164%2C%22model_selection_logic%22%3A3%7D&sp_atk=386ebf18-2efc-426f-8c3f-e8aeb932f0ef&xptdk=386ebf18-2efc-426f-8c3f-e8aeb932f0ef
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lzr403j0j5s89f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE BLADE A55 RAM 12GB(4+8GB+128GB] ZTE BLADE A54 [4+64GB] GARANSI RESMI - ZTE A55,Rp,1.499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,947 Terjual,,"Scrape to BigSeller
ZTE BLADE A55 RAM 12GB(4+8GB+128GB] ZTE BLADE A54 [4+64GB] GARANSI RESMI - ZTE A55
Rp
1.499.000
4.9
947 Terjual
Besok
Jakarta Timur",https://shopee.co.id/ZTE-BLADE-A55-RAM-12GB(4-8GB-128GB-ZTE-BLADE-A54-4-64GB-GARANSI-RESMI-ZTE-A55-i.516371273.24056229250?extraParams=%7B%22display_model_id%22%3A148777613259%2C%22model_selection_logic%22%3A3%7D&sp_atk=c12e1d61-6381-407c-8d1c-47525b9dc88a&xptdk=c12e1d61-6381-407c-8d1c-47525b9dc88a
