-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-xs/sp14_2,w-auto,text-white,truncate,text-shopee-primary,pointer-events-none_3,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224u-mkbx6uthhedk5f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE NUBIA A76 5G 8GB 128GB - BARU & GARANSI RESMI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.029.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,,,"Scrape to BigSeller
ZTE NUBIA A76 5G 8GB 128GB - BARU & GARANSI RESMI
Rp
2.029.000
2-3 Hari
Jakarta Utara",https://shopee.co.id/ZTE-NUBIA-A76-5G-8GB-128GB-BARU-GARANSI-RESMI-i.364038165.51755846310?extraParams=%7B%22display_model_id%22%3A365528172239%2C%22model_selection_logic%22%3A3%7D&sp_atk=ce6baf60-18ed-4fa9-9467-9e368144ea2c&xptdk=ce6baf60-18ed-4fa9-9467-9e368144ea2c
https://down-id.img.susercontent.com/file/id-11134207-8224q-mgowoowkrbpp8e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE NUBIA A36 (4+8)GB/64GB Smartphone Kamera AI 13MP Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.579.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
ZTE NUBIA A36 (4+8)GB/64GB Smartphone Kamera AI 13MP Garansi Resmi
Rp
1.579.000
5.0
2 Terjual
Besok
Jakarta Selatan",https://shopee.co.id/ZTE-NUBIA-A36-(4-8)GB-64GB-Smartphone-Kamera-AI-13MP-Garansi-Resmi-i.258000504.57000853601?extraParams=%7B%22display_model_id%22%3A365197679135%2C%22model_selection_logic%22%3A3%7D&sp_atk=6ab76ff9-3337-4a88-925f-ca00b9b36fee&xptdk=6ab76ff9-3337-4a88-925f-ca00b9b36fee
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mdin30dsk5n080,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ZTE NUBIA Blade A36 4/64GB Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.701.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,16 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jember,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
ZTE NUBIA Blade A36 4/64GB Garansi Resmi
Rp
1.701.000
4.9
16 Terjual
< 2 Hari
Kab. Jember",https://shopee.co.id/ZTE-NUBIA-Blade-A36-4-64GB-Garansi-Resmi-i.155584273.28684189908?extraParams=%7B%22display_model_id%22%3A49902330844%2C%22model_selection_logic%22%3A3%7D&sp_atk=d6461cdf-7356-415f-b572-af57076f7a8c&xptdk=d6461cdf-7356-415f-b572-af57076f7a8c
https://down-id.img.susercontent.com/file/id-11134207-8224s-mjccqnzlep6oe6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE NUBIA A36 RAM 4/64 GB - [Up To 12GB Extended RAM] - Baterry 5000mAh GARANSI RESMI NUBIA INDONESIA - A36 4/64,,Rp,1.579.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,Produk Baru,,,,"Scrape to BigSeller
ZTE NUBIA A36 RAM 4/64 GB - [Up To 12GB Extended RAM] - Baterry 5000mAh GARANSI RESMI NUBIA INDONESIA - A36 4/64
Rp
1.579.000
Produk Baru
2-3 Hari
Jakarta Pusat",https://shopee.co.id/ZTE-NUBIA-A36-RAM-4-64-GB-Up-To-12GB-Extended-RAM-Baterry-5000mAh-GARANSI-RESMI-NUBIA-INDONESIA-A36-4-64-i.1125092180.47404463607?extraParams=%7B%22display_model_id%22%3A440537229731%2C%22model_selection_logic%22%3A3%7D&sp_atk=5fbf4f8d-d5fa-4980-a710-1523d6e0fc53&xptdk=5fbf4f8d-d5fa-4980-a710-1523d6e0fc53
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mbsz31yl7cwk6c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE Nubia A36 4GB 64GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.579.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,-21%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
ZTE Nubia A36 4GB 64GB
Rp
1.579.000
-21%
5.0
4 Terjual
Besok
Jakarta Utara",https://shopee.co.id/ZTE-Nubia-A36-4GB-64GB-i.383392952.44157717084?extraParams=%7B%22display_model_id%22%3A385744826584%2C%22model_selection_logic%22%3A3%7D&sp_atk=babc292a-c8e0-4412-a80c-c72396c753fb&xptdk=babc292a-c8e0-4412-a80c-c72396c753fb
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbosseuojgm6c9,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE NUBIA A56  4/128 NEW GARANSI RESMI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,91 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,5.0,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
ZTE NUBIA A56 4/128 NEW GARANSI RESMI
Rp
1.599.000
5.0
91 Terjual
3-6 Hari
Medan",https://shopee.co.id/ZTE-NUBIA-A56-4-128-NEW-GARANSI-RESMI-i.52979790.26660254952?extraParams=%7B%22display_model_id%22%3A195367605833%2C%22model_selection_logic%22%3A3%7D&sp_atk=559e3d3a-3de2-4c46-9acc-e629ca002cb2&xptdk=559e3d3a-3de2-4c46-9acc-e629ca002cb2
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lzr403j0djigfc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE BLADE A55 RAM 12GB [4+8GB/128GB] ZTE BLADE A54 [4+64GB] GARANSI RESMI ZTE INDONESIA - ZTE A55,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.399.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,541 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
ZTE BLADE A55 RAM 12GB [4+8GB/128GB] ZTE BLADE A54 [4+64GB] GARANSI RESMI ZTE INDONESIA - ZTE A55
Rp
1.399.000
4.9
541 Terjual
Besok
Jakarta Timur",https://shopee.co.id/ZTE-BLADE-A55-RAM-12GB-4-8GB-128GB-ZTE-BLADE-A54-4-64GB-GARANSI-RESMI-ZTE-INDONESIA-ZTE-A55-i.516371273.25771049753?extraParams=%7B%22display_model_id%22%3A138029390807%2C%22model_selection_logic%22%3A3%7D&sp_atk=5310e499-ec6d-4490-8d56-8267e53e3337&xptdk=5310e499-ec6d-4490-8d56-8267e53e3337
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m9rcsulh2sci2e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ZTE NUBIA NEO 3 5G 8+256GB 6.8"" FHD 120Hz DISPLAY GARANSI RESMI",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.649.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,63 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandar Lampung,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
ZTE NUBIA NEO 3 5G 8+256GB 6.8"" FHD 120Hz DISPLAY GARANSI RESMI
Rp
2.649.000
-5%
5.0
63 Terjual
Besok
Bandar Lampung",https://shopee.co.id/ZTE-NUBIA-NEO-3-5G-8-256GB-6.8-FHD-120Hz-DISPLAY-GARANSI-RESMI-i.281075769.24642959043?extraParams=%7B%22display_model_id%22%3A295438020125%2C%22model_selection_logic%22%3A3%7D&sp_atk=9fc85cc3-9239-4d6c-b13f-db6b8c6a8ca6&xptdk=9fc85cc3-9239-4d6c-b13f-db6b8c6a8ca6
https://down-id.img.susercontent.com/file/id-11134207-822wm-mn40li8rlssla1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ZTE Nubia V80 MAX 8GB 128GB | 6000mAh Bypass Charging | 6.9"" IPS LCD | Garansi Resmi Indonesia",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.739.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,,,,,,,"Scrape to BigSeller
ZTE Nubia V80 MAX 8GB 128GB | 6000mAh Bypass Charging | 6.9"" IPS LCD | Garansi Resmi Indonesia
Rp
1.739.000
2-3 Hari
Bekasi",https://shopee.co.id/ZTE-Nubia-V80-MAX-8GB-128GB-6000mAh-Bypass-Charging-6.9-IPS-LCD-Garansi-Resmi-Indonesia-i.319647164.46758952699?extraParams=%7B%22display_model_id%22%3A400792254508%2C%22model_selection_logic%22%3A3%7D&sp_atk=8472ad6a-97fb-4514-ba0a-1f8e13f8a762&xptdk=8472ad6a-97fb-4514-ba0a-1f8e13f8a762
https://down-id.img.susercontent.com/file/id-11134207-822wh-mmvcxvhkvdvlc5,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ZTE Nubia Neo 3 5G 8/256GB | Second Mulus | Garansi Resmi | Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.425.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Scrape to BigSeller
ZTE Nubia Neo 3 5G 8/256GB | Second Mulus | Garansi Resmi | Original
Rp
2.425.000
2 jam
Surabaya",https://shopee.co.id/ZTE-Nubia-Neo-3-5G-8-256GB-Second-Mulus-Garansi-Resmi-Original-i.1661859023.45558556350?extraParams=%7B%22display_model_id%22%3A385757091775%2C%22model_selection_logic%22%3A3%7D&sp_atk=1c0d88f6-a058-453f-8074-44a583579418&xptdk=1c0d88f6-a058-453f-8074-44a583579418
